date,country,value,source,indicator
2022-03-11,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-12,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-13,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-14,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-15,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-16,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-17,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-18,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-19,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-20,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-21,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-22,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-23,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-24,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-25,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-26,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-27,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-28,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-29,Africa (median),22.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-30,Africa (median),22.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-31,Africa (median),22.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-01,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-02,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-03,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-04,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-05,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-06,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-07,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-08,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-09,Africa (median),23.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-10,Africa (median),23.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-11,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-12,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-13,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-14,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-15,Africa (median),23.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-16,Africa (median),23.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-17,Africa (median),23.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-18,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-19,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-20,Africa (median),23.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-21,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-22,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-23,Africa (median),23.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-24,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-25,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-26,Africa (median),23.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-27,Africa (median),23.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-28,Africa (median),23.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-29,Africa (median),24.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-30,Africa (median),24.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-01,Africa (median),23.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-02,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-03,Africa (median),23.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-04,Africa (median),23.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-05,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-06,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-07,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-08,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-09,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-10,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-11,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-12,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-13,Africa (median),22.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-14,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-15,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-16,Africa (median),24.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-17,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-18,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-19,Africa (median),25.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-20,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-21,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-22,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-23,Africa (median),25.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-24,Africa (median),24.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-25,Africa (median),24.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-26,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-27,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-28,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-29,Africa (median),24.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-30,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-05-31,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-01,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-02,Africa (median),22.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-03,Africa (median),22.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-04,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-05,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-06,Africa (median),22.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-07,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-08,Africa (median),22.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-09,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-10,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-11,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-12,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-13,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-14,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-15,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-16,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-17,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-18,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-19,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-20,Africa (median),24.2,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-21,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-22,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-23,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-24,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-25,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-26,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-27,Africa (median),23.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-28,Africa (median),21.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-29,Africa (median),21.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-06-30,Africa (median),21.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-01,Africa (median),21.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-02,Africa (median),21.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-03,Africa (median),21.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-04,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-05,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-06,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-07,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-08,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-09,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-10,Africa (median),21.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-11,Africa (median),21.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-12,Africa (median),21.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-13,Africa (median),22.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-14,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-15,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-16,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-17,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-18,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-19,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-20,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-21,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-22,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-23,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-24,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-25,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-26,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-27,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-28,Africa (median),23.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-29,Africa (median),23.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-30,Africa (median),22.7,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-07-31,Africa (median),22.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-01,Africa (median),22.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-02,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-03,Africa (median),22.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-04,Africa (median),22.8,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-05,Africa (median),22.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-06,Africa (median),23.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-07,Africa (median),23.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-08,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-09,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-10,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-11,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-12,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-13,Africa (median),23.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-14,Africa (median),25.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-15,Africa (median),25.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-08-16,Africa (median),25.1,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-01,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-02,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-03,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-04,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-05,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-06,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-07,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-08,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-09,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-10,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-11,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-12,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-13,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-14,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-15,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-16,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-17,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-18,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-19,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-20,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-21,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-22,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-23,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-24,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-25,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-26,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-27,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-28,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-29,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-30,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-01-31,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-01,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-02,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-03,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-04,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-05,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-06,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-07,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-08,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-09,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-10,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-11,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-12,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-13,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-14,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-15,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-16,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-17,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-18,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-19,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-20,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-21,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-22,Algeria,9.0,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-23,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-24,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-25,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-26,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-27,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-02-28,Algeria,8.9,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-01,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-02,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-03,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-04,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-05,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-06,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-07,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-08,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-09,Algeria,8.5,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-10,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-11,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-12,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-13,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-14,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-15,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-16,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-17,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-18,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-19,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-20,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-21,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-22,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-23,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-24,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-25,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-26,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-27,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-28,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-29,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-30,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-03-31,Algeria,10.3,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-01,Algeria,10.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-02,Algeria,10.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-03,Algeria,10.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-04,Algeria,10.4,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-05,Algeria,10.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-06,Algeria,10.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-07,Algeria,10.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-08,Algeria,10.6,WFP HungerMapLive,% of People with Insufficient food Consumption
2022-04-09,Algeria,10.6,WFP HungerMapLive,% of People with Insufficient food Consumption
