date,value,iso_code,name_short,source
2022-12-21,21.31,Africa (median),,WFP HungerMapLive
2022-12-22,21.31,Africa (median),,WFP HungerMapLive
2022-12-23,21.31,Africa (median),,WFP HungerMapLive
2022-12-24,21.31,Africa (median),,WFP HungerMapLive
2022-12-25,21.31,Africa (median),,WFP HungerMapLive
2022-12-26,21.3,Africa (median),,WFP HungerMapLive
2022-12-27,21.31,Africa (median),,WFP HungerMapLive
2022-12-28,21.27,Africa (median),,WFP HungerMapLive
2022-12-29,21.37,Africa (median),,WFP HungerMapLive
2022-12-30,21.27,Africa (median),,WFP HungerMapLive
2022-12-31,21.75,Africa (median),,WFP HungerMapLive
2023-01-01,21.3,Africa (median),,WFP HungerMapLive
2023-01-02,21.3,Africa (median),,WFP HungerMapLive
2023-01-03,21.3,Africa (median),,WFP HungerMapLive
2023-01-04,21.32,Africa (median),,WFP HungerMapLive
2023-01-05,21.31,Africa (median),,WFP HungerMapLive
2023-01-06,21.61,Africa (median),,WFP HungerMapLive
2023-01-07,21.31,Africa (median),,WFP HungerMapLive
2023-01-08,21.31,Africa (median),,WFP HungerMapLive
2023-01-09,21.31,Africa (median),,WFP HungerMapLive
2023-01-10,21.31,Africa (median),,WFP HungerMapLive
2023-01-11,21.31,Africa (median),,WFP HungerMapLive
2023-01-12,21.32,Africa (median),,WFP HungerMapLive
2023-01-13,21.32,Africa (median),,WFP HungerMapLive
2023-01-14,21.32,Africa (median),,WFP HungerMapLive
2023-01-15,21.32,Africa (median),,WFP HungerMapLive
2023-01-16,21.32,Africa (median),,WFP HungerMapLive
2023-01-17,21.32,Africa (median),,WFP HungerMapLive
2023-01-18,21.32,Africa (median),,WFP HungerMapLive
2023-01-19,21.32,Africa (median),,WFP HungerMapLive
2023-01-20,21.32,Africa (median),,WFP HungerMapLive
2023-01-21,21.29,Africa (median),,WFP HungerMapLive
2023-01-22,21.28,Africa (median),,WFP HungerMapLive
2023-01-23,21.54,Africa (median),,WFP HungerMapLive
2023-01-24,21.72,Africa (median),,WFP HungerMapLive
2023-01-25,21.72,Africa (median),,WFP HungerMapLive
2023-01-26,21.775,Africa (median),,WFP HungerMapLive
2023-01-27,22.189999999999998,Africa (median),,WFP HungerMapLive
2023-01-28,22.259999999999998,Africa (median),,WFP HungerMapLive
2023-01-29,22.62,Africa (median),,WFP HungerMapLive
2023-01-30,22.985,Africa (median),,WFP HungerMapLive
2023-01-31,23.28,Africa (median),,WFP HungerMapLive
2023-02-01,23.43,Africa (median),,WFP HungerMapLive
2023-02-02,23.76,Africa (median),,WFP HungerMapLive
2023-02-03,23.42,Africa (median),,WFP HungerMapLive
2023-02-04,23.42,Africa (median),,WFP HungerMapLive
2023-02-05,23.42,Africa (median),,WFP HungerMapLive
2023-02-06,24.025,Africa (median),,WFP HungerMapLive
2023-02-07,23.91,Africa (median),,WFP HungerMapLive
2023-02-08,24.185,Africa (median),,WFP HungerMapLive
2023-02-09,24.354999999999997,Africa (median),,WFP HungerMapLive
2023-02-10,24.255,Africa (median),,WFP HungerMapLive
2023-02-11,24.924999999999997,Africa (median),,WFP HungerMapLive
2023-02-12,24.814999999999998,Africa (median),,WFP HungerMapLive
2023-02-13,24.759999999999998,Africa (median),,WFP HungerMapLive
2023-02-14,24.525,Africa (median),,WFP HungerMapLive
2023-02-15,24.85,Africa (median),,WFP HungerMapLive
2023-02-16,24.485,Africa (median),,WFP HungerMapLive
2023-02-17,24.61,Africa (median),,WFP HungerMapLive
2023-02-18,24.375,Africa (median),,WFP HungerMapLive
2023-02-19,24.595,Africa (median),,WFP HungerMapLive
2023-02-20,24.744999999999997,Africa (median),,WFP HungerMapLive
2023-02-21,25.97,Africa (median),,WFP HungerMapLive
2023-02-22,26.135,Africa (median),,WFP HungerMapLive
2023-02-23,26.415,Africa (median),,WFP HungerMapLive
2023-02-24,26.62,Africa (median),,WFP HungerMapLive
2023-02-25,26.54,Africa (median),,WFP HungerMapLive
2023-02-26,26.520000000000003,Africa (median),,WFP HungerMapLive
2023-02-27,26.54,Africa (median),,WFP HungerMapLive
2023-02-28,26.555,Africa (median),,WFP HungerMapLive
2023-03-01,26.39,Africa (median),,WFP HungerMapLive
2023-03-02,26.41,Africa (median),,WFP HungerMapLive
2023-03-03,26.4,Africa (median),,WFP HungerMapLive
2023-03-04,26.17,Africa (median),,WFP HungerMapLive
2023-03-05,28.585,Africa (median),,WFP HungerMapLive
2023-03-06,28.69,Africa (median),,WFP HungerMapLive
2023-03-07,25.54,Africa (median),,WFP HungerMapLive
2023-03-08,25.3,Africa (median),,WFP HungerMapLive
2023-03-09,24.75,Africa (median),,WFP HungerMapLive
2023-03-10,24.47,Africa (median),,WFP HungerMapLive
2023-03-11,24.46,Africa (median),,WFP HungerMapLive
2023-03-12,24.75,Africa (median),,WFP HungerMapLive
2023-03-13,24.55,Africa (median),,WFP HungerMapLive
2023-03-14,24.5,Africa (median),,WFP HungerMapLive
2023-03-15,24.5,Africa (median),,WFP HungerMapLive
2023-03-16,24.63,Africa (median),,WFP HungerMapLive
2023-03-17,24.5,Africa (median),,WFP HungerMapLive
2023-03-18,24.59,Africa (median),,WFP HungerMapLive
2023-03-19,24.57,Africa (median),,WFP HungerMapLive
2023-03-20,24.86,Africa (median),,WFP HungerMapLive
2023-03-21,25.245,Africa (median),,WFP HungerMapLive
2023-03-22,25.245,Africa (median),,WFP HungerMapLive
2023-03-23,24.47,Africa (median),,WFP HungerMapLive
2023-03-24,24.62,Africa (median),,WFP HungerMapLive
2023-03-25,24.41,Africa (median),,WFP HungerMapLive
2023-03-26,24.32,Africa (median),,WFP HungerMapLive
2023-03-27,24.37,Africa (median),,WFP HungerMapLive
2023-03-28,25.08,Africa (median),,WFP HungerMapLive
2023-03-29,24.84,Africa (median),,WFP HungerMapLive
2023-03-30,24.9,Africa (median),,WFP HungerMapLive
2023-03-31,24.7,Africa (median),,WFP HungerMapLive
2023-04-01,25.53,Africa (median),,WFP HungerMapLive
2023-04-02,25.68,Africa (median),,WFP HungerMapLive
2023-04-03,25.68,Africa (median),,WFP HungerMapLive
2023-04-04,24.34,Africa (median),,WFP HungerMapLive
2023-04-05,24.0,Africa (median),,WFP HungerMapLive
2023-04-06,24.34,Africa (median),,WFP HungerMapLive
2023-04-07,24.33,Africa (median),,WFP HungerMapLive
2023-04-08,24.33,Africa (median),,WFP HungerMapLive
2023-04-09,24.32,Africa (median),,WFP HungerMapLive
2023-04-10,24.3,Africa (median),,WFP HungerMapLive
2023-04-11,24.3,Africa (median),,WFP HungerMapLive
2023-04-12,24.3,Africa (median),,WFP HungerMapLive
2023-04-13,23.34,Africa (median),,WFP HungerMapLive
2023-04-14,24.29,Africa (median),,WFP HungerMapLive
2023-04-15,25.41,Africa (median),,WFP HungerMapLive
2023-04-16,25.06,Africa (median),,WFP HungerMapLive
2023-04-17,24.3,Africa (median),,WFP HungerMapLive
2023-04-18,24.3,Africa (median),,WFP HungerMapLive
2023-04-19,24.29,Africa (median),,WFP HungerMapLive
2023-04-20,23.985,Africa (median),,WFP HungerMapLive
2023-04-21,24.25,Africa (median),,WFP HungerMapLive
2023-04-22,24.25,Africa (median),,WFP HungerMapLive
2023-04-23,24.25,Africa (median),,WFP HungerMapLive
2023-04-24,24.25,Africa (median),,WFP HungerMapLive
2023-04-25,24.45,Africa (median),,WFP HungerMapLive
2023-04-26,24.26,Africa (median),,WFP HungerMapLive
2023-04-27,24.26,Africa (median),,WFP HungerMapLive
2023-04-28,24.23,Africa (median),,WFP HungerMapLive
2023-04-29,23.94,Africa (median),,WFP HungerMapLive
2023-04-30,24.035,Africa (median),,WFP HungerMapLive
2023-05-01,24.095,Africa (median),,WFP HungerMapLive
2023-05-02,24.61,Africa (median),,WFP HungerMapLive
2023-05-03,24.54,Africa (median),,WFP HungerMapLive
2023-05-04,24.63,Africa (median),,WFP HungerMapLive
2023-05-05,24.31,Africa (median),,WFP HungerMapLive
2023-05-06,23.835,Africa (median),,WFP HungerMapLive
2023-05-07,23.689999999999998,Africa (median),,WFP HungerMapLive
2023-05-08,23.555,Africa (median),,WFP HungerMapLive
2023-05-09,23.375,Africa (median),,WFP HungerMapLive
2023-05-10,23.564999999999998,Africa (median),,WFP HungerMapLive
2023-05-11,23.515,Africa (median),,WFP HungerMapLive
2023-05-12,23.555,Africa (median),,WFP HungerMapLive
2023-05-13,22.87,Africa (median),,WFP HungerMapLive
2023-05-14,22.77,Africa (median),,WFP HungerMapLive
2023-05-15,22.68,Africa (median),,WFP HungerMapLive
2023-05-16,23.16,Africa (median),,WFP HungerMapLive
2023-05-17,23.0,Africa (median),,WFP HungerMapLive
2023-05-18,22.96,Africa (median),,WFP HungerMapLive
2023-05-19,22.96,Africa (median),,WFP HungerMapLive
2023-05-20,22.9,Africa (median),,WFP HungerMapLive
2023-05-21,23.04,Africa (median),,WFP HungerMapLive
2023-05-22,23.14,Africa (median),,WFP HungerMapLive
2023-05-23,23.19,Africa (median),,WFP HungerMapLive
2023-05-24,24.47,Africa (median),,WFP HungerMapLive
2023-05-25,24.29,Africa (median),,WFP HungerMapLive
2023-05-26,24.29,Africa (median),,WFP HungerMapLive
2023-05-27,24.29,Africa (median),,WFP HungerMapLive
2023-05-28,24.29,Africa (median),,WFP HungerMapLive
2023-05-29,24.295,Africa (median),,WFP HungerMapLive
2023-05-30,24.295,Africa (median),,WFP HungerMapLive
2023-05-31,23.485,Africa (median),,WFP HungerMapLive
2023-06-01,24.189999999999998,Africa (median),,WFP HungerMapLive
2023-06-02,24.15,Africa (median),,WFP HungerMapLive
2023-06-03,24.15,Africa (median),,WFP HungerMapLive
2023-06-04,24.15,Africa (median),,WFP HungerMapLive
2023-06-05,24.15,Africa (median),,WFP HungerMapLive
2023-06-06,24.16,Africa (median),,WFP HungerMapLive
2023-06-07,25.03,Africa (median),,WFP HungerMapLive
2023-06-08,25.0,Africa (median),,WFP HungerMapLive
2023-06-09,25.0,Africa (median),,WFP HungerMapLive
2023-06-10,25.0,Africa (median),,WFP HungerMapLive
2023-06-11,25.02,Africa (median),,WFP HungerMapLive
2023-06-12,25.034999999999997,Africa (median),,WFP HungerMapLive
2023-06-13,25.1,Africa (median),,WFP HungerMapLive
2023-06-14,25.04,Africa (median),,WFP HungerMapLive
2023-06-15,25.02,Africa (median),,WFP HungerMapLive
2023-06-16,25.03,Africa (median),,WFP HungerMapLive
2023-06-17,25.03,Africa (median),,WFP HungerMapLive
2023-06-18,25.175,Africa (median),,WFP HungerMapLive
2023-06-19,25.03,Africa (median),,WFP HungerMapLive
2023-06-20,25.009999999999998,Africa (median),,WFP HungerMapLive
2023-06-21,25.0,Africa (median),,WFP HungerMapLive
2023-06-22,25.0,Africa (median),,WFP HungerMapLive
2023-06-23,25.0,Africa (median),,WFP HungerMapLive
2023-06-24,25.0,Africa (median),,WFP HungerMapLive
2023-06-25,25.0,Africa (median),,WFP HungerMapLive
2023-06-26,25.0,Africa (median),,WFP HungerMapLive
2023-06-27,25.0,Africa (median),,WFP HungerMapLive
2023-06-28,25.0,Africa (median),,WFP HungerMapLive
2023-06-29,25.0,Africa (median),,WFP HungerMapLive
2023-06-30,24.99,Africa (median),,WFP HungerMapLive
2023-07-01,24.8,Africa (median),,WFP HungerMapLive
2023-07-02,24.8,Africa (median),,WFP HungerMapLive
2023-07-03,24.8,Africa (median),,WFP HungerMapLive
2023-07-04,24.71,Africa (median),,WFP HungerMapLive
2023-07-05,24.94,Africa (median),,WFP HungerMapLive
2023-07-06,24.94,Africa (median),,WFP HungerMapLive
2023-07-07,24.89,Africa (median),,WFP HungerMapLive
2023-07-08,24.810000000000002,Africa (median),,WFP HungerMapLive
2023-07-09,24.71,Africa (median),,WFP HungerMapLive
2023-07-10,24.54,Africa (median),,WFP HungerMapLive
2023-07-11,24.68,Africa (median),,WFP HungerMapLive
2023-07-12,24.68,Africa (median),,WFP HungerMapLive
2023-07-13,23.73,Africa (median),,WFP HungerMapLive
2023-07-14,23.634999999999998,Africa (median),,WFP HungerMapLive
2023-07-15,23.405,Africa (median),,WFP HungerMapLive
2023-07-16,23.55,Africa (median),,WFP HungerMapLive
2023-07-17,23.604999999999997,Africa (median),,WFP HungerMapLive
2023-07-18,23.19,Africa (median),,WFP HungerMapLive
2023-07-19,23.21,Africa (median),,WFP HungerMapLive
2023-07-20,23.14,Africa (median),,WFP HungerMapLive
2023-07-21,23.36,Africa (median),,WFP HungerMapLive
2023-07-22,23.34,Africa (median),,WFP HungerMapLive
2023-07-23,23.17,Africa (median),,WFP HungerMapLive
2023-07-24,23.2,Africa (median),,WFP HungerMapLive
2023-07-25,23.32,Africa (median),,WFP HungerMapLive
2023-07-26,23.405,Africa (median),,WFP HungerMapLive
2023-07-27,23.36,Africa (median),,WFP HungerMapLive
2023-07-28,23.48,Africa (median),,WFP HungerMapLive
2023-07-29,23.55,Africa (median),,WFP HungerMapLive
2023-07-30,23.09,Africa (median),,WFP HungerMapLive
2023-07-31,23.814999999999998,Africa (median),,WFP HungerMapLive
2023-08-01,23.78,Africa (median),,WFP HungerMapLive
2023-08-02,23.145,Africa (median),,WFP HungerMapLive
2023-08-03,23.405,Africa (median),,WFP HungerMapLive
2023-08-04,23.119999999999997,Africa (median),,WFP HungerMapLive
2023-08-05,23.265,Africa (median),,WFP HungerMapLive
2023-08-06,22.924999999999997,Africa (median),,WFP HungerMapLive
2023-08-07,22.91,Africa (median),,WFP HungerMapLive
2023-08-08,23.265,Africa (median),,WFP HungerMapLive
2023-08-09,23.27,Africa (median),,WFP HungerMapLive
2023-08-10,23.27,Africa (median),,WFP HungerMapLive
2023-08-11,23.25,Africa (median),,WFP HungerMapLive
2023-08-12,23.255,Africa (median),,WFP HungerMapLive
2023-08-13,23.25,Africa (median),,WFP HungerMapLive
2023-08-14,23.259999999999998,Africa (median),,WFP HungerMapLive
2023-08-15,23.345,Africa (median),,WFP HungerMapLive
2023-08-16,24.805,Africa (median),,WFP HungerMapLive
2023-08-17,24.8,Africa (median),,WFP HungerMapLive
2023-08-18,24.795,Africa (median),,WFP HungerMapLive
2023-08-19,24.795,Africa (median),,WFP HungerMapLive
2023-08-20,24.795,Africa (median),,WFP HungerMapLive
2023-08-21,24.675,Africa (median),,WFP HungerMapLive
2023-08-22,24.685000000000002,Africa (median),,WFP HungerMapLive
2023-08-23,24.78,Africa (median),,WFP HungerMapLive
2023-08-24,24.665,Africa (median),,WFP HungerMapLive
2023-08-25,24.634999999999998,Africa (median),,WFP HungerMapLive
2023-08-26,24.66,Africa (median),,WFP HungerMapLive
2023-08-27,24.509999999999998,Africa (median),,WFP HungerMapLive
2023-08-28,24.325,Africa (median),,WFP HungerMapLive
2023-08-29,24.055,Africa (median),,WFP HungerMapLive
2023-08-30,24.195,Africa (median),,WFP HungerMapLive
2023-08-31,24.4,Africa (median),,WFP HungerMapLive
2023-09-01,24.395,Africa (median),,WFP HungerMapLive
2023-09-02,24.73,Africa (median),,WFP HungerMapLive
2023-09-03,24.27,Africa (median),,WFP HungerMapLive
2023-09-04,24.27,Africa (median),,WFP HungerMapLive
2023-09-05,24.675,Africa (median),,WFP HungerMapLive
2023-09-06,24.65,Africa (median),,WFP HungerMapLive
2023-09-07,24.55,Africa (median),,WFP HungerMapLive
2023-09-08,24.3,Africa (median),,WFP HungerMapLive
2023-09-09,24.3,Africa (median),,WFP HungerMapLive
2023-09-10,24.3,Africa (median),,WFP HungerMapLive
2023-09-11,24.295,Africa (median),,WFP HungerMapLive
2023-09-12,24.255,Africa (median),,WFP HungerMapLive
2023-09-13,24.235,Africa (median),,WFP HungerMapLive
2023-09-14,24.64,Africa (median),,WFP HungerMapLive
2023-09-15,24.244999999999997,Africa (median),,WFP HungerMapLive
2023-09-16,24.51,Africa (median),,WFP HungerMapLive
2023-09-17,24.59,Africa (median),,WFP HungerMapLive
2023-09-18,24.38,Africa (median),,WFP HungerMapLive
2023-09-19,24.38,Africa (median),,WFP HungerMapLive
2023-09-20,24.61,Africa (median),,WFP HungerMapLive
2023-09-21,24.6,Africa (median),,WFP HungerMapLive
2023-09-22,24.6,Africa (median),,WFP HungerMapLive
2023-09-23,24.64,Africa (median),,WFP HungerMapLive
2023-09-24,24.68,Africa (median),,WFP HungerMapLive
2023-09-25,24.68,Africa (median),,WFP HungerMapLive
2023-09-26,24.68,Africa (median),,WFP HungerMapLive
2023-09-27,24.665,Africa (median),,WFP HungerMapLive
2023-09-28,24.655,Africa (median),,WFP HungerMapLive
2023-09-29,24.615000000000002,Africa (median),,WFP HungerMapLive
2023-09-30,24.615000000000002,Africa (median),,WFP HungerMapLive
2023-10-01,24.58,Africa (median),,WFP HungerMapLive
2023-10-02,24.58,Africa (median),,WFP HungerMapLive
2023-10-03,24.58,Africa (median),,WFP HungerMapLive
2023-10-04,24.575,Africa (median),,WFP HungerMapLive
2023-10-05,24.575,Africa (median),,WFP HungerMapLive
2023-10-06,24.509999999999998,Africa (median),,WFP HungerMapLive
2023-10-07,24.575,Africa (median),,WFP HungerMapLive
2023-10-08,24.549999999999997,Africa (median),,WFP HungerMapLive
2023-10-09,24.6,Africa (median),,WFP HungerMapLive
2023-10-10,24.22,Africa (median),,WFP HungerMapLive
2023-10-11,24.525,Africa (median),,WFP HungerMapLive
2023-10-12,24.525,Africa (median),,WFP HungerMapLive
2023-10-13,24.525,Africa (median),,WFP HungerMapLive
2023-10-14,24.534999999999997,Africa (median),,WFP HungerMapLive
2023-10-15,24.534999999999997,Africa (median),,WFP HungerMapLive
2023-10-16,24.534999999999997,Africa (median),,WFP HungerMapLive
2023-10-17,24.534999999999997,Africa (median),,WFP HungerMapLive
2023-10-18,25.6,Africa (median),,WFP HungerMapLive
2023-10-19,25.24,Africa (median),,WFP HungerMapLive
2023-10-20,25.04,Africa (median),,WFP HungerMapLive
2023-10-21,24.63,Africa (median),,WFP HungerMapLive
2023-10-22,24.93,Africa (median),,WFP HungerMapLive
2023-10-23,24.58,Africa (median),,WFP HungerMapLive
2023-10-24,24.62,Africa (median),,WFP HungerMapLive
2023-10-25,24.6,Africa (median),,WFP HungerMapLive
2023-10-26,24.6,Africa (median),,WFP HungerMapLive
2023-10-27,24.61,Africa (median),,WFP HungerMapLive
2023-10-28,24.61,Africa (median),,WFP HungerMapLive
2023-10-29,24.61,Africa (median),,WFP HungerMapLive
2023-10-30,24.56,Africa (median),,WFP HungerMapLive
2023-10-31,24.56,Africa (median),,WFP HungerMapLive
2023-11-01,24.55,Africa (median),,WFP HungerMapLive
2023-11-02,24.55,Africa (median),,WFP HungerMapLive
2023-11-03,24.55,Africa (median),,WFP HungerMapLive
2023-11-04,24.55,Africa (median),,WFP HungerMapLive
2023-11-05,24.58,Africa (median),,WFP HungerMapLive
2023-11-06,24.58,Africa (median),,WFP HungerMapLive
2023-11-07,24.57,Africa (median),,WFP HungerMapLive
2023-11-08,24.97,Africa (median),,WFP HungerMapLive
2023-11-09,24.79,Africa (median),,WFP HungerMapLive
2023-11-10,24.55,Africa (median),,WFP HungerMapLive
2023-11-11,24.59,Africa (median),,WFP HungerMapLive
2023-11-12,24.59,Africa (median),,WFP HungerMapLive
2023-11-13,24.57,Africa (median),,WFP HungerMapLive
2023-11-14,24.560000000000002,Africa (median),,WFP HungerMapLive
2023-11-15,24.485,Africa (median),,WFP HungerMapLive
2023-11-16,24.485,Africa (median),,WFP HungerMapLive
2023-11-17,24.485,Africa (median),,WFP HungerMapLive
2023-11-18,24.485,Africa (median),,WFP HungerMapLive
2023-11-19,24.485,Africa (median),,WFP HungerMapLive
2023-11-20,24.545,Africa (median),,WFP HungerMapLive
2023-11-21,24.52,Africa (median),,WFP HungerMapLive
2023-11-22,24.52,Africa (median),,WFP HungerMapLive
2023-11-23,24.52,Africa (median),,WFP HungerMapLive
2023-11-24,24.59,Africa (median),,WFP HungerMapLive
2023-11-25,24.58,Africa (median),,WFP HungerMapLive
2023-11-26,24.59,Africa (median),,WFP HungerMapLive
2023-11-27,24.52,Africa (median),,WFP HungerMapLive
2023-11-28,24.63,Africa (median),,WFP HungerMapLive
2023-11-29,24.63,Africa (median),,WFP HungerMapLive
2023-11-30,24.53,Africa (median),,WFP HungerMapLive
2023-12-01,24.52,Africa (median),,WFP HungerMapLive
2023-12-02,24.63,Africa (median),,WFP HungerMapLive
2023-12-03,24.63,Africa (median),,WFP HungerMapLive
2023-12-04,24.63,Africa (median),,WFP HungerMapLive
2023-12-05,24.63,Africa (median),,WFP HungerMapLive
2023-12-06,24.63,Africa (median),,WFP HungerMapLive
2023-12-07,24.63,Africa (median),,WFP HungerMapLive
2023-12-08,24.57,Africa (median),,WFP HungerMapLive
2023-12-09,24.57,Africa (median),,WFP HungerMapLive
2023-12-10,24.575,Africa (median),,WFP HungerMapLive
2023-12-11,24.595,Africa (median),,WFP HungerMapLive
2023-12-12,24.9,Africa (median),,WFP HungerMapLive
2023-12-13,24.700000000000003,Africa (median),,WFP HungerMapLive
2023-12-14,24.89,Africa (median),,WFP HungerMapLive
2023-12-15,24.64,Africa (median),,WFP HungerMapLive
2023-12-16,24.55,Africa (median),,WFP HungerMapLive
2023-12-17,24.68,Africa (median),,WFP HungerMapLive
2023-12-18,24.69,Africa (median),,WFP HungerMapLive
2023-12-19,24.725,Africa (median),,WFP HungerMapLive
2023-12-20,24.725,Africa (median),,WFP HungerMapLive
2023-12-21,24.744999999999997,Africa (median),,WFP HungerMapLive
2023-12-22,24.744999999999997,Africa (median),,WFP HungerMapLive
2023-12-23,24.744999999999997,Africa (median),,WFP HungerMapLive
2023-12-24,24.740000000000002,Africa (median),,WFP HungerMapLive
2023-12-25,24.740000000000002,Africa (median),,WFP HungerMapLive
2023-12-26,24.92,Africa (median),,WFP HungerMapLive
2023-12-27,24.92,Africa (median),,WFP HungerMapLive
2023-12-28,24.92,Africa (median),,WFP HungerMapLive
2023-12-29,24.985,Africa (median),,WFP HungerMapLive
2023-12-30,25.01,Africa (median),,WFP HungerMapLive
2023-12-31,24.72,Africa (median),,WFP HungerMapLive
2024-01-01,24.815,Africa (median),,WFP HungerMapLive
2024-01-02,24.815,Africa (median),,WFP HungerMapLive
2024-01-03,24.82,Africa (median),,WFP HungerMapLive
2024-01-04,24.799999999999997,Africa (median),,WFP HungerMapLive
2024-01-05,24.52,Africa (median),,WFP HungerMapLive
2024-01-06,24.384999999999998,Africa (median),,WFP HungerMapLive
2024-01-07,24.52,Africa (median),,WFP HungerMapLive
2024-01-08,24.52,Africa (median),,WFP HungerMapLive
2024-01-09,24.384999999999998,Africa (median),,WFP HungerMapLive
2024-01-10,24.384999999999998,Africa (median),,WFP HungerMapLive
2024-01-11,24.375,Africa (median),,WFP HungerMapLive
2024-01-12,24.25,Africa (median),,WFP HungerMapLive
2024-01-13,23.75,Africa (median),,WFP HungerMapLive
2024-01-14,23.91,Africa (median),,WFP HungerMapLive
2024-01-15,23.935000000000002,Africa (median),,WFP HungerMapLive
2024-01-16,24.33,Africa (median),,WFP HungerMapLive
2024-01-17,24.095,Africa (median),,WFP HungerMapLive
2024-01-18,23.965,Africa (median),,WFP HungerMapLive
2024-01-19,23.950000000000003,Africa (median),,WFP HungerMapLive
2024-01-20,23.89,Africa (median),,WFP HungerMapLive
2024-01-21,23.89,Africa (median),,WFP HungerMapLive
2024-01-22,23.89,Africa (median),,WFP HungerMapLive
2024-01-23,23.89,Africa (median),,WFP HungerMapLive
2024-01-24,23.86,Africa (median),,WFP HungerMapLive
2024-01-25,23.87,Africa (median),,WFP HungerMapLive
2024-01-26,23.87,Africa (median),,WFP HungerMapLive
2024-01-27,23.86,Africa (median),,WFP HungerMapLive
2024-01-28,23.86,Africa (median),,WFP HungerMapLive
2024-01-29,24.255,Africa (median),,WFP HungerMapLive
2024-01-30,24.65,Africa (median),,WFP HungerMapLive
2024-01-31,23.86,Africa (median),,WFP HungerMapLive
2024-02-01,23.77,Africa (median),,WFP HungerMapLive
2024-02-02,24.63,Africa (median),,WFP HungerMapLive
2024-02-03,24.33,Africa (median),,WFP HungerMapLive
2024-02-04,24.49,Africa (median),,WFP HungerMapLive
2024-02-05,24.63,Africa (median),,WFP HungerMapLive
2024-02-06,24.65,Africa (median),,WFP HungerMapLive
2024-02-07,24.65,Africa (median),,WFP HungerMapLive
2024-02-08,24.65,Africa (median),,WFP HungerMapLive
2024-02-09,24.65,Africa (median),,WFP HungerMapLive
2024-02-10,24.65,Africa (median),,WFP HungerMapLive
2024-02-11,24.64,Africa (median),,WFP HungerMapLive
2024-02-12,24.64,Africa (median),,WFP HungerMapLive
2024-02-13,24.64,Africa (median),,WFP HungerMapLive
2024-02-14,24.37,Africa (median),,WFP HungerMapLive
2024-02-15,24.37,Africa (median),,WFP HungerMapLive
2024-02-16,23.634999999999998,Africa (median),,WFP HungerMapLive
2024-02-17,24.37,Africa (median),,WFP HungerMapLive
2024-02-18,24.37,Africa (median),,WFP HungerMapLive
2024-02-19,24.37,Africa (median),,WFP HungerMapLive
2024-02-20,23.634999999999998,Africa (median),,WFP HungerMapLive
2024-02-21,23.555,Africa (median),,WFP HungerMapLive
2024-02-22,23.555,Africa (median),,WFP HungerMapLive
2024-02-22,23.555,,Africa (median),WFP HungerMapLive
2024-02-22,22.89,,Algeria,WFP HungerMapLive
