iso_code,indicator,indicator_name,indicator_description,units,scale,year,value,estimate,name_short
CMR,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,37.908,True,Cameroon
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,87.056,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,97.961,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,110.089,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,119.745,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,121.77,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,120.803,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,117.857,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,115.683,False,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,144.687,True,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,141.245,True,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,147.268,True,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,141.663,True,Cabo Verde
CPV,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,134.821,True,Cabo Verde
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,25.048,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,22.692,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,24.44,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,38.011,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,43.71,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,46.049,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,45.523,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,38.949,False,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,39.891,True,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,43.075,True,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,49.103,True,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,50.568,True,Djibouti
DJI,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,50.755,True,Djibouti
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,29.034,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,30.019,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,21.803,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,7.631,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,13.313,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,21.237,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,25.649,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,30.631,False,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,43.253,True,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,51.447,True,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,51.25,True,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,56.279,True,Algeria
DZA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,61.178,True,Algeria
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,63.452,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,73.733,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,77.054,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,79.362,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,86.209,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,91.255,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,84.81,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,78.485,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,83.787,False,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,88.58,True,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,89.066,True,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,84.661,True,Egypt
EGY,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,83.281,True,Egypt
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,34.218,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,38.539,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,39.599,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2015-01-01,45.913,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2016-01-01,47.829,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2017-01-01,51.34,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2018-01-01,54.798,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2019-01-01,50.666,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2020-01-01,50.082,False,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2021-01-01,49.624,True,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2022-01-01,45.917,True,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2023-01-01,40.963,True,Ethiopia
ETH,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2024-01-01,36.436,True,Ethiopia
GHA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2012-01-01,33.802,False,Ghana
GHA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2013-01-01,39.898,False,Ghana
GHA,GGXWDN_NGDP,Government Debt (% GDP),"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,2014-01-01,45.306,False,Ghana
