iso_code,year,cause,death_rate
DZA,2019,Onchocerciasis,0.0
DZA,2019,Lymphatic filariasis,0.0
DZA,2019,Chagas disease,0.0
DZA,2019,African trypanosomiasis,0.0
DZA,2019,Malaria,0.0
DZA,2019,Upper respiratory infections,0.0
DZA,2019,Otitis media,0.0
DZA,2019,Iodine deficiency,0.0
DZA,2019,Vitamin A deficiency,0.0
DZA,2019,Iron-deficiency anaemia,0.0
DZA,2019,Trichomoniasis,0.0
DZA,2019,Genital herpes,0.0
DZA,2019,Chlamydia,0.0
DZA,2019,Depressive disorders,0.0
DZA,2019,Bipolar disorder,0.0
DZA,2019,Schizophrenia,0.0
DZA,2019,Migraine,0.0
DZA,2019,Non-migraine headache,0.0
DZA,2019,Glaucoma,0.0
DZA,2019,Cataracts,0.0
DZA,2019,Uncorrected refractive errors,0.0
DZA,2019,Macular degeneration,0.0
DZA,2019,Other vision loss,0.0
DZA,2019,Other hearing loss,0.0
DZA,2019,Ascariasis,0.0
DZA,2019,Dengue,0.0
DZA,2019,Trachoma,0.0
DZA,2019,Yellow fever,0.0
DZA,2019,Diphtheria,0.0
DZA,2019,Infertility,0.0
DZA,2019,Gynecological diseases,0.0
DZA,2019,Oral conditions,0.0
DZA,2019,Osteoarthritis,0.0
DZA,2019,Gout,0.0
DZA,2019,Back and neck pain,0.0
DZA,2019,Benign prostatic hyperplasia,0.0
DZA,2019,Anxiety disorders,0.0
DZA,2019,Eating disorders,0.0
DZA,2019,Autism and Asperger syndrome,0.0
DZA,2019,Childhood behavioural disorders,0.0
DZA,2019,Idiopathic intellectual disability,0.0
DZA,2019,Natural disasters,0.0
DZA,2019,Trichuriasis,0.0
DZA,2019,Hookworm disease,0.0
DZA,2019,Food-bourne trematodes,0.0
DZA,2019,Leprosy,0.0
AGO,2019,Neonatal conditions,97.62
AGO,2019,Lower respiratory infections,78.29
AGO,2019,Tuberculosis,53.43
AGO,2019,Diarrhoeal diseases,47.94
AGO,2019,Malaria,42.79
AGO,2019,HIV/AIDS,40.27
AGO,2019,Stroke,33.61
AGO,2019,Ischaemic heart disease,31.51
AGO,2019,Road injury,26.15
AGO,2019,Congenital anomalies,23.28
AGO,2019,Cirrhosis of the liver,19.19
AGO,2019,Diabetes mellitus,13.88
AGO,2019,Whooping cough,13.2
AGO,2019,Hypertensive heart disease,11.53
AGO,2019,Meningitis,11.21
AGO,2019,Protein-energy malnutrition,11.03
AGO,2019,Maternal conditions,10.28
AGO,2019,Interpersonal violence,9.21
AGO,2019,Kidney diseases,8.64
AGO,2019,Chronic obstructive pulmonary disease,7.7
AGO,2019,Self-harm,6.09
AGO,2019,Cervix uteri cancer,6.07
AGO,2019,Asthma,5.29
AGO,2019,Drowning,5.03
AGO,2019,Syphilis,4.14
AGO,2019,"Cardiomyopathy, myocarditis, endocarditis",4.1
AGO,2019,Alzheimer disease and other dementias,3.77
AGO,2019,Falls,3.61
AGO,2019,Breast cancer,3.59
AGO,2019,Prostate cancer,3.37
AGO,2019,Paralytic ileus and intestinal obstruction,3.29
AGO,2019,"Fire, heat and hot substances",2.64
AGO,2019,Peptic ulcer disease,2.14
AGO,2019,Exposure to mechanical forces,2.06
AGO,2019,Epilepsy,2.04
AGO,2019,Poisonings,2.01
AGO,2019,"Lymphomas, multiple myeloma",1.91
AGO,2019,Liver cancer,1.82
AGO,2019,Tetanus,1.6
AGO,2019,Cysticercosis,1.59
AGO,2019,Mouth and oropharynx cancers,1.59
AGO,2019,Sickle cell disorders and trait,1.52
AGO,2019,Colon and rectum cancers,1.5
AGO,2019,Melanoma and other skin cancers,1.47
AGO,2019,Sudden infant death syndrome,1.44
AGO,2019,Yellow fever,1.38
AGO,2019,Rheumatic heart disease,1.37
AGO,2019,"Trachea, bronchus, lung cancers",1.26
AGO,2019,Gallbladder and biliary diseases,1.22
AGO,2019,Leukaemia,1.13
AGO,2019,Stomach cancer,1.1
AGO,2019,Oesophagus cancer,0.97
AGO,2019,Parkinson disease,0.92
AGO,2019,Gastritis and duodenitis,0.74
AGO,2019,Skin diseases,0.71
AGO,2019,Alcohol use disorders,0.69
AGO,2019,Schistosomiasis,0.68
AGO,2019,Ovary cancer,0.66
AGO,2019,Drug use disorders,0.65
AGO,2019,Appendicitis,0.65
AGO,2019,Pancreatitis,0.64
AGO,2019,Encephalitis,0.6
AGO,2019,Leishmaniasis,0.52
AGO,2019,Bladder cancer,0.51
AGO,2019,Larynx cancer,0.45
AGO,2019,Pancreas cancer,0.45
AGO,2019,Brain and nervous system cancers,0.44
AGO,2019,Upper respiratory infections,0.41
AGO,2019,Acute hepatitis A,0.4
AGO,2019,Kidney cancer,0.38
AGO,2019,Acute hepatitis B,0.37
AGO,2019,Diphtheria,0.35
AGO,2019,Measles,0.3
AGO,2019,Rabies,0.3
AGO,2019,Inflammatory bowel disease,0.3
AGO,2019,Echinococcosis,0.28
AGO,2019,Corpus uteri cancer,0.24
AGO,2019,Rheumatoid arthritis,0.19
AGO,2019,Ascariasis,0.13
AGO,2019,Gynecological diseases,0.1
AGO,2019,Natural disasters,0.1
AGO,2019,Gallbladder and biliary tract cancer,0.08
AGO,2019,Collective violence and legal intervention,0.07
AGO,2019,Multiple sclerosis,0.06
AGO,2019,Thyroid cancer,0.06
AGO,2019,Testicular cancer,0.05
AGO,2019,Gonorrhoea,0.05
AGO,2019,Acute hepatitis C,0.05
AGO,2019,African trypanosomiasis,0.04
AGO,2019,Urolithiasis,0.04
AGO,2019,Otitis media,0.03
AGO,2019,Mesothelioma,0.03
AGO,2019,Acute hepatitis E,0.02
AGO,2019,Chlamydia,0.02
AGO,2019,Thalassaemias,0.01
AGO,2019,Migraine,0.0
AGO,2019,Non-migraine headache,0.0
AGO,2019,Glaucoma,0.0
AGO,2019,Cataracts,0.0
AGO,2019,Uncorrected refractive errors,0.0
AGO,2019,Macular degeneration,0.0
AGO,2019,Other vision loss,0.0
AGO,2019,Other hearing loss,0.0
AGO,2019,Osteoarthritis,0.0
AGO,2019,Gout,0.0
AGO,2019,Back and neck pain,0.0
AGO,2019,Benign prostatic hyperplasia,0.0
AGO,2019,Infertility,0.0
AGO,2019,Oral conditions,0.0
AGO,2019,Trichomoniasis,0.0
AGO,2019,Genital herpes,0.0
AGO,2019,Chagas disease,0.0
AGO,2019,Trichuriasis,0.0
AGO,2019,Hookworm disease,0.0
AGO,2019,Food-bourne trematodes,0.0
AGO,2019,Leprosy,0.0
AGO,2019,Iodine deficiency,0.0
AGO,2019,Vitamin A deficiency,0.0
AGO,2019,Iron-deficiency anaemia,0.0
AGO,2019,Dengue,0.0
AGO,2019,Trachoma,0.0
AGO,2019,Lymphatic filariasis,0.0
AGO,2019,Onchocerciasis,0.0
AGO,2019,Anxiety disorders,0.0
AGO,2019,Eating disorders,0.0
AGO,2019,Autism and Asperger syndrome,0.0
AGO,2019,Childhood behavioural disorders,0.0
AGO,2019,Idiopathic intellectual disability,0.0
AGO,2019,Depressive disorders,0.0
AGO,2019,Bipolar disorder,0.0
AGO,2019,Schizophrenia,0.0
BEN,2019,Neonatal conditions,101.97
BEN,2019,Lower respiratory infections,86.48
BEN,2019,Malaria,59.64
BEN,2019,Diarrhoeal diseases,57.88
BEN,2019,Stroke,49.62
BEN,2019,Ischaemic heart disease,45.74
BEN,2019,Road injury,26.8
BEN,2019,Cirrhosis of the liver,20.73
BEN,2019,Congenital anomalies,19.19
BEN,2019,HIV/AIDS,19.18
BEN,2019,Meningitis,16.67
BEN,2019,Kidney diseases,16.34
BEN,2019,Diabetes mellitus,16.2
BEN,2019,Chronic obstructive pulmonary disease,10.34
BEN,2019,Sickle cell disorders and trait,10.26
BEN,2019,Whooping cough,9.9
BEN,2019,Hypertensive heart disease,9.22
BEN,2019,Maternal conditions,8.8
BEN,2019,Protein-energy malnutrition,7.86
BEN,2019,Self-harm,7.81
BEN,2019,Tuberculosis,7.79
BEN,2019,Asthma,7.55
BEN,2019,Prostate cancer,7.35
BEN,2019,Measles,6.68
BEN,2019,Breast cancer,6.65
BEN,2019,Interpersonal violence,6.15
BEN,2019,Alzheimer disease and other dementias,6.06
BEN,2019,Cervix uteri cancer,5.67
BEN,2019,Drowning,4.83
BEN,2019,Paralytic ileus and intestinal obstruction,4.8
BEN,2019,Falls,4.6
BEN,2019,"Cardiomyopathy, myocarditis, endocarditis",3.87
BEN,2019,Peptic ulcer disease,3.75
BEN,2019,"Fire, heat and hot substances",3.65
BEN,2019,Exposure to mechanical forces,3.33
BEN,2019,"Lymphomas, multiple myeloma",3.28
BEN,2019,Epilepsy,3.13
BEN,2019,Stomach cancer,3.06
BEN,2019,Oesophagus cancer,2.76
BEN,2019,Liver cancer,2.73
BEN,2019,Colon and rectum cancers,2.64
BEN,2019,Poisonings,2.6
BEN,2019,Pancreatitis,2.16
BEN,2019,Sudden infant death syndrome,1.84
BEN,2019,Parkinson disease,1.79
BEN,2019,Kidney cancer,1.76
BEN,2019,Drug use disorders,1.67
BEN,2019,Rheumatic heart disease,1.67
BEN,2019,Leukaemia,1.66
BEN,2019,Schistosomiasis,1.55
BEN,2019,Pancreas cancer,1.5
BEN,2019,Mouth and oropharynx cancers,1.32
BEN,2019,Tetanus,1.32
BEN,2019,Gallbladder and biliary diseases,1.32
BEN,2019,Syphilis,1.27
BEN,2019,Skin diseases,1.22
BEN,2019,Acute hepatitis B,1.21
BEN,2019,Rabies,1.14
BEN,2019,Melanoma and other skin cancers,0.86
BEN,2019,Corpus uteri cancer,0.84
BEN,2019,Ovary cancer,0.73
BEN,2019,Encephalitis,0.72
BEN,2019,Alcohol use disorders,0.72
BEN,2019,Yellow fever,0.68
BEN,2019,"Trachea, bronchus, lung cancers",0.56
BEN,2019,Acute hepatitis A,0.44
BEN,2019,Gastritis and duodenitis,0.42
BEN,2019,Appendicitis,0.38
BEN,2019,Brain and nervous system cancers,0.38
BEN,2019,Bladder cancer,0.37
BEN,2019,Ascariasis,0.34
BEN,2019,Inflammatory bowel disease,0.3
BEN,2019,Larynx cancer,0.29
BEN,2019,Thyroid cancer,0.24
BEN,2019,Gallbladder and biliary tract cancer,0.23
BEN,2019,Cysticercosis,0.19
BEN,2019,Upper respiratory infections,0.15
BEN,2019,Acute hepatitis C,0.14
BEN,2019,Echinococcosis,0.13
BEN,2019,Multiple sclerosis,0.13
BEN,2019,Rheumatoid arthritis,0.1
BEN,2019,Diphtheria,0.09
BEN,2019,Testicular cancer,0.09
BEN,2019,Thalassaemias,0.06
BEN,2019,Gynecological diseases,0.04
BEN,2019,Gonorrhoea,0.04
BEN,2019,Urolithiasis,0.03
BEN,2019,Collective violence and legal intervention,0.02
BEN,2019,Acute hepatitis E,0.02
BEN,2019,Mesothelioma,0.02
BEN,2019,Chlamydia,0.01
BEN,2019,Trichomoniasis,0.0
BEN,2019,Genital herpes,0.0
BEN,2019,Leishmaniasis,0.0
BEN,2019,Lymphatic filariasis,0.0
BEN,2019,Onchocerciasis,0.0
BEN,2019,Dengue,0.0
BEN,2019,Trachoma,0.0
BEN,2019,African trypanosomiasis,0.0
BEN,2019,Chagas disease,0.0
BEN,2019,Trichuriasis,0.0
BEN,2019,Hookworm disease,0.0
BEN,2019,Food-bourne trematodes,0.0
BEN,2019,Leprosy,0.0
BEN,2019,Iodine deficiency,0.0
BEN,2019,Vitamin A deficiency,0.0
BEN,2019,Iron-deficiency anaemia,0.0
BEN,2019,Anxiety disorders,0.0
BEN,2019,Eating disorders,0.0
BEN,2019,Autism and Asperger syndrome,0.0
BEN,2019,Childhood behavioural disorders,0.0
BEN,2019,Idiopathic intellectual disability,0.0
BEN,2019,Depressive disorders,0.0
BEN,2019,Bipolar disorder,0.0
BEN,2019,Schizophrenia,0.0
BEN,2019,Otitis media,0.0
BEN,2019,Natural disasters,0.0
BEN,2019,Osteoarthritis,0.0
BEN,2019,Gout,0.0
BEN,2019,Back and neck pain,0.0
BEN,2019,Oral conditions,0.0
BEN,2019,Infertility,0.0
BEN,2019,Benign prostatic hyperplasia,0.0
BEN,2019,Migraine,0.0
BEN,2019,Non-migraine headache,0.0
BEN,2019,Glaucoma,0.0
BEN,2019,Cataracts,0.0
BEN,2019,Uncorrected refractive errors,0.0
BEN,2019,Macular degeneration,0.0
BEN,2019,Other vision loss,0.0
BEN,2019,Other hearing loss,0.0
BWA,2019,HIV/AIDS,214.86
BWA,2019,Lower respiratory infections,72.65
BWA,2019,Ischaemic heart disease,70.84
BWA,2019,Stroke,68.94
BWA,2019,Diabetes mellitus,55.24
BWA,2019,Neonatal conditions,38.92
BWA,2019,Tuberculosis,28.16
BWA,2019,Road injury,26.41
BWA,2019,Diarrhoeal diseases,22.88
BWA,2019,Kidney diseases,21.98
BWA,2019,Chronic obstructive pulmonary disease,20.91
BWA,2019,Hypertensive heart disease,20.44
BWA,2019,Cirrhosis of the liver,19.91
BWA,2019,Interpersonal violence,16.89
BWA,2019,Self-harm,16.05
BWA,2019,Congenital anomalies,12.47
BWA,2019,Asthma,10.08
BWA,2019,"Cardiomyopathy, myocarditis, endocarditis",7.68
BWA,2019,Protein-energy malnutrition,7.42
BWA,2019,Cervix uteri cancer,7.12
BWA,2019,Alzheimer disease and other dementias,7.11
BWA,2019,Paralytic ileus and intestinal obstruction,5.34
BWA,2019,Maternal conditions,5.11
BWA,2019,Meningitis,4.7
BWA,2019,"Fire, heat and hot substances",4.7
BWA,2019,Oesophagus cancer,4.46
BWA,2019,Peptic ulcer disease,3.91
BWA,2019,Drowning,3.58
BWA,2019,"Lymphomas, multiple myeloma",3.34
BWA,2019,Mouth and oropharynx cancers,3.04
BWA,2019,Breast cancer,2.97
BWA,2019,Falls,2.67
BWA,2019,Exposure to mechanical forces,2.6
BWA,2019,Liver cancer,2.49
BWA,2019,Epilepsy,2.44
BWA,2019,Gallbladder and biliary diseases,2.41
BWA,2019,Melanoma and other skin cancers,2.25
BWA,2019,Parkinson disease,2.05
BWA,2019,"Trachea, bronchus, lung cancers",1.97
BWA,2019,Whooping cough,1.94
BWA,2019,Prostate cancer,1.93
BWA,2019,Poisonings,1.83
BWA,2019,Rheumatic heart disease,1.61
BWA,2019,Syphilis,1.58
BWA,2019,Sudden infant death syndrome,1.41
BWA,2019,Alcohol use disorders,1.33
BWA,2019,Skin diseases,1.3
BWA,2019,Colon and rectum cancers,1.2
BWA,2019,Drug use disorders,1.12
BWA,2019,Pancreatitis,0.97
BWA,2019,Gastritis and duodenitis,0.94
BWA,2019,Ovary cancer,0.84
BWA,2019,Larynx cancer,0.7
BWA,2019,Pancreas cancer,0.7
BWA,2019,Leukaemia,0.57
BWA,2019,Rheumatoid arthritis,0.46
BWA,2019,Inflammatory bowel disease,0.45
BWA,2019,Stomach cancer,0.45
BWA,2019,Schistosomiasis,0.43
BWA,2019,Corpus uteri cancer,0.41
BWA,2019,Appendicitis,0.33
BWA,2019,Upper respiratory infections,0.32
BWA,2019,Kidney cancer,0.31
BWA,2019,Encephalitis,0.3
BWA,2019,Bladder cancer,0.28
BWA,2019,Tetanus,0.27
BWA,2019,Acute hepatitis B,0.25
BWA,2019,Brain and nervous system cancers,0.24
BWA,2019,Gynecological diseases,0.15
BWA,2019,Multiple sclerosis,0.13
BWA,2019,Cysticercosis,0.1
BWA,2019,Gallbladder and biliary tract cancer,0.09
BWA,2019,Acute hepatitis A,0.08
BWA,2019,Gonorrhoea,0.07
BWA,2019,Thyroid cancer,0.05
BWA,2019,Thalassaemias,0.05
BWA,2019,Rabies,0.04
BWA,2019,Urolithiasis,0.04
BWA,2019,Malaria,0.03
BWA,2019,Sickle cell disorders and trait,0.03
BWA,2019,Acute hepatitis C,0.02
BWA,2019,Measles,0.02
BWA,2019,Chlamydia,0.02
BWA,2019,Ascariasis,0.02
BWA,2019,Collective violence and legal intervention,0.02
BWA,2019,Echinococcosis,0.01
BWA,2019,Diphtheria,0.01
BWA,2019,Acute hepatitis E,0.01
BWA,2019,Otitis media,0.01
BWA,2019,Testicular cancer,0.01
BWA,2019,Depressive disorders,0.0
BWA,2019,Bipolar disorder,0.0
BWA,2019,Schizophrenia,0.0
BWA,2019,Anxiety disorders,0.0
BWA,2019,Eating disorders,0.0
BWA,2019,Autism and Asperger syndrome,0.0
BWA,2019,Childhood behavioural disorders,0.0
BWA,2019,Idiopathic intellectual disability,0.0
BWA,2019,Mesothelioma,0.0
BWA,2019,African trypanosomiasis,0.0
BWA,2019,Chagas disease,0.0
BWA,2019,Trichomoniasis,0.0
BWA,2019,Genital herpes,0.0
BWA,2019,Dengue,0.0
BWA,2019,Trachoma,0.0
BWA,2019,Yellow fever,0.0
BWA,2019,Leishmaniasis,0.0
BWA,2019,Lymphatic filariasis,0.0
BWA,2019,Onchocerciasis,0.0
BWA,2019,Trichuriasis,0.0
BWA,2019,Hookworm disease,0.0
BWA,2019,Food-bourne trematodes,0.0
BWA,2019,Leprosy,0.0
BWA,2019,Iodine deficiency,0.0
BWA,2019,Vitamin A deficiency,0.0
BWA,2019,Iron-deficiency anaemia,0.0
BWA,2019,Oral conditions,0.0
BWA,2019,Natural disasters,0.0
BWA,2019,Infertility,0.0
BWA,2019,Benign prostatic hyperplasia,0.0
BWA,2019,Osteoarthritis,0.0
BWA,2019,Gout,0.0
BWA,2019,Back and neck pain,0.0
BWA,2019,Migraine,0.0
BWA,2019,Non-migraine headache,0.0
BWA,2019,Glaucoma,0.0
BWA,2019,Cataracts,0.0
BWA,2019,Uncorrected refractive errors,0.0
BWA,2019,Macular degeneration,0.0
BWA,2019,Other vision loss,0.0
BWA,2019,Other hearing loss,0.0
BFA,2019,Neonatal conditions,90.71
BFA,2019,Lower respiratory infections,82.79
BFA,2019,Malaria,71.93
BFA,2019,Diarrhoeal diseases,58.56
BFA,2019,Ischaemic heart disease,39.98
BFA,2019,Stroke,31.15
BFA,2019,Road injury,31.05
BFA,2019,Sickle cell disorders and trait,19.84
BFA,2019,Congenital anomalies,17.31
BFA,2019,Meningitis,16.62
BFA,2019,HIV/AIDS,15.27
BFA,2019,Protein-energy malnutrition,14.13
BFA,2019,Cirrhosis of the liver,13.41
BFA,2019,Diabetes mellitus,12.85
BFA,2019,Kidney diseases,11.81
BFA,2019,Cervix uteri cancer,10.45
BFA,2019,Hypertensive heart disease,9.95
BFA,2019,Tuberculosis,9.69
BFA,2019,Interpersonal violence,9.57
BFA,2019,Self-harm,7.49
BFA,2019,Maternal conditions,6.79
BFA,2019,Liver cancer,6.45
BFA,2019,Measles,5.89
BFA,2019,Chronic obstructive pulmonary disease,5.72
BFA,2019,Asthma,4.64
BFA,2019,Drowning,4.48
BFA,2019,Paralytic ileus and intestinal obstruction,4.38
BFA,2019,Collective violence and legal intervention,4.35
BFA,2019,Breast cancer,4.24
BFA,2019,Falls,4.08
BFA,2019,Stomach cancer,3.83
BFA,2019,Alzheimer disease and other dementias,3.78
BFA,2019,Whooping cough,3.68
BFA,2019,"Cardiomyopathy, myocarditis, endocarditis",3.66
BFA,2019,"Fire, heat and hot substances",3.47
BFA,2019,Poisonings,3.05
BFA,2019,Exposure to mechanical forces,2.77
BFA,2019,Prostate cancer,2.53
BFA,2019,Pancreatitis,2.42
BFA,2019,Colon and rectum cancers,2.36
BFA,2019,Epilepsy,2.35
BFA,2019,Peptic ulcer disease,2.02
BFA,2019,Rabies,1.51
BFA,2019,Syphilis,1.45
BFA,2019,Gallbladder and biliary diseases,1.42
BFA,2019,"Lymphomas, multiple myeloma",1.38
BFA,2019,Rheumatic heart disease,1.33
BFA,2019,Bladder cancer,1.31
BFA,2019,Parkinson disease,1.24
BFA,2019,Schistosomiasis,1.23
BFA,2019,"Trachea, bronchus, lung cancers",1.19
BFA,2019,Sudden infant death syndrome,1.17
BFA,2019,Mouth and oropharynx cancers,1.12
BFA,2019,Melanoma and other skin cancers,1.08
BFA,2019,Tetanus,0.89
BFA,2019,Ovary cancer,0.86
BFA,2019,Skin diseases,0.86
BFA,2019,Yellow fever,0.85
BFA,2019,Drug use disorders,0.85
BFA,2019,Acute hepatitis B,0.81
BFA,2019,Alcohol use disorders,0.75
BFA,2019,Pancreas cancer,0.73
BFA,2019,Kidney cancer,0.68
BFA,2019,Leukaemia,0.55
BFA,2019,Oesophagus cancer,0.5
BFA,2019,Appendicitis,0.47
BFA,2019,Encephalitis,0.41
BFA,2019,Ascariasis,0.36
BFA,2019,Corpus uteri cancer,0.36
BFA,2019,Inflammatory bowel disease,0.34
BFA,2019,Larynx cancer,0.33
BFA,2019,Acute hepatitis C,0.28
BFA,2019,Acute hepatitis A,0.25
BFA,2019,Echinococcosis,0.25
BFA,2019,Upper respiratory infections,0.24
BFA,2019,Brain and nervous system cancers,0.22
BFA,2019,Gastritis and duodenitis,0.21
BFA,2019,Thyroid cancer,0.18
BFA,2019,Gallbladder and biliary tract cancer,0.15
BFA,2019,Cysticercosis,0.14
BFA,2019,Multiple sclerosis,0.12
BFA,2019,Thalassaemias,0.1
BFA,2019,Testicular cancer,0.08
BFA,2019,Rheumatoid arthritis,0.07
BFA,2019,Gynecological diseases,0.04
BFA,2019,Gonorrhoea,0.04
BFA,2019,Diphtheria,0.03
BFA,2019,Urolithiasis,0.03
BFA,2019,Acute hepatitis E,0.02
BFA,2019,Mesothelioma,0.02
BFA,2019,Chlamydia,0.01
BFA,2019,Trichomoniasis,0.0
BFA,2019,Genital herpes,0.0
BFA,2019,Leishmaniasis,0.0
BFA,2019,Lymphatic filariasis,0.0
BFA,2019,Onchocerciasis,0.0
BFA,2019,African trypanosomiasis,0.0
BFA,2019,Chagas disease,0.0
BFA,2019,Trichuriasis,0.0
BFA,2019,Hookworm disease,0.0
BFA,2019,Food-bourne trematodes,0.0
BFA,2019,Leprosy,0.0
BFA,2019,Otitis media,0.0
BFA,2019,Dengue,0.0
BFA,2019,Trachoma,0.0
BFA,2019,Iodine deficiency,0.0
BFA,2019,Vitamin A deficiency,0.0
BFA,2019,Iron-deficiency anaemia,0.0
BFA,2019,Anxiety disorders,0.0
BFA,2019,Eating disorders,0.0
BFA,2019,Autism and Asperger syndrome,0.0
BFA,2019,Childhood behavioural disorders,0.0
BFA,2019,Idiopathic intellectual disability,0.0
BFA,2019,Depressive disorders,0.0
BFA,2019,Bipolar disorder,0.0
BFA,2019,Schizophrenia,0.0
BFA,2019,Infertility,0.0
BFA,2019,Benign prostatic hyperplasia,0.0
BFA,2019,Osteoarthritis,0.0
BFA,2019,Gout,0.0
BFA,2019,Back and neck pain,0.0
BFA,2019,Migraine,0.0
BFA,2019,Non-migraine headache,0.0
BFA,2019,Glaucoma,0.0
BFA,2019,Cataracts,0.0
BFA,2019,Uncorrected refractive errors,0.0
BFA,2019,Macular degeneration,0.0
BFA,2019,Other vision loss,0.0
BFA,2019,Other hearing loss,0.0
BFA,2019,Oral conditions,0.0
BFA,2019,Natural disasters,0.0
BDI,2019,Neonatal conditions,74.52
BDI,2019,Lower respiratory infections,67.91
BDI,2019,Diarrhoeal diseases,52.58
BDI,2019,Malaria,44.9
BDI,2019,Stroke,37.59
BDI,2019,Road injury,35.56
BDI,2019,Ischaemic heart disease,32.33
BDI,2019,Protein-energy malnutrition,21.74
BDI,2019,Tuberculosis,20.73
BDI,2019,HIV/AIDS,15.77
BDI,2019,Congenital anomalies,15.54
BDI,2019,Cirrhosis of the liver,15.37
BDI,2019,Cervix uteri cancer,12.82
BDI,2019,Diabetes mellitus,12.03
BDI,2019,Chronic obstructive pulmonary disease,11.73
BDI,2019,Maternal conditions,11.58
BDI,2019,Meningitis,11.5
BDI,2019,Hypertensive heart disease,9.68
BDI,2019,Kidney diseases,8.71
BDI,2019,Asthma,7.27
BDI,2019,Interpersonal violence,6.61
BDI,2019,Self-harm,6.26
BDI,2019,Drowning,5.2
BDI,2019,Oesophagus cancer,3.95
BDI,2019,Alzheimer disease and other dementias,3.71
BDI,2019,"Fire, heat and hot substances",3.7
BDI,2019,Paralytic ileus and intestinal obstruction,3.5
BDI,2019,Exposure to mechanical forces,3.47
BDI,2019,Liver cancer,3.38
BDI,2019,Falls,3.34
BDI,2019,"Lymphomas, multiple myeloma",3.3
BDI,2019,Whooping cough,3.29
BDI,2019,Prostate cancer,3.25
BDI,2019,Poisonings,3.21
BDI,2019,Rabies,3.14
BDI,2019,Breast cancer,3.09
BDI,2019,Peptic ulcer disease,2.96
