iso_code,year,cause,cause_group,deaths,population,death_rate
DZA,2000,Malaria,1,2.0,31000000.0,0.01
DZA,2000,African trypanosomiasis,1,0.0,31000000.0,0.0
DZA,2000,Chagas disease,1,0.0,31000000.0,0.0
DZA,2000,Lymphatic filariasis,1,0.0,31000000.0,0.0
DZA,2000,Onchocerciasis,1,0.0,31000000.0,0.0
DZA,2000,Cysticercosis,1,0.0,31000000.0,0.0
DZA,2000,Chlamydia,1,0.45,31000000.0,0.0
DZA,2000,Gonorrhoea,1,1.39,31000000.0,0.0
DZA,2000,Trichomoniasis,1,0.0,31000000.0,0.0
DZA,2000,Genital herpes,1,0.0,31000000.0,0.0
DZA,2000,Diphtheria,1,1.12,31000000.0,0.0
DZA,2000,Trichuriasis,1,0.0,31000000.0,0.0
DZA,2000,Hookworm disease,1,0.0,31000000.0,0.0
DZA,2000,Food-bourne trematodes,1,0.0,31000000.0,0.0
DZA,2000,Leprosy,1,0.0,31000000.0,0.0
DZA,2000,Dengue,1,0.0,31000000.0,0.0
DZA,2000,Trachoma,1,0.0,31000000.0,0.0
DZA,2000,Yellow fever,1,0.0,31000000.0,0.0
DZA,2000,Upper respiratory infections,1,1.42,31000000.0,0.0
DZA,2000,Otitis media,1,0.07,31000000.0,0.0
DZA,2000,Iodine deficiency,1,0.0,31000000.0,0.0
DZA,2000,Vitamin A deficiency,1,0.0,31000000.0,0.0
DZA,2000,Iron-deficiency anaemia,1,0.0,31000000.0,0.0
DZA,2000,Depressive disorders,2,0.0,31000000.0,0.0
DZA,2000,Bipolar disorder,2,0.0,31000000.0,0.0
DZA,2000,Schizophrenia,2,0.0,31000000.0,0.0
DZA,2000,Anxiety disorders,2,0.0,31000000.0,0.0
DZA,2000,Eating disorders,2,0.07,31000000.0,0.0
DZA,2000,Autism and Asperger syndrome,2,0.0,31000000.0,0.0
DZA,2000,Childhood behavioural disorders,2,0.0,31000000.0,0.0
DZA,2000,Idiopathic intellectual disability,2,0.0,31000000.0,0.0
DZA,2000,Migraine,2,0.0,31000000.0,0.0
DZA,2000,Non-migraine headache,2,0.0,31000000.0,0.0
DZA,2000,Glaucoma,2,0.0,31000000.0,0.0
DZA,2000,Cataracts,2,0.0,31000000.0,0.0
DZA,2000,Uncorrected refractive errors,2,0.0,31000000.0,0.0
DZA,2000,Macular degeneration,2,0.0,31000000.0,0.0
DZA,2000,Other vision loss,2,0.0,31000000.0,0.0
DZA,2000,Other hearing loss,2,0.0,31000000.0,0.0
DZA,2000,Osteoarthritis,2,0.0,31000000.0,0.0
DZA,2000,Gout,2,0.0,31000000.0,0.0
DZA,2000,Back and neck pain,2,0.0,31000000.0,0.0
DZA,2000,Oral conditions,2,0.0,31000000.0,0.0
DZA,2000,Benign prostatic hyperplasia,2,0.0,31000000.0,0.0
DZA,2000,Urolithiasis,2,1.28,31000000.0,0.0
DZA,2000,Infertility,2,0.0,31000000.0,0.0
DZA,2000,Gynecological diseases,2,0.48,31000000.0,0.0
AGO,2000,Diarrhoeal diseases,1,41352.23,16400000.0,252.15
AGO,2000,Lower respiratory infections,1,39806.84,16400000.0,242.72
AGO,2000,Neonatal conditions,1,34034.47,16400000.0,207.53
AGO,2000,Malaria,1,18654.0,16400000.0,113.74
AGO,2000,Tuberculosis,1,12342.88,16400000.0,75.26
AGO,2000,Meningitis,1,10719.1,16400000.0,65.36
AGO,2000,Stroke,2,8361.38,16400000.0,50.98
AGO,2000,Protein-energy malnutrition,1,7061.27,16400000.0,43.06
AGO,2000,Ischaemic heart disease,2,6806.15,16400000.0,41.5
AGO,2000,Congenital anomalies,2,6505.17,16400000.0,39.67
AGO,2000,African trypanosomiasis,1,5448.82,16400000.0,33.22
AGO,2000,Cirrhosis of the liver,2,4403.38,16400000.0,26.85
AGO,2000,Road injury,3,4109.83,16400000.0,25.06
AGO,2000,Maternal conditions,1,4063.94,16400000.0,24.78
AGO,2000,Collective violence and legal intervention,3,3852.43,16400000.0,23.49
AGO,2000,HIV/AIDS,1,3817.0,16400000.0,23.27
AGO,2000,Measles,1,3230.3,16400000.0,19.7
AGO,2000,Hypertensive heart disease,2,2902.49,16400000.0,17.7
AGO,2000,Tetanus,1,2764.76,16400000.0,16.86
AGO,2000,Diabetes mellitus,2,2659.02,16400000.0,16.21
AGO,2000,Whooping cough,1,2466.76,16400000.0,15.04
AGO,2000,Chronic obstructive pulmonary disease,2,2205.99,16400000.0,13.45
AGO,2000,Interpersonal violence,3,2181.8,16400000.0,13.3
AGO,2000,Asthma,2,2156.46,16400000.0,13.15
AGO,2000,Kidney diseases,2,1937.24,16400000.0,11.81
AGO,2000,Drowning,3,1617.94,16400000.0,9.87
AGO,2000,Self-harm,3,1428.3,16400000.0,8.71
AGO,2000,Cervix uteri cancer,2,1337.2,16400000.0,8.15
AGO,2000,Yellow fever,1,957.06,16400000.0,5.84
AGO,2000,"Cardiomyopathy, myocarditis, endocarditis",2,882.64,16400000.0,5.38
AGO,2000,Syphilis,1,773.85,16400000.0,4.72
AGO,2000,Falls,3,698.76,16400000.0,4.26
AGO,2000,Cysticercosis,1,672.51,16400000.0,4.1
AGO,2000,Paralytic ileus and intestinal obstruction,2,658.89,16400000.0,4.02
AGO,2000,"Fire, heat and hot substances",3,645.57,16400000.0,3.94
AGO,2000,Peptic ulcer disease,2,619.86,16400000.0,3.78
AGO,2000,Epilepsy,2,599.25,16400000.0,3.65
AGO,2000,Poisonings,3,591.61,16400000.0,3.61
AGO,2000,Prostate cancer,2,554.33,16400000.0,3.38
AGO,2000,Sickle cell disorders and trait,2,547.32,16400000.0,3.34
AGO,2000,Sudden infant death syndrome,2,542.66,16400000.0,3.31
AGO,2000,Rheumatic heart disease,2,543.66,16400000.0,3.31
AGO,2000,Alzheimer disease and other dementias,2,527.82,16400000.0,3.22
AGO,2000,Exposure to mechanical forces,3,521.96,16400000.0,3.18
AGO,2000,Breast cancer,2,487.33,16400000.0,2.97
AGO,2000,Acute hepatitis A,1,477.63,16400000.0,2.91
AGO,2000,Schistosomiasis,1,427.72,16400000.0,2.61
AGO,2000,Diphtheria,1,327.63,16400000.0,2.0
AGO,2000,Liver cancer,2,328.52,16400000.0,2.0
AGO,2000,"Lymphomas, multiple myeloma",2,284.81,16400000.0,1.74
AGO,2000,Stomach cancer,2,275.62,16400000.0,1.68
AGO,2000,Mouth and oropharynx cancers,2,271.46,16400000.0,1.66
AGO,2000,Echinococcosis,1,265.61,16400000.0,1.62
AGO,2000,Encephalitis,1,260.26,16400000.0,1.59
AGO,2000,Acute hepatitis B,1,258.6,16400000.0,1.58
AGO,2000,Appendicitis,2,243.06,16400000.0,1.48
AGO,2000,Oesophagus cancer,2,231.16,16400000.0,1.41
AGO,2000,Drug use disorders,2,227.95,16400000.0,1.39
AGO,2000,Gallbladder and biliary diseases,2,225.34,16400000.0,1.37
AGO,2000,Rabies,1,223.64,16400000.0,1.36
AGO,2000,Melanoma and other skin cancers,2,216.01,16400000.0,1.32
AGO,2000,Colon and rectum cancers,2,215.5,16400000.0,1.31
AGO,2000,Upper respiratory infections,1,215.02,16400000.0,1.31
AGO,2000,Leukaemia,2,209.24,16400000.0,1.28
AGO,2000,"Trachea, bronchus, lung cancers",2,204.51,16400000.0,1.25
AGO,2000,Ascariasis,1,196.85,16400000.0,1.2
AGO,2000,Gastritis and duodenitis,2,192.36,16400000.0,1.17
AGO,2000,Parkinson disease,2,156.72,16400000.0,0.96
AGO,2000,Alcohol use disorders,2,144.89,16400000.0,0.88
AGO,2000,Skin diseases,2,138.63,16400000.0,0.85
AGO,2000,Pancreatitis,2,123.2,16400000.0,0.75
AGO,2000,Bladder cancer,2,100.51,16400000.0,0.61
AGO,2000,Larynx cancer,2,88.39,16400000.0,0.54
AGO,2000,Ovary cancer,2,75.33,16400000.0,0.46
AGO,2000,Inflammatory bowel disease,2,66.46,16400000.0,0.41
AGO,2000,Natural disasters,3,65.99,16400000.0,0.4
AGO,2000,Leishmaniasis,1,64.7,16400000.0,0.39
AGO,2000,Brain and nervous system cancers,2,59.09,16400000.0,0.36
AGO,2000,Pancreas cancer,2,56.05,16400000.0,0.34
AGO,2000,Kidney cancer,2,45.9,16400000.0,0.28
AGO,2000,Rheumatoid arthritis,2,44.23,16400000.0,0.27
AGO,2000,Corpus uteri cancer,2,42.95,16400000.0,0.26
AGO,2000,Acute hepatitis C,1,27.25,16400000.0,0.17
AGO,2000,Gynecological diseases,2,24.67,16400000.0,0.15
AGO,2000,Gonorrhoea,1,17.65,16400000.0,0.11
AGO,2000,Otitis media,1,17.82,16400000.0,0.11
AGO,2000,Gallbladder and biliary tract cancer,2,14.1,16400000.0,0.09
AGO,2000,Urolithiasis,2,13.08,16400000.0,0.08
AGO,2000,Thyroid cancer,2,11.7,16400000.0,0.07
AGO,2000,Multiple sclerosis,2,9.73,16400000.0,0.06
AGO,2000,Mesothelioma,2,5.99,16400000.0,0.04
AGO,2000,Testicular cancer,2,6.01,16400000.0,0.04
AGO,2000,Chlamydia,1,4.72,16400000.0,0.03
AGO,2000,Acute hepatitis E,1,5.36,16400000.0,0.03
AGO,2000,Thalassaemias,2,1.64,16400000.0,0.01
AGO,2000,Glaucoma,2,0.0,16400000.0,0.0
AGO,2000,Cataracts,2,0.0,16400000.0,0.0
AGO,2000,Uncorrected refractive errors,2,0.0,16400000.0,0.0
AGO,2000,Macular degeneration,2,0.0,16400000.0,0.0
AGO,2000,Other vision loss,2,0.0,16400000.0,0.0
AGO,2000,Other hearing loss,2,0.0,16400000.0,0.0
AGO,2000,Iodine deficiency,1,0.0,16400000.0,0.0
AGO,2000,Vitamin A deficiency,1,0.0,16400000.0,0.0
AGO,2000,Iron-deficiency anaemia,1,0.0,16400000.0,0.0
AGO,2000,Chagas disease,1,0.0,16400000.0,0.0
AGO,2000,Trichomoniasis,1,0.0,16400000.0,0.0
AGO,2000,Genital herpes,1,0.0,16400000.0,0.0
AGO,2000,Trichuriasis,1,0.0,16400000.0,0.0
AGO,2000,Hookworm disease,1,0.0,16400000.0,0.0
AGO,2000,Food-bourne trematodes,1,0.0,16400000.0,0.0
AGO,2000,Leprosy,1,0.0,16400000.0,0.0
AGO,2000,Lymphatic filariasis,1,0.0,16400000.0,0.0
AGO,2000,Onchocerciasis,1,0.0,16400000.0,0.0
AGO,2000,Dengue,1,0.26,16400000.0,0.0
AGO,2000,Trachoma,1,0.0,16400000.0,0.0
AGO,2000,Depressive disorders,2,0.0,16400000.0,0.0
AGO,2000,Bipolar disorder,2,0.0,16400000.0,0.0
AGO,2000,Idiopathic intellectual disability,2,0.0,16400000.0,0.0
AGO,2000,Autism and Asperger syndrome,2,0.0,16400000.0,0.0
AGO,2000,Childhood behavioural disorders,2,0.0,16400000.0,0.0
AGO,2000,Anxiety disorders,2,0.0,16400000.0,0.0
AGO,2000,Eating disorders,2,0.07,16400000.0,0.0
AGO,2000,Non-migraine headache,2,0.0,16400000.0,0.0
AGO,2000,Migraine,2,0.0,16400000.0,0.0
AGO,2000,Infertility,2,0.0,16400000.0,0.0
AGO,2000,Benign prostatic hyperplasia,2,0.0,16400000.0,0.0
AGO,2000,Osteoarthritis,2,0.0,16400000.0,0.0
AGO,2000,Gout,2,0.0,16400000.0,0.0
AGO,2000,Back and neck pain,2,0.0,16400000.0,0.0
AGO,2000,Oral conditions,2,0.0,16400000.0,0.0
AGO,2000,Schizophrenia,2,0.0,16400000.0,0.0
BEN,2000,Neonatal conditions,1,10345.79,6865946.0,150.68
BEN,2000,Lower respiratory infections,1,9745.51,6865946.0,141.94
BEN,2000,Diarrhoeal diseases,1,8253.95,6865946.0,120.22
BEN,2000,Malaria,1,7147.0,6865946.0,104.09
BEN,2000,Measles,1,4145.8,6865946.0,60.38
BEN,2000,Stroke,2,4137.03,6865946.0,60.25
BEN,2000,Ischaemic heart disease,2,3363.43,6865946.0,48.99
BEN,2000,Meningitis,1,2631.11,6865946.0,38.32
BEN,2000,HIV/AIDS,1,2604.0,6865946.0,37.93
BEN,2000,Cirrhosis of the liver,2,2008.98,6865946.0,29.26
BEN,2000,Road injury,3,1952.0,6865946.0,28.43
BEN,2000,Congenital anomalies,2,1419.0,6865946.0,20.67
BEN,2000,Protein-energy malnutrition,1,1367.06,6865946.0,19.91
BEN,2000,Maternal conditions,1,1217.53,6865946.0,17.73
BEN,2000,Kidney diseases,2,1202.99,6865946.0,17.52
BEN,2000,Tuberculosis,1,1160.64,6865946.0,16.9
BEN,2000,Diabetes mellitus,2,1099.18,6865946.0,16.01
BEN,2000,Sickle cell disorders and trait,2,921.88,6865946.0,13.43
BEN,2000,Chronic obstructive pulmonary disease,2,786.54,6865946.0,11.46
BEN,2000,Asthma,2,750.16,6865946.0,10.93
BEN,2000,Hypertensive heart disease,2,744.04,6865946.0,10.84
BEN,2000,Whooping cough,1,667.8,6865946.0,9.73
BEN,2000,Self-harm,3,602.07,6865946.0,8.77
BEN,2000,Interpersonal violence,3,507.74,6865946.0,7.4
BEN,2000,Drowning,3,448.33,6865946.0,6.53
BEN,2000,Cervix uteri cancer,2,423.63,6865946.0,6.17
BEN,2000,Alzheimer disease and other dementias,2,413.01,6865946.0,6.02
BEN,2000,Breast cancer,2,411.46,6865946.0,5.99
BEN,2000,Prostate cancer,2,396.55,6865946.0,5.78
BEN,2000,"Cardiomyopathy, myocarditis, endocarditis",2,359.53,6865946.0,5.24
BEN,2000,Falls,3,358.71,6865946.0,5.22
BEN,2000,Paralytic ileus and intestinal obstruction,2,346.46,6865946.0,5.05
BEN,2000,Peptic ulcer disease,2,315.68,6865946.0,4.6
BEN,2000,"Fire, heat and hot substances",3,290.36,6865946.0,4.23
BEN,2000,Exposure to mechanical forces,3,287.32,6865946.0,4.18
BEN,2000,Tetanus,1,270.5,6865946.0,3.94
BEN,2000,Liver cancer,2,237.27,6865946.0,3.46
BEN,2000,"Lymphomas, multiple myeloma",2,233.28,6865946.0,3.4
BEN,2000,Stomach cancer,2,225.06,6865946.0,3.28
BEN,2000,Schistosomiasis,1,221.1,6865946.0,3.22
BEN,2000,Poisonings,3,214.69,6865946.0,3.13
BEN,2000,Epilepsy,2,209.13,6865946.0,3.05
BEN,2000,Rheumatic heart disease,2,187.05,6865946.0,2.72
BEN,2000,Acute hepatitis B,1,183.5,6865946.0,2.67
BEN,2000,Colon and rectum cancers,2,163.81,6865946.0,2.39
BEN,2000,Pancreatitis,2,150.81,6865946.0,2.2
BEN,2000,Oesophagus cancer,2,149.68,6865946.0,2.18
BEN,2000,Yellow fever,1,148.23,6865946.0,2.16
BEN,2000,Syphilis,1,126.82,6865946.0,1.85
BEN,2000,Rabies,1,123.53,6865946.0,1.8
BEN,2000,Parkinson disease,2,118.5,6865946.0,1.73
BEN,2000,Sudden infant death syndrome,2,116.15,6865946.0,1.69
BEN,2000,Leukaemia,2,111.05,6865946.0,1.62
BEN,2000,Acute hepatitis A,1,105.99,6865946.0,1.54
BEN,2000,Kidney cancer,2,98.16,6865946.0,1.43
BEN,2000,Gallbladder and biliary diseases,2,96.51,6865946.0,1.41
BEN,2000,Mouth and oropharynx cancers,2,85.27,6865946.0,1.24
BEN,2000,Skin diseases,2,84.3,6865946.0,1.23
BEN,2000,Pancreas cancer,2,69.79,6865946.0,1.02
BEN,2000,Drug use disorders,2,64.98,6865946.0,0.95
BEN,2000,Ascariasis,1,59.52,6865946.0,0.87
BEN,2000,Melanoma and other skin cancers,2,58.33,6865946.0,0.85
BEN,2000,Corpus uteri cancer,2,57.08,6865946.0,0.83
BEN,2000,Alcohol use disorders,2,55.73,6865946.0,0.81
BEN,2000,Encephalitis,1,49.8,6865946.0,0.73
BEN,2000,Appendicitis,2,49.4,6865946.0,0.72
BEN,2000,Ovary cancer,2,41.44,6865946.0,0.6
BEN,2000,Gastritis and duodenitis,2,39.97,6865946.0,0.58
BEN,2000,Bladder cancer,2,34.26,6865946.0,0.5
BEN,2000,"Trachea, bronchus, lung cancers",2,33.0,6865946.0,0.48
BEN,2000,Echinococcosis,1,29.56,6865946.0,0.43
BEN,2000,Inflammatory bowel disease,2,23.7,6865946.0,0.35
BEN,2000,Cysticercosis,1,23.23,6865946.0,0.34
BEN,2000,Gallbladder and biliary tract cancer,2,18.9,6865946.0,0.28
BEN,2000,Larynx cancer,2,18.84,6865946.0,0.27
BEN,2000,Brain and nervous system cancers,2,18.35,6865946.0,0.27
BEN,2000,Testicular cancer,2,17.65,6865946.0,0.26
BEN,2000,Thyroid cancer,2,18.12,6865946.0,0.26
BEN,2000,Acute hepatitis C,1,17.57,6865946.0,0.26
BEN,2000,Upper respiratory infections,1,14.63,6865946.0,0.21
BEN,2000,Diphtheria,1,10.25,6865946.0,0.15
BEN,2000,Multiple sclerosis,2,8.94,6865946.0,0.13
BEN,2000,Gynecological diseases,2,8.5,6865946.0,0.12
BEN,2000,Gonorrhoea,1,7.72,6865946.0,0.11
BEN,2000,Rheumatoid arthritis,2,6.26,6865946.0,0.09
BEN,2000,Acute hepatitis E,1,3.09,6865946.0,0.05
BEN,2000,Chlamydia,1,2.88,6865946.0,0.04
BEN,2000,Thalassaemias,2,3.08,6865946.0,0.04
BEN,2000,Urolithiasis,2,2.78,6865946.0,0.04
BEN,2000,Collective violence and legal intervention,3,1.79,6865946.0,0.03
BEN,2000,Mesothelioma,2,1.12,6865946.0,0.02
BEN,2000,Anxiety disorders,2,0.0,6865946.0,0.0
BEN,2000,Eating disorders,2,0.04,6865946.0,0.0
BEN,2000,Autism and Asperger syndrome,2,0.0,6865946.0,0.0
BEN,2000,Childhood behavioural disorders,2,0.0,6865946.0,0.0
BEN,2000,Idiopathic intellectual disability,2,0.0,6865946.0,0.0
BEN,2000,Depressive disorders,2,0.0,6865946.0,0.0
BEN,2000,Bipolar disorder,2,0.0,6865946.0,0.0
BEN,2000,Schizophrenia,2,0.0,6865946.0,0.0
BEN,2000,Trichomoniasis,1,0.0,6865946.0,0.0
BEN,2000,Genital herpes,1,0.0,6865946.0,0.0
BEN,2000,African trypanosomiasis,1,0.0,6865946.0,0.0
BEN,2000,Chagas disease,1,0.0,6865946.0,0.0
BEN,2000,Otitis media,1,0.17,6865946.0,0.0
BEN,2000,Dengue,1,0.08,6865946.0,0.0
BEN,2000,Trachoma,1,0.0,6865946.0,0.0
BEN,2000,Iodine deficiency,1,0.0,6865946.0,0.0
BEN,2000,Vitamin A deficiency,1,0.0,6865946.0,0.0
BEN,2000,Iron-deficiency anaemia,1,0.0,6865946.0,0.0
BEN,2000,Trichuriasis,1,0.0,6865946.0,0.0
BEN,2000,Hookworm disease,1,0.0,6865946.0,0.0
BEN,2000,Food-bourne trematodes,1,0.0,6865946.0,0.0
BEN,2000,Leprosy,1,0.0,6865946.0,0.0
BEN,2000,Leishmaniasis,1,0.0,6865946.0,0.0
BEN,2000,Lymphatic filariasis,1,0.0,6865946.0,0.0
BEN,2000,Onchocerciasis,1,0.0,6865946.0,0.0
BEN,2000,Natural disasters,3,0.0,6865946.0,0.0
BEN,2000,Oral conditions,2,0.0,6865946.0,0.0
BEN,2000,Infertility,2,0.0,6865946.0,0.0
BEN,2000,Benign prostatic hyperplasia,2,0.0,6865946.0,0.0
BEN,2000,Osteoarthritis,2,0.0,6865946.0,0.0
BEN,2000,Gout,2,0.0,6865946.0,0.0
BEN,2000,Back and neck pain,2,0.0,6865946.0,0.0
BEN,2000,Migraine,2,0.0,6865946.0,0.0
BEN,2000,Non-migraine headache,2,0.0,6865946.0,0.0
BEN,2000,Glaucoma,2,0.0,6865946.0,0.0
BEN,2000,Cataracts,2,0.0,6865946.0,0.0
BEN,2000,Uncorrected refractive errors,2,0.0,6865946.0,0.0
BEN,2000,Macular degeneration,2,0.0,6865946.0,0.0
BEN,2000,Other vision loss,2,0.0,6865946.0,0.0
BEN,2000,Other hearing loss,2,0.0,6865946.0,0.0
BWA,2000,HIV/AIDS,1,14009.92,1643333.0,852.53
BWA,2000,Lower respiratory infections,1,1789.14,1643333.0,108.87
BWA,2000,Stroke,2,1401.18,1643333.0,85.26
BWA,2000,Ischaemic heart disease,2,1212.49,1643333.0,73.78
BWA,2000,Diarrhoeal diseases,1,1011.11,1643333.0,61.53
BWA,2000,Diabetes mellitus,2,788.26,1643333.0,47.97
BWA,2000,Tuberculosis,1,712.9,1643333.0,43.38
BWA,2000,Self-harm,3,579.56,1643333.0,35.27
BWA,2000,Cirrhosis of the liver,2,566.6,1643333.0,34.48
BWA,2000,Road injury,3,523.19,1643333.0,31.84
BWA,2000,Chronic obstructive pulmonary disease,2,458.87,1643333.0,27.92
BWA,2000,Measles,1,457.92,1643333.0,27.87
BWA,2000,Hypertensive heart disease,2,373.25,1643333.0,22.71
BWA,2000,Kidney diseases,2,369.17,1643333.0,22.46
BWA,2000,Asthma,2,351.82,1643333.0,21.41
BWA,2000,Interpersonal violence,3,263.2,1643333.0,16.02
BWA,2000,Neonatal conditions,1,260.61,1643333.0,15.86
BWA,2000,Meningitis,1,205.64,1643333.0,12.51
BWA,2000,"Cardiomyopathy, myocarditis, endocarditis",2,173.15,1643333.0,10.54
BWA,2000,Maternal conditions,1,159.43,1643333.0,9.7
BWA,2000,Protein-energy malnutrition,1,145.98,1643333.0,8.88
BWA,2000,"Fire, heat and hot substances",3,145.67,1643333.0,8.86
BWA,2000,Paralytic ileus and intestinal obstruction,2,129.54,1643333.0,7.88
BWA,2000,Peptic ulcer disease,2,124.85,1643333.0,7.6
BWA,2000,Drowning,3,102.97,1643333.0,6.27
BWA,2000,Exposure to mechanical forces,3,99.78,1643333.0,6.07
BWA,2000,Cervix uteri cancer,2,98.03,1643333.0,5.97
BWA,2000,Oesophagus cancer,2,85.53,1643333.0,5.2
BWA,2000,Congenital anomalies,2,83.87,1643333.0,5.1
BWA,2000,Rheumatic heart disease,2,81.81,1643333.0,4.98
BWA,2000,Epilepsy,2,78.4,1643333.0,4.77
BWA,2000,Alzheimer disease and other dementias,2,74.23,1643333.0,4.52
BWA,2000,Falls,3,66.42,1643333.0,4.04
BWA,2000,Poisonings,3,55.87,1643333.0,3.4
BWA,2000,Gallbladder and biliary diseases,2,54.44,1643333.0,3.31
BWA,2000,Malaria,1,52.0,1643333.0,3.16
BWA,2000,Mouth and oropharynx cancers,2,51.55,1643333.0,3.14
