name,year,ODA (left-axis),ODA/GNI (right-axis),source
Iceland,2011,35.7,0.2,OECD DAC Creditor Reporting System (CRS)
Iceland,2012,38.01,0.2,OECD DAC Creditor Reporting System (CRS)
Iceland,2013,48.57,0.23,OECD DAC Creditor Reporting System (CRS)
Iceland,2014,47.64,0.22,OECD DAC Creditor Reporting System (CRS)
Iceland,2015,54.21,0.24,OECD DAC Creditor Reporting System (CRS)
Iceland,2016,71.54,0.28,OECD DAC Creditor Reporting System (CRS)
Iceland,2017,72.86,0.28,OECD DAC Creditor Reporting System (CRS)
Iceland,2018,78.21,0.28,OECD DAC Creditor Reporting System (CRS)
Iceland,2019,70.19,0.25,OECD DAC Creditor Reporting System (CRS)
Iceland,2020,70.23,0.27,OECD DAC Creditor Reporting System (CRS)
Iceland,2021,75.66,0.28,OECD DAC Creditor Reporting System (CRS)
Iceland,2022,98.61,0.34,OECD DAC Creditor Reporting System (CRS)
Iceland,2023,115.48,0.36,OECD DAC Creditor Reporting System (CRS)
Ireland,2000,428.92,0.29,OECD DAC Creditor Reporting System (CRS)
Ireland,2001,506.58,0.33,OECD DAC Creditor Reporting System (CRS)
Ireland,2002,633.66,0.4,OECD DAC Creditor Reporting System (CRS)
Ireland,2003,650.77,0.39,OECD DAC Creditor Reporting System (CRS)
Ireland,2004,708.25,0.39,OECD DAC Creditor Reporting System (CRS)
Ireland,2005,814.34,0.42,OECD DAC Creditor Reporting System (CRS)
Ireland,2006,1112.38,0.54,OECD DAC Creditor Reporting System (CRS)
Ireland,2007,1174.59,0.55,OECD DAC Creditor Reporting System (CRS)
Ireland,2008,1249.06,0.59,OECD DAC Creditor Reporting System (CRS)
Ireland,2009,1022.53,0.54,OECD DAC Creditor Reporting System (CRS)
Ireland,2010,980.19,0.52,OECD DAC Creditor Reporting System (CRS)
Ireland,2011,939.13,0.51,OECD DAC Creditor Reporting System (CRS)
Ireland,2012,883.38,0.47,OECD DAC Creditor Reporting System (CRS)
Ireland,2013,889.27,0.46,OECD DAC Creditor Reporting System (CRS)
Ireland,2014,852.01,0.38,OECD DAC Creditor Reporting System (CRS)
