name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value),source
France,2016,0.0,1.43,3.2,2.52,2.36,0.0,1.43,3.2,2.52,2.36,OECD DAC Creditor Reporting System (CRS)
France,2017,0.05,1.8,4.09,2.54,2.79,0.05,1.8,4.09,2.54,2.79,OECD DAC Creditor Reporting System (CRS)
France,2018,0.0,2.21,4.85,3.3899999999999997,2.4,0.0,2.21,4.85,3.39,2.4,OECD DAC Creditor Reporting System (CRS)
France,2019,0.0,1.84,4.52,3.6799999999999997,1.78,0.0,1.84,4.52,3.68,1.78,OECD DAC Creditor Reporting System (CRS)
France,2020,0.0,2.75,5.45,4.51,2.93,0.0,2.75,5.45,4.51,2.93,OECD DAC Creditor Reporting System (CRS)
Germany,2009,0.07,2.45,3.89,3.2399999999999998,2.37,0.07,2.45,3.89,3.24,2.37,OECD DAC Creditor Reporting System (CRS)
Germany,2010,0.14,2.67,3.87,3.97,2.13,0.14,2.67,3.87,3.97,2.13,OECD DAC Creditor Reporting System (CRS)
Germany,2011,0.05,2.78,4.62,3.5,3.11,0.05,2.78,4.62,3.5,3.11,OECD DAC Creditor Reporting System (CRS)
Germany,2012,0.06,2.86,3.73,3.5999999999999996,2.64,0.06,2.86,3.73,3.6,2.64,OECD DAC Creditor Reporting System (CRS)
Germany,2013,0.05,2.72,4.23,4.3999999999999995,2.76,0.05,2.72,4.23,4.4,2.76,OECD DAC Creditor Reporting System (CRS)
Germany,2014,0.25,2.9,4.78,4.88,3.73,0.25,2.9,4.78,4.88,3.73,OECD DAC Creditor Reporting System (CRS)
Germany,2015,0.01,2.21,4.38,7.38,3.67,0.01,2.21,4.38,7.38,3.67,OECD DAC Creditor Reporting System (CRS)
Germany,2016,0.14,3.61,4.6,11.47,4.56,0.14,3.61,4.6,11.47,4.56,OECD DAC Creditor Reporting System (CRS)
Germany,2017,0.07,4.12,4.91,11.17,4.57,0.07,4.12,4.91,11.17,4.57,OECD DAC Creditor Reporting System (CRS)
Germany,2018,0.0,4.51,6.14,10.219999999999999,4.72,0.0,4.51,6.14,10.22,4.72,OECD DAC Creditor Reporting System (CRS)
Germany,2019,0.0,4.27,4.84,10.229999999999999,4.46,0.0,4.27,4.84,10.23,4.46,OECD DAC Creditor Reporting System (CRS)
Germany,2020,0.0,5.19,6.81,12.129999999999999,4.83,0.0,5.19,6.81,12.13,4.83,OECD DAC Creditor Reporting System (CRS)
Greece,2009,0.0,0.1,0.13,0.17,0.2,0.0,0.1,0.13,0.17,0.2,OECD DAC Creditor Reporting System (CRS)
Greece,2010,0.0,0.08,0.11,0.16,0.15,0.0,0.08,0.11,0.16,0.15,OECD DAC Creditor Reporting System (CRS)
Greece,2011,0.0,0.05,0.09,0.09,0.19,0.0,0.05,0.09,0.09,0.19,OECD DAC Creditor Reporting System (CRS)
Greece,2012,0.0,0.04,0.08,0.07,0.13,0.0,0.04,0.08,0.07,0.13,OECD DAC Creditor Reporting System (CRS)
Greece,2013,0.0,0.04,0.06,0.07,0.07,0.0,0.04,0.06,0.07,0.07,OECD DAC Creditor Reporting System (CRS)
Greece,2014,0.0,0.04,0.06,0.07,0.07,0.0,0.04,0.06,0.07,0.07,OECD DAC Creditor Reporting System (CRS)
Greece,2015,0.0,0.03,0.05,0.09,0.07,0.0,0.03,0.05,0.09,0.07,OECD DAC Creditor Reporting System (CRS)
Greece,2016,0.0,0.04,0.06,0.19,0.08,0.0,0.04,0.06,0.19,0.08,OECD DAC Creditor Reporting System (CRS)
Greece,2017,0.0,0.05,0.07,0.11,0.08,0.0,0.05,0.07,0.11,0.08,OECD DAC Creditor Reporting System (CRS)
Greece,2018,0.0,0.05,0.07,0.09,0.08,0.0,0.05,0.07,0.09,0.08,OECD DAC Creditor Reporting System (CRS)
Greece,2019,0.0,0.04,0.06,0.19,0.06,0.0,0.04,0.06,0.19,0.06,OECD DAC Creditor Reporting System (CRS)
Greece,2020,0.0,0.04,0.08,0.14,0.06,0.0,0.04,0.08,0.14,0.06,OECD DAC Creditor Reporting System (CRS)
Hungary,2009,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,OECD DAC Creditor Reporting System (CRS)
Hungary,2010,0.0,0.03,0.03,0.03,0.02,0.0,0.03,0.03,0.03,0.02,OECD DAC Creditor Reporting System (CRS)
Hungary,2011,0.0,0.03,0.03,0.03,0.05,0.0,0.03,0.03,0.03,0.05,OECD DAC Creditor Reporting System (CRS)
Hungary,2012,0.0,0.02,0.04,0.02,0.04,0.0,0.02,0.04,0.02,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2013,0.0,0.02,0.04,0.03,0.04,0.0,0.02,0.04,0.03,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2014,0.0,0.02,0.04,0.04,0.04,0.0,0.02,0.04,0.04,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2015,0.0,0.02,0.05,0.04,0.05,0.0,0.02,0.05,0.04,0.05,OECD DAC Creditor Reporting System (CRS)
Hungary,2016,0.0,0.03,0.06,0.04,0.07,0.0,0.03,0.06,0.04,0.07,OECD DAC Creditor Reporting System (CRS)
Hungary,2017,0.0,0.02,0.04,0.03,0.05,0.0,0.02,0.04,0.03,0.05,OECD DAC Creditor Reporting System (CRS)
Hungary,2018,0.0,0.04,0.1,0.06,0.08,0.0,0.04,0.1,0.06,0.08,OECD DAC Creditor Reporting System (CRS)
Hungary,2019,0.0,0.05,0.11,0.05,0.09,0.0,0.05,0.11,0.05,0.09,OECD DAC Creditor Reporting System (CRS)
Hungary,2020,0.0,0.04,0.15,0.07,0.16,0.0,0.04,0.15,0.07,0.16,OECD DAC Creditor Reporting System (CRS)
Iceland,2009,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2010,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2011,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2012,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2013,0.0,0.02,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2014,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2015,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2016,0.0,0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2017,0.0,0.02,0.01,0.04,0.0,0.0,0.02,0.01,0.04,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2018,0.0,0.03,0.01,0.03,0.0,0.0,0.03,0.01,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2019,0.0,0.02,0.0,0.03,0.0,0.0,0.02,0.0,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2020,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Ireland,2009,0.0,0.35,0.32,0.24,0.08,0.0,0.35,0.32,0.24,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2010,0.0,0.34,0.29,0.19,0.06,0.0,0.34,0.29,0.19,0.06,OECD DAC Creditor Reporting System (CRS)
Ireland,2011,0.0,0.34,0.28,0.19,0.09,0.0,0.34,0.28,0.19,0.09,OECD DAC Creditor Reporting System (CRS)
Ireland,2012,0.0,0.3,0.25,0.18,0.08,0.0,0.3,0.25,0.18,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2013,0.0,0.32,0.25,0.19,0.08,0.0,0.32,0.25,0.19,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2014,0.0,0.32,0.23,0.18,0.08,0.0,0.32,0.23,0.18,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2015,0.0,0.27,0.2,0.15,0.08,0.0,0.27,0.2,0.15,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2016,0.0,0.29,0.21,0.18,0.11,0.0,0.29,0.21,0.18,0.11,OECD DAC Creditor Reporting System (CRS)
Ireland,2017,0.0,0.29,0.2,0.23,0.11,0.0,0.29,0.2,0.23,0.11,OECD DAC Creditor Reporting System (CRS)
Ireland,2018,0.0,0.32,0.22,0.28,0.11,0.0,0.32,0.22,0.28,0.11,OECD DAC Creditor Reporting System (CRS)
Ireland,2019,0.0,0.31,0.22,0.31,0.1,0.0,0.31,0.22,0.31,0.1,OECD DAC Creditor Reporting System (CRS)
Ireland,2020,0.0,0.32,0.25,0.27,0.12,0.0,0.32,0.25,0.27,0.12,OECD DAC Creditor Reporting System (CRS)
Italy,2009,0.04,0.87,1.04,0.69,0.61,0.04,0.87,1.04,0.69,0.61,OECD DAC Creditor Reporting System (CRS)
Italy,2010,0.04,0.8,1.06,0.52,0.5,0.04,0.8,1.06,0.52,0.5,OECD DAC Creditor Reporting System (CRS)
Italy,2011,0.02,1.27,1.0,1.04,0.91,0.02,1.27,1.0,1.04,0.91,OECD DAC Creditor Reporting System (CRS)
Italy,2012,0.0,0.52,0.79,0.67,0.69,0.0,0.52,0.79,0.67,0.69,OECD DAC Creditor Reporting System (CRS)
Italy,2013,0.01,0.68,1.03,0.91,0.71,0.01,0.68,1.03,0.91,0.71,OECD DAC Creditor Reporting System (CRS)
Italy,2014,0.01,0.74,1.07,1.38,0.74,0.01,0.74,1.07,1.38,0.74,OECD DAC Creditor Reporting System (CRS)
Italy,2015,0.0,0.68,0.89,1.52,0.72,0.0,0.68,0.89,1.52,0.72,OECD DAC Creditor Reporting System (CRS)
Italy,2016,0.0,0.8,0.94,2.27,0.83,0.0,0.8,0.94,2.27,0.83,OECD DAC Creditor Reporting System (CRS)
Italy,2017,0.01,0.9,1.15,2.56,1.08,0.01,0.9,1.15,2.56,1.08,OECD DAC Creditor Reporting System (CRS)
Italy,2018,0.0,1.01,1.2,2.03,0.77,0.0,1.01,1.2,2.03,0.77,OECD DAC Creditor Reporting System (CRS)
Italy,2019,0.0,0.88,1.19,1.34,0.64,0.0,0.88,1.19,1.34,0.64,OECD DAC Creditor Reporting System (CRS)
Italy,2020,0.0,0.79,1.35,1.21,0.79,0.0,0.79,1.35,1.21,0.79,OECD DAC Creditor Reporting System (CRS)
Japan,2009,0.03,1.85,4.39,2.21,0.8,0.03,1.85,4.39,2.21,0.8,OECD DAC Creditor Reporting System (CRS)
Japan,2010,0.06,2.79,5.96,2.03,0.17,0.06,2.79,5.96,2.03,0.17,OECD DAC Creditor Reporting System (CRS)
Japan,2011,0.03,2.6,5.06,2.8699999999999997,0.52,0.03,2.6,5.06,2.87,0.52,OECD DAC Creditor Reporting System (CRS)
Japan,2012,0.02,2.76,5.51,2.25,-0.42,0.02,2.76,5.51,2.25,-0.42,OECD DAC Creditor Reporting System (CRS)
Japan,2013,0.03,2.52,7.12,2.03,-0.26,0.03,2.52,7.12,2.03,-0.26,OECD DAC Creditor Reporting System (CRS)
Japan,2014,0.02,1.94,4.84,2.46,0.09,0.02,1.94,4.84,2.46,0.09,OECD DAC Creditor Reporting System (CRS)
Japan,2015,0.02,1.72,4.96,2.44,-0.25,0.02,1.72,4.96,2.44,-0.25,OECD DAC Creditor Reporting System (CRS)
