Year,Donor,COVID ODA,IDRC,ODA to Ukraine,Other ODA,Total ODA,source
2021,Japan,2511.0,0.2,10.8,11778.6,14300.6,OECD DAC Table1
2021,Korea,419.7,0.5,7.1,2171.4,2598.7,OECD DAC Table1
2021,Australia,1680.1,,12.4,1815.3000000000002,3507.8,OECD DAC Table1
2021,New Zealand,158.7,11.3,0.5,493.5,664.0,OECD DAC Table1
2022,Austria,145.5,410.6,244.5,1237.5,2038.1,OECD DAC Table1
2022,Belgium,438.1,342.0,365.6,1694.5,2840.2,OECD DAC Table1
2022,Denmark,133.9,360.8,289.0,2019.0,2802.7,OECD DAC Table1
2022,France,1812.1,1658.3,1468.9,12395.5,17334.8,OECD DAC Table1
2022,Germany,4054.2,5256.5,3832.9,25814.4,38958.0,OECD DAC Table1
2022,Italy,829.1,1585.6,1142.0,3564.1000000000004,7120.8,OECD DAC Table1
2022,Netherlands,461.2,1043.6,606.2,5029.6,7140.6,OECD DAC Table1
2022,Norway,116.6,424.0,458.4,3239.0,4238.0,OECD DAC Table1
2022,Portugal,85.0,15.6,138.4,336.0,575.0,OECD DAC Table1
2022,Sweden,302.8,386.7,399.3,4402.8,5491.6,OECD DAC Table1
2022,Switzerland,88.9,1357.9,258.0,3125.2,4830.0,OECD DAC Table1
2022,United Kingdom,1108.2,4921.1,864.0,10156.5,17049.8,OECD DAC Table1
2022,Finland,97.3,440.5,175.6,1022.8000000000001,1736.2,OECD DAC Table1
2022,Iceland,0.4,6.7,12.2,79.3,98.6,OECD DAC Table1
2022,Ireland,136.7,1283.8,198.4,948.0,2566.9,OECD DAC Table1
2022,Luxembourg,24.1,,32.6,534.1,590.8,OECD DAC Table1
2022,Greece,78.5,79.3,94.0,139.6,391.4,OECD DAC Table1
2022,Spain,772.8,983.8,690.1,2190.8,4637.5,OECD DAC Table1
2022,Slovenia,21.1,29.1,33.3,105.7,189.2,OECD DAC Table1
2022,Czechia,75.0,738.6,153.0,235.39999999999998,1202.0,OECD DAC Table1
2022,Slovak Republic,44.8,1.5,54.2,91.3,191.8,OECD DAC Table1
2022,Hungary,56.6,,98.8,287.7,443.1,OECD DAC Table1
2022,Poland,209.7,2576.8,685.6,635.2,4107.3,OECD DAC Table1
2022,Estonia,9.9,153.1,22.3,39.4,224.7,OECD DAC Table1
2022,Lithuania,24.2,82.5,89.3,75.0,271.0,OECD DAC Table1
2022,Canada,1038.5,901.9,882.1,4830.5,7653.0,OECD DAC Table1
2022,United States,6218.2,8076.2,9692.4,38813.3,62800.1,OECD DAC Table1
2022,Japan,2157.8,52.2,497.6,14236.0,16943.6,OECD DAC Table1
2022,Korea,204.6,10.9,85.8,2530.7,2832.0,OECD DAC Table1
2022,Australia,1027.8,,61.8,1933.1,3022.7,OECD DAC Table1
2022,New Zealand,59.0,14.4,5.8,449.0,528.2,OECD DAC Table1
2023,Austria,103.7,287.3,278.8,1288.7,1958.5,OECD DAC Table1
2023,Belgium,278.0,358.4,474.1,1703.9,2814.4,OECD DAC Table1
2023,Denmark,94.5,276.5,361.7,2323.8,3056.5,OECD DAC Table1
2023,France,1303.0,1281.8,1714.2,10750.5,15049.5,OECD DAC Table1
2023,Germany,2196.0,7286.2,3515.0,24907.6,37904.8,OECD DAC Table1
2023,Italy,598.9,1660.0,1195.5,2666.8,6121.2,OECD DAC Table1
2023,Netherlands,320.0,1296.6,877.5,4867.1,7361.2,OECD DAC Table1
2023,Norway,85.8,427.7,756.9,4277.6,5548.0,OECD DAC Table1
2023,Portugal,68.5,9.1,150.7,300.8,529.1,OECD DAC Table1
2023,Sweden,231.4,253.7,484.1,4652.7,5621.9,OECD DAC Table1
2023,Switzerland,59.1,1459.6,167.2,3533.2999999999997,5219.2,OECD DAC Table1
2023,United Kingdom,1184.4,5311.4,684.8,11892.1,19072.7,OECD DAC Table1
2023,Finland,74.3,249.5,215.4,1047.0,1586.2,OECD DAC Table1
2023,Iceland,0.3,9.6,11.3,89.6,110.8,OECD DAC Table1
2023,Ireland,121.7,1473.2,235.0,986.7,2816.6,OECD DAC Table1
2023,Luxembourg,19.6,,45.2,515.5,580.3,OECD DAC Table1
2023,Greece,58.3,50.2,127.8,98.0,334.3,OECD DAC Table1
2023,Spain,429.6,319.0,843.6,2287.6,3879.8,OECD DAC Table1
2023,Slovenia,21.1,17.9,49.6,75.1,163.7,OECD DAC Table1
2023,Czechia,67.3,418.3,162.5,162.2,810.3,OECD DAC Table1
2023,Slovak Republic,40.9,1.6,70.2,62.7,175.4,OECD DAC Table1
2023,Hungary,29.4,2.0,23.3,212.9,267.6,OECD DAC Table1
2023,Poland,201.7,1330.8,630.8,417.1,2580.4,OECD DAC Table1
2023,Estonia,10.6,33.8,31.9,33.2,109.5,OECD DAC Table1
2023,Lithuania,31.0,35.3,98.7,48.4,213.4,OECD DAC Table1
2023,Canada,585.2,1690.1,842.5,4847.6,7965.4,OECD DAC Table1
2023,United States,1460.3,6951.9,11857.8,44415.7,64685.7,OECD DAC Table1
2023,Japan,1204.3,35.2,832.2,17528.7,19600.4,OECD DAC Table1
2023,Korea,177.2,1.3,68.1,2913.7,3160.3,OECD DAC Table1
2023,Australia,906.0,,44.7,2302.6,3253.3,OECD DAC Table1
2023,New Zealand,14.8,13.2,4.5,731.4,763.9,OECD DAC Table1
