year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection,source
2010,Denmark,0.0735,0.0661,0.0763,0.067,0.0592,OECD DAC Creditor Reporting System (CRS)
2010,Finland,0.1364,0.0558,0.0416,0.0515,0.0351,OECD DAC Creditor Reporting System (CRS)
2010,France,0.0098,0.1725,0.0416,0.0419,0.1214,OECD DAC Creditor Reporting System (CRS)
2010,Germany,0.0301,0.1564,0.0442,0.0076,0.028,OECD DAC Creditor Reporting System (CRS)
2010,Greece,0.0262,0.4067,0.0293,0.1632,0.0286,OECD DAC Creditor Reporting System (CRS)
2010,Ireland,0.1343,0.1097,0.1682,0.0005,0.0035,OECD DAC Creditor Reporting System (CRS)
2010,Italy,0.0738,0.0709,0.0864,0.0035,0.0131,OECD DAC Creditor Reporting System (CRS)
2010,Japan,0.0463,0.0661,0.0258,,0.0463,OECD DAC Creditor Reporting System (CRS)
2010,Luxembourg,0.1339,0.1312,0.1923,,0.0101,OECD DAC Creditor Reporting System (CRS)
2010,Netherlands,0.0347,0.1077,0.0624,0.0686,0.0247,OECD DAC Creditor Reporting System (CRS)
2010,New Zealand,0.0882,0.2109,0.0973,0.0465,0.0052,OECD DAC Creditor Reporting System (CRS)
2010,Norway,0.091,0.079,0.059,0.1,0.1071,OECD DAC Creditor Reporting System (CRS)
2010,Portugal,0.0004,0.1683,0.0286,0.0006,0.0027,OECD DAC Creditor Reporting System (CRS)
2010,Slovenia,0.0563,0.1683,0.023,0.056,0.0027,OECD DAC Creditor Reporting System (CRS)
2010,South Korea,0.0039,0.0327,0.0307,,0.0026,OECD DAC Creditor Reporting System (CRS)
2010,Spain,0.066,0.0829,0.0568,0.0085,0.0316,OECD DAC Creditor Reporting System (CRS)
2010,Sweden,0.1288,0.0406,0.0662,0.1342,0.0484,OECD DAC Creditor Reporting System (CRS)
2010,Switzerland,0.1475,0.0277,0.0333,0.2115,0.0269,OECD DAC Creditor Reporting System (CRS)
2010,United Kingdom,0.068,0.0895,0.1446,0.0022,0.1063,OECD DAC Creditor Reporting System (CRS)
2010,United States,0.174,0.0371,0.2364,0.032,0.0136,OECD DAC Creditor Reporting System (CRS)
2011,Australia,0.0949,0.0988,0.1075,0.0055,0.0233,OECD DAC Creditor Reporting System (CRS)
2011,Austria,0.0286,0.2708,0.0304,0.0852,0.0158,OECD DAC Creditor Reporting System (CRS)
2011,Belgium,0.0832,0.1091,0.0848,0.0633,0.0042,OECD DAC Creditor Reporting System (CRS)
2011,Canada,0.1024,0.0791,0.1616,0.0818,0.0114,OECD DAC Creditor Reporting System (CRS)
2011,Czechia,0.0516,0.0995,0.0412,0.1523,0.0039,OECD DAC Creditor Reporting System (CRS)
2011,Denmark,0.0815,0.0861,0.0658,0.0537,0.0669,OECD DAC Creditor Reporting System (CRS)
2011,Finland,0.1341,0.0607,0.0381,0.04,0.0348,OECD DAC Creditor Reporting System (CRS)
2011,France,0.0078,0.1393,0.0195,0.0498,0.1141,OECD DAC Creditor Reporting System (CRS)
2011,Germany,0.0367,0.1559,0.0351,0.0074,0.036,OECD DAC Creditor Reporting System (CRS)
2011,Greece,0.0092,0.4915,0.0175,0.165,,OECD DAC Creditor Reporting System (CRS)
2011,Iceland,0.0661,0.066,0.0848,0.0086,0.01,OECD DAC Creditor Reporting System (CRS)
2011,Ireland,0.1466,0.1088,0.1586,0.0005,0.0049,OECD DAC Creditor Reporting System (CRS)
2011,Italy,0.0388,0.0411,0.044,0.2639,0.0049,OECD DAC Creditor Reporting System (CRS)
2011,Japan,0.0619,0.0752,0.0274,0.0,0.0227,OECD DAC Creditor Reporting System (CRS)
2011,Luxembourg,0.1865,0.1101,0.1446,,0.0075,OECD DAC Creditor Reporting System (CRS)
2011,Netherlands,0.0389,0.0902,0.068,0.1058,0.0182,OECD DAC Creditor Reporting System (CRS)
2011,New Zealand,0.0781,0.1669,0.081,0.0415,0.0028,OECD DAC Creditor Reporting System (CRS)
2011,Norway,0.1055,0.0759,0.0609,0.0739,0.0839,OECD DAC Creditor Reporting System (CRS)
2011,Portugal,0.0011,0.1178,0.0337,0.0011,0.0017,OECD DAC Creditor Reporting System (CRS)
2011,Slovenia,0.0392,0.1383,0.0262,0.0263,0.0164,OECD DAC Creditor Reporting System (CRS)
2011,South Korea,0.0041,0.0315,0.0177,,0.0024,OECD DAC Creditor Reporting System (CRS)
2011,Spain,0.0959,0.1039,0.0645,0.0129,0.0211,OECD DAC Creditor Reporting System (CRS)
2011,Sweden,0.1322,0.0399,0.0512,0.132,0.0396,OECD DAC Creditor Reporting System (CRS)
2011,Switzerland,0.1254,0.0362,0.0329,0.2241,0.0407,OECD DAC Creditor Reporting System (CRS)
2011,United Kingdom,0.0772,0.1188,0.1729,0.0036,0.0225,OECD DAC Creditor Reporting System (CRS)
2011,United States,0.1454,0.0302,0.2488,0.0285,0.015,OECD DAC Creditor Reporting System (CRS)
2012,Australia,0.07,0.1102,0.1257,0.0344,0.0269,OECD DAC Creditor Reporting System (CRS)
2012,Austria,0.0568,0.1821,0.0407,0.0535,0.0201,OECD DAC Creditor Reporting System (CRS)
2012,Belgium,0.0577,0.109,0.1018,0.0534,0.0237,OECD DAC Creditor Reporting System (CRS)
2012,Canada,0.1031,0.0742,0.1862,0.0515,0.0384,OECD DAC Creditor Reporting System (CRS)
2012,Czechia,0.1168,0.0898,0.0495,0.0458,0.0191,OECD DAC Creditor Reporting System (CRS)
2012,Denmark,0.0864,0.0846,0.0846,0.0524,0.0489,OECD DAC Creditor Reporting System (CRS)
2012,Finland,0.1082,0.0646,0.0864,0.0177,0.0537,OECD DAC Creditor Reporting System (CRS)
2012,France,0.0249,0.1161,0.0575,0.0366,0.0547,OECD DAC Creditor Reporting System (CRS)
2012,Germany,0.0504,0.1288,0.0608,0.0049,0.0514,OECD DAC Creditor Reporting System (CRS)
2012,Greece,0.0976,0.2596,0.0395,0.0634,0.0167,OECD DAC Creditor Reporting System (CRS)
2012,Iceland,0.0429,0.0728,0.095,0.0081,0.0151,OECD DAC Creditor Reporting System (CRS)
2012,Ireland,0.1743,0.0797,0.1618,0.0002,0.0124,OECD DAC Creditor Reporting System (CRS)
2012,Italy,0.1237,0.0721,0.0526,0.096,0.0235,OECD DAC Creditor Reporting System (CRS)
2012,Japan,0.0498,0.0621,0.0627,0.0,0.0202,OECD DAC Creditor Reporting System (CRS)
2012,Luxembourg,0.1406,0.1265,0.1535,0.0001,0.0112,OECD DAC Creditor Reporting System (CRS)
2012,Netherlands,0.0528,0.0677,0.0987,0.0643,0.0288,OECD DAC Creditor Reporting System (CRS)
2012,New Zealand,0.0664,0.1771,0.0916,0.0471,0.0028,OECD DAC Creditor Reporting System (CRS)
2012,Norway,0.0841,0.073,0.1144,0.0511,0.1082,OECD DAC Creditor Reporting System (CRS)
2012,Portugal,0.0382,0.1058,0.0363,0.0014,0.0066,OECD DAC Creditor Reporting System (CRS)
2012,Slovenia,0.0996,0.1176,0.0661,0.0046,0.0365,OECD DAC Creditor Reporting System (CRS)
2012,South Korea,0.0054,0.0421,0.0298,,0.0082,OECD DAC Creditor Reporting System (CRS)
2012,Spain,0.1128,0.0842,0.0596,0.0111,0.0183,OECD DAC Creditor Reporting System (CRS)
2012,Sweden,0.1152,0.037,0.1158,0.115,0.0282,OECD DAC Creditor Reporting System (CRS)
2012,Switzerland,0.1102,0.0394,0.0506,0.2204,0.0349,OECD DAC Creditor Reporting System (CRS)
2012,United Kingdom,0.0752,0.1011,0.1807,0.0034,0.0432,OECD DAC Creditor Reporting System (CRS)
2012,United States,0.1335,0.0373,0.2897,0.0319,0.0206,OECD DAC Creditor Reporting System (CRS)
2013,Australia,0.0593,0.0873,0.1062,0.1036,0.026,OECD DAC Creditor Reporting System (CRS)
2013,Austria,0.0493,0.1375,0.0339,0.0473,0.0202,OECD DAC Creditor Reporting System (CRS)
2013,Belgium,0.0881,0.0687,0.1038,0.066,0.032,OECD DAC Creditor Reporting System (CRS)
2013,Canada,0.131,0.0685,0.2124,0.0437,0.0198,OECD DAC Creditor Reporting System (CRS)
2013,Czechia,0.1286,0.0912,0.059,0.0451,0.0212,OECD DAC Creditor Reporting System (CRS)
2013,Denmark,0.102,0.0594,0.0703,0.0532,0.0571,OECD DAC Creditor Reporting System (CRS)
2013,Estonia,0.1841,0.0755,0.0502,0.0081,0.0268,OECD DAC Creditor Reporting System (CRS)
2013,Finland,0.1095,0.0606,0.0858,0.0152,0.047,OECD DAC Creditor Reporting System (CRS)
2013,France,0.0274,0.1213,0.0705,0.0328,0.0382,OECD DAC Creditor Reporting System (CRS)
2013,Germany,0.0595,0.1178,0.0616,0.0082,0.0499,OECD DAC Creditor Reporting System (CRS)
2013,Greece,0.1093,0.0988,0.0579,0.0936,0.0219,OECD DAC Creditor Reporting System (CRS)
2013,Iceland,0.0566,0.1069,0.1075,0.0094,0.0077,OECD DAC Creditor Reporting System (CRS)
2013,Ireland,0.1715,0.0852,0.1736,0.0001,0.0133,OECD DAC Creditor Reporting System (CRS)
2013,Italy,0.1004,0.064,0.0587,0.1227,0.0281,OECD DAC Creditor Reporting System (CRS)
2013,Japan,0.0458,0.0389,0.0343,0.0,0.0197,OECD DAC Creditor Reporting System (CRS)
2013,Luxembourg,0.141,0.1377,0.168,0.0009,0.0127,OECD DAC Creditor Reporting System (CRS)
2013,Netherlands,0.0544,0.0587,0.1095,0.0684,0.0212,OECD DAC Creditor Reporting System (CRS)
2013,New Zealand,0.0722,0.1963,0.0874,0.0468,0.0111,OECD DAC Creditor Reporting System (CRS)
2013,Norway,0.0883,0.064,0.121,0.0509,0.1886,OECD DAC Creditor Reporting System (CRS)
2013,Poland,0.1271,0.1934,0.0444,0.0004,0.0293,OECD DAC Creditor Reporting System (CRS)
2013,Portugal,0.0471,0.1235,0.0576,0.0032,0.0101,OECD DAC Creditor Reporting System (CRS)
2013,Slovakia,0.1329,0.1135,0.0523,0.012,0.023,OECD DAC Creditor Reporting System (CRS)
2013,Slovenia,0.1021,0.1277,0.0549,0.0019,0.0461,OECD DAC Creditor Reporting System (CRS)
2013,South Korea,0.0054,0.0324,0.0265,,0.0046,OECD DAC Creditor Reporting System (CRS)
2013,Spain,0.0862,0.0616,0.0624,0.0101,0.017,OECD DAC Creditor Reporting System (CRS)
2013,Sweden,0.1062,0.0412,0.1115,0.1278,0.0295,OECD DAC Creditor Reporting System (CRS)
2013,Switzerland,0.1214,0.0416,0.0495,0.1479,0.038,OECD DAC Creditor Reporting System (CRS)
2013,United Kingdom,0.0959,0.104,0.2093,0.003,0.0504,OECD DAC Creditor Reporting System (CRS)
2013,United States,0.1579,0.0326,0.2919,0.0321,0.0235,OECD DAC Creditor Reporting System (CRS)
2014,Australia,0.0737,0.1289,0.1166,,0.0277,OECD DAC Creditor Reporting System (CRS)
2014,Austria,0.0566,0.1438,0.0387,0.0842,0.0159,OECD DAC Creditor Reporting System (CRS)
2014,Belgium,0.0725,0.0654,0.1092,0.0756,0.0263,OECD DAC Creditor Reporting System (CRS)
2014,Canada,0.1703,0.0722,0.1687,0.0533,0.0118,OECD DAC Creditor Reporting System (CRS)
2014,Czechia,0.1501,0.0971,0.0499,0.0581,0.0304,OECD DAC Creditor Reporting System (CRS)
2014,Denmark,0.1159,0.052,0.0824,0.0845,0.0542,OECD DAC Creditor Reporting System (CRS)
2014,Estonia,0.1976,0.0894,0.0448,0.0089,0.0398,OECD DAC Creditor Reporting System (CRS)
2014,Finland,0.1068,0.0672,0.0995,0.0103,0.0387,OECD DAC Creditor Reporting System (CRS)
2014,France,0.0314,0.123,0.0932,0.0364,0.0487,OECD DAC Creditor Reporting System (CRS)
2014,Germany,0.066,0.0998,0.0539,0.0083,0.0455,OECD DAC Creditor Reporting System (CRS)
2014,Greece,0.127,0.095,0.0493,0.0918,0.0229,OECD DAC Creditor Reporting System (CRS)
2014,Hungary,0.121,0.1059,0.0491,0.0757,0.0218,OECD DAC Creditor Reporting System (CRS)
2014,Iceland,0.0595,0.0703,0.0815,0.0721,0.0065,OECD DAC Creditor Reporting System (CRS)
2014,Ireland,0.1768,0.0816,0.1772,0.0007,0.0143,OECD DAC Creditor Reporting System (CRS)
2014,Italy,0.0907,0.058,0.0618,0.2152,0.0292,OECD DAC Creditor Reporting System (CRS)
2014,Japan,0.067,0.0425,0.0556,0.0,0.0237,OECD DAC Creditor Reporting System (CRS)
2014,Lithuania,0.1639,0.0908,0.0438,0.0013,0.0243,OECD DAC Creditor Reporting System (CRS)
2014,Luxembourg,0.1374,0.1474,0.1832,0.0001,0.0119,OECD DAC Creditor Reporting System (CRS)
2014,Netherlands,0.0795,0.0435,0.1024,0.1686,0.0136,OECD DAC Creditor Reporting System (CRS)
2014,New Zealand,0.0796,0.1658,0.0722,0.0428,0.007,OECD DAC Creditor Reporting System (CRS)
2014,Norway,0.0912,0.0624,0.1212,0.0524,0.122,OECD DAC Creditor Reporting System (CRS)
2014,Poland,0.1543,0.153,0.0431,0.0011,0.0229,OECD DAC Creditor Reporting System (CRS)
2014,Portugal,0.065,0.1443,0.0594,0.0024,0.0132,OECD DAC Creditor Reporting System (CRS)
2014,Slovakia,0.1562,0.1099,0.0492,0.0134,0.0234,OECD DAC Creditor Reporting System (CRS)
2014,Slovenia,0.1226,0.1541,0.038,0.0021,0.0312,OECD DAC Creditor Reporting System (CRS)
2014,South Korea,0.0094,0.0277,0.0245,,0.002,OECD DAC Creditor Reporting System (CRS)
2014,Spain,0.1265,0.0641,0.0649,0.01,0.0376,OECD DAC Creditor Reporting System (CRS)
2014,Sweden,0.1196,0.0458,0.0859,0.1807,0.0476,OECD DAC Creditor Reporting System (CRS)
2014,Switzerland,0.1208,0.0448,0.0637,0.1404,0.0383,OECD DAC Creditor Reporting System (CRS)
2014,United Kingdom,0.1204,0.096,0.1768,0.0118,0.0504,OECD DAC Creditor Reporting System (CRS)
2014,United States,0.1827,0.037,0.2888,0.0382,0.0275,OECD DAC Creditor Reporting System (CRS)
2015,Australia,0.0819,0.1055,0.0995,,0.0131,OECD DAC Creditor Reporting System (CRS)
2015,Austria,0.0486,0.1199,0.0267,0.3127,0.0242,OECD DAC Creditor Reporting System (CRS)
2015,Belgium,0.1106,0.0583,0.1007,0.1152,0.0248,OECD DAC Creditor Reporting System (CRS)
2015,Canada,0.1715,0.07,0.1998,0.0511,0.0183,OECD DAC Creditor Reporting System (CRS)
2015,Czechia,0.1537,0.0913,0.0467,0.0738,0.0273,OECD DAC Creditor Reporting System (CRS)
2015,Denmark,0.0975,0.0451,0.0604,0.1533,0.0407,OECD DAC Creditor Reporting System (CRS)
2015,Estonia,0.1804,0.1141,0.0383,0.017,0.0227,OECD DAC Creditor Reporting System (CRS)
2015,Finland,0.1007,0.0722,0.0744,0.0306,0.04,OECD DAC Creditor Reporting System (CRS)
2015,France,0.0324,0.1136,0.0667,0.0312,0.058,OECD DAC Creditor Reporting System (CRS)
2015,Germany,0.0563,0.0919,0.0439,0.1366,0.035,OECD DAC Creditor Reporting System (CRS)
2015,Greece,0.1001,0.0811,0.0451,0.2558,0.0185,OECD DAC Creditor Reporting System (CRS)
2015,Hungary,0.1133,0.1665,0.0472,0.0646,0.0189,OECD DAC Creditor Reporting System (CRS)
2015,Iceland,0.1035,0.0539,0.0493,0.125,0.0073,OECD DAC Creditor Reporting System (CRS)
2015,Ireland,0.194,0.084,0.1537,0.0012,0.0157,OECD DAC Creditor Reporting System (CRS)
2015,Italy,0.0894,0.0555,0.0538,0.254,0.0231,OECD DAC Creditor Reporting System (CRS)
2015,Japan,0.0813,0.0403,0.0523,0.0,0.0252,OECD DAC Creditor Reporting System (CRS)
2015,Latvia,0.0362,0.0338,0.0644,0.0485,0.0112,OECD DAC Creditor Reporting System (CRS)
2015,Lithuania,0.1651,0.0869,0.0501,0.018,0.0222,OECD DAC Creditor Reporting System (CRS)
2015,Luxembourg,0.1473,0.1392,0.1618,0.0001,0.0122,OECD DAC Creditor Reporting System (CRS)
2015,Netherlands,0.1066,0.0339,0.0824,0.2337,0.01,OECD DAC Creditor Reporting System (CRS)
2015,New Zealand,0.0662,0.1885,0.0551,0.041,0.0253,OECD DAC Creditor Reporting System (CRS)
2015,Norway,0.0887,0.0702,0.1052,0.0948,0.0893,OECD DAC Creditor Reporting System (CRS)
2015,Poland,0.1356,0.1559,0.0407,0.0214,0.0212,OECD DAC Creditor Reporting System (CRS)
2015,Portugal,0.0728,0.1467,0.0912,0.0086,0.0214,OECD DAC Creditor Reporting System (CRS)
2015,Slovakia,0.159,0.099,0.0444,0.022,0.0223,OECD DAC Creditor Reporting System (CRS)
2015,Slovenia,0.1227,0.1355,0.035,0.1147,0.0349,OECD DAC Creditor Reporting System (CRS)
2015,South Korea,0.0045,0.0173,0.0139,,0.002,OECD DAC Creditor Reporting System (CRS)
2015,Spain,0.119,0.0565,0.0538,0.0191,0.0229,OECD DAC Creditor Reporting System (CRS)
2015,Sweden,0.0755,0.0303,0.0687,0.3509,0.0189,OECD DAC Creditor Reporting System (CRS)
2015,Switzerland,0.1301,0.0465,0.057,0.1434,0.0318,OECD DAC Creditor Reporting System (CRS)
2015,United Kingdom,0.1347,0.0772,0.1376,0.0219,0.0415,OECD DAC Creditor Reporting System (CRS)
2015,United States,0.1972,0.0361,0.2683,0.0432,0.0302,OECD DAC Creditor Reporting System (CRS)
2016,Australia,0.0548,0.072,0.0947,,0.0088,OECD DAC Creditor Reporting System (CRS)
2016,Austria,0.0485,0.0989,0.0242,0.3199,0.0147,OECD DAC Creditor Reporting System (CRS)
2016,Belgium,0.1285,0.0489,0.0711,0.1385,0.0257,OECD DAC Creditor Reporting System (CRS)
2016,Canada,0.141,0.0688,0.1947,0.1032,0.0191,OECD DAC Creditor Reporting System (CRS)
2016,Czechia,0.1724,0.0795,0.0452,0.0744,0.0305,OECD DAC Creditor Reporting System (CRS)
2016,Denmark,0.129,0.0396,0.0581,0.1673,0.0445,OECD DAC Creditor Reporting System (CRS)
2016,Estonia,0.164,0.0914,0.0377,0.0589,0.0198,OECD DAC Creditor Reporting System (CRS)
2016,Finland,0.1191,0.0664,0.0501,0.1229,0.0212,OECD DAC Creditor Reporting System (CRS)
2016,France,0.0466,0.1089,0.068,0.0379,0.0453,OECD DAC Creditor Reporting System (CRS)
2016,Germany,0.0924,0.0822,0.0419,0.2411,0.0425,OECD DAC Creditor Reporting System (CRS)
2016,Greece,0.1092,0.0368,0.0333,0.411,0.0173,OECD DAC Creditor Reporting System (CRS)
2016,Hungary,0.0295,0.2328,0.047,0.0892,0.0135,OECD DAC Creditor Reporting System (CRS)
2016,Iceland,0.122,0.0369,0.0442,0.2866,0.0028,OECD DAC Creditor Reporting System (CRS)
2016,Ireland,0.2397,0.0764,0.1374,0.0016,0.0182,OECD DAC Creditor Reporting System (CRS)
2016,Italy,0.0965,0.049,0.0489,0.3338,0.021,OECD DAC Creditor Reporting System (CRS)
2016,Japan,0.0541,0.0462,0.0517,0.0,0.0207,OECD DAC Creditor Reporting System (CRS)
2016,Latvia,0.1923,0.0736,0.0448,0.0212,0.0292,OECD DAC Creditor Reporting System (CRS)
2016,Lithuania,0.2019,0.0845,0.0361,0.0271,0.0236,OECD DAC Creditor Reporting System (CRS)
2016,Luxembourg,0.1602,0.1539,0.1402,0.0001,0.0103,OECD DAC Creditor Reporting System (CRS)
2016,Netherlands,0.0908,0.0453,0.1082,0.0876,0.0144,OECD DAC Creditor Reporting System (CRS)
2016,New Zealand,0.077,0.1706,0.0484,0.041,0.0086,OECD DAC Creditor Reporting System (CRS)
2016,Norway,0.1108,0.093,0.1125,0.1822,0.0862,OECD DAC Creditor Reporting System (CRS)
2016,Poland,0.1575,0.1007,0.0334,0.0091,0.0201,OECD DAC Creditor Reporting System (CRS)
2016,Portugal,0.1045,0.1576,0.0602,0.0117,0.016,OECD DAC Creditor Reporting System (CRS)
2016,Slovakia,0.1477,0.0981,0.0428,0.0165,0.0232,OECD DAC Creditor Reporting System (CRS)
2016,Slovenia,0.1206,0.1333,0.0344,0.0947,0.0325,OECD DAC Creditor Reporting System (CRS)
2016,South Korea,0.0073,0.0234,0.0218,,0.0027,OECD DAC Creditor Reporting System (CRS)
2016,Spain,0.0597,0.0365,0.0319,0.0203,0.0116,OECD DAC Creditor Reporting System (CRS)
2016,Sweden,0.1212,0.0407,0.0949,0.1673,0.028,OECD DAC Creditor Reporting System (CRS)
2016,Switzerland,0.1109,0.0473,0.0519,0.1969,0.0338,OECD DAC Creditor Reporting System (CRS)
2016,United Kingdom,0.1178,0.0888,0.1181,0.03,0.0348,OECD DAC Creditor Reporting System (CRS)
2016,United States,0.1822,0.0479,0.2997,0.0551,0.0295,OECD DAC Creditor Reporting System (CRS)
2017,Australia,0.0773,0.0708,0.0789,,0.0149,OECD DAC Creditor Reporting System (CRS)
2017,Austria,0.0837,0.1444,0.0332,0.1091,0.0209,OECD DAC Creditor Reporting System (CRS)
2017,Belgium,0.124,0.0707,0.0895,0.1365,0.037,OECD DAC Creditor Reporting System (CRS)
2017,Canada,0.1675,0.0606,0.2014,0.1095,0.0221,OECD DAC Creditor Reporting System (CRS)
2017,Czechia,0.163,0.0786,0.0546,0.0783,0.0323,OECD DAC Creditor Reporting System (CRS)
2017,Denmark,0.1599,0.0443,0.0626,0.0423,0.0326,OECD DAC Creditor Reporting System (CRS)
2017,Estonia,0.1541,0.0843,0.0401,0.0634,0.0379,OECD DAC Creditor Reporting System (CRS)
2017,Finland,0.1098,0.0654,0.0475,0.0685,0.018,OECD DAC Creditor Reporting System (CRS)
2017,France,0.0354,0.1054,0.0592,0.0441,0.0343,OECD DAC Creditor Reporting System (CRS)
2017,Germany,0.1137,0.0827,0.0454,0.2117,0.0468,OECD DAC Creditor Reporting System (CRS)
2017,Greece,0.1402,0.0549,0.047,0.2266,0.0233,OECD DAC Creditor Reporting System (CRS)
2017,Hungary,0.1323,0.2312,0.0407,0.0238,0.0213,OECD DAC Creditor Reporting System (CRS)
2017,Iceland,0.0905,0.0269,0.0262,0.3463,0.0036,OECD DAC Creditor Reporting System (CRS)
2017,Ireland,0.2186,0.0734,0.1315,0.0501,0.0208,OECD DAC Creditor Reporting System (CRS)
2017,Italy,0.0953,0.0442,0.0465,0.3032,0.0255,OECD DAC Creditor Reporting System (CRS)
2017,Japan,0.0502,0.0406,0.0575,0.0,0.0179,OECD DAC Creditor Reporting System (CRS)
2017,Latvia,0.1937,0.086,0.0477,0.0119,0.0307,OECD DAC Creditor Reporting System (CRS)
2017,Lithuania,0.1236,0.0947,0.0415,0.0213,0.0265,OECD DAC Creditor Reporting System (CRS)
2017,Luxembourg,0.1602,0.1134,0.1415,,0.0098,OECD DAC Creditor Reporting System (CRS)
2017,Netherlands,0.1021,0.0312,0.1029,0.1686,0.0146,OECD DAC Creditor Reporting System (CRS)
2017,New Zealand,0.1085,0.1827,0.0516,0.042,0.0125,OECD DAC Creditor Reporting System (CRS)
2017,Norway,0.1556,0.0995,0.1318,0.0361,0.1012,OECD DAC Creditor Reporting System (CRS)
2017,Poland,0.1631,0.1657,0.0343,0.0086,0.0205,OECD DAC Creditor Reporting System (CRS)
2017,Portugal,0.1015,0.1568,0.0447,0.0137,0.0158,OECD DAC Creditor Reporting System (CRS)
2017,Slovakia,0.1264,0.085,0.0541,0.0117,0.0236,OECD DAC Creditor Reporting System (CRS)
2017,Slovenia,0.122,0.1833,0.0393,0.0128,0.0326,OECD DAC Creditor Reporting System (CRS)
2017,South Korea,0.0135,0.0276,0.0349,,0.0028,OECD DAC Creditor Reporting System (CRS)
2017,Spain,0.088,0.0575,0.0523,0.0732,0.0204,OECD DAC Creditor Reporting System (CRS)
2017,Sweden,0.1296,0.0412,0.0959,0.152,0.0371,OECD DAC Creditor Reporting System (CRS)
2017,Switzerland,0.1192,0.0551,0.0656,0.1042,0.0311,OECD DAC Creditor Reporting System (CRS)
2017,United Kingdom,0.1306,0.0719,0.1538,0.0279,0.0327,OECD DAC Creditor Reporting System (CRS)
2017,United States,0.202,0.0482,0.2979,0.041,0.0247,OECD DAC Creditor Reporting System (CRS)
2018,Australia,0.0673,0.0741,0.1064,,0.0126,OECD DAC Creditor Reporting System (CRS)
2018,Austria,0.0655,0.1546,0.032,0.0463,0.0144,OECD DAC Creditor Reporting System (CRS)
2018,Belgium,0.1277,0.079,0.086,0.1043,0.0437,OECD DAC Creditor Reporting System (CRS)
2018,Canada,0.1613,0.0615,0.1952,0.1115,0.0107,OECD DAC Creditor Reporting System (CRS)
2018,Czechia,0.1558,0.08,0.0383,0.0844,0.026,OECD DAC Creditor Reporting System (CRS)
2018,Denmark,0.1518,0.0559,0.0703,0.0221,0.038,OECD DAC Creditor Reporting System (CRS)
2018,Estonia,0.1536,0.1128,0.0375,0.057,0.0318,OECD DAC Creditor Reporting System (CRS)
2018,Finland,0.1005,0.0732,0.0515,0.053,0.0242,OECD DAC Creditor Reporting System (CRS)
2018,France,0.0357,0.1035,0.0604,0.051,0.0398,OECD DAC Creditor Reporting System (CRS)
2018,Germany,0.1139,0.0971,0.0496,0.1324,0.0406,OECD DAC Creditor Reporting System (CRS)
2018,Greece,0.1341,0.0692,0.0459,0.1032,0.0254,OECD DAC Creditor Reporting System (CRS)
2018,Hungary,0.0902,0.3486,0.066,0.0195,0.0086,OECD DAC Creditor Reporting System (CRS)
2018,Iceland,0.1151,0.0171,0.0484,0.1558,0.0013,OECD DAC Creditor Reporting System (CRS)
2018,Ireland,0.2226,0.0788,0.1182,0.0628,0.0213,OECD DAC Creditor Reporting System (CRS)
