Year,Indicator,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,South Sudan,Sub-Saharan Africa (WB),Sudan,Tanzania,Togo,Tunisia,Uganda,World,Zambia,Zimbabwe
1990,% of population below the poverty line,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,54.6,,,,9.3,,37.9,,
1991,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,64.2,88.0,42.4,,,,,,,,,,,,,,,,70.1,,,,,56.1,,69.3,,,,37.4,57.4,
1992,% of population below the poverty line,,,,,,75.1,,,82.2,,,,27.1,,,,,,,,,,,26.4,,,,,,,,,,,84.4,52.4,,,,,,,,57.1,,,,,65.1,36.6,,
1993,% of population below the poverty line,,,,34.1,,,,,,,,,,,,,,,,,,,42.2,,,,73.3,,,42.9,,,,,,,,,,,,33.5,,58.2,,,,,,36.1,59.1,
1994,% of population below the poverty line,,,,,82.1,,,,,,,,,,,,85.4,,,,,41.2,,25.9,53.7,,,,84.5,,,,,,85.5,,,,60.3,,,,,58.5,,,,,,34.2,,
1995,% of population below the poverty line,6.1,,,,,,,,,,,,25.9,,,2.0,,69.2,,,,,,,,,,,,21.8,,,,,,,,,,,,,,58.0,,,,9.8,,32.5,,
1996,% of population below the poverty line,,,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,58.4,,,,,,,,57.4,,,,,63.9,31.0,46.8,
1997,% of population below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,69.4,58.5,,,,,,,,,,,,,,,,57.0,,,,,,30.8,,
1998,% of population below the poverty line,,,,,79.9,79.4,,,,,,,30.4,,,,,,,74.1,55.0,,,,,,,,,,,8.4,,,,,,,,,,,,56.7,,,,,,31.1,47.2,
1999,% of population below the poverty line,,,,,,,,,,,,,,,,0.0,,58.0,,,,,,,,,66.9,,,,,,,,,,,,,,,,,56.4,,,,,67.9,30.2,,
2000,% of population below the poverty line,,21.4,,,,,,,,,,,,,,,56.1,,,,,,,,,,,,,21.5,,7.9,,,,,75.2,20.4,,,,36.8,,56.0,,84.0,,4.3,,29.3,,
2001,% of population below the poverty line,,,,,,,19.6,25.7,,,,,,,,,,,,,,,,,,,71.0,,57.2,,,,,,,,,,52.4,,,,,55.0,,,,,,28.3,,
2002,% of population below the poverty line,,,,29.1,,,,,,,,,29.1,,22.5,,,,,,,53.3,53.2,,66.3,,,,,,,,80.6,,,,,,,,,,,54.4,,,,,66.0,26.8,56.4,
2003,% of population below the poverty line,,,53.1,,54.7,,,,,57.8,,,,,,,,,,50.7,,,,,,,,,,,,,,35.9,,47.9,,,,,61.3,,,53.2,,,,,,25.3,,
2004,% of population below the poverty line,,,,,,,,,,,14.6,,,91.5,,3.1,,34.6,,,,,,,,,,68.9,,18.1,,,,,,,,,,,,,,50.4,,,,,,23.3,61.1,
2005,% of population below the poverty line,,,,,,,,,,,,49.6,,,,,,,5.5,,42.5,,,36.7,,,74.2,,,,,,,,80.5,,66.1,,41.1,,,28.3,,48.7,,,,2.6,57.3,21.5,,
2006,% of population below the poverty line,,,,,,71.8,,,,,,,,,,,,,,,,,,,,,,,49.7,,0.3,4.2,,,,,,,,,,,,47.2,,,61.0,,,20.5,64.7,
2007,% of population below the poverty line,,,,,,,10.6,31.4,,,,,,,,,,,,,,48.1,,,,53.3,,,,,,,,,78.9,,,,,,,,,46.0,,56.2,,,,19.2,,
2008,% of population below the poverty line,,14.6,,,,,,,61.9,,,,34.4,,,2.9,,,,,,,,,,,,,,11.9,,,70.8,,,,,,,,,18.7,,44.5,,,,,,18.3,,
2009,% of population below the poverty line,,,,17.7,52.6,,,,,,,,,,,,49.3,,,,,,,,,,,,48.2,,,,,26.9,,,,,,,,,34.5,43.9,18.6,,,,45.9,17.4,,
2010,% of population below the poverty line,,,,,,,,,,,,,,,,1.0,,30.8,,29.8,,,66.7,,,,80.2,68.4,,,,,,,,34.9,59.2,22.6,,,,18.0,,42.1,,,,1.5,,15.7,64.4,
2011,% of population below the poverty line,0.0,,54.3,,,,,,,36.6,,35.4,,,,,,,,,,,,,,,,,,,,,,,60.6,,,,41.0,,38.7,,,41.0,,44.7,58.9,,,13.9,,21.6
2012,% of population below the poverty line,,,,,,,,,,,,,,69.7,19.7,0.9,,,,,25.7,24.5,,,,,80.7,,,,0.4,,,,,33.8,,,,,,,,39.8,,,,,37.5,12.9,,
2013,% of population below the poverty line,,,,,,65.1,,,,,,,,,24.9,,,,,,,,,,,,,,,,,1.4,,,,,53.7,,,1.2,,,,38.9,,,,,,11.5,,
2014,% of population below the poverty line,,,,,39.6,,,25.7,,,18.6,,,,,,,,,,,,,,,25.9,,,,6.5,,,64.6,,53.6,,,,,,,20.5,,38.1,15.3,,,,,11.0,,
2015,% of population below the poverty line,,,50.7,15.4,,,4.6,,,,,,33.4,,,0.9,,27.0,,13.4,,,,29.4,,,,,,,,,,15.6,,32.3,,,,,,,,38.2,,,54.7,0.1,,10.5,60.8,
2016,% of population below the poverty line,,,,,,,,,,,,,,,,,36.1,,,,25.2,,,,,27.6,,65.7,,,,,,,,,52.0,,,,,,67.3,38.0,,,,,42.9,10.2,,
2017,% of population below the poverty line,,,,,,,,,,,,,,,19.1,2.5,,,2.5,,,,,,32.4,,,,,,0.1,,,,,,,15.7,,,,,,37.5,,,,,,9.4,,34.2
2018,% of population below the poverty line,,31.1,20.1,,31.2,,,,,30.9,,,11.5,,,,,,,,,13.8,21.7,,,,,,15.2,,,,,,50.9,30.9,,,9.2,0.5,26.1,,,36.9,,44.9,28.4,,,8.7,,
2019,% of population below the poverty line,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,70.1,,5.4,,,74.5,,,,,,,,,,,36.7,,,,,42.1,8.8,,39.8
2020,% of population below the poverty line,,,,,,62.1,,,,,,,,78.9,,,,,,17.2,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,
2021,% of population below the poverty line,,,12.7,,25.3,,,23.0,65.7,,,,9.7,,,,,,,,,,26.0,36.1,,,,,20.8,,,,,,50.6,,,,9.9,,,,,,,,26.6,0.3,,9.5,,
2022,% of population below the poverty line,,,,,,,,,,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,64.3,
1980,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,4357755.0,,,,,,,,,,,,,,,,,,,,,,,,,
1981,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989236994.0,,
1982,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997608825.0,,
1983,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991111243.0,,
1984,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879880.0,,,,,,,,,,,,,,,,,,1959130450.0,,
1985,People below the poverty line,,,,475978.0,,,,,,,,,817054.0,,,,,,,,,,,,,,,,,,,,,,,39953750.0,,,,,,,,,,,,971892.0,,1925522395.0,,
1986,People below the poverty line,,,,,,,,,,,,,453615.0,,,,,,,,,,,,896288.0,,,,,,,,,,,,,,,,,,,,,,,,,1890532677.0,,
1987,People below the poverty line,,,,,,,,,,,,,1002369.0,,,,,,,,8357501.0,,,,,,,,,766352.0,,,,,,,,,,,,,,,,,,,,1884150553.0,,
1988,People below the poverty line,1551553.0,,,,,,,,,,,,1479788.0,,,,,,,,8465558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825518024.0,,
1989,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9995755.0,1987426262.0,,
1990,People below the poverty line,,,,,,,,,,,,,,,,2975161.0,,,,,,,,,,,,,,,,1154828.0,,,,,,,,,,,,282079810.0,,,,784922.0,,2006235913.0,,
1991,People below the poverty line,,,,,,,,,,,,,,,,,,,,,10171508.0,5821846.0,421395.0,,,,,,,,,,,,,,,,5435757.0,,,,,297732221.0,,18635398.0,,,,2013107701.0,4523387.0,
1992,People below the poverty line,,,,,,4313057.0,,,2459200.0,,,,3479183.0,,,,,,,,,,,6509111.0,,,,,,,,,,,7518052.0,52495392.0,,,,,,,,311137685.0,,,,,12240080.0,2002119408.0,,
1993,People below the poverty line,,,,498631.0,,,,,,,,,,,,,,,,,,,445953.0,,,,9543733.0,,,959700.0,,,,,,,,,,,,14246022.0,,325578891.0,,,,,,2005980364.0,4888112.0,
1994,People below the poverty line,,,,,8284921.0,,,,,,,,,,,,814491.0,,,,,2991990.0,,6768640.0,1026015.0,,,,8206468.0,,,,,,8116792.0,,,,5075449.0,,,,,335845070.0,,,,,,1929617688.0,,
1995,People below the poverty line,1737159.0,,,,,,,,,,,,3703629.0,,,1283338.0,,39773763.0,,,,,,,,,,,,518914.0,,,,,,,,,,,,,,341810289.0,,,,910822.0,,1861225890.0,,
1996,People below the poverty line,,,,,,,,6841963.0,,,,,,,,,,,,,,,,,,,,,,,,,13297790.0,,,64798411.0,,,,,,,,347376800.0,,,,,13578477.0,1801625425.0,4166145.0,
1997,People below the poverty line,,,,,,,,,,,,,,,,,,,,,,,,7204523.0,,,10256559.0,6149917.0,,,,,,,,,,,,,,,,354007235.0,,,,,,1816021847.0,,
1998,People below the poverty line,,,,,8949649.0,4792060.0,,,,,,,4821133.0,,,,,,,1004936.0,10293089.0,,,,,,,,,,,2334513.0,,,,,,,,,,,,361291560.0,,,,,,1859733676.0,4423787.0,
1999,People below the poverty line,,,,,,,,,,,,,,,,0.0,,37744996.0,,,,,,,,,10523962.0,,,,,,,,,,,,,,,,,368790159.0,,,,,15806609.0,1830849460.0,,
2000,People below the poverty line,,3508329.0,,,,,,,,,,,,,,,578108.0,,,,,,,,,,,,,579426.0,,2255799.0,,,,,6098712.0,29318.0,,,,17227282.0,,375878992.0,,28949511.0,,425413.0,,1800322311.0,,
2001,People below the poverty line,,,,,,,91328.0,3981766.0,,,,,,,,,,,,,,,,,,,11863862.0,,6625947.0,,,,,,,,,,5207526.0,,,,,379039090.0,,,,,,1762095861.0,,
2002,People below the poverty line,,,,522383.0,,,,,,,,,5146014.0,,177554.0,,,,,,,4571962.0,683981.0,,1324365.0,,,,,,,,15068126.0,,,,,,,,,,,384985231.0,,,,,16859759.0,1690620264.0,5926678.0,
2003,People below the poverty line,,,4067039.0,,7127733.0,,,,,5315500.0,,,,,,,,,,794092.0,,,,,,,,,,,,,,687638.0,,63764385.0,,,,,3280106.0,,,386649850.0,,,,,,1616566989.0,,
2004,People below the poverty line,,,,,,,,,,,84848.0,,,50156280.0,,2403195.0,,26054155.0,,,,,,,,,,8551415.0,,533330.0,,,,,,,,,,,,,,376259588.0,,,,,,1507750865.0,6835892.0,
2005,People below the poverty line,,,,,,,,,,,,1821728.0,,,,,,,80209.0,,9561204.0,,,13154385.0,,,13943791.0,,,,,,,,11153453.0,,5966384.0,,4510337.0,,,13871853.0,,373518610.0,,,,270097.0,16013395.0,1408849242.0,,
2006,People below the poverty line,,,,,,5498580.0,,,,,,,,,,,,,,,,,,,,,,,6770900.0,,3702.0,1294987.0,,,,,,,,,,,,371987920.0,,,3583286.0,,,1360208326.0,7745604.0,
2007,People below the poverty line,,,,,,,53502.0,5731086.0,,,,,,,,,,,,,,4592146.0,,,,1936250.0,,,,,,,,,11754422.0,,,,,,,,,372608861.0,,23444671.0,,,,1289776058.0,,
2008,People below the poverty line,,3166962.0,,,,,,,2765217.0,,,,6964090.0,,,2431499.0,,,,,,,,,,,,,,384767.0,,,15466664.0,,,,,,,,,9455807.0,,370526017.0,,,,,,1244660177.0,,
2009,People below the poverty line,,,,362672.0,8231912.0,,,,,,,,,,,,539779.0,,,,,,,,,,,,7245730.0,,,,,556270.0,,,,,,,,,3184083.0,375733821.0,6128357.0,,,,14418347.0,1198095901.0,,
2010,People below the poverty line,,,,,,,,,,,,,,,,872524.0,,27485240.0,,577308.0,,,1045336.0,,,,17428305.0,10067401.0,,,,,,,,56172546.0,6102946.0,41163.0,,,,9321286.0,,370394713.0,,,,163426.0,,1094273470.0,8882103.0,
2011,People below the poverty line,0.0,,5281424.0,,,,,,,4508289.0,,1622812.0,,,,,,,,,,,,,,,,,,,,,,,10473566.0,,,,5279111.0,,2558993.0,,,370755683.0,,20747966.0,3974968.0,,,980504436.0,,2813570.0
2012,People below the poverty line,,,,,,,,,,,,,,49485515.0,187997.0,821163.0,,,,,6902702.0,2643230.0,,,,,18533756.0,,,,5024.0,,,,,57485665.0,,,,,,,,369872804.0,,,,,12852486.0,921244590.0,,
2013,People below the poverty line,,,,,,6607375.0,,,,,,,,,241966.0,,,,,,,,,,,,,,,,,473249.0,,,,,5961425.0,,,1079.0,,,,371532617.0,,,,,,831387722.0,,
2014,People below the poverty line,,,,,7195257.0,,,5730993.0,,,132918.0,,,,,,,,,,,,,,,1170524.0,,,,249806.0,,,16821003.0,,10383400.0,,,,,,,11219558.0,,373954018.0,5661496.0,,,,,804903502.0,,
2015,People below the poverty line,,,5542921.0,354996.0,,,25400.0,,,,,,7881311.0,,,879514.0,,27667412.0,,301920.0,,,,13774337.0,,,,,,,,,,356102.0,,59430639.0,,,,,,,,385322941.0,,,4087856.0,11558.0,,777446367.0,9878924.0,
2016,People below the poverty line,,,,,,,,,,,,,,,,,412451.0,,,,7447684.0,,,,,1298883.0,,11435495.0,,,,,,,,,6204067.0,,,,,,7447489.0,393739276.0,,,,,16623020.0,764077536.0,,
2017,People below the poverty line,,,,,,,,,,,,,,,198685.0,2544735.0,,,53505.0,,,,,,703280.0,,,,,,1265.0,,,,,,,32662.0,,,,,,398956978.0,,,,,,712248353.0,,5044877.0
2018,People below the poverty line,,9726069.0,2400077.0,,6362530.0,,,,,4821701.0,,,2931809.0,,,,,,,,,1732571.0,417715.0,,,,,,3030013.0,,,,,,11491723.0,61301776.0,,,1432892.0,484.0,2051794.0,,,403097066.0,,26082609.0,2285257.0,,,666522473.0,,
2019,People below the poverty line,,,,,,,,,,,,,,,,1584280.0,,,,,,,,,,,,13226003.0,,236728.0,,,22562768.0,,,,,,,,,,,411608501.0,,,,,18081563.0,681359782.0,,6111134.0
2020,People below the poverty line,,,,,,7588761.0,,,,,,,,73261146.0,,,,,,442727.0,,,,18195023.0,,,,,,,,,,,,,,,,,,,,,,,,,,758663369.0,,
2021,People below the poverty line,,,1650606.0,,5591473.0,,,6255684.0,3585350.0,,,,2665390.0,,,,,,,,,,535787.0,19135027.0,,,,,4556236.0,,,,,,12777877.0,,,,1670795.0,,,,,,,,2299525.0,36789.0,,749451563.0,,
2022,People below the poverty line,,,,,,,,,,5458781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715643589.0,12871365.0,
