name_short,As of,value,lower,note,center
Timor-Leste,2024 estimate,33.7,of government spending,1.9,
Togo,2024 estimate,236.5,of government spending,10.2,
Tonga,2024 estimate,21.2,of government spending,8.0,
Tunisia,2024 estimate,3970.7,of government spending,21.9,
Türkiye,2024 estimate,21766.4,of government spending,4.7,
Turkmenistan,2024 estimate,997.7,of government spending,10.9,
Uganda,2024 estimate,1185.9,of government spending,10.8,
Ukraine,2024 estimate,9054.8,of government spending,7.7,
Uzbekistan,2024 estimate,2592.6,of government spending,8.0,
Vanuatu,2024 estimate,22.4,of government spending,4.9,
Vietnam,2024 estimate,6021.7,of government spending,6.4,
Yemen,2024 estimate,548.7,of government spending,31.0,
Zambia,2024 estimate,2961.8,of government spending,41.6,
Zimbabwe,2024 estimate,156.0,of government spending,1.7,
