name_short,indicator_name,year,value
Ghana,Government Debt (% GDP),2016-01-01,50.936
Ghana,Government Debt (% GDP),2017-01-01,51.872
Ghana,Government Debt (% GDP),2018-01-01,60.709
Ghana,Government Debt (% GDP),2019-01-01,58.968
Ghana,Government Debt (% GDP),2020-01-01,74.103
Ghana,Government Debt (% GDP),2021-01-01,76.811
Ghana,Government Debt (% GDP),2022-01-01,79.576
Ghana,Government Debt (% GDP),2023-01-01,79.847
Ghana,Government Debt (% GDP),2024-01-01,80.718
Equatorial Guinea,Government Debt (% GDP),2012-01-01,7.097
Equatorial Guinea,Government Debt (% GDP),2013-01-01,6.272
Equatorial Guinea,Government Debt (% GDP),2014-01-01,12.56
Equatorial Guinea,Government Debt (% GDP),2015-01-01,11.691
Equatorial Guinea,Government Debt (% GDP),2016-01-01,25.79
Equatorial Guinea,Government Debt (% GDP),2017-01-01,30.697
Equatorial Guinea,Government Debt (% GDP),2018-01-01,29.87
Equatorial Guinea,Government Debt (% GDP),2019-01-01,31.689
Equatorial Guinea,Government Debt (% GDP),2020-01-01,37.901
Equatorial Guinea,Government Debt (% GDP),2021-01-01,28.497
Equatorial Guinea,Government Debt (% GDP),2022-01-01,18.334
Equatorial Guinea,Government Debt (% GDP),2023-01-01,15.317
Equatorial Guinea,Government Debt (% GDP),2024-01-01,15.15
Kenya,Government Debt (% GDP),2012-01-01,35.878
Kenya,Government Debt (% GDP),2013-01-01,35.819
Kenya,Government Debt (% GDP),2014-01-01,34.837
Kenya,Government Debt (% GDP),2015-01-01,39.706
Kenya,Government Debt (% GDP),2016-01-01,47.538
Kenya,Government Debt (% GDP),2017-01-01,48.059
Kenya,Government Debt (% GDP),2018-01-01,50.784
Kenya,Government Debt (% GDP),2019-01-01,54.054
Kenya,Government Debt (% GDP),2020-01-01,62.791
Kenya,Government Debt (% GDP),2021-01-01,64.508
Kenya,Government Debt (% GDP),2022-01-01,66.149
Kenya,Government Debt (% GDP),2023-01-01,65.581
Kenya,Government Debt (% GDP),2024-01-01,64.213
Liberia,Government Debt (% GDP),2012-01-01,14.207
Liberia,Government Debt (% GDP),2013-01-01,14.62
Liberia,Government Debt (% GDP),2014-01-01,16.613
Liberia,Government Debt (% GDP),2015-01-01,15.246
Liberia,Government Debt (% GDP),2016-01-01,24.398
Liberia,Government Debt (% GDP),2017-01-01,27.719
Liberia,Government Debt (% GDP),2018-01-01,30.767
Liberia,Government Debt (% GDP),2019-01-01,43.645
Liberia,Government Debt (% GDP),2020-01-01,52.818
Liberia,Government Debt (% GDP),2021-01-01,48.31
Liberia,Government Debt (% GDP),2022-01-01,47.381
Liberia,Government Debt (% GDP),2023-01-01,47.658
Liberia,Government Debt (% GDP),2024-01-01,46.934
Lesotho,Government Debt (% GDP),2012-01-01,3.11
Lesotho,Government Debt (% GDP),2013-01-01,2.279
Lesotho,Government Debt (% GDP),2014-01-01,4.265
Lesotho,Government Debt (% GDP),2015-01-01,1.15
Lesotho,Government Debt (% GDP),2016-01-01,6.17
Lesotho,Government Debt (% GDP),2017-01-01,8.588
Lesotho,Government Debt (% GDP),2018-01-01,16.003
Lesotho,Government Debt (% GDP),2019-01-01,16.69
Lesotho,Government Debt (% GDP),2020-01-01,18.701
Lesotho,Government Debt (% GDP),2021-01-01,17.759
Lesotho,Government Debt (% GDP),2022-01-01,20.744
Lesotho,Government Debt (% GDP),2023-01-01,22.097
Lesotho,Government Debt (% GDP),2024-01-01,22.074
Morocco,Government Debt (% GDP),2012-01-01,56.007
Morocco,Government Debt (% GDP),2013-01-01,61.216
Morocco,Government Debt (% GDP),2014-01-01,62.838
Morocco,Government Debt (% GDP),2015-01-01,63.085
Morocco,Government Debt (% GDP),2016-01-01,64.392
Morocco,Government Debt (% GDP),2017-01-01,64.759
Morocco,Government Debt (% GDP),2018-01-01,64.938
Morocco,Government Debt (% GDP),2019-01-01,64.527
Morocco,Government Debt (% GDP),2020-01-01,75.735
Morocco,Government Debt (% GDP),2021-01-01,75.737
Morocco,Government Debt (% GDP),2022-01-01,76.566
Morocco,Government Debt (% GDP),2023-01-01,76.917
Morocco,Government Debt (% GDP),2024-01-01,77.448
Mali,Government Debt (% GDP),2012-01-01,21.329
Mali,Government Debt (% GDP),2013-01-01,20.218
Mali,Government Debt (% GDP),2014-01-01,19.658
Mali,Government Debt (% GDP),2015-01-01,23.149
Mali,Government Debt (% GDP),2016-01-01,29.984
Mali,Government Debt (% GDP),2017-01-01,31.098
Mali,Government Debt (% GDP),2018-01-01,34.089
Mali,Government Debt (% GDP),2019-01-01,34.558
Mali,Government Debt (% GDP),2020-01-01,40.721
Mali,Government Debt (% GDP),2021-01-01,44.882
Mali,Government Debt (% GDP),2022-01-01,43.442
Mali,Government Debt (% GDP),2023-01-01,41.049
Mali,Government Debt (% GDP),2024-01-01,39.041
Mauritania,Government Debt (% GDP),2012-01-01,37.905
Mauritania,Government Debt (% GDP),2013-01-01,38.686
Mauritania,Government Debt (% GDP),2014-01-01,47.018
Mauritania,Government Debt (% GDP),2015-01-01,57.451
Mauritania,Government Debt (% GDP),2016-01-01,55.723
Mauritania,Government Debt (% GDP),2017-01-01,53.673
Mauritania,Government Debt (% GDP),2018-01-01,56.521
Mauritania,Government Debt (% GDP),2019-01-01,55.756
Mauritania,Government Debt (% GDP),2020-01-01,58.118
Mauritania,Government Debt (% GDP),2021-01-01,53.78
Mauritania,Government Debt (% GDP),2022-01-01,54.559
Mauritania,Government Debt (% GDP),2023-01-01,54.223
Mauritania,Government Debt (% GDP),2024-01-01,48.267
Namibia,Government Debt (% GDP),2012-01-01,18.719
Namibia,Government Debt (% GDP),2013-01-01,23.249
Namibia,Government Debt (% GDP),2014-01-01,26.887
Namibia,Government Debt (% GDP),2015-01-01,36.676
Namibia,Government Debt (% GDP),2016-01-01,42.685
Namibia,Government Debt (% GDP),2017-01-01,41.39
Namibia,Government Debt (% GDP),2018-01-01,47.421
Namibia,Government Debt (% GDP),2019-01-01,55.151
Namibia,Government Debt (% GDP),2020-01-01,64.272
Namibia,Government Debt (% GDP),2021-01-01,68.795
Namibia,Government Debt (% GDP),2022-01-01,68.379
Namibia,Government Debt (% GDP),2023-01-01,67.002
Namibia,Government Debt (% GDP),2024-01-01,66.351
Niger,Government Debt (% GDP),2012-01-01,14.431
Niger,Government Debt (% GDP),2013-01-01,15.305
Niger,Government Debt (% GDP),2014-01-01,17.218
Niger,Government Debt (% GDP),2015-01-01,25.89
Niger,Government Debt (% GDP),2016-01-01,29.465
Niger,Government Debt (% GDP),2017-01-01,32.337
Niger,Government Debt (% GDP),2018-01-01,34.013
Niger,Government Debt (% GDP),2019-01-01,35.935
Niger,Government Debt (% GDP),2020-01-01,41.031
Niger,Government Debt (% GDP),2021-01-01,47.465
Niger,Government Debt (% GDP),2022-01-01,48.698
Niger,Government Debt (% GDP),2023-01-01,48.385
Niger,Government Debt (% GDP),2024-01-01,45.288
Nigeria,Government Debt (% GDP),2012-01-01,10.672
Nigeria,Government Debt (% GDP),2013-01-01,11.446
Nigeria,Government Debt (% GDP),2014-01-01,13.768
Nigeria,Government Debt (% GDP),2015-01-01,15.878
Nigeria,Government Debt (% GDP),2016-01-01,19.002
Nigeria,Government Debt (% GDP),2017-01-01,20.938
Nigeria,Government Debt (% GDP),2018-01-01,23.492
Nigeria,Government Debt (% GDP),2019-01-01,25.45
Nigeria,Government Debt (% GDP),2020-01-01,34.053
Nigeria,Government Debt (% GDP),2021-01-01,36.562
Nigeria,Government Debt (% GDP),2022-01-01,36.817
Nigeria,Government Debt (% GDP),2023-01-01,38.273
Nigeria,Government Debt (% GDP),2024-01-01,39.755
Eswatini,Government Debt (% GDP),2012-01-01,5.433
Eswatini,Government Debt (% GDP),2013-01-01,3.995
Eswatini,Government Debt (% GDP),2014-01-01,3.43
Eswatini,Government Debt (% GDP),2015-01-01,10.762
Eswatini,Government Debt (% GDP),2016-01-01,17.312
Eswatini,Government Debt (% GDP),2017-01-01,20.815
Eswatini,Government Debt (% GDP),2018-01-01,26.634
Eswatini,Government Debt (% GDP),2019-01-01,32.983
Eswatini,Government Debt (% GDP),2020-01-01,35.592
Eswatini,Government Debt (% GDP),2021-01-01,35.556
Eswatini,Government Debt (% GDP),2022-01-01,38.63
Eswatini,Government Debt (% GDP),2023-01-01,37.756
Eswatini,Government Debt (% GDP),2024-01-01,35.931
Seychelles,Government Debt (% GDP),2012-01-01,67.565
Seychelles,Government Debt (% GDP),2013-01-01,56.371
Seychelles,Government Debt (% GDP),2014-01-01,53.584
Seychelles,Government Debt (% GDP),2015-01-01,47.783
Seychelles,Government Debt (% GDP),2016-01-01,48.757
Seychelles,Government Debt (% GDP),2017-01-01,46.307
Seychelles,Government Debt (% GDP),2018-01-01,43.039
Seychelles,Government Debt (% GDP),2019-01-01,43.02
Seychelles,Government Debt (% GDP),2020-01-01,80.515
Seychelles,Government Debt (% GDP),2021-01-01,62.08
Seychelles,Government Debt (% GDP),2022-01-01,68.941
Seychelles,Government Debt (% GDP),2023-01-01,65.777
Seychelles,Government Debt (% GDP),2024-01-01,63.123
South Africa,Government Debt (% GDP),2012-01-01,32.426
South Africa,Government Debt (% GDP),2013-01-01,35.248
South Africa,Government Debt (% GDP),2014-01-01,38.122
South Africa,Government Debt (% GDP),2015-01-01,41.05
South Africa,Government Debt (% GDP),2016-01-01,42.083
South Africa,Government Debt (% GDP),2017-01-01,43.778
South Africa,Government Debt (% GDP),2018-01-01,46.64
South Africa,Government Debt (% GDP),2019-01-01,50.778
South Africa,Government Debt (% GDP),2020-01-01,62.582
South Africa,Government Debt (% GDP),2021-01-01,63.342
South Africa,Government Debt (% GDP),2022-01-01,66.935
South Africa,Government Debt (% GDP),2023-01-01,70.847
South Africa,Government Debt (% GDP),2024-01-01,74.452
Zambia,Government Debt (% GDP),2012-01-01,20.07
Zambia,Government Debt (% GDP),2013-01-01,22.428
Zambia,Government Debt (% GDP),2014-01-01,31.913
Zambia,Government Debt (% GDP),2015-01-01,61.937
Zambia,Government Debt (% GDP),2016-01-01,58.316
Zambia,Government Debt (% GDP),2017-01-01,63.457
Zambia,Government Debt (% GDP),2018-01-01,77.958
Zambia,Government Debt (% GDP),2019-01-01,97.391
Zambia,Government Debt (% GDP),2020-01-01,138.091
Zambia,Government Debt (% GDP),2021-01-01,121.477
