Country,Cause,Type,Year,Deaths per 100K people,Deaths,missing
Burkina Faso,Congenital anomalies,Noncommunicable diseases,2019.0,17.31,"3,515",False
Burkina Faso,Sickle cell disorders and trait,Noncommunicable diseases,2019.0,19.84,"4,028",False
Burkina Faso,Road injury,Injuries,2019.0,31.05,"6,303",False
Burkina Faso,Stroke,Noncommunicable diseases,2019.0,31.15,"6,324",False
Burkina Faso,Ischaemic heart disease,Noncommunicable diseases,2019.0,39.98,"8,117",False
Burkina Faso,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,58.56,"11,887",False
Burkina Faso,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,71.93,"14,602",False
Burkina Faso,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,82.79,"16,807",False
Burkina Faso,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,90.71,"18,414",False
Botswana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,15.86,261,False
Botswana,Kidney diseases,Noncommunicable diseases,2000.0,22.46,369,False
Botswana,Road injury,Injuries,2000.0,31.84,523,False
Botswana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,43.38,713,False
Botswana,Diabetes mellitus,Noncommunicable diseases,2000.0,47.97,788,False
Botswana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,61.53,"1,011",False
Botswana,Ischaemic heart disease,Noncommunicable diseases,2000.0,73.78,"1,212",False
Botswana,Stroke,Noncommunicable diseases,2000.0,85.26,"1,401",False
Botswana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,108.87,"1,789",False
Botswana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,852.53,"14,010",False
Botswana,Kidney diseases,Noncommunicable diseases,2019.0,21.98,506,False
Botswana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,22.88,527,False
Botswana,Road injury,Injuries,2019.0,26.41,608,False
Botswana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,28.16,649,False
Botswana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,38.92,897,False
Botswana,Diabetes mellitus,Noncommunicable diseases,2019.0,55.24,"1,273",False
Botswana,Stroke,Noncommunicable diseases,2019.0,68.94,"1,588",False
Botswana,Ischaemic heart disease,Noncommunicable diseases,2019.0,70.84,"1,632",False
Botswana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,72.65,"1,674",False
Botswana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,214.86,"4,950",False
Central African Republic,Road injury,Injuries,2000.0,32.33,"1,177",False
Central African Republic,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,46.0,"1,675",False
Central African Republic,Ischaemic heart disease,Noncommunicable diseases,2000.0,76.68,"2,791",False
Central African Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,80.68,"2,937",False
Central African Republic,Stroke,Noncommunicable diseases,2000.0,94.75,"3,449",False
Central African Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,154.54,"5,626",False
Central African Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,167.44,"6,096",False
Central African Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,167.98,"6,115",False
Central African Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,192.76,"7,017",False
Central African Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,272.55,"9,922",False
Central African Republic,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,34.25,"1,625",False
Central African Republic,Road injury,Injuries,2019.0,37.72,"1,790",False
Central African Republic,Ischaemic heart disease,Noncommunicable diseases,2019.0,61.11,"2,900",False
Central African Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,69.11,"3,279",False
Central African Republic,Stroke,Noncommunicable diseases,2019.0,69.2,"3,284",False
Central African Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,79.08,"3,753",False
Central African Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,98.71,"4,684",False
Central African Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,99.13,"4,704",False
Central African Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,110.24,"5,231",False
Central African Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,119.78,"5,684",False
Cote d'Ivoire,Congenital anomalies,Noncommunicable diseases,2000.0,18.08,"2,983",False
Cote d'Ivoire,Road injury,Injuries,2000.0,25.37,"4,187",False
Cote d'Ivoire,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,51.06,"8,426",False
Cote d'Ivoire,Stroke,Noncommunicable diseases,2000.0,54.53,"8,998",False
Cote d'Ivoire,Ischaemic heart disease,Noncommunicable diseases,2000.0,57.94,"9,560",False
Cote d'Ivoire,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,80.64,"13,306",False
Cote d'Ivoire,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,120.14,"19,823",False
Cote d'Ivoire,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,155.68,"25,687",False
Cote d'Ivoire,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,156.88,"25,886",False
Cote d'Ivoire,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,280.8,"46,332",False
Cote d'Ivoire,Congenital anomalies,Noncommunicable diseases,2019.0,20.27,"5,208",False
Cote d'Ivoire,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,21.48,"5,521",False
Cote d'Ivoire,Road injury,Injuries,2019.0,24.13,"6,202",False
Cote d'Ivoire,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,36.88,"9,478",False
Cote d'Ivoire,Stroke,Noncommunicable diseases,2019.0,39.1,"10,048",False
Cote d'Ivoire,Ischaemic heart disease,Noncommunicable diseases,2019.0,43.09,"11,073",False
Cote d'Ivoire,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,43.8,"11,256",False
Cote d'Ivoire,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,49.77,"12,791",False
Cote d'Ivoire,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,82.98,"21,327",False
Cote d'Ivoire,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,107.71,"27,682",False
Cameroon,Diabetes mellitus,Noncommunicable diseases,2000.0,23.46,"3,637",False
Cameroon,Road injury,Injuries,2000.0,27.47,"4,258",False
Cameroon,Ischaemic heart disease,Noncommunicable diseases,2000.0,48.47,"7,513",False
Cameroon,Stroke,Noncommunicable diseases,2000.0,58.8,"9,115",False
Cameroon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,62.25,"9,648",False
Cameroon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,107.94,"16,730",False
Cameroon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,118.76,"18,408",False
Cameroon,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,126.44,"19,598",False
Cameroon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,131.19,"20,334",False
Cameroon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,151.09,"23,419",False
Cameroon,Diabetes mellitus,Noncommunicable diseases,2019.0,21.11,"5,468",False
Cameroon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,28.63,"7,414",False
Cameroon,Road injury,Injuries,2019.0,30.15,"7,810",False
Cameroon,Ischaemic heart disease,Noncommunicable diseases,2019.0,41.29,"10,695",False
Cameroon,Stroke,Noncommunicable diseases,2019.0,43.24,"11,199",False
Cameroon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,43.37,"11,233",False
Cameroon,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,45.75,"11,849",False
Cameroon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,53.62,"13,888",False
Cameroon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,76.04,"19,694",False
Cameroon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,79.3,"20,538",False
DR Congo,Congenital anomalies,Noncommunicable diseases,2000.0,20.73,"9,764",False
DR Congo,Road injury,Injuries,2000.0,38.11,"17,950",False
DR Congo,Ischaemic heart disease,Noncommunicable diseases,2000.0,46.62,"21,957",False
DR Congo,Stroke,Noncommunicable diseases,2000.0,51.3,"24,162",False
DR Congo,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,55.0,"25,904",False
DR Congo,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,61.14,"28,798",False
DR Congo,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,112.31,"52,897",False
DR Congo,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,152.7,"71,920",False
DR Congo,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,154.74,"72,881",False
DR Congo,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,190.05,"89,512",False
DR Congo,Congenital anomalies,Noncommunicable diseases,2019.0,18.73,"16,256",False
DR Congo,Road injury,Injuries,2019.0,34.86,"30,256",False
DR Congo,Ischaemic heart disease,Noncommunicable diseases,2019.0,39.99,"34,713",False
DR Congo,Stroke,Noncommunicable diseases,2019.0,42.16,"36,596",False
DR Congo,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.58,"41,301",False
DR Congo,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,48.17,"41,813",False
DR Congo,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,48.68,"42,254",False
DR Congo,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,50.41,"43,759",False
DR Congo,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,84.73,"73,546",False
DR Congo,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,99.45,"86,324",False
Congo Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,18.16,568,False
Congo Republic,Road injury,Injuries,2000.0,26.28,822,False
Congo Republic,Diabetes mellitus,Noncommunicable diseases,2000.0,28.14,880,False
Congo Republic,Ischaemic heart disease,Noncommunicable diseases,2000.0,65.78,"2,057",False
Congo Republic,Stroke,Noncommunicable diseases,2000.0,71.08,"2,223",False
Congo Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,82.85,"2,591",False
Congo Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,93.4,"2,921",False
Congo Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,106.51,"3,331",False
Congo Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,116.2,"3,634",False
Congo Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,183.6,"5,742",False
Congo Republic,Diabetes mellitus,Noncommunicable diseases,2019.0,19.51,"1,050",False
Congo Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,24.24,"1,304",False
Congo Republic,Road injury,Injuries,2019.0,29.7,"1,598",False
Congo Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,36.74,"1,977",False
Congo Republic,Stroke,Noncommunicable diseases,2019.0,42.13,"2,267",False
Congo Republic,Ischaemic heart disease,Noncommunicable diseases,2019.0,46.36,"2,494",False
Congo Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.88,"2,576",False
Congo Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,51.69,"2,781",False
Congo Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,54.02,"2,906",False
Congo Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,83.81,"4,509",False
Comoros,Diabetes mellitus,Noncommunicable diseases,2000.0,16.97,92,False
Comoros,Congenital anomalies,Noncommunicable diseases,2000.0,18.83,102,False
Comoros,Cirrhosis of the liver,Noncommunicable diseases,2000.0,22.1,120,False
Comoros,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,26.61,144,False
Comoros,Road injury,Injuries,2000.0,26.92,146,False
Comoros,Ischaemic heart disease,Noncommunicable diseases,2000.0,40.78,221,False
Comoros,Stroke,Noncommunicable diseases,2000.0,52.62,285,False
Comoros,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,102.94,558,False
Comoros,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,118.7,644,False
Comoros,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,133.31,723,False
Comoros,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,13.57,115,False
Comoros,Congenital anomalies,Noncommunicable diseases,2019.0,15.36,131,False
Comoros,Diabetes mellitus,Noncommunicable diseases,2019.0,16.02,136,False
Comoros,Cirrhosis of the liver,Noncommunicable diseases,2019.0,18.77,160,False
Comoros,Road injury,Injuries,2019.0,26.57,226,False
Comoros,Ischaemic heart disease,Noncommunicable diseases,2019.0,40.97,349,False
Comoros,Stroke,Noncommunicable diseases,2019.0,41.8,356,False
Comoros,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,42.69,363,False
Comoros,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,69.86,594,False
Comoros,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,84.37,718,False
Cabo Verde,Alzheimer disease and other dementias,Noncommunicable diseases,2000.0,7.29,31,False
Cabo Verde,Interpersonal violence,Injuries,2000.0,9.25,40,False
Cabo Verde,Kidney diseases,Noncommunicable diseases,2000.0,10.6,45,False
Cabo Verde,Diabetes mellitus,Noncommunicable diseases,2000.0,11.78,50,False
Cabo Verde,Self-harm,Injuries,2000.0,12.01,51,False
Cabo Verde,Cirrhosis of the liver,Noncommunicable diseases,2000.0,17.53,75,False
Cabo Verde,Road injury,Injuries,2000.0,22.89,98,False
Cabo Verde,Stroke,Noncommunicable diseases,2000.0,38.11,163,False
Cabo Verde,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,48.0,206,False
Cabo Verde,Ischaemic heart disease,Noncommunicable diseases,2000.0,56.6,242,False
Cabo Verde,Alzheimer disease and other dementias,Noncommunicable diseases,2019.0,12.29,68,False
Cabo Verde,Self-harm,Injuries,2019.0,12.93,71,False
Cabo Verde,Interpersonal violence,Injuries,2019.0,13.36,73,False
Cabo Verde,Kidney diseases,Noncommunicable diseases,2019.0,15.49,85,False
Cabo Verde,Cirrhosis of the liver,Noncommunicable diseases,2019.0,18.28,101,False
Cabo Verde,Diabetes mellitus,Noncommunicable diseases,2019.0,20.34,112,False
Cabo Verde,Road injury,Injuries,2019.0,26.78,147,False
Cabo Verde,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,42.95,236,False
Cabo Verde,Stroke,Noncommunicable diseases,2019.0,49.4,272,False
Cabo Verde,Ischaemic heart disease,Noncommunicable diseases,2019.0,83.18,457,False
Djibouti,Diabetes mellitus,Noncommunicable diseases,2000.0,17.34,124,False
Djibouti,Cirrhosis of the liver,Noncommunicable diseases,2000.0,22.87,164,False
Djibouti,Road injury,Injuries,2000.0,27.45,197,False
Djibouti,Ischaemic heart disease,Noncommunicable diseases,2000.0,40.17,288,False
Djibouti,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,44.65,320,False
Djibouti,Stroke,Noncommunicable diseases,2000.0,53.07,381,False
Djibouti,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,81.8,587,False
Djibouti,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,84.1,603,False
Djibouti,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,94.47,678,False
Djibouti,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,113.41,814,False
Djibouti,Road injury,Injuries,2019.0,23.5,229,False
Djibouti,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,24.93,243,False
Djibouti,Diabetes mellitus,Noncommunicable diseases,2019.0,29.2,284,False
Djibouti,Cirrhosis of the liver,Noncommunicable diseases,2019.0,30.27,295,False
Djibouti,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,35.78,348,False
Djibouti,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,37.44,364,False
Djibouti,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,55.33,539,False
Djibouti,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,68.89,671,False
Djibouti,Stroke,Noncommunicable diseases,2019.0,69.81,680,False
Djibouti,Ischaemic heart disease,Noncommunicable diseases,2019.0,70.6,687,False
Algeria,Diabetes mellitus,Noncommunicable diseases,2000.0,5.64,"1,747",False
Algeria,Alzheimer disease and other dementias,Noncommunicable diseases,2000.0,7.12,"2,206",False
Algeria,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000.0,7.95,"2,464",False
Algeria,Kidney diseases,Noncommunicable diseases,2000.0,11.68,"3,620",False
Algeria,Hypertensive heart disease,Noncommunicable diseases,2000.0,15.6,"4,837",False
Algeria,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,22.32,"6,918",False
Algeria,Road injury,Injuries,2000.0,22.57,"6,996",False
Algeria,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,35.01,"10,854",False
Algeria,Stroke,Noncommunicable diseases,2000.0,49.05,"15,204",False
Algeria,Ischaemic heart disease,Noncommunicable diseases,2000.0,109.12,"33,827",False
Algeria,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019.0,10.83,"4,668",False
Algeria,Diabetes mellitus,Noncommunicable diseases,2019.0,10.85,"4,678",False
Algeria,Alzheimer disease and other dementias,Noncommunicable diseases,2019.0,13.07,"5,635",False
Algeria,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,16.91,"7,289",False
Algeria,Kidney diseases,Noncommunicable diseases,2019.0,17.47,"7,528",False
Algeria,Hypertensive heart disease,Noncommunicable diseases,2019.0,19.42,"8,370",False
Algeria,Road injury,Injuries,2019.0,20.87,"8,996",False
Algeria,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,29.37,"12,656",False
Algeria,Stroke,Noncommunicable diseases,2019.0,54.28,"23,393",False
Algeria,Ischaemic heart disease,Noncommunicable diseases,2019.0,126.56,"54,547",False
Egypt,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000.0,11.28,"7,759",False
Egypt,Diabetes mellitus,Noncommunicable diseases,2000.0,12.71,"8,744",False
Egypt,Kidney diseases,Noncommunicable diseases,2000.0,16.72,"11,504",False
Egypt,Liver cancer,Noncommunicable diseases,2000.0,17.35,"11,934",False
Egypt,Hypertensive heart disease,Noncommunicable diseases,2000.0,18.39,"12,649",False
Egypt,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,35.96,"24,742",False
Egypt,Stroke,Noncommunicable diseases,2000.0,41.69,"28,683",False
Egypt,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,51.64,"35,529",False
Egypt,Cirrhosis of the liver,Noncommunicable diseases,2000.0,57.38,"39,475",False
Egypt,Ischaemic heart disease,Noncommunicable diseases,2000.0,154.14,"106,048",False
Egypt,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019.0,13.39,"13,393",False
Egypt,Diabetes mellitus,Noncommunicable diseases,2019.0,19.13,"19,131",False
Egypt,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,20.69,"20,694",False
Egypt,Hypertensive heart disease,Noncommunicable diseases,2019.0,21.09,"21,094",False
Egypt,Kidney diseases,Noncommunicable diseases,2019.0,21.09,"21,087",False
Egypt,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,22.62,"22,624",False
Egypt,Liver cancer,Noncommunicable diseases,2019.0,24.51,"24,512",False
