date,indicator,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Democratic Republic of","Congo, Republic of",Cote d'Ivoire,Djibouti,Eastern and Southern Africa,"Egypt, Arab Republic of",Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Southern Africa,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2018-01-31,Monthly Disbursements,0.0,5.24,1.28,0.0,13.67,3.33,0.43,5.21,0.0,0.99,1.06,23.79,4.84,4.94,0.12,,70.02,0.0,0.0,,115.63,2.12,2.34,2.99,4.87,1.89,47.28,1.23,0.68,20.06,11.88,20.1,1.82,0.0,2.95,12.93,0.0,16.37,66.1,10.3,0.02,16.33,0.0,1.74,0.0,0.0,0.6,0.0,0.0,0.29,40.8,2.1,30.89,23.02,8.64,0.0
2018-02-28,Monthly Disbursements,0.0,3.03,0.22,0.0,23.14,10.84,0.0,10.61,8.08,1.67,0.98,27.36,3.78,17.12,1.16,,27.06,0.0,0.0,,121.18,15.22,0.9,32.29,4.03,0.57,56.66,1.8,8.45,12.31,10.54,10.61,0.39,0.0,67.39,16.87,0.0,8.02,135.87,2.3,0.24,3.42,0.0,0.68,0.0,0.0,4.28,0.0,0.0,0.7,81.79,7.28,2.86,21.67,19.01,0.0
2018-03-31,Monthly Disbursements,0.0,5.03,3.2,0.0,95.33,9.25,0.02,34.91,1.53,2.98,1.23,39.51,2.92,9.66,0.66,,1162.49,0.0,0.0,,286.02,1.92,5.02,12.85,5.11,0.95,31.69,4.8,25.02,16.18,8.25,29.16,3.94,-0.03,8.9,15.36,0.0,26.64,103.57,11.13,-0.11,23.4,0.0,9.7,0.0,52.99,4.5,0.0,0.0,0.3,69.06,1.04,10.85,12.9,2.04,0.0
2018-04-30,Monthly Disbursements,0.0,3.05,1.81,0.0,40.09,6.13,1.74,3.9,15.59,11.08,0.41,46.59,5.47,4.51,3.0,,92.83,0.0,0.0,,76.36,1.06,3.31,15.67,6.27,0.83,51.75,6.22,-0.0,4.25,7.59,15.95,3.95,0.0,15.07,31.82,0.0,11.45,92.04,2.8,0.26,10.56,0.01,7.96,0.0,0.0,1.59,0.0,0.0,0.4,20.87,1.15,9.79,15.33,14.3,0.0
2018-05-31,Monthly Disbursements,0.0,3.64,12.35,8.0,31.25,4.87,1.15,4.77,2.21,2.81,1.09,53.47,2.49,19.34,2.72,,60.04,0.0,-0.0,,35.53,0.25,1.82,1.47,5.23,3.12,50.71,4.27,6.64,8.09,9.92,17.46,0.7,0.0,6.97,21.51,0.0,16.68,45.63,8.29,0.0,9.39,0.65,5.92,0.0,0.0,0.94,0.0,0.0,0.0,25.67,0.75,2.53,53.72,16.79,0.0
2018-06-30,Monthly Disbursements,0.0,4.93,5.61,2.01,34.92,15.0,1.22,70.66,47.1,7.81,1.15,63.92,5.8,31.04,1.61,,116.65,0.0,0.0,,296.5,12.17,0.38,30.31,9.89,1.77,120.03,3.13,8.63,15.08,9.41,27.05,6.27,0.0,74.89,54.5,0.0,36.13,141.81,49.78,0.57,27.95,0.0,0.0,0.0,6.64,5.77,0.0,0.0,0.16,123.5,5.28,22.52,18.91,31.94,-0.0
2018-07-31,Monthly Disbursements,0.0,0.89,3.9,1.62,14.63,1.94,0.0,25.33,4.13,5.64,0.61,34.65,4.45,3.0,0.89,,16.29,0.0,0.0,,19.7,28.3,0.89,0.22,6.25,32.15,26.82,0.22,5.3,13.94,9.19,5.93,3.14,0.0,45.62,9.88,0.0,9.16,81.41,0.5,0.0,2.9,0.3,3.17,0.0,0.0,1.48,0.0,0.0,,10.32,2.42,5.33,1.08,10.81,0.0
2018-08-31,Monthly Disbursements,0.0,4.2,0.75,3.86,10.08,2.29,0.0,0.0,5.99,1.52,0.06,20.1,4.86,4.11,1.29,,20.25,0.0,0.0,0.0,79.6,4.3,0.8,5.28,5.27,0.86,38.23,3.04,6.65,10.09,18.36,15.7,1.22,0.0,8.0,20.03,0.0,7.15,23.2,1.16,6.2,8.35,0.0,1.93,0.0,0.0,4.08,0.0,0.0,,7.44,1.3,0.41,24.41,5.7,0.0
2018-09-30,Monthly Disbursements,0.0,2.96,3.02,7.24,7.97,12.06,0.13,13.68,3.11,6.93,0.78,28.84,1.1,5.36,1.41,,12.45,0.0,-0.0,0.75,45.38,0.59,4.28,5.63,65.88,0.72,38.5,4.12,6.12,8.95,17.43,3.28,3.48,0.0,17.82,15.36,0.0,6.93,78.81,13.62,0.22,6.69,0.0,0.43,0.0,0.0,11.5,0.0,0.0,,24.22,2.06,484.62,0.0,3.46,0.0
2018-10-31,Monthly Disbursements,0.0,19.94,13.17,3.29,16.54,2.05,0.37,2.89,2.95,3.62,0.75,57.85,1.14,9.3,1.89,,136.52,0.0,0.0,0.8,5.85,0.78,2.45,24.95,6.23,1.36,40.91,1.47,3.42,6.05,7.87,67.67,2.28,0.0,15.84,17.43,0.0,11.25,15.6,5.35,2.17,8.17,0.0,-0.0,0.0,0.0,5.4,0.0,0.0,,82.68,3.39,30.29,22.04,2.89,0.0
2018-11-30,Monthly Disbursements,0.0,12.19,38.98,0.0,4.16,2.89,0.09,2.7,3.69,65.83,0.29,23.03,3.38,23.95,1.45,,151.1,0.0,0.0,0.0,166.07,0.22,6.05,1.69,7.41,8.57,101.59,2.56,7.92,68.7,12.87,10.0,3.85,0.0,2.11,22.54,0.0,8.05,19.15,1.02,0.36,15.65,0.0,2.31,0.0,0.0,0.44,0.0,0.0,,22.61,1.91,12.22,1.56,14.91,0.0
2018-12-31,Monthly Disbursements,0.0,2.56,25.52,5.07,115.66,14.01,3.11,0.66,2.46,14.02,0.74,63.91,4.66,126.62,1.08,,48.23,0.0,-0.0,0.0,874.47,1.57,5.72,8.08,12.68,1.37,155.75,3.72,12.35,12.89,4.29,24.17,5.0,0.0,73.12,34.89,0.0,126.55,144.25,147.0,0.5,9.51,0.0,1.33,0.0,20.63,1.98,0.0,0.0,,50.0,41.03,-0.59,25.97,10.84,0.0
2019-01-31,Monthly Disbursements,-0.0,2.96,0.97,0.0,7.81,4.8,0.0,10.63,2.52,2.45,0.65,33.87,1.72,5.11,2.51,,11.33,0.0,0.0,0.0,6.05,-0.0,0.63,31.46,5.56,2.31,52.86,1.3,4.63,4.28,5.15,10.16,1.12,-0.0,1.77,15.86,0.0,15.56,56.76,14.7,0.69,11.86,0.0,1.53,0.0,-0.0,0.29,0.0,0.0,,34.79,4.82,14.81,39.41,1.67,0.0
2019-02-28,Monthly Disbursements,0.0,10.91,32.99,1.08,15.49,11.62,0.1,7.1,2.8,7.21,0.85,19.27,3.78,30.21,0.69,,510.61,0.0,0.0,0.0,183.79,0.52,0.39,0.57,3.27,0.87,34.8,5.95,9.86,4.69,6.54,14.06,0.97,0.0,17.98,20.62,0.0,13.69,100.22,6.07,0.09,216.98,0.0,6.22,0.0,0.0,2.98,0.0,0.0,,22.07,1.09,2.0,25.62,4.1,-0.0
2019-03-31,Monthly Disbursements,-0.0,4.27,4.47,2.71,6.61,5.82,2.63,28.49,9.02,2.48,0.15,19.9,3.07,18.57,2.38,,18.25,0.0,-0.0,-0.02,443.26,5.52,-0.0,1.69,4.52,2.74,31.83,2.57,3.53,9.79,33.4,19.38,5.0,-0.0,18.79,10.94,0.0,6.91,242.31,4.95,1.34,15.95,0.0,10.45,0.0,-0.0,0.24,0.0,0.0,,38.37,1.87,4.33,21.88,10.02,0.0
2019-04-30,Monthly Disbursements,0.0,16.29,5.34,0.26,10.72,14.36,0.03,2.97,15.45,5.28,0.0,47.37,4.0,15.55,1.59,,77.41,0.0,0.0,0.0,68.55,0.41,1.33,35.16,8.91,3.83,26.09,1.15,4.94,9.18,5.43,18.73,5.33,0.0,685.3,45.93,0.0,9.3,81.27,9.2,0.21,24.73,0.28,50.02,0.0,0.0,1.58,0.0,0.0,,64.23,9.5,9.04,17.86,4.68,0.0
2019-05-31,Monthly Disbursements,0.0,6.37,4.2,1.6,79.62,10.63,10.79,14.28,3.0,3.88,0.8,34.55,4.68,29.55,1.33,,515.62,0.0,0.0,-0.03,116.98,0.0,1.05,9.75,8.2,3.35,52.81,4.08,17.4,4.91,12.3,6.8,3.28,0.0,39.18,23.96,0.0,11.13,69.87,17.46,0.22,14.41,0.0,12.75,4.0,1.12,6.48,0.0,0.0,,38.79,3.14,10.77,24.48,30.22,0.0
2019-06-30,Monthly Disbursements,0.0,28.74,14.24,0.76,19.23,21.04,8.02,6.02,101.58,9.82,0.79,74.29,4.38,41.16,0.41,,290.46,0.0,0.0,0.0,226.81,198.91,-0.16,23.4,13.94,1.03,804.23,1.29,19.56,10.08,53.72,31.71,6.63,0.0,73.15,38.91,0.0,34.93,539.54,50.8,1.34,41.91,0.0,12.1,3.1,25.37,19.66,0.0,0.0,,46.65,4.98,22.96,146.8,13.02,0.0
2019-07-31,Monthly Disbursements,0.0,2.31,2.5,1.33,17.64,5.55,0.15,1.81,-3.49,20.18,0.75,17.32,5.3,3.21,0.63,,27.57,0.0,-0.0,0.0,127.49,19.81,6.38,2.0,3.83,2.01,74.71,2.1,0.74,102.66,1.84,8.05,51.47,0.0,25.54,9.75,0.0,9.44,56.76,4.48,2.56,10.1,0.0,3.52,4.32,0.0,-0.0,0.0,0.0,,29.58,4.69,0.24,-1.25,7.14,0.0
2019-08-31,Monthly Disbursements,0.0,12.52,14.92,0.61,102.81,3.34,39.81,6.53,1.59,2.51,0.38,19.59,5.83,21.82,2.43,,70.29,0.0,0.0,0.0,84.38,0.0,0.62,10.63,2.73,3.86,27.98,1.02,7.43,8.49,1.68,4.11,5.12,0.0,40.09,23.7,0.0,4.97,112.22,2.07,1.04,5.55,0.25,5.13,0.15,0.0,2.06,0.0,0.0,,11.07,6.21,9.49,11.74,4.87,30.76
2019-09-30,Monthly Disbursements,0.0,6.03,14.29,0.0,1.37,11.14,1.52,22.63,3.9,6.11,0.21,46.77,1.92,8.29,0.5,,87.94,0.0,-0.0,0.0,73.56,0.0,0.47,3.46,3.19,1.3,117.83,9.34,3.83,5.0,10.37,9.45,3.02,0.0,76.44,18.33,0.0,12.41,132.55,25.37,1.58,18.65,0.0,12.59,0.93,0.0,15.24,0.0,0.0,,85.5,3.1,0.0,16.62,11.27,0.0
2019-10-31,Monthly Disbursements,0.0,11.01,6.28,0.0,10.03,12.64,2.91,1.49,4.04,2.96,0.36,24.61,8.35,15.0,0.88,,51.55,0.0,0.0,0.0,81.98,0.0,0.64,10.74,6.44,2.36,98.51,3.76,10.36,4.26,13.28,9.76,1.43,0.0,4.55,15.44,0.0,12.97,56.8,128.36,0.67,20.69,0.0,7.52,0.04,0.0,0.14,0.0,0.0,,43.79,6.4,50.23,30.1,8.32,-0.0
2019-11-30,Monthly Disbursements,0.0,19.17,9.17,0.0,12.27,9.72,0.03,216.63,1.77,3.36,0.17,62.66,3.11,40.63,1.96,,38.99,0.0,0.0,0.0,81.49,0.0,2.8,27.62,6.67,0.54,33.04,3.72,11.0,6.01,7.48,14.78,4.92,0.0,23.32,24.0,0.0,9.0,54.38,25.41,1.29,11.64,0.0,2.87,5.43,0.0,30.35,0.0,0.0,,188.2,3.12,8.4,50.29,8.07,0.0
2019-12-31,Monthly Disbursements,0.0,512.41,117.5,0.0,17.95,14.79,0.72,6.26,27.4,3.43,0.53,56.48,9.3,25.04,2.32,,48.0,0.0,0.0,0.0,296.45,0.0,1.13,-0.52,97.96,1.87,138.64,2.53,15.1,41.42,2.31,267.95,7.07,0.0,133.69,31.96,0.0,368.47,91.46,20.13,5.89,230.26,0.0,7.3,11.89,0.0,0.69,0.0,0.0,,20.47,157.66,2.96,18.36,16.96,0.0
2020-01-31,Monthly Disbursements,0.0,4.77,4.55,10.42,7.56,6.49,1.52,5.87,3.39,2.67,0.46,20.47,3.38,18.64,1.16,,38.17,0.0,0.0,0.0,58.89,0.0,5.54,46.46,9.43,4.1,79.49,3.75,11.27,16.83,3.62,14.11,4.9,0.0,15.03,27.46,0.0,11.23,41.12,51.14,0.39,20.23,0.0,5.01,1.0,0.0,0.0,0.0,0.0,,39.45,6.43,37.14,19.13,8.65,0.0
2020-02-29,Monthly Disbursements,0.0,4.77,5.96,0.0,13.28,4.39,4.86,4.26,5.78,101.76,0.0,102.17,5.74,28.85,3.09,,381.72,0.0,-0.0,0.0,66.31,2.47,0.29,64.56,5.15,0.33,2.25,2.62,1.02,6.01,23.63,12.39,4.43,0.0,16.3,42.48,0.0,16.77,27.22,17.92,0.0,13.93,0.0,5.62,0.19,20.19,0.01,0.0,0.0,,0.77,3.15,0.18,69.18,14.23,0.0
2020-03-31,Monthly Disbursements,0.0,5.11,22.09,0.0,6.54,18.15,3.86,23.88,8.78,4.85,0.58,34.08,3.64,28.27,2.65,,97.35,0.0,0.0,0.0,125.92,9.23,3.2,74.34,4.96,1.74,86.78,4.41,46.57,12.57,13.2,16.64,1.82,0.0,14.97,33.98,0.0,18.44,58.96,8.78,0.7,18.14,0.0,5.8,414.36,-0.0,0.0,0.0,0.0,,105.35,3.18,15.37,48.39,14.23,0.0
2020-04-30,Monthly Disbursements,0.0,13.0,7.6,0.0,23.49,5.5,11.16,17.53,8.15,7.8,5.41,20.66,7.35,223.98,7.17,,45.16,0.0,0.0,0.0,585.78,4.53,3.2,57.14,5.82,1.08,126.14,4.02,4.51,11.67,33.95,19.93,10.6,0.0,416.57,25.05,0.0,13.9,248.16,3.34,1.99,28.12,7.13,13.39,21.62,0.0,0.01,0.0,0.0,,134.76,9.26,17.18,35.83,8.73,-0.0
2020-05-31,Monthly Disbursements,0.0,7.15,10.15,5.21,4.57,7.62,5.35,4.82,4.35,2.98,6.61,14.38,2.57,12.55,1.14,,57.52,0.0,0.0,-0.04,49.11,8.18,0.92,23.98,10.03,3.44,898.17,3.33,8.31,125.26,0.59,7.91,4.77,0.0,1.39,39.79,0.0,8.74,65.65,17.46,0.27,26.97,0.0,1.2,0.56,0.0,27.33,0.0,0.0,,36.53,3.64,0.43,3.95,8.72,0.0
2020-06-30,Monthly Disbursements,0.0,7.14,61.69,3.46,219.79,10.75,1.16,5.65,9.69,22.42,1.41,29.36,5.36,62.3,3.07,,17.49,0.0,0.0,4.05,570.71,9.58,5.31,10.8,14.25,14.52,477.77,5.09,14.51,15.29,15.81,35.85,5.71,0.0,46.71,49.04,0.0,33.22,79.92,141.52,0.52,130.08,0.0,28.05,60.3,34.82,2.51,0.0,0.0,,55.21,10.66,103.45,28.07,14.3,13.95
2020-07-31,Monthly Disbursements,-0.0,5.23,33.73,0.0,17.4,3.76,3.21,5.0,2.75,31.8,2.06,29.42,5.71,14.26,5.53,,102.59,0.0,0.0,0.26,56.68,-0.0,7.22,4.14,5.52,3.74,17.99,0.72,6.23,6.29,11.67,26.56,7.43,-0.0,39.51,31.31,0.0,16.92,53.7,124.89,0.8,14.28,15.0,110.31,2.44,-0.0,0.01,0.0,0.0,,39.17,3.79,30.32,395.23,7.23,0.0
2020-08-31,Monthly Disbursements,0.0,10.64,11.59,0.0,10.17,5.72,0.88,3.32,7.4,11.32,0.28,26.32,9.6,53.46,0.1,,13.95,0.0,0.0,0.0,2.49,0.0,34.51,11.96,5.25,0.86,24.8,0.49,2.16,6.54,2.84,9.55,74.98,0.0,545.98,7.96,0.0,17.47,15.39,23.08,0.61,0.28,0.0,23.79,2.01,0.0,0.02,0.0,0.0,,50.94,2.27,5.25,43.84,9.25,0.0
2020-09-30,Monthly Disbursements,0.0,17.21,8.58,0.0,20.14,7.75,27.09,16.95,35.65,5.33,0.66,14.75,14.46,21.42,3.52,,138.56,0.0,0.0,4.88,216.96,-0.01,3.51,33.59,90.22,4.48,53.14,5.18,2.71,21.32,11.27,0.45,10.22,0.0,13.59,17.52,0.0,291.01,30.03,26.33,2.89,25.3,0.0,3.81,20.51,0.0,2.84,0.0,0.0,,34.86,6.19,1.17,24.13,9.23,0.0
2020-10-31,Monthly Disbursements,0.0,19.88,9.54,0.0,16.87,2.06,5.01,5.83,17.76,3.55,1.08,42.93,5.69,11.62,3.44,,39.43,0.0,0.0,0.0,29.65,14.45,6.39,35.46,6.0,3.46,79.99,0.92,10.76,8.87,37.99,0.0,9.68,0.0,23.25,37.54,0.0,13.33,202.77,29.71,1.1,30.83,0.0,2.83,1.8,0.0,8.37,0.0,0.0,,1.22,80.02,0.42,43.37,24.24,-0.0
2020-11-30,Monthly Disbursements,0.0,23.11,6.63,14.15,18.62,7.54,0.88,10.28,66.19,-0.02,6.92,73.27,12.68,17.83,1.27,,58.8,0.0,0.0,0.0,112.97,3.55,3.66,13.98,3.44,1.07,66.46,1.54,0.68,35.44,15.08,18.11,7.16,0.0,3.53,49.45,0.0,27.46,43.62,7.82,-0.1,45.25,0.0,10.61,3.81,0.0,1.1,0.0,0.0,,51.48,5.77,1.93,5.67,8.81,0.0
2020-12-31,Monthly Disbursements,0.0,3.37,113.55,-8.82,46.43,7.04,1.17,-1.41,7.3,9.13,11.36,59.25,16.06,50.65,2.36,,179.13,0.0,0.0,0.54,189.78,-0.22,9.65,20.13,3.92,1.38,92.26,0.41,5.82,54.19,23.65,23.46,19.29,0.0,49.61,137.26,0.0,46.0,361.86,23.73,10.67,4.79,0.0,7.74,42.07,0.0,2.64,0.0,100.64,,19.34,14.34,256.04,73.23,12.57,0.0
2021-01-31,Monthly Disbursements,0.0,11.17,8.17,0.0,13.87,5.11,6.0,4.98,3.05,8.79,0.47,24.93,7.31,7.9,4.75,,74.6,0.0,0.0,39.9,32.95,6.25,2.38,9.29,5.21,1.56,10.99,2.79,4.32,4.74,7.46,6.23,3.13,0.0,15.51,19.3,0.0,19.73,63.53,24.05,0.44,16.23,0.0,3.33,0.43,23.36,0.0,0.0,0.0,,1.13,7.21,6.47,10.23,0.95,0.0
2021-02-28,Monthly Disbursements,0.0,5.73,8.65,0.0,29.68,8.76,1.77,6.52,5.22,1.32,0.35,26.36,12.55,23.49,2.07,,26.88,0.0,0.0,3.91,12.45,0.75,1.12,121.86,8.72,5.16,81.4,0.08,15.74,22.41,29.47,17.42,6.42,0.0,14.05,73.02,0.0,31.8,16.61,10.24,0.09,18.3,0.0,34.57,13.38,0.0,2.55,0.0,0.0,,10.13,3.18,0.0,5.07,2.1,6.32
2021-03-31,Monthly Disbursements,0.0,21.2,12.06,11.66,89.46,10.98,4.8,10.56,7.28,11.49,6.2,18.53,6.83,108.48,4.1,,41.49,0.0,0.0,1.8,64.62,0.7,0.98,36.98,75.52,0.97,69.89,2.66,31.58,10.92,19.7,21.53,4.62,0.0,148.93,52.93,0.0,15.27,152.14,180.48,0.04,21.1,0.0,9.95,2.48,0.0,0.0,0.0,1309.19,,8.76,4.34,2.33,11.07,35.91,0.0
2021-04-30,Monthly Disbursements,0.0,6.47,14.79,0.0,22.67,4.13,7.8,26.77,6.63,6.96,1.03,30.01,6.01,327.92,2.1,,20.89,0.0,0.0,-0.0,195.45,-0.81,5.18,14.26,20.99,1.94,20.78,4.14,7.84,24.86,13.2,85.06,5.91,0.0,31.84,29.87,0.0,20.56,52.4,6.89,1.4,63.72,0.0,10.27,33.29,0.0,6.35,0.0,0.0,,31.55,2.31,3.11,6.94,5.65,0.0
2021-05-31,Monthly Disbursements,-0.0,9.46,6.92,24.91,113.62,9.6,5.21,27.68,-1.2,-0.13,5.14,28.8,13.47,25.03,8.92,,9.73,0.0,0.0,0.0,2.84,-0.0,0.87,21.08,9.15,0.51,93.94,8.87,3.59,5.11,2.88,10.79,7.96,-0.0,182.04,24.04,0.0,9.33,17.57,6.83,1.92,14.42,0.0,6.62,0.33,-0.0,0.0,0.0,0.0,,98.63,6.33,7.58,0.0,13.31,0.0
2021-06-30,Monthly Disbursements,0.0,5.4,30.42,0.0,58.8,9.27,3.5,66.77,7.88,0.0,0.82,306.02,10.75,79.7,6.55,,123.8,0.0,0.0,0.0,316.43,-0.92,20.6,79.97,25.79,10.73,869.02,7.56,4.64,126.95,24.7,0.0,7.39,0.0,0.93,51.02,0.0,43.92,382.21,41.09,4.08,61.09,0.22,11.08,16.1,0.0,0.0,0.0,0.0,,119.29,7.97,35.39,119.81,11.94,0.0
2021-07-31,Monthly Disbursements,0.0,2.84,5.35,0.0,16.67,3.67,1.75,102.15,6.69,13.99,0.74,14.78,4.11,19.38,0.97,,5.19,0.0,0.0,0.0,78.1,0.36,2.35,16.69,3.39,9.2,5.69,2.7,45.3,8.5,2.13,1.03,4.36,0.0,0.0,25.66,0.0,8.31,-30.85,15.8,1.05,17.37,0.12,8.87,0.56,0.0,25.31,0.0,0.0,,50.19,2.29,123.05,15.34,1.87,0.0
2021-08-31,Monthly Disbursements,0.0,702.7,3.48,0.0,17.01,3.06,1.45,18.28,10.34,9.4,0.06,10.35,4.35,22.59,3.53,,46.19,0.0,0.0,0.63,55.59,0.02,1.41,6.49,8.07,3.81,36.17,2.91,5.2,23.73,15.87,0.0,6.17,0.0,0.34,45.36,0.0,13.39,128.99,7.89,0.51,1.27,0.09,11.25,6.91,0.0,0.0,0.0,0.0,,62.28,2.26,101.81,155.95,5.83,0.0
