Country,Cause,Type,2000,2019,Deaths (2000),Deaths (2019)
Botswana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",61.53,22.88,"1,011",527
Botswana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",852.53,214.86,"14,010","4,950"
Botswana,Ischaemic heart disease,Noncommunicable diseases,73.78,70.84,"1,212","1,632"
Botswana,Kidney diseases,Noncommunicable diseases,22.46,21.98,369,506
Botswana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",108.87,72.65,"1,789","1,674"
Botswana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",15.86,38.92,261,897
Botswana,Road injury,Injuries,31.84,26.41,523,608
Botswana,Stroke,Noncommunicable diseases,85.26,68.94,"1,401","1,588"
Botswana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",43.38,28.16,713,649
British Indian Ocean Territory,,,,,,
Burkina Faso,Congenital anomalies,Noncommunicable diseases,18.66,17.31,"2,164","3,515"
Burkina Faso,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",129.91,58.56,"15,070","11,887"
Burkina Faso,Ischaemic heart disease,Noncommunicable diseases,44.61,39.98,"5,174","8,117"
Burkina Faso,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",133.73,82.79,"15,513","16,807"
Burkina Faso,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",259.7,71.93,"30,125","14,602"
Burkina Faso,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",49.31,16.62,"5,720","3,375"
Burkina Faso,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",159.96,90.71,"18,555","18,414"
Burkina Faso,Road injury,Injuries,27.65,31.05,"3,207","6,303"
Burkina Faso,Sickle cell disorders and trait,Noncommunicable diseases,26.42,19.84,"3,065","4,028"
Burkina Faso,Stroke,Noncommunicable diseases,36.08,31.15,"4,185","6,324"
Burundi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",151.16,52.58,"9,642","6,046"
Burundi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",184.44,15.77,"11,765","1,814"
Burundi,Ischaemic heart disease,Noncommunicable diseases,44.37,32.33,"2,830","3,718"
Burundi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",161.3,67.91,"10,289","7,810"
Burundi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",192.49,44.9,"12,279","5,163"
Burundi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",136.63,74.52,"8,715","8,570"
Burundi,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",41.39,21.74,"2,640","2,500"
Burundi,Road injury,Injuries,30.35,35.56,"1,936","4,089"
Burundi,Stroke,Noncommunicable diseases,63.43,37.59,"4,046","4,323"
Burundi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",48.16,20.73,"3,072","2,385"
Cabo Verde,Alzheimer disease and other dementias,Noncommunicable diseases,7.29,12.29,31,68
Cabo Verde,Cirrhosis of the liver,Noncommunicable diseases,17.53,18.28,75,101
Cabo Verde,Diabetes mellitus,Noncommunicable diseases,11.78,20.34,50,112
Cabo Verde,Interpersonal violence,Injuries,9.25,13.36,40,73
Cabo Verde,Ischaemic heart disease,Noncommunicable diseases,56.6,83.18,242,457
Cabo Verde,Kidney diseases,Noncommunicable diseases,10.6,15.49,45,85
Cabo Verde,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",48.0,42.95,206,236
Cabo Verde,Road injury,Injuries,22.89,26.78,98,147
Cabo Verde,Self-harm,Injuries,12.01,12.93,51,71
Cabo Verde,Stroke,Noncommunicable diseases,38.11,49.4,163,272
Cameroon,Diabetes mellitus,Noncommunicable diseases,23.46,21.11,"3,637","5,468"
Cameroon,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",126.44,45.75,"19,598","11,849"
Cameroon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",118.76,53.62,"18,408","13,888"
Cameroon,Ischaemic heart disease,Noncommunicable diseases,48.47,41.29,"7,513","10,695"
Cameroon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",151.09,76.04,"23,419","19,694"
Cameroon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",107.94,43.37,"16,730","11,233"
Cameroon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",131.19,79.3,"20,334","20,538"
Cameroon,Road injury,Injuries,27.47,30.15,"4,258","7,810"
Cameroon,Stroke,Noncommunicable diseases,58.8,43.24,"9,115","11,199"
Cameroon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",62.25,28.63,"9,648","7,414"
Central African Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",192.76,98.71,"7,017","4,684"
Central African Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",272.55,79.08,"9,922","3,753"
Central African Republic,Ischaemic heart disease,Noncommunicable diseases,76.68,61.11,"2,791","2,900"
Central African Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",167.98,110.24,"6,115","5,231"
Central African Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",154.54,69.11,"5,626","3,279"
Central African Republic,Measles,"Communicable, maternal, neonatal, and nutritional diseases",46.0,34.25,"1,675","1,625"
Central African Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",167.44,119.78,"6,096","5,684"
Central African Republic,Road injury,Injuries,32.33,37.72,"1,177","1,790"
Central African Republic,Stroke,Noncommunicable diseases,94.75,69.2,"3,449","3,284"
Central African Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",80.68,99.13,"2,937","4,704"
Chad,Congenital anomalies,Noncommunicable diseases,31.61,23.43,"2,642","3,725"
Chad,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",234.47,93.34,"19,592","14,842"
Chad,Ischaemic heart disease,Noncommunicable diseases,40.25,35.47,"3,363","5,639"
Chad,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",238.7,146.1,"19,945","23,230"
Chad,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",86.35,54.28,"7,215","8,630"
Chad,Maternal conditions,"Communicable, maternal, neonatal, and nutritional diseases",37.34,23.1,"3,120","3,672"
Chad,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",59.34,30.21,"4,958","4,803"
Chad,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",185.56,123.23,"15,505","19,594"
Chad,Road injury,Injuries,26.95,32.52,"2,252","5,171"
Chad,Stroke,Noncommunicable diseases,47.42,38.1,"3,962","6,058"
Comoros,Cirrhosis of the liver,Noncommunicable diseases,22.1,18.77,120,160
Comoros,Congenital anomalies,Noncommunicable diseases,18.83,15.36,102,131
Comoros,Diabetes mellitus,Noncommunicable diseases,16.97,16.02,92,136
Comoros,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",102.94,42.69,558,363
Comoros,Ischaemic heart disease,Noncommunicable diseases,40.78,40.97,221,349
Comoros,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",118.7,69.86,644,594
Comoros,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",26.61,13.57,144,115
Comoros,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",133.31,84.37,723,718
Comoros,Road injury,Injuries,26.92,26.57,146,226
Comoros,Stroke,Noncommunicable diseases,52.62,41.8,285,356
Congo Republic,Diabetes mellitus,Noncommunicable diseases,28.14,19.51,880,"1,050"
Congo Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",93.4,24.24,"2,921","1,304"
Congo Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",183.6,83.81,"5,742","4,509"
Congo Republic,Ischaemic heart disease,Noncommunicable diseases,65.78,46.36,"2,057","2,494"
Congo Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",116.2,47.88,"3,634","2,576"
Congo Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",82.85,36.74,"2,591","1,977"
Congo Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",106.51,54.02,"3,331","2,906"
Congo Republic,Road injury,Injuries,26.28,29.7,822,"1,598"
Congo Republic,Stroke,Noncommunicable diseases,71.08,42.13,"2,223","2,267"
Congo Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",18.16,51.69,568,"2,781"
Cote d'Ivoire,Congenital anomalies,Noncommunicable diseases,18.08,20.27,"2,983","5,208"
Cote d'Ivoire,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",80.64,43.8,"13,306","11,256"
Cote d'Ivoire,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",280.8,49.77,"46,332","12,791"
Cote d'Ivoire,Ischaemic heart disease,Noncommunicable diseases,57.94,43.09,"9,560","11,073"
Cote d'Ivoire,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",120.14,82.98,"19,823","21,327"
Cote d'Ivoire,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",156.88,36.88,"25,886","9,478"
Cote d'Ivoire,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",155.68,107.71,"25,687","27,682"
Cote d'Ivoire,Road injury,Injuries,25.37,24.13,"4,187","6,202"
Cote d'Ivoire,Stroke,Noncommunicable diseases,54.53,39.1,"8,998","10,048"
Cote d'Ivoire,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",51.06,21.48,"8,426","5,521"
DR Congo,Congenital anomalies,Noncommunicable diseases,20.73,18.73,"9,764","16,256"
DR Congo,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",112.31,47.58,"52,897","41,301"
DR Congo,Ischaemic heart disease,Noncommunicable diseases,46.62,39.99,"21,957","34,713"
DR Congo,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",152.7,84.73,"71,920","73,546"
DR Congo,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",190.05,48.17,"89,512","41,813"
DR Congo,Measles,"Communicable, maternal, neonatal, and nutritional diseases",55.0,48.68,"25,904","42,254"
DR Congo,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",154.74,99.45,"72,881","86,324"
DR Congo,Road injury,Injuries,38.11,34.86,"17,950","30,256"
DR Congo,Stroke,Noncommunicable diseases,51.3,42.16,"24,162","36,596"
DR Congo,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",61.14,50.41,"28,798","43,759"
Djibouti,Cirrhosis of the liver,Noncommunicable diseases,22.87,30.27,164,295
Djibouti,Diabetes mellitus,Noncommunicable diseases,17.34,29.2,124,284
Djibouti,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",84.1,37.44,603,364
Djibouti,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",81.8,35.78,587,348
Djibouti,Ischaemic heart disease,Noncommunicable diseases,40.17,70.6,288,687
Djibouti,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",94.47,68.89,678,671
Djibouti,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",113.41,55.33,814,539
Djibouti,Road injury,Injuries,27.45,23.5,197,229
Djibouti,Stroke,Noncommunicable diseases,53.07,69.81,381,680
Djibouti,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",44.65,24.93,320,243
Egypt,Chronic obstructive pulmonary disease,Noncommunicable diseases,11.28,13.39,"7,759","13,393"
Egypt,Cirrhosis of the liver,Noncommunicable diseases,57.38,60.12,"39,475","60,122"
Egypt,Diabetes mellitus,Noncommunicable diseases,12.71,19.13,"8,744","19,131"
Egypt,Hypertensive heart disease,Noncommunicable diseases,18.39,21.09,"12,649","21,094"
Egypt,Ischaemic heart disease,Noncommunicable diseases,154.14,173.87,"106,048","173,871"
Egypt,Kidney diseases,Noncommunicable diseases,16.72,21.09,"11,504","21,087"
Egypt,Liver cancer,Noncommunicable diseases,17.35,24.51,"11,934","24,512"
Egypt,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",35.96,20.69,"24,742","20,694"
Egypt,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",51.64,22.62,"35,529","22,624"
Egypt,Stroke,Noncommunicable diseases,41.69,43.84,"28,683","43,839"
Equatorial Guinea,Diabetes mellitus,Noncommunicable diseases,25.55,22.06,155,299
Equatorial Guinea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",128.62,25.73,780,349
Equatorial Guinea,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",105.91,135.58,642,"1,838"
Equatorial Guinea,Ischaemic heart disease,Noncommunicable diseases,59.47,30.89,360,419
Equatorial Guinea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",148.3,67.31,899,913
Equatorial Guinea,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",130.49,49.23,791,668
Equatorial Guinea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",155.85,79.19,945,"1,074"
Equatorial Guinea,Road injury,Injuries,22.11,27.17,134,368
Equatorial Guinea,Stroke,Noncommunicable diseases,66.58,32.24,404,437
Equatorial Guinea,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",6.33,23.66,38,321
Eritrea,Chronic obstructive pulmonary disease,Noncommunicable diseases,23.38,18.93,536,662
Eritrea,Cirrhosis of the liver,Noncommunicable diseases,46.65,34.74,"1,069","1,215"
Eritrea,Diabetes mellitus,Noncommunicable diseases,29.85,27.01,684,944
Eritrea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",149.54,65.54,"3,428","2,292"
Eritrea,Hypertensive heart disease,Noncommunicable diseases,30.94,26.47,709,926
Eritrea,Ischaemic heart disease,Noncommunicable diseases,59.34,61.59,"1,360","2,154"
Eritrea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",151.37,93.7,"3,470","3,277"
Eritrea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",78.27,47.18,"1,794","1,650"
Eritrea,Road injury,Injuries,31.32,37.92,718,"1,326"
Eritrea,Stroke,Noncommunicable diseases,88.98,73.32,"2,040","2,564"
Eswatini,Diabetes mellitus,Noncommunicable diseases,57.23,77.69,575,892
Eswatini,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",93.82,45.04,943,517
Eswatini,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",532.02,201.51,"5,349","2,314"
Eswatini,Ischaemic heart disease,Noncommunicable diseases,50.42,65.75,507,755
Eswatini,Kidney diseases,Noncommunicable diseases,28.84,33.2,290,381
Eswatini,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",111.07,80.18,"1,117",921
Eswatini,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",63.79,44.5,641,511
Eswatini,Road injury,Injuries,29.86,33.47,300,384
Eswatini,Self-harm,Injuries,28.45,29.4,286,338
Eswatini,Stroke,Noncommunicable diseases,64.15,69.72,645,800
Ethiopia,Cirrhosis of the liver,Noncommunicable diseases,33.35,24.35,"22,079","27,270"
Ethiopia,Congenital anomalies,Noncommunicable diseases,23.19,13.96,"15,349","15,638"
Ethiopia,Diabetes mellitus,Noncommunicable diseases,20.41,14.52,"13,513","16,258"
Ethiopia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",181.24,39.61,"119,981","44,361"
Ethiopia,Ischaemic heart disease,Noncommunicable diseases,40.36,32.62,"26,715","36,530"
Ethiopia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",180.22,53.51,"119,304","59,931"
Ethiopia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",161.94,70.83,"107,203","79,332"
Ethiopia,Road injury,Injuries,24.62,28.18,"16,300","31,564"
Ethiopia,Stroke,Noncommunicable diseases,52.03,35.14,"34,447","39,362"
Ethiopia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",85.0,19.16,"56,270","21,455"
French Southern Territories,,,,,,
Gabon,Cirrhosis of the liver,Noncommunicable diseases,35.69,19.17,438,416
Gabon,Diabetes mellitus,Noncommunicable diseases,46.58,29.58,572,643
Gabon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",136.69,51.92,"1,679","1,128"
Gabon,Ischaemic heart disease,Noncommunicable diseases,78.21,46.9,961,"1,019"
Gabon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",81.99,44.45,"1,007",966
Gabon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",44.12,24.85,542,540
Gabon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",80.82,51.17,993,"1,112"
Gabon,Road injury,Injuries,21.25,23.86,261,518
Gabon,Stroke,Noncommunicable diseases,80.9,41.26,994,896
Gabon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",74.82,83.72,919,"1,819"
Gambia,Congenital anomalies,Noncommunicable diseases,21.67,16.32,286,383
Gambia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",102.37,26.65,"1,349",626
Gambia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",33.09,47.91,436,"1,125"
Gambia,Ischaemic heart disease,Noncommunicable diseases,42.26,42.88,557,"1,007"
Gambia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",114.81,57.09,"1,513","1,340"
Gambia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",54.61,28.71,720,674
Gambia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",143.58,85.9,"1,892","2,017"
Gambia,Road injury,Injuries,25.73,29.62,339,695
Gambia,Stroke,Noncommunicable diseases,38.03,34.18,501,802
Gambia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",25.72,18.95,339,445
Ghana,Cirrhosis of the liver,Noncommunicable diseases,25.38,19.91,"4,898","6,053"
Ghana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",52.34,21.51,"10,101","6,538"
Ghana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",91.73,44.62,"17,704","13,565"
Ghana,Ischaemic heart disease,Noncommunicable diseases,38.97,46.39,"7,522","14,103"
Ghana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",81.92,53.49,"15,811","16,262"
Ghana,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",88.84,36.72,"17,146","11,162"
Ghana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",107.76,56.53,"20,797","17,185"
Ghana,Road injury,Injuries,25.79,25.68,"4,977","7,808"
Ghana,Stroke,Noncommunicable diseases,46.02,49.88,"8,882","15,163"
Ghana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",46.44,33.6,"8,962","10,214"
Guinea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",135.01,53.03,"11,126","6,788"
Guinea,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",57.92,23.59,"4,773","3,020"
Guinea,Ischaemic heart disease,Noncommunicable diseases,38.13,44.26,"3,142","5,665"
Guinea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",150.43,99.92,"12,396","12,790"
Guinea,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",132.37,63.91,"10,909","8,180"
Guinea,Measles,"Communicable, maternal, neonatal, and nutritional diseases",108.69,47.07,"8,956","6,025"
Guinea,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",35.52,20.57,"2,927","2,633"
Guinea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",170.61,95.51,"14,060","12,225"
Guinea,Road injury,Injuries,31.09,29.6,"2,562","3,788"
Guinea,Stroke,Noncommunicable diseases,44.25,45.13,"3,647","5,777"
Guinea-Bissau,Cirrhosis of the liver,Noncommunicable diseases,29.36,21.08,353,405
Guinea-Bissau,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",166.37,47.52,"1,999",913
Guinea-Bissau,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",73.14,75.24,879,"1,445"
Guinea-Bissau,Ischaemic heart disease,Noncommunicable diseases,58.91,47.21,708,907
Guinea-Bissau,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",179.16,72.34,"2,152","1,390"
Guinea-Bissau,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",92.27,35.61,"1,108",684
Guinea-Bissau,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",186.21,104.47,"2,237","2,007"
Guinea-Bissau,Road injury,Injuries,30.66,32.23,368,619
Guinea-Bissau,Stroke,Noncommunicable diseases,59.41,43.16,714,829
Guinea-Bissau,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",52.89,72.19,635,"1,387"
Kenya,Cirrhosis of the liver,Noncommunicable diseases,29.77,25.48,"9,528","13,405"
Kenya,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",73.95,29.32,"23,663","15,420"
Kenya,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",339.47,39.71,"108,629","20,885"
Kenya,Ischaemic heart disease,Noncommunicable diseases,19.83,22.76,"6,345","11,972"
Kenya,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",86.75,42.91,"27,760","22,571"
Kenya,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",44.74,24.05,"14,317","12,652"
Kenya,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",96.68,48.77,"30,939","25,652"
Kenya,Road injury,Injuries,26.41,28.29,"8,452","14,883"
Kenya,Stroke,Noncommunicable diseases,33.77,30.22,"10,806","15,895"
Kenya,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",40.9,37.37,"13,089","19,655"
Lesotho,Chronic obstructive pulmonary disease,Noncommunicable diseases,38.19,51.85,776,"1,102"
Lesotho,Diabetes mellitus,Noncommunicable diseases,41.23,94.09,838,"2,000"
Lesotho,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",111.12,110.77,"2,259","2,354"
Lesotho,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",567.66,224.32,"11,540","4,767"
Lesotho,Ischaemic heart disease,Noncommunicable diseases,52.67,98.85,"1,071","2,101"
Lesotho,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",110.92,151.24,"2,255","3,214"
Lesotho,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",96.24,101.31,"1,956","2,153"
Lesotho,Self-harm,Injuries,28.56,72.44,581,"1,539"
Lesotho,Stroke,Noncommunicable diseases,80.85,132.54,"1,644","2,817"
Lesotho,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",54.84,56.86,"1,115","1,208"
Liberia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",122.54,32.24,"3,490","1,592"
Liberia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",138.32,38.87,"3,940","1,919"
Liberia,Ischaemic heart disease,Noncommunicable diseases,41.87,38.17,"1,193","1,885"
Liberia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",140.19,54.54,"3,993","2,693"
Liberia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",110.52,49.17,"3,148","2,428"
Liberia,Measles,"Communicable, maternal, neonatal, and nutritional diseases",145.93,51.74,"4,157","2,554"
Liberia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",161.86,89.21,"4,610","4,405"
Liberia,Road injury,Injuries,35.48,38.89,"1,011","1,920"
Liberia,Stroke,Noncommunicable diseases,39.98,31.96,"1,139","1,578"
Liberia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",47.98,56.03,"1,367","2,766"
Libya,Alzheimer disease and other dementias,Noncommunicable diseases,7.0,10.96,375,743
Libya,Collective violence and legal intervention,Injuries,1.15,15.56,62,"1,055"
Libya,Diabetes mellitus,Noncommunicable diseases,7.5,11.85,402,803
Libya,Hypertensive heart disease,Noncommunicable diseases,8.86,13.5,475,915
Libya,Ischaemic heart disease,Noncommunicable diseases,78.73,97.53,"4,218","6,610"
Libya,Kidney diseases,Noncommunicable diseases,12.83,17.5,687,"1,186"
Libya,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",14.58,10.97,781,744
Libya,Road injury,Injuries,20.61,21.3,"1,104","1,444"
Libya,Stroke,Noncommunicable diseases,32.73,38.41,"1,754","2,603"
Libya,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",7.11,11.98,381,812
Madagascar,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",106.92,41.06,"16,893","11,085"
Madagascar,Hypertensive heart disease,Noncommunicable diseases,23.52,22.99,"3,716","6,208"
Madagascar,Ischaemic heart disease,Noncommunicable diseases,42.41,45.88,"6,700","12,388"
Madagascar,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",138.76,54.09,"21,925","14,605"
Madagascar,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",14.26,20.4,"2,253","5,507"
Madagascar,Measles,"Communicable, maternal, neonatal, and nutritional diseases",24.48,33.97,"3,868","9,172"
Madagascar,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",112.18,51.51,"17,724","13,908"
Madagascar,Road injury,Injuries,26.57,29.18,"4,198","7,880"
Madagascar,Stroke,Noncommunicable diseases,67.71,66.53,"10,698","17,964"
