name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value),source
Austria,2014,0.0,0.19,0.44,0.33,0.27,0.0,0.19,0.44,0.33,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2015,0.0,0.16,0.3,0.62,0.24,0.0,0.16,0.3,0.62,0.24,OECD DAC Creditor Reporting System (CRS)
Austria,2016,0.0,0.19,0.32,0.81,0.27,0.0,0.19,0.32,0.81,0.27,OECD DAC Creditor Reporting System (CRS)
Austria,2017,0.0,0.22,0.34,0.37,0.29,0.0,0.22,0.34,0.37,0.29,OECD DAC Creditor Reporting System (CRS)
Austria,2018,0.0,0.23,0.36,0.28,0.28,0.0,0.23,0.36,0.28,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2019,0.0,0.24,0.38,0.29,0.28,0.0,0.24,0.38,0.29,0.28,OECD DAC Creditor Reporting System (CRS)
Austria,2020,0.0,0.25,0.37,0.38,0.29,0.0,0.25,0.37,0.38,0.29,OECD DAC Creditor Reporting System (CRS)
Austria,2021,0.0,0.27,0.42,0.45,0.32,0.0,0.27,0.42,0.45,0.32,OECD DAC Creditor Reporting System (CRS)
Belgium,2000,0.01,0.18,0.28,0.21,0.12,0.01,0.18,0.28,0.21,0.12,OECD DAC Creditor Reporting System (CRS)
Belgium,2001,0.01,0.23,0.28,0.22,0.11,0.01,0.23,0.28,0.22,0.11,OECD DAC Creditor Reporting System (CRS)
Belgium,2002,0.01,0.24,0.36,0.3,0.14,0.01,0.24,0.36,0.3,0.14,OECD DAC Creditor Reporting System (CRS)
Belgium,2003,0.02,1.01,0.27,0.42,0.12,0.02,1.01,0.27,0.42,0.12,OECD DAC Creditor Reporting System (CRS)
Belgium,2004,0.01,0.54,0.38,0.35,0.17,0.01,0.54,0.38,0.35,0.17,OECD DAC Creditor Reporting System (CRS)
Belgium,2005,0.01,0.48,0.62,0.42,0.43,0.01,0.48,0.62,0.42,0.43,OECD DAC Creditor Reporting System (CRS)
Belgium,2006,0.01,0.58,0.73,0.42,0.22,0.01,0.58,0.73,0.42,0.22,OECD DAC Creditor Reporting System (CRS)
Belgium,2007,0.01,0.64,0.54,0.57,0.18,0.01,0.64,0.54,0.57,0.18,OECD DAC Creditor Reporting System (CRS)
Belgium,2008,0.01,0.74,0.7,0.59,0.34,0.01,0.74,0.7,0.59,0.34,OECD DAC Creditor Reporting System (CRS)
Belgium,2009,0.01,0.78,0.69,0.85,0.26,0.01,0.78,0.69,0.85,0.26,OECD DAC Creditor Reporting System (CRS)
Belgium,2010,0.01,1.25,0.66,0.83,0.21,0.01,1.25,0.66,0.83,0.21,OECD DAC Creditor Reporting System (CRS)
Belgium,2011,0.01,0.87,0.66,0.94,0.32,0.01,0.87,0.66,0.94,0.32,OECD DAC Creditor Reporting System (CRS)
Belgium,2012,0.0,0.55,0.82,0.65,0.27,0.0,0.55,0.82,0.65,0.27,OECD DAC Creditor Reporting System (CRS)
Belgium,2013,0.0,0.65,0.58,0.75,0.29,0.0,0.65,0.58,0.75,0.29,OECD DAC Creditor Reporting System (CRS)
Belgium,2014,0.0,0.67,0.61,0.85,0.3,0.0,0.67,0.61,0.85,0.3,OECD DAC Creditor Reporting System (CRS)
Belgium,2015,0.0,0.52,0.42,0.67,0.27,0.0,0.52,0.42,0.67,0.27,OECD DAC Creditor Reporting System (CRS)
Belgium,2016,0.0,0.53,0.49,0.88,0.39,0.0,0.53,0.49,0.88,0.39,OECD DAC Creditor Reporting System (CRS)
Belgium,2017,0.0,0.54,0.46,0.87,0.31,0.0,0.54,0.46,0.87,0.31,OECD DAC Creditor Reporting System (CRS)
Belgium,2018,0.0,0.61,0.54,0.88,0.29,0.0,0.61,0.54,0.88,0.29,OECD DAC Creditor Reporting System (CRS)
Belgium,2019,0.0,0.6,0.54,0.75,0.25,0.0,0.6,0.54,0.75,0.25,OECD DAC Creditor Reporting System (CRS)
Belgium,2020,0.0,0.63,0.6,0.76,0.28,0.0,0.63,0.6,0.76,0.28,OECD DAC Creditor Reporting System (CRS)
Belgium,2021,0.0,0.7,0.64,0.92,0.3,0.0,0.7,0.64,0.92,0.3,OECD DAC Creditor Reporting System (CRS)
Canada,2000,0.0,0.19,0.47,0.71,0.16,0.0,0.19,0.47,0.71,0.16,OECD DAC Creditor Reporting System (CRS)
Canada,2001,0.01,0.19,0.37,0.75,0.16,0.01,0.19,0.37,0.75,0.16,OECD DAC Creditor Reporting System (CRS)
Canada,2002,0.01,0.27,0.63,0.85,0.18,0.01,0.27,0.63,0.85,0.18,OECD DAC Creditor Reporting System (CRS)
Canada,2003,0.01,0.49,0.36,0.73,0.27,0.01,0.49,0.36,0.73,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2004,0.01,0.53,0.79,0.89,0.3,0.01,0.53,0.79,0.89,0.3,OECD DAC Creditor Reporting System (CRS)
Canada,2005,0.03,0.71,1.19,1.06,0.68,0.03,0.71,1.19,1.06,0.68,OECD DAC Creditor Reporting System (CRS)
Canada,2006,0.01,0.85,1.32,1.09,0.32,0.01,0.85,1.32,1.09,0.32,OECD DAC Creditor Reporting System (CRS)
Canada,2007,0.03,1.1,1.28,1.24,0.34,0.03,1.1,1.28,1.24,0.34,OECD DAC Creditor Reporting System (CRS)
Canada,2008,0.01,1.22,1.68,1.36,0.46,0.01,1.22,1.68,1.36,0.46,OECD DAC Creditor Reporting System (CRS)
Canada,2009,0.02,1.0,1.23,1.4,0.26,0.02,1.0,1.23,1.4,0.26,OECD DAC Creditor Reporting System (CRS)
Canada,2010,0.01,1.39,1.79,1.66,0.24,0.01,1.39,1.79,1.66,0.24,OECD DAC Creditor Reporting System (CRS)
Canada,2011,0.01,1.25,1.7,2.18,0.24,0.01,1.25,1.7,2.18,0.24,OECD DAC Creditor Reporting System (CRS)
Canada,2012,0.01,1.34,1.87,2.02,0.27,0.01,1.34,1.87,2.02,0.27,OECD DAC Creditor Reporting System (CRS)
Canada,2013,0.01,1.2,1.71,1.63,0.28,0.01,1.2,1.71,1.63,0.28,OECD DAC Creditor Reporting System (CRS)
Canada,2014,0.0,1.0,1.52,1.39,0.25,0.0,1.0,1.52,1.39,0.25,OECD DAC Creditor Reporting System (CRS)
Canada,2015,0.0,1.13,1.58,1.12,0.37,0.0,1.13,1.58,1.12,0.37,OECD DAC Creditor Reporting System (CRS)
Canada,2016,0.0,0.97,1.27,1.29,0.32,0.0,0.97,1.27,1.29,0.32,OECD DAC Creditor Reporting System (CRS)
Canada,2017,0.01,1.1,1.26,1.54,0.34,0.01,1.1,1.26,1.54,0.34,OECD DAC Creditor Reporting System (CRS)
Canada,2018,0.01,1.18,1.34,1.71,0.32,0.01,1.18,1.34,1.71,0.32,OECD DAC Creditor Reporting System (CRS)
Canada,2019,0.0,1.09,1.17,1.62,0.43,0.0,1.09,1.17,1.62,0.43,OECD DAC Creditor Reporting System (CRS)
Canada,2020,0.0,1.07,1.05,2.26,0.33,0.0,1.07,1.05,2.26,0.33,OECD DAC Creditor Reporting System (CRS)
Canada,2021,0.01,1.4,1.32,3.0599999999999996,0.36,0.01,1.4,1.32,3.06,0.36,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2000,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2001,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2002,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.01,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2003,0.0,0.01,0.01,0.01,0.06,0.0,0.01,0.01,0.01,0.06,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2004,0.0,0.02,0.03,0.02,0.04,0.0,0.02,0.03,0.02,0.04,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2005,0.0,0.02,0.04,0.03,0.04,0.0,0.02,0.04,0.03,0.04,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2006,0.0,0.03,0.05,0.04,0.05,0.0,0.03,0.05,0.04,0.05,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2007,0.0,0.04,0.05,0.04,0.04,0.0,0.04,0.05,0.04,0.04,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2008,0.0,0.08,0.07,0.04,0.05,0.0,0.08,0.07,0.04,0.05,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2009,0.0,0.06,0.06,0.04,0.06,0.0,0.06,0.06,0.04,0.06,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2010,0.0,0.05,0.07,0.04,0.05,0.0,0.05,0.07,0.04,0.05,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2011,0.0,0.05,0.07,0.05,0.08,0.0,0.05,0.07,0.05,0.08,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2012,0.0,0.05,0.07,0.03,0.07,0.0,0.05,0.07,0.03,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2013,0.0,0.04,0.06,0.04,0.07,0.0,0.04,0.06,0.04,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2014,0.0,0.04,0.05,0.05,0.07,0.0,0.04,0.05,0.05,0.07,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2015,0.0,0.03,0.05,0.05,0.06,0.0,0.03,0.05,0.05,0.06,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2016,0.0,0.05,0.06,0.07,0.08,0.0,0.05,0.06,0.07,0.08,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2017,0.0,0.05,0.07,0.09,0.09,0.0,0.05,0.07,0.09,0.09,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2018,0.0,0.06,0.06,0.1,0.08,0.0,0.06,0.06,0.1,0.08,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2019,0.0,0.06,0.07,0.07,0.1,0.0,0.06,0.07,0.07,0.1,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2020,0.0,0.05,0.08,0.07,0.08,0.0,0.05,0.08,0.07,0.08,OECD DAC Creditor Reporting System (CRS)
Czech Republic,2021,0.0,0.06,0.11,0.08,0.1,0.0,0.06,0.11,0.08,0.1,OECD DAC Creditor Reporting System (CRS)
Denmark,2000,0.01,0.33,0.62,0.42,0.14,0.01,0.33,0.62,0.42,0.14,OECD DAC Creditor Reporting System (CRS)
Denmark,2001,0.01,0.33,0.64,0.39,0.15,0.01,0.33,0.64,0.39,0.15,OECD DAC Creditor Reporting System (CRS)
Denmark,2002,0.01,0.33,0.61,0.42,0.15,0.01,0.33,0.61,0.42,0.15,OECD DAC Creditor Reporting System (CRS)
Denmark,2003,0.0,0.4,0.65,0.45,0.12,0.0,0.4,0.65,0.45,0.12,OECD DAC Creditor Reporting System (CRS)
Denmark,2004,0.01,0.46,0.81,0.42,0.2,0.01,0.46,0.81,0.42,0.2,OECD DAC Creditor Reporting System (CRS)
Denmark,2005,0.01,0.52,0.86,0.48,0.18,0.01,0.52,0.86,0.48,0.18,OECD DAC Creditor Reporting System (CRS)
Denmark,2006,0.01,0.56,0.95,0.47,0.19,0.01,0.56,0.95,0.47,0.19,OECD DAC Creditor Reporting System (CRS)
Denmark,2007,0.01,0.7,1.08,0.54,0.16,0.01,0.7,1.08,0.54,0.16,OECD DAC Creditor Reporting System (CRS)
Denmark,2008,0.01,0.69,1.16,0.66,0.2,0.01,0.69,1.16,0.66,0.2,OECD DAC Creditor Reporting System (CRS)
Denmark,2009,0.01,0.74,1.03,0.74,0.19,0.01,0.74,1.03,0.74,0.19,OECD DAC Creditor Reporting System (CRS)
Denmark,2010,0.01,0.68,1.11,0.89,0.2,0.01,0.68,1.11,0.89,0.2,OECD DAC Creditor Reporting System (CRS)
Denmark,2011,0.0,0.74,0.98,0.97,0.22,0.0,0.74,0.98,0.97,0.22,OECD DAC Creditor Reporting System (CRS)
Denmark,2012,0.0,0.66,0.92,0.96,0.14,0.0,0.66,0.92,0.96,0.14,OECD DAC Creditor Reporting System (CRS)
Denmark,2013,0.0,0.69,0.73,1.32,0.15,0.0,0.69,0.73,1.32,0.15,OECD DAC Creditor Reporting System (CRS)
Denmark,2014,0.0,0.72,0.72,1.38,0.18,0.0,0.72,0.72,1.38,0.18,OECD DAC Creditor Reporting System (CRS)
Denmark,2015,0.0,0.52,0.56,1.31,0.16,0.0,0.52,0.56,1.31,0.16,OECD DAC Creditor Reporting System (CRS)
Denmark,2016,0.0,0.54,0.52,1.12,0.18,0.0,0.54,0.52,1.12,0.18,OECD DAC Creditor Reporting System (CRS)
Denmark,2017,0.01,0.56,0.54,1.12,0.2,0.01,0.56,0.54,1.12,0.2,OECD DAC Creditor Reporting System (CRS)
Denmark,2018,0.0,0.58,0.55,1.23,0.2,0.0,0.58,0.55,1.23,0.2,OECD DAC Creditor Reporting System (CRS)
Denmark,2019,0.0,0.72,0.44,1.17,0.14,0.0,0.72,0.44,1.17,0.14,OECD DAC Creditor Reporting System (CRS)
Denmark,2020,0.0,0.65,0.56,1.14,0.18,0.0,0.65,0.56,1.14,0.18,OECD DAC Creditor Reporting System (CRS)
Denmark,2021,0.0,0.8,0.58,1.27,0.18,0.0,0.8,0.58,1.27,0.18,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2000,0.14,0.77,1.58,0.9,1.65,0.14,0.77,1.58,0.9,1.65,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2001,0.21,1.09,2.16,0.89,1.78,0.21,1.09,2.16,0.89,1.78,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2002,0.1,1.33,1.74,1.37,0.98,0.1,1.33,1.74,1.37,0.98,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2003,0.14,2.02,2.23,1.43,1.48,0.14,2.02,2.23,1.43,1.48,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2004,0.18,2.29,2.76,1.86,1.79,0.18,2.29,2.76,1.86,1.79,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2005,0.08,2.57,3.0,1.97,1.76,0.08,2.57,3.0,1.97,1.76,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2006,0.16,2.66,3.54,1.79,2.08,0.16,2.66,3.54,1.79,2.08,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2007,0.16,3.04,3.82,2.36,2.23,0.16,3.04,3.82,2.36,2.23,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2008,0.23,3.5,4.37,2.56,2.43,0.23,3.5,4.37,2.56,2.43,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2009,0.18,3.09,4.07,3.0,3.22,0.18,3.09,4.07,3.0,3.22,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2010,0.17,3.31,3.94,2.63,2.64,0.17,3.31,3.94,2.63,2.64,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2011,0.15,3.03,4.52,2.96,6.7,0.15,3.03,4.52,2.96,6.7,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2012,0.04,2.91,5.21,2.75,6.51,0.04,2.91,5.21,2.75,6.51,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2013,0.03,3.12,4.55,2.73,5.43,0.03,3.12,4.55,2.73,5.43,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2014,-0.15,3.7,4.76,2.8,5.31,-0.15,3.7,4.76,2.8,5.31,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2015,0.01,2.89,4.04,2.21,4.52,0.01,2.89,4.04,2.21,4.52,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2016,0.02,3.63,5.03,3.0199999999999996,5.4,0.02,3.63,5.03,3.02,5.4,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2017,0.01,3.9,4.94,3.3099999999999996,4.24,0.01,3.9,4.94,3.31,4.24,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2018,0.02,4.13,4.89,4.47,3.6,0.02,4.13,4.89,4.47,3.6,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2019,0.02,3.61,4.52,4.75,2.37,0.02,3.61,4.52,4.75,2.37,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2020,0.0,3.74,7.52,5.7,4.08,0.0,3.74,7.52,5.7,4.08,OECD DAC Creditor Reporting System (CRS)
EU Institutions,2021,0.01,3.67,6.94,5.7,4.32,0.01,3.67,6.94,5.7,4.32,OECD DAC Creditor Reporting System (CRS)
Finland,2000,0.0,0.07,0.13,0.09,0.07,0.0,0.07,0.13,0.09,0.07,OECD DAC Creditor Reporting System (CRS)
Finland,2001,0.0,0.08,0.13,0.1,0.07,0.0,0.08,0.13,0.1,0.07,OECD DAC Creditor Reporting System (CRS)
Finland,2002,0.0,0.11,0.15,0.12,0.07,0.0,0.11,0.15,0.12,0.07,OECD DAC Creditor Reporting System (CRS)
Finland,2003,0.0,0.13,0.17,0.15,0.09,0.0,0.13,0.17,0.15,0.09,OECD DAC Creditor Reporting System (CRS)
Finland,2004,0.0,0.16,0.18,0.19,0.13,0.0,0.16,0.18,0.19,0.13,OECD DAC Creditor Reporting System (CRS)
Finland,2005,0.0,0.18,0.24,0.23,0.25,0.0,0.18,0.24,0.23,0.25,OECD DAC Creditor Reporting System (CRS)
Finland,2006,0.0,0.21,0.29,0.21,0.11,0.0,0.21,0.29,0.21,0.11,OECD DAC Creditor Reporting System (CRS)
Finland,2007,0.0,0.26,0.32,0.29,0.1,0.0,0.26,0.32,0.29,0.1,OECD DAC Creditor Reporting System (CRS)
Finland,2008,0.01,0.28,0.34,0.37,0.14,0.01,0.28,0.34,0.37,0.14,OECD DAC Creditor Reporting System (CRS)
Finland,2009,0.0,0.31,0.39,0.45,0.14,0.0,0.31,0.39,0.45,0.14,OECD DAC Creditor Reporting System (CRS)
Finland,2010,0.01,0.33,0.41,0.46,0.12,0.01,0.33,0.41,0.46,0.12,OECD DAC Creditor Reporting System (CRS)
Finland,2011,0.0,0.3,0.44,0.48,0.17,0.0,0.3,0.44,0.48,0.17,OECD DAC Creditor Reporting System (CRS)
Finland,2012,0.0,0.32,0.37,0.47,0.15,0.0,0.32,0.37,0.47,0.15,OECD DAC Creditor Reporting System (CRS)
Finland,2013,0.0,0.36,0.42,0.49,0.15,0.0,0.36,0.42,0.49,0.15,OECD DAC Creditor Reporting System (CRS)
Finland,2014,0.0,0.39,0.52,0.53,0.18,0.0,0.39,0.52,0.53,0.18,OECD DAC Creditor Reporting System (CRS)
Finland,2015,0.0,0.31,0.37,0.43,0.13,0.0,0.31,0.37,0.43,0.13,OECD DAC Creditor Reporting System (CRS)
Finland,2016,0.0,0.24,0.28,0.42,0.13,0.0,0.24,0.28,0.42,0.13,OECD DAC Creditor Reporting System (CRS)
Finland,2017,0.0,0.24,0.27,0.41,0.14,0.0,0.24,0.27,0.41,0.14,OECD DAC Creditor Reporting System (CRS)
Finland,2018,0.0,0.22,0.3,0.34,0.11,0.0,0.22,0.3,0.34,0.11,OECD DAC Creditor Reporting System (CRS)
Finland,2019,0.0,0.29,0.28,0.43,0.11,0.0,0.29,0.28,0.43,0.11,OECD DAC Creditor Reporting System (CRS)
Finland,2020,0.0,0.29,0.32,0.47,0.13,0.0,0.29,0.32,0.47,0.13,OECD DAC Creditor Reporting System (CRS)
