Year,Donor,COVID ODA,Other ODA,Total ODA,source
2019,Czech Republic,,357.7,357.7,OECD DAC Table1
2019,Slovak Republic,,128.0,128.0,OECD DAC Table1
2019,Hungary,,340.4,340.4,OECD DAC Table1
2019,Poland,,835.4,835.4,OECD DAC Table1
2019,Canada,,5415.1,5415.1,OECD DAC Table1
2019,United States,,35247.7,35247.7,OECD DAC Table1
2019,Japan,,15520.9,15520.9,OECD DAC Table1
2019,Korea,,2590.6,2590.6,OECD DAC Table1
2019,Australia,,3319.3,3319.3,OECD DAC Table1
2019,New Zealand,,630.0,630.0,OECD DAC Table1
2020,Austria,30.7,1311.8,1342.5,OECD DAC Table1
2020,Belgium,138.6,2374.6,2513.2,OECD DAC Table1
2020,Denmark,217.6,2580.0,2797.6,OECD DAC Table1
2020,France,2306.3,12462.3,14768.6,OECD DAC Table1
2020,Germany,1520.5,29176.5,30697.0,OECD DAC Table1
2020,Italy,102.7,4370.7,4473.4,OECD DAC Table1
2020,Netherlands,307.3,5387.599999999999,5694.9,OECD DAC Table1
2020,Norway,377.9,4910.3,5288.2,OECD DAC Table1
2020,Portugal,0.8,431.5,432.3,OECD DAC Table1
2020,Sweden,230.4,6796.3,7026.7,OECD DAC Table1
2020,Switzerland,310.3,3394.5,3704.8,OECD DAC Table1
2020,United Kingdom,1934.1,18139.600000000002,20073.7,OECD DAC Table1
2020,Finland,90.2,1272.0,1362.2,OECD DAC Table1
2020,Iceland,7.8,56.60000000000001,64.4,OECD DAC Table1
2020,Ireland,26.3,992.3000000000001,1018.6,OECD DAC Table1
2020,Luxembourg,85.2,405.90000000000003,491.1,OECD DAC Table1
2020,Greece,,346.9,346.9,OECD DAC Table1
2020,Spain,243.5,2904.7,3148.2,OECD DAC Table1
2020,Slovenia,1.5,95.0,96.5,OECD DAC Table1
2020,Czech Republic,7.3,328.2,335.5,OECD DAC Table1
2020,Slovak Republic,4.0,145.8,149.8,OECD DAC Table1
2020,Hungary,44.5,410.9,455.4,OECD DAC Table1
2020,Poland,11.4,858.8000000000001,870.2,OECD DAC Table1
2020,Canada,336.5,5469.3,5805.8,OECD DAC Table1
2020,United States,455.2,36541.8,36997.0,OECD DAC Table1
2020,Japan,2891.2,12826.8,15718.0,OECD DAC Table1
2020,Korea,616.3,1749.2,2365.5,OECD DAC Table1
2020,Australia,94.4,3203.0,3297.4,OECD DAC Table1
2020,New Zealand,66.5,531.9,598.4,OECD DAC Table1
2021,Austria,62.8,1404.0,1466.8,OECD DAC Table1
2021,Belgium,71.8,2543.7,2615.5,OECD DAC Table1
2021,Denmark,123.2,2797.8,2921.0,OECD DAC Table1
2021,France,1043.2,14462.4,15505.6,OECD DAC Table1
2021,Germany,3022.8,30249.600000000002,33272.4,OECD DAC Table1
2021,Italy,668.4,5416.700000000001,6085.1,OECD DAC Table1
2021,Netherlands,153.6,5133.9,5287.5,OECD DAC Table1
2021,Norway,337.9,4335.1,4673.0,OECD DAC Table1
2021,Portugal,31.2,419.6,450.8,OECD DAC Table1
2021,Sweden,84.5,5849.7,5934.2,OECD DAC Table1
2021,Switzerland,452.2,3459.8,3912.0,OECD DAC Table1
2021,United Kingdom,756.3,14955.7,15712.0,OECD DAC Table1
2021,Finland,95.6,1345.6000000000001,1441.2,OECD DAC Table1
2021,Iceland,6.9,63.9,70.8,OECD DAC Table1
2021,Ireland,54.6,1100.3000000000002,1154.9,OECD DAC Table1
2021,Luxembourg,81.6,457.79999999999995,539.4,OECD DAC Table1
2021,Greece,0.2,340.6,340.8,OECD DAC Table1
2021,Spain,456.0,3189.0,3645.0,OECD DAC Table1
2021,Slovenia,12.8,103.4,116.2,OECD DAC Table1
2021,Czech Republic,12.3,353.8,366.1,OECD DAC Table1
2021,Slovak Republic,13.3,142.0,155.3,OECD DAC Table1
2021,Hungary,48.4,386.70000000000005,435.1,OECD DAC Table1
2021,Poland,60.0,923.5,983.5,OECD DAC Table1
2021,Canada,1497.2,4805.5,6302.7,OECD DAC Table1
2021,United States,5087.8,42717.0,47804.8,OECD DAC Table1
2021,Japan,3848.7,13785.399999999998,17634.1,OECD DAC Table1
2021,Korea,484.5,2388.0,2872.5,OECD DAC Table1
2021,Australia,,3546.4,3546.4,OECD DAC Table1
2021,New Zealand,170.3,515.0,685.3,OECD DAC Table1
