year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Multi-sector,Administrative Costs of Donors,Government,Agriculture and Forestry & Fishing,Transport & Storage and communications,Energy,Civil society,Unallocated/ Unspecified,"Social infrastructure, protection and services",Water Supply & Sanitation,Banking & Financial Services and Business,General Budget Support,Conflict Peace and Security,Environment Protection,"Industry, Mining, Construction",Action Relating to Debt,Other,Trade Policies & Regulations,source
2010,Austria,27.4,148.5,11.3,41.3,37.0,42.1,18.7,11.0,0.5,14.5,12.3,39.4,11.0,22.1,39.3,4.9,24.4,9.7,9.7,177.5,0.3,5.0,OECD DAC Creditor Reporting System (CRS)
2010,Belgium,157.0,247.1,183.5,107.5,94.2,104.1,88.8,126.1,45.9,40.6,42.1,126.1,48.9,93.4,171.8,13.7,27.0,9.6,16.3,628.5,13.4,9.4,OECD DAC Creditor Reporting System (CRS)
2010,Canada,537.1,496.5,452.6,299.4,321.8,314.1,224.9,589.0,47.1,16.6,179.6,97.8,29.7,50.1,87.8,62.1,169.0,33.5,34.0,60.4,25.9,35.5,OECD DAC Creditor Reporting System (CRS)
2010,Denmark,163.2,146.7,169.2,148.7,77.9,168.1,101.8,138.5,84.9,30.9,254.3,152.7,38.2,134.0,42.7,71.5,61.9,131.4,44.6,47.1,3.0,8.1,OECD DAC Creditor Reporting System (CRS)
2010,Finland,134.4,55.1,41.0,50.7,58.7,94.4,44.5,73.2,30.0,16.4,52.1,50.0,27.0,43.4,26.5,40.8,51.6,34.6,51.3,,,10.2,OECD DAC Creditor Reporting System (CRS)
2010,France,104.4,1835.4,442.6,445.8,880.3,449.9,71.8,310.7,478.7,116.8,18.3,847.1,253.3,283.6,459.4,441.3,60.0,1291.1,39.1,1752.5,47.6,8.5,OECD DAC Creditor Reporting System (CRS)
2010,Germany,372.1,1935.3,547.2,93.5,691.1,443.5,603.7,386.9,436.8,1592.5,564.3,1183.7,158.9,685.2,1166.9,112.1,461.5,346.9,235.2,249.0,56.6,49.1,OECD DAC Creditor Reporting System (CRS)
2010,Greece,5.1,79.9,5.8,32.1,12.3,14.0,0.2,1.1,16.8,0.1,0.1,9.6,13.8,0.1,0.0,,0.0,5.6,,,,,OECD DAC Creditor Reporting System (CRS)
2010,Ireland,89.5,73.1,112.1,0.3,30.9,45.9,40.2,62.4,1.6,,64.7,22.5,38.5,11.3,6.8,33.1,13.6,2.3,2.8,0.2,14.5,,OECD DAC Creditor Reporting System (CRS)
2010,Italy,75.0,72.0,87.7,3.6,82.6,40.0,30.7,33.5,43.0,45.0,15.7,17.1,51.0,26.2,10.7,11.5,5.1,13.3,56.0,286.3,5.8,4.3,OECD DAC Creditor Reporting System (CRS)
2010,Japan,447.6,638.7,249.6,,803.0,467.1,72.8,670.0,2218.6,1095.7,27.5,3.1,115.7,1052.2,70.3,296.5,262.6,447.1,196.4,121.3,339.3,69.5,OECD DAC Creditor Reporting System (CRS)
2010,Luxembourg,48.5,47.5,69.6,,24.3,24.1,7.2,12.7,1.3,1.5,7.3,38.4,12.5,25.4,22.6,,3.5,3.7,0.8,,6.6,4.6,OECD DAC Creditor Reporting System (CRS)
2010,Netherlands,198.4,615.2,356.1,391.9,1133.3,420.0,281.0,106.0,25.2,96.6,194.5,78.9,122.9,224.6,191.9,161.8,161.9,140.9,7.7,575.7,153.5,72.4,OECD DAC Creditor Reporting System (CRS)
2010,New Zealand,28.9,69.0,31.9,15.2,16.5,39.0,29.7,8.8,15.8,0.5,10.7,1.4,7.4,1.9,5.3,19.8,14.8,1.7,4.3,,0.1,4.9,OECD DAC Creditor Reporting System (CRS)
2010,Norway,271.7,235.8,176.1,298.6,168.7,213.9,118.2,99.0,0.2,150.6,262.9,52.1,71.6,45.3,67.6,159.0,191.6,319.7,46.6,14.7,1.0,20.8,OECD DAC Creditor Reporting System (CRS)
2010,Portugal,0.2,81.3,13.8,0.3,9.4,22.4,12.6,1.9,38.3,55.6,0.6,4.3,23.2,1.1,1.1,5.2,53.8,1.3,0.5,3.8,152.3,0.1,OECD DAC Creditor Reporting System (CRS)
2010,Slovenia,1.5,4.5,0.6,1.5,0.6,4.9,2.4,0.3,0.4,0.4,0.8,1.1,0.5,2.0,0.3,,2.1,0.1,2.3,,,0.7,OECD DAC Creditor Reporting System (CRS)
2010,South Korea,19.4,162.5,152.6,,115.8,41.6,50.8,117.9,728.5,75.4,1.5,1145.8,11.8,61.7,4.8,,1.0,13.1,2256.9,2.6,,2.5,OECD DAC Creditor Reporting System (CRS)
2010,Spain,293.9,369.2,253.2,37.7,226.0,176.2,159.5,576.4,135.5,272.7,259.2,160.7,203.3,337.0,229.6,27.9,57.0,140.8,36.9,439.2,49.4,13.4,OECD DAC Creditor Reporting System (CRS)
2010,Sweden,366.2,115.5,188.1,381.5,141.8,217.5,126.1,79.6,27.7,57.5,404.1,101.4,61.9,43.6,55.8,115.2,134.0,137.7,45.2,,5.3,37.3,OECD DAC Creditor Reporting System (CRS)
2010,Switzerland,313.5,58.9,70.7,449.4,175.2,151.9,141.4,88.2,13.7,23.7,32.5,167.8,10.5,59.1,84.7,35.8,103.2,57.2,21.3,39.1,,26.8,OECD DAC Creditor Reporting System (CRS)
2010,United Kingdom,673.4,887.0,1433.3,21.3,649.4,433.7,672.2,180.5,344.2,157.7,324.2,146.9,475.9,185.3,298.4,767.2,343.3,1053.5,185.8,216.1,195.2,265.6,OECD DAC Creditor Reporting System (CRS)
2010,United States,6652.9,1419.3,9039.4,1222.8,702.5,2452.9,3560.7,1993.7,1679.8,854.6,1181.0,1009.3,1558.9,554.7,1211.9,227.7,1031.3,521.1,158.4,210.1,744.9,256.3,OECD DAC Creditor Reporting System (CRS)
2011,Australia,364.3,379.3,412.9,21.0,599.4,250.1,557.0,226.3,209.0,9.5,117.9,86.1,83.8,200.1,30.1,,102.3,89.3,21.0,11.1,49.9,19.8,OECD DAC Creditor Reporting System (CRS)
2011,Austria,15.1,143.0,16.0,45.0,29.5,39.3,21.3,15.9,0.9,22.7,11.8,37.3,10.1,20.6,21.1,4.8,10.5,8.3,5.6,46.3,0.4,2.5,OECD DAC Creditor Reporting System (CRS)
2011,Belgium,175.2,229.8,178.7,133.3,96.8,104.8,104.8,137.5,48.2,54.5,44.8,85.7,37.3,62.4,191.9,4.5,32.5,8.9,24.1,325.8,11.1,13.8,OECD DAC Creditor Reporting System (CRS)
2011,Canada,415.3,320.8,655.6,331.7,344.8,281.9,242.5,324.6,26.8,283.2,140.3,130.2,38.6,37.3,81.0,65.9,154.5,46.4,66.3,3.7,29.0,36.6,OECD DAC Creditor Reporting System (CRS)
2011,Czechia,4.7,9.1,3.8,14.0,2.7,7.6,6.4,6.9,1.5,4.5,3.6,2.2,4.0,9.6,0.8,,9.0,0.4,0.8,,,0.1,OECD DAC Creditor Reporting System (CRS)
2011,Denmark,173.9,183.8,140.3,114.6,44.2,163.6,93.3,140.7,98.4,64.0,254.4,154.3,32.0,92.0,76.5,63.5,51.0,142.6,44.8,1.0,0.8,4.0,OECD DAC Creditor Reporting System (CRS)
2011,Finland,121.4,54.9,34.5,36.2,61.1,94.1,29.5,82.4,18.7,27.9,60.1,46.7,27.9,36.0,31.1,39.4,46.0,31.5,13.0,,0.0,13.1,OECD DAC Creditor Reporting System (CRS)
2011,France,82.9,1477.5,206.6,528.4,527.9,453.5,154.2,378.5,729.0,164.3,12.5,964.3,428.6,393.4,620.1,648.7,61.6,1210.0,156.1,1324.7,50.0,34.2,OECD DAC Creditor Reporting System (CRS)
2011,Germany,460.7,1955.1,439.8,93.3,734.5,469.1,464.2,446.3,294.4,1349.5,564.4,1286.0,185.3,745.8,1122.3,163.5,417.1,451.0,298.7,491.5,75.2,34.6,OECD DAC Creditor Reporting System (CRS)
2011,Greece,1.2,66.2,2.4,22.2,7.4,11.2,,0.3,18.2,,,,4.9,,0.1,,0.6,,,,,,OECD DAC Creditor Reporting System (CRS)
2011,Iceland,1.9,1.9,2.5,0.2,0.1,2.7,0.6,7.1,,4.0,1.9,0.6,2.9,0.6,0.2,,1.3,0.3,,0.2,,,OECD DAC Creditor Reporting System (CRS)
2011,Ireland,94.5,70.2,102.2,0.3,15.5,42.8,24.3,65.2,1.3,0.7,61.2,22.7,56.0,12.1,6.4,31.0,10.2,3.2,1.0,,23.4,0.6,OECD DAC Creditor Reporting System (CRS)
2011,Italy,75.1,79.7,85.2,511.4,31.2,51.9,27.5,39.1,52.7,21.8,18.2,20.2,30.0,23.1,3.7,6.4,11.0,9.4,42.3,777.5,18.0,2.9,OECD DAC Creditor Reporting System (CRS)
2011,Japan,579.5,704.2,257.0,0.4,672.5,461.3,296.7,519.1,1871.0,897.3,12.7,22.6,128.7,1059.3,31.7,39.5,61.5,212.3,355.9,852.0,261.1,67.8,OECD DAC Creditor Reporting System (CRS)
2011,Luxembourg,58.4,34.5,45.3,,20.5,22.2,5.7,16.7,0.3,4.9,5.7,29.9,12.6,23.8,19.7,0.8,1.6,2.4,0.5,,3.6,4.1,OECD DAC Creditor Reporting System (CRS)
2011,Netherlands,194.1,449.7,338.9,527.5,1145.7,319.0,227.2,138.3,28.3,161.5,173.9,15.0,90.4,267.1,227.2,99.8,176.4,90.7,5.5,132.5,98.4,78.9,OECD DAC Creditor Reporting System (CRS)
2011,New Zealand,27.9,59.5,28.9,14.8,14.9,48.3,24.5,22.2,21.2,12.8,6.0,4.3,5.1,6.2,6.9,17.2,12.5,1.0,3.7,,0.5,18.4,OECD DAC Creditor Reporting System (CRS)
2011,Norway,290.9,209.1,167.9,203.7,114.3,207.5,122.0,97.4,4.9,212.2,244.4,50.7,64.3,17.8,131.9,120.5,177.8,231.4,46.1,16.8,0.4,24.0,OECD DAC Creditor Reporting System (CRS)
2011,Portugal,0.6,64.8,18.5,0.6,7.7,15.1,10.4,2.3,34.0,22.8,0.7,2.6,28.4,0.7,0.9,5.2,13.8,0.9,0.1,5.5,314.9,0.1,OECD DAC Creditor Reporting System (CRS)
2011,Slovenia,0.8,2.8,0.5,0.5,0.2,4.1,2.2,0.1,0.3,0.8,0.8,0.7,0.5,0.9,0.2,,2.4,0.3,0.5,,,1.4,OECD DAC Creditor Reporting System (CRS)
2011,South Korea,24.7,187.8,105.6,,60.8,54.9,50.9,62.0,1153.3,69.8,2.5,494.7,85.4,79.8,3.5,,1.8,14.4,3499.8,,2.0,8.0,OECD DAC Creditor Reporting System (CRS)
2011,Spain,239.7,259.7,161.2,32.3,158.8,169.3,126.1,146.8,57.5,99.1,134.6,139.8,151.9,137.7,59.1,23.9,73.1,52.7,204.0,37.2,30.2,5.6,OECD DAC Creditor Reporting System (CRS)
2011,Sweden,419.5,126.7,162.5,418.9,167.5,218.9,142.2,88.8,31.4,53.7,452.3,52.5,57.6,58.7,94.5,122.6,139.5,125.6,37.7,159.6,0.1,41.7,OECD DAC Creditor Reporting System (CRS)
2011,Switzerland,314.7,90.9,82.7,562.4,170.2,242.3,133.0,109.5,15.8,20.1,36.1,116.7,20.1,146.1,58.5,28.7,108.4,102.1,39.5,83.6,,28.8,OECD DAC Creditor Reporting System (CRS)
2011,United Kingdom,755.8,1162.5,1692.4,34.8,862.9,510.7,618.0,252.1,263.5,287.5,354.3,204.9,430.5,195.7,473.8,497.9,322.6,220.4,191.5,202.2,169.4,85.4,OECD DAC Creditor Reporting System (CRS)
2011,United States,5842.8,1211.7,9994.5,1143.4,999.4,2308.3,4077.4,1933.8,1598.1,792.7,1060.7,1089.4,1044.8,544.3,1022.3,294.3,977.2,603.3,191.8,2244.6,915.8,286.1,OECD DAC Creditor Reporting System (CRS)
2012,Australia,339.8,534.6,610.1,167.1,686.3,310.3,678.7,229.6,188.0,64.1,168.9,225.7,92.9,166.7,74.5,10.1,72.3,130.6,25.8,10.4,38.3,27.2,OECD DAC Creditor Reporting System (CRS)
2012,Austria,69.4,222.5,49.7,65.4,51.1,55.6,69.3,52.4,70.7,48.5,27.3,43.1,40.7,55.6,39.3,43.8,26.0,24.6,18.1,129.9,9.2,9.7,OECD DAC Creditor Reporting System (CRS)
2012,Belgium,151.3,285.7,266.9,140.1,139.1,137.6,149.8,175.7,94.2,56.8,51.8,219.9,83.0,81.8,47.3,43.0,42.7,62.1,38.7,321.9,12.6,19.2,OECD DAC Creditor Reporting System (CRS)
2012,Canada,522.1,375.8,942.7,260.8,374.9,286.9,253.8,307.3,122.1,238.6,137.7,94.6,98.5,136.3,123.6,72.0,107.1,194.5,70.1,248.5,45.6,50.1,OECD DAC Creditor Reporting System (CRS)
2012,Czechia,31.6,24.3,13.4,12.4,11.9,17.1,15.0,14.7,12.0,11.8,11.7,5.9,12.8,15.9,4.5,14.7,20.5,5.2,5.8,2.0,4.5,2.9,OECD DAC Creditor Reporting System (CRS)
2012,Denmark,235.9,230.9,230.9,142.9,92.9,189.3,154.7,160.2,150.8,51.6,271.1,152.2,79.0,85.3,88.2,101.0,66.3,133.4,67.1,12.4,12.3,21.0,OECD DAC Creditor Reporting System (CRS)
2012,Finland,151.4,90.4,121.0,24.7,96.3,108.4,60.8,101.8,61.0,50.3,61.4,81.6,50.1,78.6,33.8,51.1,51.5,75.1,18.0,14.6,6.3,11.6,OECD DAC Creditor Reporting System (CRS)
2012,France,357.3,1668.3,826.2,525.5,556.8,645.4,279.6,470.9,1181.6,542.4,125.9,982.0,891.1,615.4,702.7,884.5,130.4,786.9,313.4,1722.2,109.8,55.0,OECD DAC Creditor Reporting System (CRS)
2012,Germany,905.5,2314.6,1092.5,87.7,1056.6,751.5,987.9,706.9,785.5,1116.4,795.0,1268.4,423.4,877.8,1227.9,383.3,518.6,922.6,381.1,1035.0,221.4,104.8,OECD DAC Creditor Reporting System (CRS)
2012,Greece,29.2,77.8,11.8,19.0,17.6,22.3,13.4,9.2,14.6,6.6,9.9,2.9,9.5,7.3,2.3,17.1,9.5,5.0,4.8,0.7,5.3,3.6,OECD DAC Creditor Reporting System (CRS)
2012,Iceland,1.6,2.7,3.5,0.3,1.3,2.9,1.2,7.3,0.3,5.5,2.2,0.5,4.1,1.2,0.1,0.0,1.4,0.6,0.3,0.1,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
2012,Ireland,150.0,68.6,139.2,0.1,45.1,53.1,33.9,58.9,15.9,8.9,65.6,27.7,62.8,15.4,12.0,38.6,16.4,10.6,5.5,3.4,24.3,4.3,OECD DAC Creditor Reporting System (CRS)
2012,Italy,329.5,192.1,140.2,255.8,143.8,135.3,150.9,126.9,186.3,88.4,88.8,52.9,116.3,95.5,35.8,167.7,72.2,62.7,66.5,71.7,50.2,34.5,OECD DAC Creditor Reporting System (CRS)
2012,Japan,513.4,640.4,646.7,0.4,763.8,503.7,329.5,534.4,2385.8,1379.9,26.2,206.3,215.3,1005.7,97.8,116.9,73.0,208.6,272.7,41.9,206.4,136.5,OECD DAC Creditor Reporting System (CRS)
2012,Luxembourg,61.6,55.4,67.3,0.0,35.4,29.0,18.7,22.2,8.3,12.5,10.7,30.8,18.4,21.9,22.9,4.1,3.6,4.9,2.2,2.6,2.3,3.4,OECD DAC Creditor Reporting System (CRS)
2012,Netherlands,325.8,418.0,608.8,396.7,338.1,535.5,338.7,328.2,136.5,166.4,936.7,22.0,125.2,251.6,297.5,112.3,238.2,177.9,38.9,170.3,95.5,112.2,OECD DAC Creditor Reporting System (CRS)
2012,New Zealand,28.4,75.7,39.2,20.2,24.1,46.9,30.3,20.5,35.5,23.5,8.9,1.1,4.6,8.6,9.7,18.7,12.2,1.2,2.3,0.0,0.9,15.2,OECD DAC Creditor Reporting System (CRS)
2012,Norway,289.7,251.6,394.3,176.2,191.7,237.0,141.4,129.8,36.0,299.4,272.0,43.8,78.2,39.0,101.5,98.4,179.7,372.7,52.5,37.7,5.1,17.9,OECD DAC Creditor Reporting System (CRS)
2012,Portugal,26.5,73.3,25.1,1.0,15.1,24.4,17.7,9.6,52.9,28.5,9.7,7.1,52.2,7.0,4.9,19.7,19.7,4.6,5.1,8.9,276.4,3.3,OECD DAC Creditor Reporting System (CRS)
2012,Slovenia,6.5,7.6,4.3,0.3,3.0,7.6,5.3,2.3,3.3,1.9,2.5,1.3,2.4,3.6,0.9,2.7,3.8,2.4,1.2,0.1,1.0,0.9,OECD DAC Creditor Reporting System (CRS)
2012,South Korea,30.6,237.6,168.1,,94.9,65.4,122.9,157.4,865.1,295.7,4.4,595.7,59.7,147.5,18.5,7.8,3.4,46.2,2704.2,7.8,2.3,11.0,OECD DAC Creditor Reporting System (CRS)
2012,Spain,243.4,181.6,128.6,23.8,144.5,243.9,101.7,119.6,83.0,36.1,136.7,75.6,101.4,68.6,63.9,99.5,79.4,39.5,37.6,83.5,44.4,20.9,OECD DAC Creditor Reporting System (CRS)
2012,Sweden,506.7,162.7,509.2,505.6,217.3,254.4,225.7,158.8,101.0,127.8,537.6,72.6,118.9,147.6,154.7,158.8,177.2,123.9,60.1,7.1,15.6,54.5,OECD DAC Creditor Reporting System (CRS)
2012,Switzerland,361.5,129.2,166.1,723.2,286.2,239.2,207.4,121.1,66.9,66.4,55.3,130.2,56.4,195.0,91.8,37.8,111.4,114.6,27.9,33.3,0.9,59.5,OECD DAC Creditor Reporting System (CRS)
2012,United Kingdom,1110.9,1494.4,2669.9,49.9,1092.6,769.7,1042.2,597.2,765.2,595.2,541.2,143.4,592.9,406.0,437.7,628.4,442.1,638.3,179.3,245.7,173.6,160.1,OECD DAC Creditor Reporting System (CRS)
2012,United States,5437.7,1520.3,11795.6,1298.7,760.0,3015.8,4658.6,1962.5,1309.1,943.6,1110.7,224.3,795.7,715.5,1193.3,569.5,878.9,840.4,231.6,192.9,871.9,391.3,OECD DAC Creditor Reporting System (CRS)
2013,Australia,284.9,419.6,510.0,497.8,765.9,308.9,538.7,185.2,186.2,36.4,184.2,205.7,97.3,177.8,45.1,6.8,89.8,124.8,43.8,10.2,43.2,41.3,OECD DAC Creditor Reporting System (CRS)
2013,Austria,71.5,199.2,49.1,68.5,72.3,57.8,67.4,74.0,73.1,55.7,30.7,249.2,42.9,54.2,24.3,40.6,28.8,29.3,36.7,77.9,34.6,10.7,OECD DAC Creditor Reporting System (CRS)
2013,Belgium,221.8,173.2,261.4,166.2,251.9,131.0,112.9,197.0,128.0,67.6,57.1,321.2,82.2,72.5,25.8,47.1,30.3,80.7,23.4,37.0,10.4,20.1,OECD DAC Creditor Reporting System (CRS)
2013,Canada,627.3,327.9,1017.3,209.4,314.4,274.9,227.1,334.4,145.4,171.5,116.8,209.5,94.3,108.8,137.0,59.4,115.3,94.8,102.4,34.8,48.2,18.1,OECD DAC Creditor Reporting System (CRS)
2013,Czechia,33.0,23.4,15.1,11.6,11.0,16.7,15.9,13.6,10.1,10.2,12.4,6.4,12.0,12.1,2.6,23.1,10.1,5.4,5.4,0.6,3.5,2.5,OECD DAC Creditor Reporting System (CRS)
2013,Denmark,298.1,173.7,205.4,155.4,76.3,183.6,172.6,140.1,92.9,108.2,225.6,373.1,70.7,102.0,79.9,92.9,64.9,166.9,48.8,56.8,7.9,27.6,OECD DAC Creditor Reporting System (CRS)
2013,Estonia,7.3,3.0,2.0,0.3,1.9,2.6,4.7,1.4,1.8,1.1,2.6,1.5,1.6,0.8,0.9,1.1,2.5,1.1,0.5,0.1,0.5,0.4,OECD DAC Creditor Reporting System (CRS)
2013,Finland,153.9,85.1,120.5,21.4,83.7,113.0,66.3,102.9,52.8,50.8,67.1,85.7,57.0,81.0,34.7,58.6,55.9,66.1,21.0,10.4,5.3,11.6,OECD DAC Creditor Reporting System (CRS)
2013,France,378.4,1673.6,972.8,452.1,1135.6,657.5,340.4,566.5,1126.3,789.8,164.1,930.9,333.5,509.9,783.5,836.4,157.2,527.2,100.5,1195.3,99.3,70.4,OECD DAC Creditor Reporting System (CRS)
2013,Germany,1119.7,2217.0,1159.9,153.6,1054.1,793.8,908.9,854.2,958.7,1576.8,872.2,1181.8,409.7,941.5,1440.3,335.9,550.7,938.5,353.9,757.2,138.7,105.9,OECD DAC Creditor Reporting System (CRS)
2013,Greece,23.5,21.2,12.4,20.1,12.0,16.8,11.9,9.6,14.4,6.2,8.4,3.8,8.0,6.8,1.8,14.8,7.3,4.7,3.3,0.7,3.7,3.2,OECD DAC Creditor Reporting System (CRS)
2013,Iceland,2.7,5.1,5.1,0.4,1.8,3.5,1.3,9.7,0.3,5.8,3.3,0.6,4.2,1.6,0.4,0.0,1.1,0.4,0.1,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
2013,Ireland,150.1,74.5,151.9,0.1,40.3,53.1,35.9,65.6,14.2,11.0,75.8,29.4,47.7,14.2,8.8,30.7,18.5,11.7,5.8,3.8,28.2,3.6,OECD DAC Creditor Reporting System (CRS)
2013,Italy,328.4,209.5,192.1,401.5,173.8,146.3,180.7,166.2,264.7,126.5,107.6,59.2,156.1,116.0,44.9,172.9,70.8,92.1,77.6,92.8,56.8,35.7,OECD DAC Creditor Reporting System (CRS)
2013,Japan,727.5,618.0,545.1,0.5,688.2,513.2,417.8,633.0,3254.0,977.8,46.2,44.6,196.6,1019.9,99.9,1949.5,77.6,311.9,447.9,2966.9,212.0,124.9,OECD DAC Creditor Reporting System (CRS)
2013,Luxembourg,63.2,61.7,75.3,0.4,28.3,30.2,20.9,22.5,9.5,9.2,12.7,32.4,16.4,15.5,25.4,3.2,4.8,5.7,2.0,1.0,5.3,2.6,OECD DAC Creditor Reporting System (CRS)
2013,Netherlands,332.4,358.3,668.8,417.6,370.1,368.2,335.8,378.3,156.2,215.1,885.4,25.2,143.3,262.2,298.1,122.5,268.8,129.4,43.9,109.3,69.1,147.8,OECD DAC Creditor Reporting System (CRS)
2013,New Zealand,30.1,81.7,36.4,19.5,16.1,46.0,27.9,27.4,35.7,16.9,4.2,1.0,7.1,10.1,12.9,15.6,7.6,4.6,2.1,1.3,0.4,11.8,OECD DAC Creditor Reporting System (CRS)
2013,Norway,358.3,259.8,491.2,206.7,169.5,259.6,192.6,176.5,41.3,206.9,277.6,42.7,96.3,45.1,109.9,75.9,178.8,765.4,49.2,35.7,4.6,15.4,OECD DAC Creditor Reporting System (CRS)
2013,Poland,73.8,112.2,25.8,0.2,27.7,28.0,32.1,23.3,22.0,14.9,44.0,44.8,25.8,14.2,5.1,22.4,21.9,17.0,9.1,0.8,9.1,5.9,OECD DAC Creditor Reporting System (CRS)
2013,Portugal,26.6,69.7,32.5,1.8,15.7,24.0,18.3,10.3,25.6,29.5,9.0,7.6,81.2,6.9,4.3,16.9,10.8,5.7,4.0,10.8,149.9,3.1,OECD DAC Creditor Reporting System (CRS)
2013,Slovakia,12.3,10.5,4.8,1.1,6.2,7.3,5.4,4.5,3.8,2.6,4.9,2.1,4.1,2.2,0.9,8.3,5.2,2.1,1.6,0.2,1.5,1.0,OECD DAC Creditor Reporting System (CRS)
