year,name,Humanitarian,Health,Education,Refugees in Donor Countries,Agriculture & Forestry and Fishing,Social Protection,Environment Protection,source
2017,EU Institutions,0.1088,0.0618,0.0658,,0.0569,0.0231,0.0239,OECD DAC Creditor Reporting System (CRS)
2017,Estonia,0.1544,0.0402,0.0845,0.0635,0.043,0.0274,0.0379,OECD DAC Creditor Reporting System (CRS)
2017,Finland,0.1194,0.0516,0.0711,0.0745,0.0734,0.0401,0.0196,OECD DAC Creditor Reporting System (CRS)
2017,France,0.0381,0.0608,0.1131,0.0474,0.0636,0.0367,0.0368,OECD DAC Creditor Reporting System (CRS)
2017,Germany,0.1178,0.047,0.0856,0.2192,0.0392,0.0288,0.0485,OECD DAC Creditor Reporting System (CRS)
2017,Greece,0.1402,0.047,0.0549,0.2266,0.058,0.0322,0.0233,OECD DAC Creditor Reporting System (CRS)
2017,Hungary,0.1323,0.0407,0.2312,0.0238,0.0655,0.0341,0.0213,OECD DAC Creditor Reporting System (CRS)
2017,Iceland,0.0905,0.0262,0.0269,0.3463,0.0788,0.1326,0.0036,OECD DAC Creditor Reporting System (CRS)
2017,Ireland,0.2186,0.1315,0.0734,0.0501,0.0697,0.0523,0.0208,OECD DAC Creditor Reporting System (CRS)
2017,Italy,0.0971,0.0474,0.0451,0.309,0.0472,0.0271,0.026,OECD DAC Creditor Reporting System (CRS)
2017,Japan,0.0502,0.0575,0.0406,0.0,0.0525,0.018,0.0179,OECD DAC Creditor Reporting System (CRS)
2017,Lithuania,0.1236,0.0415,0.0947,0.0213,0.0567,0.0369,0.0265,OECD DAC Creditor Reporting System (CRS)
2017,Luxembourg,0.1602,0.1415,0.1134,,0.0733,0.0505,0.0098,OECD DAC Creditor Reporting System (CRS)
2017,Netherlands,0.1021,0.1029,0.0312,0.1686,0.0551,0.0184,0.0146,OECD DAC Creditor Reporting System (CRS)
2017,New Zealand,0.1085,0.0516,0.1827,0.042,0.1115,0.018,0.0125,OECD DAC Creditor Reporting System (CRS)
2017,Norway,0.1619,0.1371,0.1035,0.0376,0.0344,0.0231,0.1052,OECD DAC Creditor Reporting System (CRS)
2017,Poland,0.1632,0.0343,0.1657,0.0086,0.0673,0.0502,0.0205,OECD DAC Creditor Reporting System (CRS)
2017,Portugal,0.1019,0.0449,0.1574,0.0137,0.0473,0.0778,0.0158,OECD DAC Creditor Reporting System (CRS)
2017,Slovakia,0.1264,0.0541,0.085,0.0117,0.053,0.033,0.0236,OECD DAC Creditor Reporting System (CRS)
2017,Slovenia,0.122,0.0393,0.1833,0.0128,0.0494,0.0499,0.0326,OECD DAC Creditor Reporting System (CRS)
2017,South Korea,0.0541,0.1108,0.1102,,0.0603,0.0297,0.011,OECD DAC Creditor Reporting System (CRS)
2017,Spain,0.0901,0.0535,0.0588,0.075,0.0618,0.0398,0.0199,OECD DAC Creditor Reporting System (CRS)
2017,Sweden,0.1306,0.0967,0.0416,0.1533,0.0382,0.0296,0.0374,OECD DAC Creditor Reporting System (CRS)
2017,Switzerland,0.1244,0.0685,0.0575,0.1088,0.0591,0.0267,0.0324,OECD DAC Creditor Reporting System (CRS)
2017,United Kingdom,0.1306,0.1538,0.0719,0.0279,0.0489,0.0307,0.0327,OECD DAC Creditor Reporting System (CRS)
2017,United States,0.206,0.3038,0.0488,0.0418,0.0397,0.0145,0.0252,OECD DAC Creditor Reporting System (CRS)
2018,Australia,0.0719,0.1137,0.0789,,0.054,0.0253,0.0134,OECD DAC Creditor Reporting System (CRS)
2018,Austria,0.0786,0.0385,0.1855,0.0555,0.0632,0.0456,0.0173,OECD DAC Creditor Reporting System (CRS)
2018,Belgium,0.1311,0.0883,0.0812,0.1071,0.0761,0.0266,0.0448,OECD DAC Creditor Reporting System (CRS)
2018,Canada,0.1618,0.1957,0.0617,0.1118,0.0536,0.0226,0.0108,OECD DAC Creditor Reporting System (CRS)
2018,Czechia,0.1558,0.0383,0.08,0.0844,0.0679,0.0307,0.026,OECD DAC Creditor Reporting System (CRS)
2018,Denmark,0.1817,0.0841,0.0669,0.0265,0.0558,0.0328,0.0455,OECD DAC Creditor Reporting System (CRS)
2018,EU Institutions,0.1006,0.0393,0.0637,,0.0596,0.0262,0.0191,OECD DAC Creditor Reporting System (CRS)
2018,Estonia,0.1536,0.0375,0.1128,0.057,0.0405,0.024,0.0318,OECD DAC Creditor Reporting System (CRS)
2018,Finland,0.1145,0.0587,0.0834,0.0604,0.0584,0.0428,0.0275,OECD DAC Creditor Reporting System (CRS)
2018,France,0.0378,0.0629,0.1091,0.054,0.0464,0.0356,0.0421,OECD DAC Creditor Reporting System (CRS)
2018,Germany,0.1189,0.0514,0.1014,0.1383,0.0394,0.0182,0.0424,OECD DAC Creditor Reporting System (CRS)
2018,Greece,0.1341,0.0459,0.0692,0.1032,0.067,0.0315,0.0254,OECD DAC Creditor Reporting System (CRS)
2018,Hungary,0.0902,0.066,0.3486,0.0195,0.0874,0.0759,0.0086,OECD DAC Creditor Reporting System (CRS)
2018,Iceland,0.1151,0.0484,0.0171,0.1558,0.0839,0.1166,0.0013,OECD DAC Creditor Reporting System (CRS)
2018,Ireland,0.2226,0.1182,0.0788,0.0628,0.056,0.0425,0.0213,OECD DAC Creditor Reporting System (CRS)
2018,Italy,0.108,0.0689,0.0628,0.2256,0.0571,0.0305,0.0217,OECD DAC Creditor Reporting System (CRS)
2018,Japan,0.0454,0.0542,0.0473,0.0,0.0495,0.0233,0.0077,OECD DAC Creditor Reporting System (CRS)
2018,Lithuania,0.1536,0.0384,0.1124,0.0192,0.0599,0.0383,0.027,OECD DAC Creditor Reporting System (CRS)
2018,Luxembourg,0.156,0.1356,0.1236,,0.0638,0.0431,0.008,OECD DAC Creditor Reporting System (CRS)
2018,Netherlands,0.0814,0.1165,0.0528,0.1137,0.0643,0.0269,0.0186,OECD DAC Creditor Reporting System (CRS)
2018,New Zealand,0.0924,0.0513,0.1437,0.0329,0.1015,0.0155,0.0121,OECD DAC Creditor Reporting System (CRS)
2018,Norway,0.1531,0.1365,0.098,0.0246,0.0293,0.0178,0.1129,OECD DAC Creditor Reporting System (CRS)
2018,Poland,0.1414,0.0339,0.1693,0.0081,0.0913,0.0325,0.0196,OECD DAC Creditor Reporting System (CRS)
2018,Portugal,0.0884,0.0477,0.1726,0.0218,0.0438,0.0461,0.0159,OECD DAC Creditor Reporting System (CRS)
2018,Slovakia,0.1444,0.0497,0.0861,0.0062,0.0547,0.0294,0.0212,OECD DAC Creditor Reporting System (CRS)
2018,Slovenia,0.1167,0.0329,0.1903,0.0301,0.0491,0.0344,0.03,OECD DAC Creditor Reporting System (CRS)
2018,South Korea,0.0645,0.0979,0.1025,0.0008,0.0705,0.0363,0.0282,OECD DAC Creditor Reporting System (CRS)
2018,Spain,0.0931,0.0518,0.068,0.0953,0.0642,0.0364,0.0225,OECD DAC Creditor Reporting System (CRS)
2018,Sweden,0.1373,0.0929,0.0489,0.0904,0.0429,0.0342,0.0656,OECD DAC Creditor Reporting System (CRS)
2018,Switzerland,0.1241,0.0671,0.0597,0.0957,0.0613,0.0224,0.0311,OECD DAC Creditor Reporting System (CRS)
2018,United Kingdom,0.1234,0.1537,0.0718,0.026,0.0457,0.0319,0.0334,OECD DAC Creditor Reporting System (CRS)
2018,United States,0.2138,0.2964,0.0509,0.0477,0.0358,0.0117,0.0199,OECD DAC Creditor Reporting System (CRS)
2019,Australia,0.0952,0.1096,0.0714,,0.0521,0.0345,0.0144,OECD DAC Creditor Reporting System (CRS)
2019,Austria,0.0899,0.0379,0.1735,0.0256,0.0635,0.0397,0.0306,OECD DAC Creditor Reporting System (CRS)
2019,Belgium,0.1352,0.0877,0.0855,0.0644,0.0777,0.0269,0.0349,OECD DAC Creditor Reporting System (CRS)
2019,Canada,0.1484,0.1858,0.0744,0.1057,0.0481,0.0254,0.0347,OECD DAC Creditor Reporting System (CRS)
2019,Czechia,0.1576,0.0423,0.0797,0.0203,0.0602,0.0354,0.0236,OECD DAC Creditor Reporting System (CRS)
2019,Denmark,0.2116,0.0714,0.0516,0.0216,0.0383,0.0353,0.0187,OECD DAC Creditor Reporting System (CRS)
2019,EU Institutions,0.1184,0.0504,0.0587,,0.054,0.0268,0.0226,OECD DAC Creditor Reporting System (CRS)
2019,Estonia,0.1655,0.0356,0.1054,0.0138,0.0393,0.0244,0.0204,OECD DAC Creditor Reporting System (CRS)
2019,Finland,0.1053,0.0457,0.0738,0.0813,0.0691,0.029,0.0137,OECD DAC Creditor Reporting System (CRS)
2019,France,0.0407,0.066,0.1115,0.0863,0.0513,0.0219,0.0402,OECD DAC Creditor Reporting System (CRS)
2019,Germany,0.1073,0.0542,0.1166,0.1141,0.0412,0.0276,0.0422,OECD DAC Creditor Reporting System (CRS)
2019,Greece,0.0932,0.0271,0.0475,0.3785,0.0446,0.0196,0.0165,OECD DAC Creditor Reporting System (CRS)
2019,Hungary,0.1041,0.0433,0.368,0.0016,0.0501,0.0188,0.013,OECD DAC Creditor Reporting System (CRS)
2019,Iceland,0.1092,0.0797,0.0922,0.1344,0.1051,0.0249,0.001,OECD DAC Creditor Reporting System (CRS)
2019,Ireland,0.2052,0.1158,0.0764,0.0893,0.052,0.0268,0.0188,OECD DAC Creditor Reporting System (CRS)
2019,Italy,0.1109,0.0796,0.0758,0.1063,0.0615,0.0367,0.0299,OECD DAC Creditor Reporting System (CRS)
2019,Japan,0.0406,0.0546,0.0507,0.0,0.057,0.0305,0.0129,OECD DAC Creditor Reporting System (CRS)
2019,Lithuania,0.1538,0.035,0.1174,0.0189,0.0525,0.0336,0.0229,OECD DAC Creditor Reporting System (CRS)
2019,Luxembourg,0.1537,0.1498,0.1257,0.0005,0.0705,0.0331,0.006,OECD DAC Creditor Reporting System (CRS)
2019,Netherlands,0.0726,0.1062,0.0386,0.0976,0.0679,0.0322,0.0236,OECD DAC Creditor Reporting System (CRS)
2019,New Zealand,0.0877,0.0484,0.1404,0.0313,0.1039,0.0179,0.0235,OECD DAC Creditor Reporting System (CRS)
2019,Norway,0.155,0.1234,0.0889,0.0143,0.0327,0.0252,0.1086,OECD DAC Creditor Reporting System (CRS)
2019,Poland,0.1247,0.0464,0.2238,0.0076,0.0668,0.0319,0.0178,OECD DAC Creditor Reporting System (CRS)
2019,Portugal,0.1007,0.0558,0.1886,0.018,0.0464,0.0432,0.0163,OECD DAC Creditor Reporting System (CRS)
2019,Slovakia,0.1431,0.0442,0.0901,0.0078,0.062,0.0346,0.0217,OECD DAC Creditor Reporting System (CRS)
2019,Slovenia,0.109,0.0284,0.2103,0.0264,0.0436,0.0302,0.0253,OECD DAC Creditor Reporting System (CRS)
2019,South Korea,0.063,0.0866,0.1053,0.0006,0.0713,0.0305,0.017,OECD DAC Creditor Reporting System (CRS)
2019,Spain,0.0963,0.0456,0.0601,0.103,0.0599,0.0328,0.0275,OECD DAC Creditor Reporting System (CRS)
2019,Sweden,0.1435,0.0971,0.0467,0.052,0.0461,0.0383,0.04,OECD DAC Creditor Reporting System (CRS)
2019,Switzerland,0.127,0.0668,0.0579,0.0943,0.055,0.0283,0.0218,OECD DAC Creditor Reporting System (CRS)
2019,United Kingdom,0.1467,0.1532,0.07,0.0325,0.0423,0.0268,0.0308,OECD DAC Creditor Reporting System (CRS)
2019,United States,0.2569,0.2442,0.0457,0.059,0.0335,0.0115,0.0183,OECD DAC Creditor Reporting System (CRS)
2020,Australia,0.1013,0.1731,0.0609,,0.0517,0.0333,0.0139,OECD DAC Creditor Reporting System (CRS)
2020,Austria,0.0993,0.035,0.1636,0.024,0.0723,0.0429,0.0211,OECD DAC Creditor Reporting System (CRS)
2020,Belgium,0.1391,0.0899,0.0805,0.0593,0.0789,0.0372,0.032,OECD DAC Creditor Reporting System (CRS)
2020,Canada,0.1381,0.1631,0.0699,0.1288,0.0634,0.0164,0.0151,OECD DAC Creditor Reporting System (CRS)
2020,Czechia,0.1773,0.0545,0.0841,0.0192,0.0577,0.0434,0.0266,OECD DAC Creditor Reporting System (CRS)
2020,Denmark,0.1871,0.069,0.0638,0.0228,0.0472,0.0459,0.0193,OECD DAC Creditor Reporting System (CRS)
2020,EU Institutions,0.1049,0.047,0.0624,,0.0428,0.0535,0.0169,OECD DAC Creditor Reporting System (CRS)
2020,Estonia,0.1933,0.0456,0.091,0.0127,0.0349,0.0337,0.0215,OECD DAC Creditor Reporting System (CRS)
2020,Finland,0.1417,0.0717,0.0842,0.0495,0.0548,0.0374,0.0152,OECD DAC Creditor Reporting System (CRS)
2020,France,0.0316,0.0571,0.1008,0.0679,0.0574,0.052,0.057,OECD DAC Creditor Reporting System (CRS)
2020,Germany,0.0857,0.0984,0.109,0.0818,0.0475,0.0527,0.0405,OECD DAC Creditor Reporting System (CRS)
2020,Greece,0.0987,0.0316,0.052,0.2576,0.049,0.0364,0.0185,OECD DAC Creditor Reporting System (CRS)
2020,Hungary,0.0825,0.0786,0.3085,0.0063,0.0606,0.0376,0.0106,OECD DAC Creditor Reporting System (CRS)
2020,Iceland,0.1032,0.1879,0.1055,0.1039,0.0697,0.0206,0.0015,OECD DAC Creditor Reporting System (CRS)
2020,Ireland,0.2173,0.1295,0.0723,0.0398,0.05,0.0485,0.0198,OECD DAC Creditor Reporting System (CRS)
2020,Italy,0.118,0.0813,0.0751,0.0545,0.0735,0.0427,0.0251,OECD DAC Creditor Reporting System (CRS)
2020,Japan,0.034,0.0953,0.0368,0.0,0.0544,0.0219,0.0105,OECD DAC Creditor Reporting System (CRS)
2020,Lithuania,0.1551,0.0362,0.1124,0.017,0.0459,0.0419,0.0201,OECD DAC Creditor Reporting System (CRS)
