Donor,Year,Total ODA,ODA short of 0.7% commitment,ODA/GNI
Hungary,2014,144.0 million,781.5 million,0.11
Iceland,2014,37.3 million,81.0 million,0.22
Ireland,2014,815.8 million,706.6 million,0.38
Italy,2014,4.01 billion,10.98 billion,0.19
Japan,2014,9.48 billion,24.02 billion,0.2
Luxembourg,2014,423.2 million,0.0 million,1.06
Netherlands,2014,5.57 billion,570.0 million,0.64
New Zealand,2014,506.1 million,808.7 million,0.27
Norway,2014,5.09 billion,0.0 million,1.0
Poland,2014,451.8 million,3.24 billion,0.09
Portugal,2014,430.2 million,1.16 billion,0.19
Slovakia,2014,83.2 million,593.4 million,0.09
Slovenia,2014,61.5 million,284.4 million,0.12
South Korea,2014,1.86 billion,8.09 billion,0.13
Spain,2014,1.88 billion,7.90 billion,0.13
Sweden,2014,6.23 billion,0.0 million,1.09
Switzerland,2014,3.52 billion,1.47 billion,0.49
United Kingdom,2014,19.26 billion,0.0 million,0.7
United States,2014,33.10 billion,91.67 billion,0.19
Australia,2013,4.85 billion,5.41 billion,0.33
Austria,2013,1.17 billion,1.83 billion,0.27
Belgium,2013,2.30 billion,1.25 billion,0.45
Canada,2013,4.95 billion,7.65 billion,0.27
Czech Republic,2013,210.9 million,1.09 billion,0.11
"DAC Countries, Total",2013,134.85 billion,182.56 billion,0.3
Denmark,2013,2.93 billion,0.0 million,0.85
Finland,2013,1.44 billion,441.5 million,0.54
France,2013,11.34 billion,8.22 billion,0.41
Germany,2013,14.23 billion,11.92 billion,0.38
Greece,2013,239.1 million,1.45 billion,0.1
Hungary,2013,128.2 million,742.7 million,0.1
Iceland,2013,34.9 million,72.1 million,0.23
Ireland,2013,845.9 million,435.9 million,0.46
Italy,2013,3.43 billion,10.98 billion,0.17
Japan,2013,11.47 billion,24.24 billion,0.22
Luxembourg,2013,429.3 million,0.0 million,1.0
Netherlands,2013,5.44 billion,253.9 million,0.67
New Zealand,2013,457.3 million,762.3 million,0.26
Norway,2013,5.58 billion,0.0 million,1.07
Poland,2013,487.1 million,3.06 billion,0.1
Portugal,2013,488.3 million,1.02 billion,0.23
Slovakia,2013,86.0 million,559.1 million,0.09
Slovenia,2013,61.5 million,270.3 million,0.13
South Korea,2013,1.76 billion,7.45 billion,0.13
Spain,2013,2.35 billion,7.10 billion,0.17
Sweden,2013,5.83 billion,0.0 million,1.01
Switzerland,2013,3.20 billion,1.72 billion,0.46
United Kingdom,2013,17.87 billion,0.0 million,0.7
United States,2013,31.27 billion,89.16 billion,0.18
Australia,2012,5.40 billion,5.08 billion,0.36
Austria,2012,1.11 billion,1.66 billion,0.28
Belgium,2012,2.31 billion,1.10 billion,0.47
Canada,2012,5.65 billion,6.87 billion,0.32
Czech Republic,2012,219.6 million,1.06 billion,0.12
"DAC Countries, Total",2012,127.03 billion,185.58 billion,0.28
Denmark,2012,2.69 billion,0.0 million,0.83
Finland,2012,1.32 billion,410.5 million,0.53
France,2012,12.03 billion,6.57 billion,0.45
Germany,2012,12.94 billion,11.42 billion,0.37
Greece,2012,327.4 million,1.42 billion,0.13
Hungary,2012,118.4 million,717.0 million,0.1
Iceland,2012,26.1 million,64.0 million,0.2
Ireland,2012,808.4 million,396.1 million,0.47
Italy,2012,2.74 billion,11.25 billion,0.14
Japan,2012,10.60 billion,32.27 billion,0.17
Luxembourg,2012,399.0 million,0.0 million,1.0
Netherlands,2012,5.52 billion,0.0 million,0.71
New Zealand,2012,449.1 million,687.8 million,0.28
Norway,2012,4.75 billion,0.0 million,0.93
Poland,2012,421.1 million,2.86 billion,0.09
Portugal,2012,580.8 million,868.4 million,0.28
Slovakia,2012,79.7 million,549.8 million,0.09
Slovenia,2012,58.5 million,255.8 million,0.13
South Korea,2012,1.60 billion,6.35 billion,0.14
Spain,2012,2.04 billion,7.11 billion,0.16
Sweden,2012,5.24 billion,0.0 million,0.97
Switzerland,2012,3.05 billion,1.52 billion,0.47
United Kingdom,2012,13.89 billion,3.41 billion,0.56
United States,2012,30.65 billion,84.95 billion,0.19
Australia,2011,4.98 billion,5.17 billion,0.34
Austria,2011,1.11 billion,1.80 billion,0.27
Belgium,2011,2.81 billion,857.0 million,0.54
Canada,2011,5.46 billion,6.49 billion,0.32
Czech Republic,2011,250.5 million,1.16 billion,0.12
"DAC Countries, Total",2011,135.11 billion,173.73 billion,0.31
Denmark,2011,2.93 billion,0.0 million,0.85
Finland,2011,1.41 billion,447.1 million,0.53
France,2011,13.00 billion,6.80 billion,0.46
Germany,2011,14.09 billion,11.41 billion,0.39
Greece,2011,424.8 million,1.60 billion,0.15
Hungary,2011,139.7 million,768.2 million,0.11
Iceland,2011,25.6 million,64.3 million,0.2
Ireland,2011,913.6 million,335.2 million,0.51
Italy,2011,4.33 billion,10.95 billion,0.2
Japan,2011,11.09 billion,31.53 billion,0.18
Luxembourg,2011,409.2 million,0.0 million,0.97
Netherlands,2011,6.34 billion,0.0 million,0.75
New Zealand,2011,424.1 million,651.1 million,0.28
Norway,2011,4.76 billion,0.0 million,0.96
Poland,2011,417.5 million,3.05 billion,0.08
Portugal,2011,707.8 million,896.2 million,0.31
Slovakia,2011,86.0 million,573.4 million,0.09
Slovenia,2011,62.8 million,278.4 million,0.13
South Korea,2011,1.32 billion,6.50 billion,0.12
Spain,2011,4.17 billion,6.03 billion,0.29
Sweden,2011,5.60 billion,0.0 million,1.02
Switzerland,2011,3.05 billion,1.61 billion,0.46
United Kingdom,2011,13.83 billion,3.38 billion,0.56
United States,2011,30.97 billion,75.51 billion,0.2
Australia,2010,3.83 billion,4.47 billion,0.32
Austria,2010,1.21 billion,1.42 billion,0.32
Belgium,2010,3.00 billion,283.1 million,0.64
Canada,2010,5.21 billion,5.63 billion,0.34
Czech Republic,2010,227.6 million,1.03 billion,0.13
"DAC Countries, Total",2010,128.48 billion,159.10 billion,0.31
Denmark,2010,2.87 billion,0.0 million,0.91
Finland,2010,1.33 billion,362.2 million,0.55
France,2010,12.92 billion,5.33 billion,0.5
Germany,2010,12.99 billion,10.52 billion,0.39
Greece,2010,507.7 million,1.57 billion,0.17
Hungary,2010,114.3 million,752.6 million,0.09
Iceland,2010,28.8 million,49.1 million,0.26
Ireland,2010,895.1 million,303.7 million,0.52
Italy,2010,3.00 billion,11.17 billion,0.15
Japan,2010,11.06 billion,28.35 billion,0.2
Luxembourg,2010,402.7 million,0.0 million,1.05
Netherlands,2010,6.36 billion,0.0 million,0.81
New Zealand,2010,342.2 million,596.0 million,0.26
Norway,2010,4.37 billion,0.0 million,1.05
Poland,2010,377.8 million,2.79 billion,0.08
Portugal,2010,649.0 million,897.8 million,0.29
Slovakia,2010,73.7 million,530.2 million,0.09
Slovenia,2010,58.6 million,264.9 million,0.13
South Korea,2010,1.17 billion,5.93 billion,0.12
Spain,2010,5.95 billion,3.77 billion,0.43
Sweden,2010,4.53 billion,0.0 million,0.97
Switzerland,2010,2.30 billion,1.80 billion,0.39
United Kingdom,2010,13.05 billion,2.90 billion,0.57
United States,2010,29.66 billion,72.79 billion,0.2
