Year,Donor,COVID ODA,IDRC,ODA to Ukraine,Other ODA,Total ODA
2016,Austria,,721.0,22.8,1234.3,1978.1
2016,Belgium,,446.6,24.5,2260.8,2731.9
2016,Denmark,,466.7,13.8,2206.1,2686.6
2016,France,,530.3,101.5,10303.9,10935.7
2016,Germany,,7997.5,308.2,21735.5,30041.2
2016,Italy,,1847.1,64.2,3731.6,5642.9
2016,Netherlands,,538.9,31.0,5598.7,6168.6
2016,Norway,,927.2,19.5,4130.3,5077.0
2016,Portugal,,5.2,5.8,401.1,412.1
2016,Sweden,,831.5,45.7,4076.4,4953.6
2016,Switzerland,,792.0,37.5,3273.6,4103.1
2016,United Kingdom,,663.6,119.4,20087.4,20870.4
2016,Finland,,152.0,13.8,1071.1,1236.9
2016,Iceland,,19.1,0.0,52.4,71.5
2016,Ireland,,1.2,8.5,902.5,912.2
2016,Luxembourg,,,2.7,501.90000000000003,504.6
2016,Greece,,165.5,5.9,244.70000000000002,416.1
2016,Spain,,102.8,53.1,4745.4,4901.3
2016,Slovenia,,9.0,1.6,91.0,101.6
2016,Czechia,,27.2,10.7,355.4,393.3
2016,Slovak Republic,,2.0,4.4,127.69999999999999,134.1
2016,Hungary,,13.1,6.6,246.4,266.1
2016,Poland,,7.7,46.4,832.1999999999999,886.3
2016,Estonia,,3.6,4.5,55.199999999999996,63.3
2016,Lithuania,,2.2,6.2,76.5,84.9
2016,Canada,,479.4,67.9,4279.1,4826.4
2016,United States,,2120.5,255.6,40514.2,42890.3
2016,Japan,,0.2,283.2,8196.6,8480.0
2016,Korea,,,0.9,2189.7,2190.6
2016,Australia,,,3.2,3804.1000000000004,3807.3
2016,New Zealand,,18.6,0.2,477.09999999999997,495.9
2017,Austria,,180.1,29.3,1260.8,1470.2
2017,Belgium,,361.6,18.4,2132.7,2512.7
2017,Denmark,,128.7,21.0,2541.2,2690.9
2017,France,,690.7,76.9,11801.1,12568.7
2017,Germany,,7110.5,310.8,21927.2,29348.5
2017,Italy,,1948.8,47.5,4331.9,6328.2
2017,Netherlands,,1004.9,20.6,4938.9,5964.4
2017,Norway,,164.4,29.0,4329.8,4523.2
2017,Portugal,,6.7,4.2,430.70000000000005,441.6
2017,Sweden,,820.4,44.6,4645.8,5510.8
2017,Switzerland,,379.1,32.8,3204.1,3616.0
2017,United Kingdom,,585.0,70.9,20866.7,21522.6
2017,Finland,,87.9,14.2,1128.9,1231.0
2017,Iceland,,23.6,0.0,49.3,72.9
2017,Ireland,,45.1,5.4,877.7,928.2
2017,Luxembourg,,,2.2,522.3,524.5
2017,Greece,,75.2,4.5,266.6,346.3
2017,Spain,,243.8,53.6,2579.8,2877.2
2017,Slovenia,,1.1,1.3,89.2,91.6
2017,Czechia,,31.0,9.1,394.0,434.1
2017,Slovak Republic,,1.6,4.2,140.4,146.2
2017,Hungary,,4.2,4.7,177.3,186.2
2017,Poland,,7.5,86.5,762.5,856.5
2017,Estonia,,3.7,4.4,51.1,59.2
2017,Lithuania,,1.7,2.7,78.4,82.8
2017,Canada,,547.5,47.6,4452.7,5047.8
2017,United States,,1782.6,297.8,40436.0,42516.4
2017,Japan,,0.2,5.5,9622.4,9628.1
2017,Korea,,,1.0,2045.0,2046.0
2017,Australia,,,0.8,3303.1,3303.9
2017,New Zealand,,18.3,0.1,455.59999999999997,474.0
2018,Austria,,68.1,29.1,1190.8,1288.0
2018,Belgium,,263.1,17.4,2207.1,2487.6
2018,Denmark,,70.1,26.8,2605.5,2702.4
2018,France,,840.9,77.7,11812.4,12731.0
2018,Germany,,4254.9,333.3,22861.8,27450.0
2018,Italy,,1148.2,52.1,4097.7,5298.0
2018,Netherlands,,644.3,23.2,5682.1,6349.6
2018,Norway,,102.8,25.4,4173.5,4301.7
2018,Portugal,,10.4,4.3,433.0,447.7
2018,Sweden,,516.2,48.3,5339.3,5903.8
2018,Switzerland,,319.1,35.5,3156.9,3511.5
2018,United Kingdom,,555.6,92.7,21206.0,21854.3
2018,Finland,,60.6,11.2,974.6999999999999,1046.5
2018,Iceland,,11.8,0.1,66.3,78.2
2018,Ireland,,58.9,5.3,912.7,976.9
2018,Luxembourg,,,2.2,547.5,549.7
2018,Greece,,29.5,4.8,272.6,306.9
2018,Spain,,292.1,51.7,2720.3,3064.1
2018,Slovenia,,2.8,2.3,89.3,94.4
2018,Czechia,,32.3,9.3,353.3,394.9
2018,Slovak Republic,,0.9,3.0,154.2,158.1
2018,Hungary,,4.3,9.5,321.3,335.1
2018,Poland,,7.4,90.6,813.4,911.4
2018,Estonia,,3.4,4.3,53.5,61.2
2018,Lithuania,,1.6,4.2,78.0,83.8
2018,Canada,,582.9,41.0,4766.8,5390.7
2018,United States,,1939.8,245.6,38685.0,40870.4
2018,Japan,,0.3,14.6,11697.1,11712.0
2018,Korea,,1.6,0.8,2120.2,2122.6
2018,Australia,,,0.5,3437.3,3437.8
2018,New Zealand,,18.1,0.1,575.3,593.5
2019,Austria,,35.2,27.9,1343.7,1406.8
2019,Belgium,,153.7,21.2,2249.4,2424.3
2019,Denmark,,58.9,36.6,2689.8,2785.3
2019,France,,1321.0,90.8,11923.4,13335.2
2019,Germany,,3443.9,316.3,23691.5,27451.7
2019,Italy,,474.3,52.4,4177.2,4703.9
2019,Netherlands,,567.1,22.3,5488.3,6077.7
2019,Norway,,65.4,31.9,4625.3,4722.6
2019,Portugal,,8.7,5.6,448.09999999999997,462.4
2019,Sweden,,274.2,52.1,5108.4,5434.7
2019,Switzerland,,326.8,37.4,3206.1,3570.3
2019,United Kingdom,,702.6,122.7,21509.0,22334.3
2019,Finland,,99.0,16.6,1133.6,1249.2
2019,Iceland,,9.1,0.0,61.1,70.2
2019,Ireland,,89.3,6.7,945.0999999999999,1041.1
2019,Luxembourg,,0.3,2.7,570.7,573.7
2019,Greece,,149.4,5.8,253.4,408.6
2019,Spain,,330.3,56.4,2856.3,3243.0
2019,Slovenia,,2.6,3.4,96.2,102.2
2019,Czechia,,8.0,10.2,388.0,406.2
2019,Slovak Republic,,1.0,4.1,131.6,136.7
2019,Hungary,,1.3,13.3,362.1,376.7
2019,Poland,,7.2,110.9,835.0,953.1
2019,Estonia,,0.8,4.4,56.7,61.9
2019,Lithuania,,1.7,4.9,83.0,89.6
2019,Canada,,552.7,62.4,4872.9,5488.0
2019,United States,,2212.5,254.6,36952.0,39419.1
2019,Japan,,0.3,17.5,12629.2,12647.0
2019,Korea,,1.4,2.2,2364.5,2368.1
2019,Australia,,,3.2,3291.4,3294.6
2019,New Zealand,,17.7,0.1,589.2,607.0
2020,Austria,51.1,33.8,49.6,1258.7,1393.2
2020,Belgium,158.2,144.7,54.3,2168.9,2526.1
2020,Denmark,628.4,59.6,44.1,2024.2,2756.3
2020,France,1029.5,1276.6,227.6,12199.2,14732.9
2020,Germany,3939.6,2877.9,473.1,24113.1,31403.7
2020,Italy,151.3,236.1,145.7,3847.7999999999997,4380.9
2020,Netherlands,379.4,621.6,51.9,4878.7,5931.6
2020,Norway,363.1,57.1,32.3,4607.3,5059.8
2020,Portugal,9.7,10.6,17.5,410.7,448.5
2020,Sweden,546.7,148.8,68.3,5563.7,6327.5
2020,Switzerland,517.7,354.0,38.6,2996.3,3906.6
2020,United Kingdom,2658.2,879.3,192.6,16545.8,20275.9
2020,Finland,81.8,63.5,28.3,1191.1,1364.7
2020,Iceland,7.8,6.9,0.1,55.400000000000006,70.2
2020,Ireland,63.1,39.8,18.9,919.6,1041.4
2020,Luxembourg,5.6,0.2,4.9,505.8,516.5
2020,Greece,5.8,88.5,16.8,247.39999999999998,358.5
2020,Spain,215.1,208.3,110.3,2662.7,3196.4
2020,Slovenia,4.0,3.0,3.8,91.8,102.6
2020,Czechia,14.5,7.0,21.1,338.7,381.3
2020,Slovak Republic,4.5,1.1,8.9,145.5,160.0
2020,Hungary,41.5,3.1,36.7,421.09999999999997,502.4
2020,Poland,43.0,8.0,120.3,819.8000000000001,991.1
2020,Estonia,4.0,0.8,6.7,51.8,63.3
2020,Lithuania,3.2,1.5,8.0,79.2,91.9
2020,Canada,481.9,735.9,45.2,4630.6,5893.6
2020,United States,1313.0,1750.0,314.8,37948.3,41326.1
2020,Japan,1799.6,0.3,12.7,10983.0,12795.6
2020,Korea,464.3,1.3,3.3,1688.1000000000001,2157.0
2020,Australia,1281.6,,0.9,1985.5,3268.0
2020,New Zealand,50.8,8.9,0.1,516.5,576.3
2021,Austria,142.7,65.2,43.1,1264.3,1515.3
2021,Belgium,235.6,252.4,40.6,2104.6,2633.2
2021,Denmark,206.9,61.4,53.2,2516.0,2837.5
2021,France,1491.0,1146.1,188.4,12540.4,15365.9
2021,Germany,4565.8,2795.8,459.0,26228.0,34048.6
2021,Italy,733.8,545.6,114.3,4576.9,5970.6
2021,Netherlands,352.2,422.4,36.1,4668.1,5478.8
2021,Norway,378.1,49.1,21.5,3943.5,4392.2
2021,Portugal,76.4,11.4,13.9,369.5,471.2
2021,Sweden,484.8,79.5,58.1,4744.8,5367.2
2021,Switzerland,520.2,388.3,51.4,3164.5,4124.4
2021,United Kingdom,1581.8,1475.4,148.4,12811.1,16016.7
2021,Finland,91.8,69.3,26.2,1264.1,1451.4
2021,Iceland,10.2,4.6,0.2,60.699999999999996,75.7
2021,Ireland,120.0,50.8,16.9,978.5,1166.2
2021,Luxembourg,25.4,,4.5,537.8,567.7
2021,Greece,69.8,38.0,12.6,233.79999999999998,354.2
2021,Spain,802.7,233.1,78.0,2544.5,3658.3
2021,Slovenia,23.7,2.5,4.3,92.9,123.4
2021,Czechia,59.8,7.4,19.2,335.5,421.9
2021,Slovak Republic,31.1,1.3,7.3,125.89999999999999,165.6
2021,Hungary,81.7,1.5,31.9,368.6,483.7
2021,Poland,186.8,18.9,131.2,766.8,1103.7
2021,Estonia,11.4,,6.4,51.8,69.6
2021,Lithuania,14.9,2.2,7.0,75.6,99.7
2021,Canada,1892.4,467.4,42.6,3951.8999999999996,6354.3
2021,United States,2807.5,5270.4,380.2,44638.4,53096.5
2021,Japan,2513.9,0.2,10.8,11775.7,14300.6
2021,Korea,447.8,0.5,7.1,2143.3,2598.7
2021,Australia,1680.1,,12.4,1815.3000000000002,3507.8
2021,New Zealand,158.7,11.3,0.5,493.5,664.0
2022,Austria,156.5,410.6,244.5,1226.5,2038.1
2022,Belgium,457.9,342.0,365.6,1674.6999999999998,2840.2
2022,Denmark,143.4,360.8,289.0,2009.5,2802.7
2022,France,1860.3,1658.3,1468.9,12347.3,17334.8
2022,Germany,4147.1,5256.5,3832.9,25721.5,38958.0
2022,Italy,872.3,1585.6,1142.0,3520.8999999999996,7120.8
2022,Netherlands,478.3,1043.6,606.2,5012.5,7140.6
2022,Norway,125.4,424.0,458.4,3230.2,4238.0
2022,Portugal,89.7,15.6,138.4,331.3,575.0
2022,Sweden,318.9,386.7,399.3,4386.8,5491.7
2022,Switzerland,101.6,1357.9,258.0,3112.5,4830.0
2022,United Kingdom,1153.5,4921.1,864.0,10111.2,17049.8
2022,Finland,101.5,440.5,175.6,1018.6,1736.2
2022,Iceland,0.4,6.7,12.2,79.3,98.6
2022,Ireland,144.1,1283.8,198.4,940.6,2566.9
2022,Luxembourg,25.5,,32.6,532.7,590.8
2022,Greece,82.0,79.3,94.0,136.1,391.4
2022,Spain,799.4,983.8,690.1,2164.2,4637.5
2022,Slovenia,22.5,29.1,33.3,104.3,189.2
2022,Czechia,80.8,738.6,153.0,229.60000000000002,1202.0
2022,Slovak Republic,46.9,1.5,54.2,89.2,191.8
2022,Hungary,55.5,,98.8,288.8,443.1
2022,Poland,226.2,2576.8,685.6,618.8,4107.4
2022,Estonia,10.7,153.1,22.3,38.6,224.7
2022,Lithuania,26.2,82.5,89.3,73.0,271.0
2022,Canada,1079.4,901.9,882.1,4789.6,7653.0
2022,United States,6265.2,8076.2,9692.4,38766.3,62800.1
2022,Japan,2157.8,52.2,497.6,14236.0,16943.6
2022,Korea,211.0,10.9,85.8,2524.3,2832.0
2022,Australia,1027.8,,61.8,1933.1,3022.7
2022,New Zealand,59.0,14.4,5.8,449.0,528.2
2023,Austria,116.0,287.3,278.8,1276.4,1958.5
2023,Belgium,294.7,358.4,474.1,1687.2,2814.4
2023,Denmark,101.7,276.5,361.7,2316.6,3056.5
2023,France,1354.2,1281.8,1714.2,10699.3,15049.5
2023,Germany,2298.4,7286.2,3515.0,24805.2,37904.8
2023,Italy,642.7,1660.0,1195.5,2623.0,6121.2
2023,Netherlands,336.7,1296.6,877.5,4850.4,7361.2
2023,Norway,89.2,427.7,756.9,4274.2,5548.0
2023,Portugal,72.9,9.1,150.7,296.4,529.1
2023,Sweden,256.6,253.7,484.1,4627.5,5621.9
2023,Switzerland,65.7,1459.6,167.2,3526.7000000000003,5219.2
2023,United Kingdom,1230.8,5311.4,684.8,11845.7,19072.7
2023,Finland,78.8,249.5,215.4,1042.5,1586.2
2023,Iceland,0.3,9.6,11.3,89.6,110.8
2023,Ireland,127.7,1473.2,235.0,980.7,2816.6
2023,Luxembourg,20.8,,45.2,514.3,580.3
2023,Greece,62.3,50.2,127.8,94.0,334.3
2023,Spain,456.1,319.0,843.6,2261.1,3879.8
2023,Slovenia,22.3,17.9,49.6,73.9,163.7
2023,Czechia,71.8,418.3,162.5,157.7,810.3
2023,Slovak Republic,42.8,1.6,70.2,60.8,175.4
2023,Hungary,29.7,2.0,23.3,212.60000000000002,267.6
2023,Poland,214.4,1330.8,630.8,404.4,2580.4
2023,Estonia,11.3,33.8,31.9,32.5,109.5
2023,Lithuania,32.2,35.3,98.7,47.2,213.4
2023,Canada,601.6,1690.1,842.5,4831.2,7965.4
2023,United States,1489.5,6951.9,11857.8,44386.5,64685.7
2023,Japan,1204.3,35.2,832.2,17528.7,19600.4
2023,Korea,189.3,1.3,68.1,2901.6,3160.3
2023,Australia,906.0,,44.7,2302.6,3253.3
2023,New Zealand,14.8,13.2,4.5,731.4,763.9
