year,name,Africa,America,Asia,"Developing countries, unspecified",Europe,Oceania,note
2013,"DAC Countries, Total",47678.18,8543.25,37866.29,29384.38,6614.13,2076.53,"<b>Africa:</b> 47,678.2 million<br><b>America:</b> 8,543.2 million<br><b>Asia:</b> 37,866.3 million<br><b>Developing countries, unspecified:</b> 29,384.4 million<br><b>Europe:</b> 6,614.1 million<br><b>Oceania:</b> 2,076.5 million"
2014,"DAC Countries, Total",47958.94,8584.79,36516.34,33339.89,7929.29,1845.04,"<b>Africa:</b> 47,958.9 million<br><b>America:</b> 8,584.8 million<br><b>Asia:</b> 36,516.3 million<br><b>Developing countries, unspecified:</b> 33,339.9 million<br><b>Europe:</b> 7,929.3 million<br><b>Oceania:</b> 1,845.0 million"
2015,"DAC Countries, Total",42717.61,7870.16,32676.54,36968.54,6833.5,1795.09,"<b>Africa:</b> 42,717.6 million<br><b>America:</b> 7,870.2 million<br><b>Asia:</b> 32,676.5 million<br><b>Developing countries, unspecified:</b> 36,968.5 million<br><b>Europe:</b> 6,833.5 million<br><b>Oceania:</b> 1,795.1 million"
2016,"DAC Countries, Total",45571.58,10534.13,35004.0,42082.34,7708.63,1778.79,"<b>Africa:</b> 45,571.6 million<br><b>America:</b> 10,534.1 million<br><b>Asia:</b> 35,004.0 million<br><b>Developing countries, unspecified:</b> 42,082.3 million<br><b>Europe:</b> 7,708.6 million<br><b>Oceania:</b> 1,778.8 million"
2017,"DAC Countries, Total",48646.83,7813.62,37671.86,41141.41,7781.23,2111.53,"<b>Africa:</b> 48,646.8 million<br><b>America:</b> 7,813.6 million<br><b>Asia:</b> 37,671.9 million<br><b>Developing countries, unspecified:</b> 41,141.4 million<br><b>Europe:</b> 7,781.2 million<br><b>Oceania:</b> 2,111.5 million"
2018,"DAC Countries, Total",50663.4,9322.42,38365.79,41060.3,6789.92,2291.51,"<b>Africa:</b> 50,663.4 million<br><b>America:</b> 9,322.4 million<br><b>Asia:</b> 38,365.8 million<br><b>Developing countries, unspecified:</b> 41,060.3 million<br><b>Europe:</b> 6,789.9 million<br><b>Oceania:</b> 2,291.5 million"
2019,"DAC Countries, Total",49115.0,8423.07,36751.32,40284.89,6371.21,2029.67,"<b>Africa:</b> 49,115.0 million<br><b>America:</b> 8,423.1 million<br><b>Asia:</b> 36,751.3 million<br><b>Developing countries, unspecified:</b> 40,284.9 million<br><b>Europe:</b> 6,371.2 million<br><b>Oceania:</b> 2,029.7 million"
2020,"DAC Countries, Total",55652.42,10777.45,40521.87,41773.83,7070.5,2412.03,"<b>Africa:</b> 55,652.4 million<br><b>America:</b> 10,777.5 million<br><b>Asia:</b> 40,521.9 million<br><b>Developing countries, unspecified:</b> 41,773.8 million<br><b>Europe:</b> 7,070.5 million<br><b>Oceania:</b> 2,412.0 million"
2000,Australia,106.96,12.28,502.68,71.31,12.1,270.36,"<b>Africa:</b> 107.0 million<br><b>America:</b> 12.3 million<br><b>Asia:</b> 502.7 million<br><b>Developing countries, unspecified:</b> 71.3 million<br><b>Europe:</b> 12.1 million<br><b>Oceania:</b> 270.4 million"
2000,Austria,160.51,31.05,98.53,39.64,103.64,2.33,"<b>Africa:</b> 160.5 million<br><b>America:</b> 31.0 million<br><b>Asia:</b> 98.5 million<br><b>Developing countries, unspecified:</b> 39.6 million<br><b>Europe:</b> 103.6 million<br><b>Oceania:</b> 2.3 million"
2000,Belgium,350.59,72.17,146.47,166.13,63.58,3.46,"<b>Africa:</b> 350.6 million<br><b>America:</b> 72.2 million<br><b>Asia:</b> 146.5 million<br><b>Developing countries, unspecified:</b> 166.1 million<br><b>Europe:</b> 63.6 million<br><b>Oceania:</b> 3.5 million"
2000,Canada,383.71,137.0,339.85,596.87,80.24,4.58,"<b>Africa:</b> 383.7 million<br><b>America:</b> 137.0 million<br><b>Asia:</b> 339.9 million<br><b>Developing countries, unspecified:</b> 596.9 million<br><b>Europe:</b> 80.2 million<br><b>Oceania:</b> 4.6 million"
2000,Czech Republic,4.06,1.16,5.62,2.83,1.68,0.03,"<b>Africa:</b> 4.1 million<br><b>America:</b> 1.2 million<br><b>Asia:</b> 5.6 million<br><b>Developing countries, unspecified:</b> 2.8 million<br><b>Europe:</b> 1.7 million<br><b>Oceania:</b> 0.0 million"
2000,Denmark,665.79,110.71,343.48,312.08,76.25,3.68,"<b>Africa:</b> 665.8 million<br><b>America:</b> 110.7 million<br><b>Asia:</b> 343.5 million<br><b>Developing countries, unspecified:</b> 312.1 million<br><b>Europe:</b> 76.2 million<br><b>Oceania:</b> 3.7 million"
2000,EU Institutions,1658.13,388.81,993.22,626.86,1315.97,57.77,"<b>Africa:</b> 1,658.1 million<br><b>America:</b> 388.8 million<br><b>Asia:</b> 993.2 million<br><b>Developing countries, unspecified:</b> 626.9 million<br><b>Europe:</b> 1,316.0 million<br><b>Oceania:</b> 57.8 million"
2000,Finland,131.45,27.0,102.62,64.03,37.57,1.42,"<b>Africa:</b> 131.4 million<br><b>America:</b> 27.0 million<br><b>Asia:</b> 102.6 million<br><b>Developing countries, unspecified:</b> 64.0 million<br><b>Europe:</b> 37.6 million<br><b>Oceania:</b> 1.4 million"
2000,France,2390.87,212.85,639.79,590.65,289.83,827.13,"<b>Africa:</b> 2,390.9 million<br><b>America:</b> 212.9 million<br><b>Asia:</b> 639.8 million<br><b>Developing countries, unspecified:</b> 590.6 million<br><b>Europe:</b> 289.8 million<br><b>Oceania:</b> 827.1 million"
2000,Germany,1797.96,533.17,1249.16,666.17,649.43,30.56,"<b>Africa:</b> 1,798.0 million<br><b>America:</b> 533.2 million<br><b>Asia:</b> 1,249.2 million<br><b>Developing countries, unspecified:</b> 666.2 million<br><b>Europe:</b> 649.4 million<br><b>Oceania:</b> 30.6 million"
2000,Greece,45.15,11.02,34.48,17.76,108.05,1.67,"<b>Africa:</b> 45.1 million<br><b>America:</b> 11.0 million<br><b>Asia:</b> 34.5 million<br><b>Developing countries, unspecified:</b> 17.8 million<br><b>Europe:</b> 108.0 million<br><b>Oceania:</b> 1.7 million"
2000,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2000,Iceland,4.9,0.3,1.35,0.69,0.36,0.01,"<b>Africa:</b> 4.9 million<br><b>America:</b> 0.3 million<br><b>Asia:</b> 1.4 million<br><b>Developing countries, unspecified:</b> 0.7 million<br><b>Europe:</b> 0.4 million<br><b>Oceania:</b> 0.0 million"
2000,Ireland,133.46,12.21,29.27,34.76,22.32,1.0,"<b>Africa:</b> 133.5 million<br><b>America:</b> 12.2 million<br><b>Asia:</b> 29.3 million<br><b>Developing countries, unspecified:</b> 34.8 million<br><b>Europe:</b> 22.3 million<br><b>Oceania:</b> 1.0 million"
2000,Italy,623.56,96.49,214.01,144.27,273.68,12.48,"<b>Africa:</b> 623.6 million<br><b>America:</b> 96.5 million<br><b>Asia:</b> 214.0 million<br><b>Developing countries, unspecified:</b> 144.3 million<br><b>Europe:</b> 273.7 million<br><b>Oceania:</b> 12.5 million"
2000,Japan,2565.39,1117.02,7119.39,1719.7,332.24,187.35,"<b>Africa:</b> 2,565.4 million<br><b>America:</b> 1,117.0 million<br><b>Asia:</b> 7,119.4 million<br><b>Developing countries, unspecified:</b> 1,719.7 million<br><b>Europe:</b> 332.2 million<br><b>Oceania:</b> 187.3 million"
2000,Luxembourg,57.45,19.17,22.02,8.83,14.28,0.25,"<b>Africa:</b> 57.5 million<br><b>America:</b> 19.2 million<br><b>Asia:</b> 22.0 million<br><b>Developing countries, unspecified:</b> 8.8 million<br><b>Europe:</b> 14.3 million<br><b>Oceania:</b> 0.2 million"
2000,Netherlands,917.0,419.74,632.98,1033.25,258.73,8.7,"<b>Africa:</b> 917.0 million<br><b>America:</b> 419.7 million<br><b>Asia:</b> 633.0 million<br><b>Developing countries, unspecified:</b> 1,033.2 million<br><b>Europe:</b> 258.7 million<br><b>Oceania:</b> 8.7 million"
2000,New Zealand,12.4,2.89,32.58,4.26,0.85,52.55,"<b>Africa:</b> 12.4 million<br><b>America:</b> 2.9 million<br><b>Asia:</b> 32.6 million<br><b>Developing countries, unspecified:</b> 4.3 million<br><b>Europe:</b> 0.8 million<br><b>Oceania:</b> 52.6 million"
2000,Norway,486.3,80.84,307.6,211.98,155.78,2.39,"<b>Africa:</b> 486.3 million<br><b>America:</b> 80.8 million<br><b>Asia:</b> 307.6 million<br><b>Developing countries, unspecified:</b> 212.0 million<br><b>Europe:</b> 155.8 million<br><b>Oceania:</b> 2.4 million"
2000,Poland,10.77,5.15,8.37,0.29,10.0,0.05,"<b>Africa:</b> 10.8 million<br><b>America:</b> 5.2 million<br><b>Asia:</b> 8.4 million<br><b>Developing countries, unspecified:</b> 0.3 million<br><b>Europe:</b> 10.0 million<br><b>Oceania:</b> 0.1 million"
2000,Portugal,151.33,6.93,72.87,17.6,19.6,0.94,"<b>Africa:</b> 151.3 million<br><b>America:</b> 6.9 million<br><b>Asia:</b> 72.9 million<br><b>Developing countries, unspecified:</b> 17.6 million<br><b>Europe:</b> 19.6 million<br><b>Oceania:</b> 0.9 million"
2000,Slovakia,0.0,0.0,0.0,1.71,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 1.7 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2000,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2000,South Korea,65.75,16.93,119.07,11.64,3.79,2.95,"<b>Africa:</b> 65.8 million<br><b>America:</b> 16.9 million<br><b>Asia:</b> 119.1 million<br><b>Developing countries, unspecified:</b> 11.6 million<br><b>Europe:</b> 3.8 million<br><b>Oceania:</b> 3.0 million"
2000,Spain,276.78,372.02,230.02,141.29,164.45,5.78,"<b>Africa:</b> 276.8 million<br><b>America:</b> 372.0 million<br><b>Asia:</b> 230.0 million<br><b>Developing countries, unspecified:</b> 141.3 million<br><b>Europe:</b> 164.4 million<br><b>Oceania:</b> 5.8 million"
2000,Sweden,623.14,198.96,439.91,395.05,122.57,4.0,"<b>Africa:</b> 623.1 million<br><b>America:</b> 199.0 million<br><b>Asia:</b> 439.9 million<br><b>Developing countries, unspecified:</b> 395.0 million<br><b>Europe:</b> 122.6 million<br><b>Oceania:</b> 4.0 million"
2000,Switzerland,297.49,74.7,223.96,183.19,107.92,1.38,"<b>Africa:</b> 297.5 million<br><b>America:</b> 74.7 million<br><b>Asia:</b> 224.0 million<br><b>Developing countries, unspecified:</b> 183.2 million<br><b>Europe:</b> 107.9 million<br><b>Oceania:</b> 1.4 million"
2000,United Kingdom,1843.99,346.47,1062.95,742.77,447.55,24.08,"<b>Africa:</b> 1,844.0 million<br><b>America:</b> 346.5 million<br><b>Asia:</b> 1,063.0 million<br><b>Developing countries, unspecified:</b> 742.8 million<br><b>Europe:</b> 447.5 million<br><b>Oceania:</b> 24.1 million"
2000,United States,3106.12,1531.35,3109.39,2073.48,813.81,170.16,"<b>Africa:</b> 3,106.1 million<br><b>America:</b> 1,531.3 million<br><b>Asia:</b> 3,109.4 million<br><b>Developing countries, unspecified:</b> 2,073.5 million<br><b>Europe:</b> 813.8 million<br><b>Oceania:</b> 170.2 million"
2001,Australia,83.14,9.39,416.21,98.25,6.4,241.98,"<b>Africa:</b> 83.1 million<br><b>America:</b> 9.4 million<br><b>Asia:</b> 416.2 million<br><b>Developing countries, unspecified:</b> 98.2 million<br><b>Europe:</b> 6.4 million<br><b>Oceania:</b> 242.0 million"
2001,Austria,302.23,96.01,106.65,40.78,86.23,1.75,"<b>Africa:</b> 302.2 million<br><b>America:</b> 96.0 million<br><b>Asia:</b> 106.7 million<br><b>Developing countries, unspecified:</b> 40.8 million<br><b>Europe:</b> 86.2 million<br><b>Oceania:</b> 1.8 million"
2001,Belgium,413.75,67.83,130.33,185.35,52.52,2.48,"<b>Africa:</b> 413.8 million<br><b>America:</b> 67.8 million<br><b>Asia:</b> 130.3 million<br><b>Developing countries, unspecified:</b> 185.3 million<br><b>Europe:</b> 52.5 million<br><b>Oceania:</b> 2.5 million"
2001,Canada,324.94,155.61,301.18,610.64,69.34,4.68,"<b>Africa:</b> 324.9 million<br><b>America:</b> 155.6 million<br><b>Asia:</b> 301.2 million<br><b>Developing countries, unspecified:</b> 610.6 million<br><b>Europe:</b> 69.3 million<br><b>Oceania:</b> 4.7 million"
2001,Czech Republic,4.89,1.73,10.85,2.83,7.21,0.02,"<b>Africa:</b> 4.9 million<br><b>America:</b> 1.7 million<br><b>Asia:</b> 10.9 million<br><b>Developing countries, unspecified:</b> 2.8 million<br><b>Europe:</b> 7.2 million<br><b>Oceania:</b> 0.0 million"
2001,Denmark,632.26,111.29,372.69,307.95,80.55,3.36,"<b>Africa:</b> 632.3 million<br><b>America:</b> 111.3 million<br><b>Asia:</b> 372.7 million<br><b>Developing countries, unspecified:</b> 307.9 million<br><b>Europe:</b> 80.5 million<br><b>Oceania:</b> 3.4 million"
2001,EU Institutions,2354.24,602.45,1086.21,655.89,1370.55,53.92,"<b>Africa:</b> 2,354.2 million<br><b>America:</b> 602.4 million<br><b>Asia:</b> 1,086.2 million<br><b>Developing countries, unspecified:</b> 655.9 million<br><b>Europe:</b> 1,370.5 million<br><b>Oceania:</b> 53.9 million"
2001,Finland,139.7,27.63,100.28,75.51,37.96,1.31,"<b>Africa:</b> 139.7 million<br><b>America:</b> 27.6 million<br><b>Asia:</b> 100.3 million<br><b>Developing countries, unspecified:</b> 75.5 million<br><b>Europe:</b> 38.0 million<br><b>Oceania:</b> 1.3 million"
2001,France,2303.68,261.69,709.59,721.12,282.65,751.3,"<b>Africa:</b> 2,303.7 million<br><b>America:</b> 261.7 million<br><b>Asia:</b> 709.6 million<br><b>Developing countries, unspecified:</b> 721.1 million<br><b>Europe:</b> 282.6 million<br><b>Oceania:</b> 751.3 million"
2001,Germany,1692.57,542.62,1438.54,702.21,582.0,22.62,"<b>Africa:</b> 1,692.6 million<br><b>America:</b> 542.6 million<br><b>Asia:</b> 1,438.5 million<br><b>Developing countries, unspecified:</b> 702.2 million<br><b>Europe:</b> 582.0 million<br><b>Oceania:</b> 22.6 million"
2001,Greece,45.04,11.49,26.48,15.38,89.21,1.06,"<b>Africa:</b> 45.0 million<br><b>America:</b> 11.5 million<br><b>Asia:</b> 26.5 million<br><b>Developing countries, unspecified:</b> 15.4 million<br><b>Europe:</b> 89.2 million<br><b>Oceania:</b> 1.1 million"
2001,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2001,Iceland,6.34,0.26,1.54,0.3,0.16,0.0,"<b>Africa:</b> 6.3 million<br><b>America:</b> 0.3 million<br><b>Asia:</b> 1.5 million<br><b>Developing countries, unspecified:</b> 0.3 million<br><b>Europe:</b> 0.2 million<br><b>Oceania:</b> 0.0 million"
2001,Ireland,164.17,15.71,37.5,33.34,29.46,0.93,"<b>Africa:</b> 164.2 million<br><b>America:</b> 15.7 million<br><b>Asia:</b> 37.5 million<br><b>Developing countries, unspecified:</b> 33.3 million<br><b>Europe:</b> 29.5 million<br><b>Oceania:</b> 0.9 million"
2001,Italy,700.09,100.73,338.99,232.25,220.75,13.32,"<b>Africa:</b> 700.1 million<br><b>America:</b> 100.7 million<br><b>Asia:</b> 339.0 million<br><b>Developing countries, unspecified:</b> 232.2 million<br><b>Europe:</b> 220.8 million<br><b>Oceania:</b> 13.3 million"
2001,Japan,1934.06,891.53,5383.6,1309.9,64.44,117.39,"<b>Africa:</b> 1,934.1 million<br><b>America:</b> 891.5 million<br><b>Asia:</b> 5,383.6 million<br><b>Developing countries, unspecified:</b> 1,309.9 million<br><b>Europe:</b> 64.4 million<br><b>Oceania:</b> 117.4 million"
2001,Luxembourg,50.83,17.26,32.25,22.68,11.81,0.21,"<b>Africa:</b> 50.8 million<br><b>America:</b> 17.3 million<br><b>Asia:</b> 32.2 million<br><b>Developing countries, unspecified:</b> 22.7 million<br><b>Europe:</b> 11.8 million<br><b>Oceania:</b> 0.2 million"
2001,Netherlands,1148.63,435.67,815.53,465.52,256.81,9.17,"<b>Africa:</b> 1,148.6 million<br><b>America:</b> 435.7 million<br><b>Asia:</b> 815.5 million<br><b>Developing countries, unspecified:</b> 465.5 million<br><b>Europe:</b> 256.8 million<br><b>Oceania:</b> 9.2 million"
2001,New Zealand,10.97,3.96,32.42,3.85,0.57,52.13,"<b>Africa:</b> 11.0 million<br><b>America:</b> 4.0 million<br><b>Asia:</b> 32.4 million<br><b>Developing countries, unspecified:</b> 3.9 million<br><b>Europe:</b> 0.6 million<br><b>Oceania:</b> 52.1 million"
2001,Norway,486.14,109.97,377.03,224.92,113.29,2.32,"<b>Africa:</b> 486.1 million<br><b>America:</b> 110.0 million<br><b>Asia:</b> 377.0 million<br><b>Developing countries, unspecified:</b> 224.9 million<br><b>Europe:</b> 113.3 million<br><b>Oceania:</b> 2.3 million"
2001,Poland,2.48,0.67,30.42,0.45,4.65,0.03,"<b>Africa:</b> 2.5 million<br><b>America:</b> 0.7 million<br><b>Asia:</b> 30.4 million<br><b>Developing countries, unspecified:</b> 0.5 million<br><b>Europe:</b> 4.7 million<br><b>Oceania:</b> 0.0 million"
2001,Portugal,149.69,10.4,73.28,14.51,18.84,0.81,"<b>Africa:</b> 149.7 million<br><b>America:</b> 10.4 million<br><b>Asia:</b> 73.3 million<br><b>Developing countries, unspecified:</b> 14.5 million<br><b>Europe:</b> 18.8 million<br><b>Oceania:</b> 0.8 million"
2001,Slovakia,0.0,0.0,0.0,3.39,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 3.4 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2001,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2001,South Korea,43.11,20.09,172.05,16.54,16.74,4.85,"<b>Africa:</b> 43.1 million<br><b>America:</b> 20.1 million<br><b>Asia:</b> 172.1 million<br><b>Developing countries, unspecified:</b> 16.5 million<br><b>Europe:</b> 16.7 million<br><b>Oceania:</b> 4.8 million"
2001,Spain,380.43,768.31,267.57,168.22,140.1,4.49,"<b>Africa:</b> 380.4 million<br><b>America:</b> 768.3 million<br><b>Asia:</b> 267.6 million<br><b>Developing countries, unspecified:</b> 168.2 million<br><b>Europe:</b> 140.1 million<br><b>Oceania:</b> 4.5 million"
2001,Sweden,536.59,169.79,375.07,438.68,133.39,3.53,"<b>Africa:</b> 536.6 million<br><b>America:</b> 169.8 million<br><b>Asia:</b> 375.1 million<br><b>Developing countries, unspecified:</b> 438.7 million<br><b>Europe:</b> 133.4 million<br><b>Oceania:</b> 3.5 million"
2001,Switzerland,266.85,76.45,244.48,204.88,104.0,1.22,"<b>Africa:</b> 266.9 million<br><b>America:</b> 76.5 million<br><b>Asia:</b> 244.5 million<br><b>Developing countries, unspecified:</b> 204.9 million<br><b>Europe:</b> 104.0 million<br><b>Oceania:</b> 1.2 million"
2001,United Kingdom,1952.78,350.91,1225.58,748.71,283.86,17.9,"<b>Africa:</b> 1,952.8 million<br><b>America:</b> 350.9 million<br><b>Asia:</b> 1,225.6 million<br><b>Developing countries, unspecified:</b> 748.7 million<br><b>Europe:</b> 283.9 million<br><b>Oceania:</b> 17.9 million"
2001,United States,3209.91,1698.95,3311.15,2290.08,874.97,234.46,"<b>Africa:</b> 3,209.9 million<br><b>America:</b> 1,699.0 million<br><b>Asia:</b> 3,311.1 million<br><b>Developing countries, unspecified:</b> 2,290.1 million<br><b>Europe:</b> 875.0 million<br><b>Oceania:</b> 234.5 million"
2002,Australia,91.46,9.05,419.13,168.07,10.01,271.1,"<b>Africa:</b> 91.5 million<br><b>America:</b> 9.0 million<br><b>Asia:</b> 419.1 million<br><b>Developing countries, unspecified:</b> 168.1 million<br><b>Europe:</b> 10.0 million<br><b>Oceania:</b> 271.1 million"
2002,Austria,205.16,25.69,96.98,45.18,148.6,1.42,"<b>Africa:</b> 205.2 million<br><b>America:</b> 25.7 million<br><b>Asia:</b> 97.0 million<br><b>Developing countries, unspecified:</b> 45.2 million<br><b>Europe:</b> 148.6 million<br><b>Oceania:</b> 1.4 million"
2002,Belgium,514.7,81.66,130.56,232.21,94.39,2.11,"<b>Africa:</b> 514.7 million<br><b>America:</b> 81.7 million<br><b>Asia:</b> 130.6 million<br><b>Developing countries, unspecified:</b> 232.2 million<br><b>Europe:</b> 94.4 million<br><b>Oceania:</b> 2.1 million"
2002,Canada,577.09,176.73,376.33,637.47,163.82,5.75,"<b>Africa:</b> 577.1 million<br><b>America:</b> 176.7 million<br><b>Asia:</b> 376.3 million<br><b>Developing countries, unspecified:</b> 637.5 million<br><b>Europe:</b> 163.8 million<br><b>Oceania:</b> 5.8 million"
2002,Czech Republic,7.21,13.77,13.66,1.37,11.82,0.1,"<b>Africa:</b> 7.2 million<br><b>America:</b> 13.8 million<br><b>Asia:</b> 13.7 million<br><b>Developing countries, unspecified:</b> 1.4 million<br><b>Europe:</b> 11.8 million<br><b>Oceania:</b> 0.1 million"
2002,Denmark,625.37,119.41,352.08,332.71,86.12,2.94,"<b>Africa:</b> 625.4 million<br><b>America:</b> 119.4 million<br><b>Asia:</b> 352.1 million<br><b>Developing countries, unspecified:</b> 332.7 million<br><b>Europe:</b> 86.1 million<br><b>Oceania:</b> 2.9 million"
2002,EU Institutions,2223.55,355.4,1198.72,603.23,1117.79,24.42,"<b>Africa:</b> 2,223.6 million<br><b>America:</b> 355.4 million<br><b>Asia:</b> 1,198.7 million<br><b>Developing countries, unspecified:</b> 603.2 million<br><b>Europe:</b> 1,117.8 million<br><b>Oceania:</b> 24.4 million"
2002,Finland,186.44,33.5,117.72,78.67,34.72,1.35,"<b>Africa:</b> 186.4 million<br><b>America:</b> 33.5 million<br><b>Asia:</b> 117.7 million<br><b>Developing countries, unspecified:</b> 78.7 million<br><b>Europe:</b> 34.7 million<br><b>Oceania:</b> 1.4 million"
2002,France,3523.53,303.53,831.34,484.4,448.73,813.33,"<b>Africa:</b> 3,523.5 million<br><b>America:</b> 303.5 million<br><b>Asia:</b> 831.3 million<br><b>Developing countries, unspecified:</b> 484.4 million<br><b>Europe:</b> 448.7 million<br><b>Oceania:</b> 813.3 million"
