name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value)
Austria,2012,0.0,0.16,0.4,0.23,0.3,0.0,0.16,0.4,0.23,0.3
Austria,2013,0.0,0.2,0.36,0.3,0.3,0.0,0.2,0.36,0.3,0.3
Austria,2014,0.0,0.18,0.42,0.33,0.3,0.0,0.18,0.42,0.33,0.3
Austria,2015,0.0,0.16,0.27,0.62,0.27,0.0,0.16,0.27,0.62,0.27
Austria,2016,0.0,0.19,0.29,0.81,0.3,0.0,0.19,0.29,0.81,0.3
Austria,2017,0.0,0.21,0.31,0.37,0.33,0.0,0.21,0.31,0.37,0.33
Austria,2018,0.0,0.23,0.32,0.28,0.32,0.0,0.23,0.32,0.28,0.32
Austria,2019,0.0,0.23,0.34,0.29,0.33,0.0,0.23,0.34,0.29,0.33
Austria,2020,0.0,0.24,0.31,0.38,0.35,0.0,0.24,0.31,0.38,0.35
Austria,2021,0.0,0.26,0.36,0.45,0.38,0.0,0.26,0.36,0.45,0.38
Austria,2022,0.0,0.21,0.32,0.76,0.51,0.0,0.21,0.32,0.76,0.51
Austria,2023,0.0,0.28,0.38,0.59,0.56,0.0,0.28,0.38,0.59,0.56
Belgium,2000,0.01,0.16,0.29,0.21,0.13,0.01,0.16,0.29,0.21,0.13
Belgium,2001,0.01,0.21,0.28,0.22,0.12,0.01,0.21,0.28,0.22,0.12
Belgium,2002,0.01,0.23,0.37,0.3,0.15,0.01,0.23,0.37,0.3,0.15
Belgium,2003,0.02,0.99,0.27,0.42,0.14,0.02,0.99,0.27,0.42,0.14
Belgium,2004,0.01,0.53,0.38,0.35,0.18,0.01,0.53,0.38,0.35,0.18
Belgium,2005,0.01,0.46,0.6,0.42,0.46,0.01,0.46,0.6,0.42,0.46
Belgium,2006,0.01,0.57,0.7,0.42,0.26,0.01,0.57,0.7,0.42,0.26
Belgium,2007,0.01,0.63,0.52,0.57,0.2,0.01,0.63,0.52,0.57,0.2
Belgium,2008,0.01,0.72,0.68,0.59,0.37,0.01,0.72,0.68,0.59,0.37
Belgium,2009,0.01,0.77,0.67,0.85,0.29,0.01,0.77,0.67,0.85,0.29
Belgium,2010,0.01,1.23,0.65,0.83,0.23,0.01,1.23,0.65,0.83,0.23
Belgium,2011,0.01,0.85,0.66,0.94,0.34,0.01,0.85,0.66,0.94,0.34
Belgium,2012,0.0,0.52,0.83,0.65,0.29,0.0,0.52,0.83,0.65,0.29
Belgium,2013,0.0,0.64,0.58,0.75,0.31,0.0,0.64,0.58,0.75,0.31
Belgium,2014,0.0,0.65,0.61,0.85,0.31,0.0,0.65,0.61,0.85,0.31
Belgium,2015,0.0,0.5,0.44,0.67,0.27,0.0,0.5,0.44,0.67,0.27
Belgium,2016,0.0,0.51,0.51,0.88,0.39,0.0,0.51,0.51,0.88,0.39
Belgium,2017,0.0,0.53,0.47,0.87,0.32,0.0,0.53,0.47,0.87,0.32
Belgium,2018,0.0,0.59,0.54,0.88,0.31,0.0,0.59,0.54,0.88,0.31
Belgium,2019,0.0,0.58,0.53,0.75,0.28,0.0,0.58,0.53,0.75,0.28
Belgium,2020,0.0,0.61,0.57,0.76,0.34,0.0,0.61,0.57,0.76,0.34
Belgium,2021,0.0,0.68,0.64,0.92,0.33,0.0,0.68,0.64,0.92,0.33
Belgium,2022,0.0,0.58,0.53,0.96,0.54,0.0,0.58,0.53,0.96,0.54
Belgium,2023,0.0,0.62,0.56,0.97,0.66,0.0,0.62,0.56,0.97,0.66
Canada,2000,0.01,0.17,0.45,0.71,0.18,0.01,0.17,0.45,0.71,0.18
Canada,2001,0.01,0.16,0.35,0.75,0.18,0.01,0.16,0.35,0.75,0.18
Canada,2002,0.02,0.24,0.62,0.85,0.19,0.02,0.24,0.62,0.85,0.19
Canada,2003,0.02,0.45,0.35,0.73,0.29,0.02,0.45,0.35,0.73,0.29
Canada,2004,0.02,0.48,0.8,0.89,0.31,0.02,0.48,0.8,0.89,0.31
Canada,2005,0.04,0.63,1.13,1.06,0.8,0.04,0.63,1.13,1.06,0.8
Canada,2006,0.03,0.79,1.29,1.09,0.39,0.03,0.79,1.29,1.09,0.39
Canada,2007,0.04,1.05,1.24,1.24,0.41,0.04,1.05,1.24,1.24,0.41
Canada,2008,0.02,1.18,1.57,1.36,0.6,0.02,1.18,1.57,1.36,0.6
Canada,2009,0.03,0.98,1.2,1.4,0.31,0.03,0.98,1.2,1.4,0.31
Canada,2010,0.02,1.37,1.75,1.66,0.29,0.02,1.37,1.75,1.66,0.29
Canada,2011,0.02,1.22,1.67,2.18,0.3,0.02,1.22,1.67,2.18,0.3
Canada,2012,0.01,1.25,1.88,2.02,0.34,0.01,1.25,1.88,2.02,0.34
Canada,2013,0.02,1.17,1.75,1.63,0.27,0.02,1.17,1.75,1.63,0.27
Canada,2014,0.01,0.97,1.35,1.39,0.45,0.01,0.97,1.35,1.39,0.45
Canada,2015,0.01,1.09,1.46,1.12,0.53,0.01,1.09,1.46,1.12,0.53
Canada,2016,0.01,0.95,1.26,1.29,0.35,0.01,0.95,1.26,1.29,0.35
Canada,2017,0.01,1.08,1.29,1.54,0.32,0.01,1.08,1.29,1.54,0.32
Canada,2018,0.01,1.16,1.39,1.71,0.29,0.01,1.16,1.39,1.71,0.29
Canada,2019,0.01,1.06,1.32,1.62,0.3,0.01,1.06,1.32,1.62,0.3
Canada,2020,0.01,1.04,1.21,2.26,0.19,0.01,1.04,1.21,2.26,0.19
Canada,2021,0.01,1.38,1.39,2.9899999999999998,0.35,0.01,1.38,1.39,2.99,0.35
Canada,2022,0.01,1.55,1.77,2.98,2.61,0.01,1.55,1.77,2.98,2.61
Canada,2023,0.02,1.44,1.9,3.08,2.46,0.02,1.44,1.9,3.08,2.46
Czechia,2000,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Czechia,2001,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01
Czechia,2002,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.02,0.01
Czechia,2003,0.0,0.01,0.01,0.01,0.06,0.0,0.01,0.01,0.01,0.06
Czechia,2004,0.0,0.02,0.02,0.02,0.04,0.0,0.02,0.02,0.02,0.04
Czechia,2005,0.0,0.02,0.03,0.03,0.05,0.0,0.02,0.03,0.03,0.05
Czechia,2006,0.0,0.03,0.04,0.04,0.06,0.0,0.03,0.04,0.04,0.06
Czechia,2007,0.0,0.04,0.04,0.04,0.05,0.0,0.04,0.04,0.04,0.05
Czechia,2008,0.0,0.08,0.06,0.04,0.06,0.0,0.08,0.06,0.04,0.06
Czechia,2009,0.0,0.06,0.05,0.04,0.07,0.0,0.06,0.05,0.04,0.07
Czechia,2010,0.0,0.05,0.06,0.04,0.07,0.0,0.05,0.06,0.04,0.07
Czechia,2011,0.0,0.05,0.06,0.05,0.09,0.0,0.05,0.06,0.05,0.09
Czechia,2012,0.0,0.04,0.06,0.03,0.08,0.0,0.04,0.06,0.03,0.08
Czechia,2013,0.0,0.04,0.06,0.04,0.07,0.0,0.04,0.06,0.04,0.07
Czechia,2014,0.0,0.04,0.05,0.05,0.07,0.0,0.04,0.05,0.05,0.07
Czechia,2015,0.0,0.03,0.05,0.05,0.07,0.0,0.03,0.05,0.05,0.07
Czechia,2016,0.0,0.04,0.06,0.07,0.09,0.0,0.04,0.06,0.07,0.09
Czechia,2017,0.0,0.05,0.07,0.09,0.09,0.0,0.05,0.07,0.09,0.09
Czechia,2018,0.0,0.05,0.06,0.1,0.09,0.0,0.05,0.06,0.1,0.09
Czechia,2019,0.0,0.05,0.07,0.07,0.11,0.0,0.05,0.07,0.07,0.11
Czechia,2020,0.0,0.05,0.07,0.07,0.1,0.0,0.05,0.07,0.07,0.1
Czechia,2021,0.0,0.05,0.1,0.08,0.11,0.0,0.05,0.1,0.08,0.11
Czechia,2022,0.0,0.05,0.07,0.73,0.19,0.0,0.05,0.07,0.73,0.19
Czechia,2023,0.0,0.04,0.06,0.48,0.22,0.0,0.04,0.06,0.48,0.22
Denmark,2000,0.01,0.29,0.65,0.42,0.14,0.01,0.29,0.65,0.42,0.14
Denmark,2001,0.01,0.29,0.65,0.39,0.16,0.01,0.29,0.65,0.39,0.16
Denmark,2002,0.01,0.28,0.64,0.42,0.16,0.01,0.28,0.64,0.42,0.16
Denmark,2003,0.01,0.36,0.67,0.45,0.13,0.01,0.36,0.67,0.45,0.13
Denmark,2004,0.01,0.4,0.86,0.42,0.22,0.01,0.4,0.86,0.42,0.22
Denmark,2005,0.01,0.45,0.87,0.48,0.23,0.01,0.45,0.87,0.48,0.23
Denmark,2006,0.01,0.49,0.98,0.47,0.21,0.01,0.49,0.98,0.47,0.21
Denmark,2007,0.01,0.64,1.11,0.54,0.2,0.01,0.64,1.11,0.54,0.2
Denmark,2008,0.01,0.64,1.18,0.66,0.23,0.01,0.64,1.18,0.66,0.23
Denmark,2009,0.01,0.68,1.06,0.74,0.21,0.01,0.68,1.06,0.74,0.21
Denmark,2010,0.01,0.64,1.12,0.89,0.23,0.01,0.64,1.12,0.89,0.23
Denmark,2011,0.0,0.68,0.99,0.97,0.26,0.0,0.68,0.99,0.97,0.26
Denmark,2012,0.0,0.6,0.95,0.96,0.16,0.0,0.6,0.95,0.96,0.16
Denmark,2013,0.0,0.65,0.76,1.32,0.17,0.0,0.65,0.76,1.32,0.17
Denmark,2014,0.0,0.67,0.75,1.38,0.2,0.0,0.67,0.75,1.38,0.2
Denmark,2015,0.0,0.49,0.55,1.31,0.18,0.0,0.49,0.55,1.31,0.18
Denmark,2016,0.0,0.53,0.51,1.12,0.2,0.0,0.53,0.51,1.12,0.2
Denmark,2017,0.01,0.56,0.52,1.12,0.23,0.01,0.56,0.52,1.12,0.23
Denmark,2018,0.0,0.58,0.52,1.23,0.24,0.0,0.58,0.52,1.23,0.24
Denmark,2019,0.0,0.71,0.41,1.17,0.18,0.0,0.71,0.41,1.17,0.18
Denmark,2020,0.0,0.64,0.53,1.14,0.22,0.0,0.64,0.53,1.14,0.22
Denmark,2021,0.0,0.8,0.54,1.27,0.24,0.0,0.8,0.54,1.27,0.24
Denmark,2022,0.0,0.52,0.42,1.35,0.42,0.0,0.52,0.42,1.35,0.42
Denmark,2023,0.0,0.61,0.4,1.4,0.53,0.0,0.61,0.4,1.4,0.53
EU Institutions,2000,0.09,0.71,1.54,0.9,1.67,0.09,0.71,1.54,0.9,1.67
EU Institutions,2001,0.16,1.02,2.03,0.89,1.86,0.16,1.02,2.03,0.89,1.86
EU Institutions,2002,0.08,1.18,1.8,1.37,1.01,0.08,1.18,1.8,1.37,1.01
EU Institutions,2003,0.07,1.88,2.24,1.43,1.56,0.07,1.88,2.24,1.43,1.56
EU Institutions,2004,0.08,2.11,2.77,1.86,1.87,0.08,2.11,2.77,1.86,1.87
EU Institutions,2005,0.1,2.4,2.93,1.97,1.97,0.1,2.4,2.93,1.97,1.97
EU Institutions,2006,0.18,2.52,3.43,1.79,2.32,0.18,2.52,3.43,1.79,2.32
EU Institutions,2007,0.18,2.93,3.64,2.36,2.49,0.18,2.93,3.64,2.36,2.49
EU Institutions,2008,0.28,3.32,4.24,2.56,2.68,0.28,3.32,4.24,2.56,2.68
EU Institutions,2009,0.23,2.88,3.96,3.0,3.48,0.23,2.88,3.96,3.0,3.48
EU Institutions,2010,0.2,3.14,3.88,2.63,2.83,0.2,3.14,3.88,2.63,2.83
EU Institutions,2011,0.17,2.91,4.33,2.96,6.98,0.17,2.91,4.33,2.96,6.98
EU Institutions,2012,0.07,2.81,5.01,2.75,6.79,0.07,2.81,5.01,2.75,6.79
EU Institutions,2013,0.06,3.03,4.34,2.73,5.7,0.06,3.03,4.34,2.73,5.7
EU Institutions,2014,-0.12,3.6,4.47,2.8,5.68,-0.12,3.6,4.47,2.8,5.68
EU Institutions,2015,0.02,2.72,4.06,2.21,4.66,0.02,2.72,4.06,2.21,4.66
EU Institutions,2016,0.06,3.41,4.88,3.0199999999999996,5.73,0.06,3.41,4.88,3.02,5.73
EU Institutions,2017,0.02,3.76,4.81,3.3099999999999996,4.51,0.02,3.76,4.81,3.31,4.51
EU Institutions,2018,0.05,3.97,4.72,4.47,3.9,0.05,3.97,4.72,4.47,3.9
EU Institutions,2019,0.02,3.42,4.33,4.75,2.74,0.02,3.42,4.33,4.75,2.74
EU Institutions,2020,0.01,3.63,6.29,5.7,5.41,0.01,3.63,6.29,5.7,5.41
EU Institutions,2021,0.02,3.54,6.48,5.67,4.93,0.02,3.54,6.48,5.67,4.93
EU Institutions,2022,0.0,3.18,4.01,7.3,12.67,0.0,3.18,4.01,7.3,12.67
EU Institutions,2023,0.0,3.27,3.38,6.8,24.09,0.0,3.27,3.38,6.8,24.09
Estonia,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2008,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
Estonia,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2010,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Estonia,2011,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01
Estonia,2012,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01
Estonia,2013,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
Estonia,2014,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
Estonia,2015,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
Estonia,2016,0.0,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.02
Estonia,2017,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.01
Estonia,2018,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02
Estonia,2019,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.01
Estonia,2020,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
Estonia,2021,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02
Estonia,2022,0.0,0.01,0.01,0.16,0.03,0.0,0.01,0.01,0.16,0.03
Estonia,2023,0.0,0.01,0.01,0.05,0.04,0.0,0.01,0.01,0.05,0.04
Finland,2000,0.0,0.06,0.13,0.09,0.08,0.0,0.06,0.13,0.09,0.08
Finland,2001,0.0,0.07,0.13,0.1,0.08,0.0,0.07,0.13,0.1,0.08
Finland,2002,0.0,0.1,0.15,0.12,0.07,0.0,0.1,0.15,0.12,0.07
Finland,2003,0.0,0.12,0.17,0.15,0.1,0.0,0.12,0.17,0.15,0.1
Finland,2004,0.0,0.15,0.19,0.19,0.14,0.0,0.15,0.19,0.19,0.14
Finland,2005,0.0,0.17,0.23,0.23,0.26,0.0,0.17,0.23,0.23,0.26
Finland,2006,0.0,0.19,0.28,0.21,0.13,0.0,0.19,0.28,0.21,0.13
Finland,2007,0.0,0.23,0.33,0.29,0.12,0.0,0.23,0.33,0.29,0.12
Finland,2008,0.01,0.26,0.35,0.37,0.15,0.01,0.26,0.35,0.37,0.15
Finland,2009,0.01,0.27,0.4,0.45,0.15,0.01,0.27,0.4,0.45,0.15
Finland,2010,0.01,0.3,0.42,0.46,0.13,0.01,0.3,0.42,0.46,0.13
Finland,2011,0.0,0.28,0.45,0.48,0.18,0.0,0.28,0.45,0.48,0.18
Finland,2012,0.0,0.29,0.39,0.47,0.16,0.0,0.29,0.39,0.47,0.16
Finland,2013,0.0,0.31,0.46,0.49,0.17,0.0,0.31,0.46,0.49,0.17
Finland,2014,0.0,0.35,0.54,0.53,0.2,0.0,0.35,0.54,0.53,0.2
Finland,2015,0.0,0.29,0.38,0.43,0.15,0.0,0.29,0.38,0.43,0.15
Finland,2016,0.0,0.22,0.28,0.42,0.14,0.0,0.22,0.28,0.42,0.14
Finland,2017,0.0,0.23,0.27,0.41,0.16,0.0,0.23,0.27,0.41,0.16
Finland,2018,0.0,0.21,0.28,0.34,0.14,0.0,0.21,0.28,0.34,0.14
Finland,2019,0.0,0.27,0.28,0.43,0.13,0.0,0.27,0.28,0.43,0.13
Finland,2020,0.0,0.28,0.3,0.47,0.16,0.0,0.28,0.3,0.47,0.16
Finland,2021,0.0,0.37,0.37,0.54,0.16,0.0,0.37,0.37,0.54,0.16
Finland,2022,0.0,0.23,0.24,0.84,0.24,0.0,0.23,0.24,0.84,0.24
Finland,2023,0.0,0.31,0.32,0.67,0.31,0.0,0.31,0.32,0.67,0.31
France,2000,0.04,0.68,1.85,0.99,0.6,0.04,0.68,1.85,0.99,0.6
France,2001,0.06,0.69,1.84,1.1,0.63,0.06,0.69,1.84,1.1,0.63
France,2002,0.06,1.27,2.21,1.27,0.82,0.06,1.27,2.21,1.27,0.82
France,2003,0.05,2.44,2.28,1.63,0.95,0.05,2.44,2.28,1.63,0.95
France,2004,0.07,2.03,3.35,2.16,1.04,0.07,2.03,3.35,2.16,1.04
France,2005,0.08,1.41,4.76,2.17,1.81,0.08,1.41,4.76,2.17,1.81
France,2006,0.08,1.65,5.29,1.94,2.28,0.08,1.65,5.29,1.94,2.28
France,2007,0.07,2.0,3.46,2.1500000000000004,2.34,0.07,2.0,3.46,2.15,2.34
France,2008,0.08,2.06,3.78,2.95,2.14,0.08,2.06,3.78,2.95,2.14
France,2009,0.08,2.06,5.03,3.3,2.16,0.08,2.06,5.03,3.3,2.16
France,2010,0.07,2.5,4.78,3.37,2.26,0.07,2.5,4.78,3.37,2.26
France,2011,0.04,2.68,4.49,2.79,3.01,0.04,2.68,4.49,2.79,3.01
France,2012,0.03,1.36,5.17,2.43,2.82,0.03,1.36,5.17,2.43,2.82
France,2013,0.03,1.52,4.78,2.33,2.42,0.03,1.52,4.78,2.33,2.42
France,2014,0.03,1.56,3.9,2.23,2.78,0.03,1.56,3.9,2.23,2.78
France,2015,0.01,1.57,2.97,2.06,2.34,0.01,1.57,2.97,2.06,2.34
France,2016,0.01,1.38,3.35,2.52,2.26,0.01,1.38,3.35,2.52,2.26
France,2017,0.05,1.74,3.96,2.54,2.98,0.05,1.74,3.96,2.54,2.98
France,2018,0.01,2.12,4.58,3.3899999999999997,2.74,0.01,2.12,4.58,3.39,2.74
France,2019,0.05,1.76,4.6,3.6799999999999997,1.75,0.05,1.76,4.6,3.68,1.75
France,2020,0.0,2.66,5.16,4.51,3.33,0.0,2.66,5.16,4.51,3.33
France,2021,0.0,2.63,5.28,4.7299999999999995,3.67,0.0,2.63,5.28,4.73,3.67
France,2022,0.0,2.15,5.21,5.19,4.49,0.0,2.15,5.21,5.19,4.49
France,2023,0.01,2.1,5.33,4.04,3.9,0.01,2.1,5.33,4.04,3.9
Germany,2000,0.07,0.74,1.69,1.03,1.41,0.07,0.74,1.69,1.03,1.41
Germany,2001,0.07,0.85,1.72,1.03,1.31,0.07,0.85,1.72,1.03,1.31
Germany,2002,0.06,0.98,1.63,1.2,1.46,0.06,0.98,1.63,1.2,1.46
Germany,2003,0.06,1.65,2.63,1.2,1.21,0.06,1.65,2.63,1.2,1.21
Germany,2004,0.07,1.57,2.99,1.3800000000000001,1.46,0.07,1.57,2.99,1.38,1.46
Germany,2005,0.08,1.23,3.44,1.61,3.7,0.08,1.23,3.44,1.61,3.7
Germany,2006,0.1,1.63,4.75,1.89,2.04,0.1,1.63,4.75,1.89,2.04
Germany,2007,0.08,2.15,3.86,2.25,3.92,0.08,2.15,3.86,2.25,3.92
Germany,2008,0.11,2.64,3.69,2.84,4.67,0.11,2.64,3.69,2.84,4.67
Germany,2009,0.09,2.42,3.7,3.2399999999999998,2.58,0.09,2.42,3.7,3.24,2.58
Germany,2010,0.15,2.63,3.71,3.97,2.31,0.15,2.63,3.71,3.97,2.31
Germany,2011,0.07,2.73,4.38,3.5,3.37,0.07,2.73,4.38,3.5,3.37
Germany,2012,0.07,2.75,3.65,3.5999999999999996,2.82,0.07,2.75,3.65,3.6,2.82
Germany,2013,0.05,2.69,4.08,4.3999999999999995,2.95,0.05,2.69,4.08,4.4,2.95
Germany,2014,0.26,2.86,4.57,4.88,3.98,0.26,2.86,4.57,4.88,3.98
Germany,2015,0.02,2.17,3.74,7.38,4.35,0.02,2.17,3.74,7.38,4.35
Germany,2016,0.16,3.56,4.27,11.47,4.94,0.16,3.56,4.27,11.47,4.94
Germany,2017,0.09,4.08,4.82,11.17,4.68,0.09,4.08,4.82,11.17,4.68
Germany,2018,0.02,4.46,5.24,10.219999999999999,5.66,0.02,4.46,5.24,10.22,5.66
Germany,2019,0.01,4.22,5.17,10.229999999999999,4.18,0.01,4.22,5.17,10.23,4.18
Germany,2020,-0.02,5.15,6.19,12.129999999999999,5.5,-0.02,5.15,6.19,12.13,5.5
Germany,2021,0.01,5.55,7.25,15.069999999999999,4.3,0.01,5.55,7.25,15.07,4.3
