year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection
2012,Czechia,0.1168,0.0898,0.0495,0.0458,0.0191
2012,Denmark,0.0864,0.0846,0.0846,0.0524,0.0489
2012,Finland,0.1082,0.0646,0.0864,0.0177,0.0537
2012,France,0.0249,0.1161,0.0575,0.0366,0.0547
2012,Germany,0.0504,0.1288,0.0608,0.0049,0.0514
2012,Greece,0.0976,0.2596,0.0395,0.0634,0.0167
2012,Iceland,0.0429,0.0728,0.095,0.0081,0.0151
2012,Ireland,0.1743,0.0797,0.1618,0.0002,0.0124
2012,Italy,0.1237,0.0721,0.0526,0.096,0.0235
2012,Japan,0.0498,0.0621,0.0627,0.0,0.0202
2012,Luxembourg,0.1406,0.1265,0.1535,0.0001,0.0112
2012,Netherlands,0.0528,0.0677,0.0987,0.0643,0.0288
2012,New Zealand,0.0664,0.1771,0.0916,0.0471,0.0028
2012,Norway,0.0841,0.073,0.1144,0.0511,0.1082
2012,Portugal,0.0382,0.1058,0.0363,0.0014,0.0066
2012,Slovenia,0.0996,0.1176,0.0661,0.0046,0.0365
2012,South Korea,0.0054,0.0421,0.0298,,0.0082
2012,Spain,0.1128,0.0842,0.0596,0.0111,0.0183
2012,Sweden,0.1152,0.037,0.1158,0.115,0.0282
2012,Switzerland,0.1102,0.0394,0.0506,0.2204,0.0349
2012,United Kingdom,0.0752,0.1011,0.1807,0.0034,0.0432
2012,United States,0.1335,0.0373,0.2897,0.0319,0.0206
2013,Australia,0.0593,0.0873,0.1062,0.1036,0.026
2013,Austria,0.0493,0.1375,0.0339,0.0473,0.0202
2013,Belgium,0.0881,0.0687,0.1038,0.066,0.032
2013,Canada,0.131,0.0685,0.2124,0.0437,0.0198
2013,Czechia,0.1286,0.0912,0.059,0.0451,0.0212
2013,Denmark,0.102,0.0594,0.0703,0.0532,0.0571
2013,Estonia,0.1841,0.0755,0.0502,0.0081,0.0268
2013,Finland,0.1095,0.0606,0.0858,0.0152,0.047
2013,France,0.0274,0.1213,0.0705,0.0328,0.0382
2013,Germany,0.0595,0.1178,0.0616,0.0082,0.0499
2013,Greece,0.1093,0.0988,0.0579,0.0936,0.0219
2013,Iceland,0.0566,0.1069,0.1075,0.0094,0.0077
2013,Ireland,0.1715,0.0852,0.1736,0.0001,0.0133
2013,Italy,0.1004,0.064,0.0587,0.1227,0.0281
2013,Japan,0.0458,0.0389,0.0343,0.0,0.0197
2013,Luxembourg,0.141,0.1377,0.168,0.0009,0.0127
2013,Netherlands,0.0544,0.0587,0.1095,0.0684,0.0212
2013,New Zealand,0.0722,0.1963,0.0874,0.0468,0.0111
2013,Norway,0.0883,0.064,0.121,0.0509,0.1886
2013,Poland,0.1271,0.1934,0.0444,0.0004,0.0293
2013,Portugal,0.0471,0.1235,0.0576,0.0032,0.0101
2013,Slovakia,0.1329,0.1135,0.0523,0.012,0.023
2013,Slovenia,0.1021,0.1277,0.0549,0.0019,0.0461
2013,South Korea,0.0054,0.0324,0.0265,,0.0046
2013,Spain,0.0862,0.0616,0.0624,0.0101,0.017
2013,Sweden,0.1062,0.0412,0.1115,0.1278,0.0295
2013,Switzerland,0.1214,0.0416,0.0495,0.1479,0.038
2013,United Kingdom,0.0959,0.104,0.2093,0.003,0.0504
2013,United States,0.1579,0.0326,0.2919,0.0321,0.0235
2014,Australia,0.0737,0.1289,0.1166,,0.0277
2014,Austria,0.0566,0.1438,0.0387,0.0842,0.0159
2014,Belgium,0.0725,0.0654,0.1092,0.0756,0.0263
2014,Canada,0.1703,0.0722,0.1687,0.0533,0.0118
2014,Czechia,0.1501,0.0971,0.0499,0.0581,0.0304
2014,Denmark,0.1159,0.052,0.0824,0.0845,0.0542
2014,Estonia,0.1976,0.0894,0.0448,0.0089,0.0398
2014,Finland,0.1068,0.0672,0.0995,0.0103,0.0387
2014,France,0.0314,0.123,0.0932,0.0364,0.0487
2014,Germany,0.066,0.0998,0.0539,0.0083,0.0455
2014,Greece,0.127,0.095,0.0493,0.0918,0.0229
2014,Hungary,0.121,0.1059,0.0491,0.0757,0.0218
2014,Iceland,0.0595,0.0703,0.0815,0.0721,0.0065
2014,Ireland,0.1768,0.0816,0.1772,0.0007,0.0143
2014,Italy,0.0907,0.058,0.0618,0.2152,0.0292
2014,Japan,0.067,0.0425,0.0556,0.0,0.0237
2014,Lithuania,0.1639,0.0908,0.0438,0.0013,0.0243
2014,Luxembourg,0.1374,0.1474,0.1832,0.0001,0.0119
2014,Netherlands,0.0795,0.0435,0.1024,0.1686,0.0136
2014,New Zealand,0.0796,0.1658,0.0722,0.0428,0.007
2014,Norway,0.0912,0.0624,0.1212,0.0524,0.122
2014,Poland,0.1543,0.153,0.0431,0.0011,0.0229
2014,Portugal,0.065,0.1443,0.0594,0.0024,0.0132
2014,Slovakia,0.1562,0.1099,0.0492,0.0134,0.0234
2014,Slovenia,0.1226,0.1541,0.038,0.0021,0.0312
2014,South Korea,0.0094,0.0277,0.0245,,0.002
2014,Spain,0.1265,0.0641,0.0649,0.01,0.0376
2014,Sweden,0.1196,0.0458,0.0859,0.1807,0.0476
2014,Switzerland,0.1208,0.0448,0.0637,0.1404,0.0383
2014,United Kingdom,0.1204,0.096,0.1768,0.0118,0.0504
2014,United States,0.1827,0.037,0.2888,0.0382,0.0275
2015,Australia,0.0819,0.1055,0.0995,,0.0131
2015,Austria,0.0486,0.1199,0.0267,0.3127,0.0242
2015,Belgium,0.1106,0.0583,0.1007,0.1152,0.0248
2015,Canada,0.1715,0.07,0.1998,0.0511,0.0183
2015,Czechia,0.1537,0.0913,0.0467,0.0738,0.0273
2015,Denmark,0.0975,0.0451,0.0604,0.1533,0.0407
2015,Estonia,0.1804,0.1141,0.0383,0.017,0.0227
2015,Finland,0.1007,0.0722,0.0744,0.0306,0.04
2015,France,0.0324,0.1136,0.0667,0.0312,0.058
2015,Germany,0.0563,0.0919,0.0439,0.1366,0.035
2015,Greece,0.1001,0.0811,0.0451,0.2558,0.0185
2015,Hungary,0.1133,0.1665,0.0472,0.0646,0.0189
2015,Iceland,0.1035,0.0539,0.0493,0.125,0.0073
2015,Ireland,0.194,0.084,0.1537,0.0012,0.0157
2015,Italy,0.0894,0.0555,0.0538,0.254,0.0231
2015,Japan,0.0813,0.0403,0.0523,0.0,0.0252
2015,Latvia,0.0362,0.0338,0.0644,0.0485,0.0112
2015,Lithuania,0.1651,0.0869,0.0501,0.018,0.0222
2015,Luxembourg,0.1473,0.1392,0.1618,0.0001,0.0122
2015,Netherlands,0.1066,0.0339,0.0824,0.2337,0.01
2015,New Zealand,0.0662,0.1885,0.0551,0.041,0.0253
2015,Norway,0.0887,0.0702,0.1052,0.0948,0.0893
2015,Poland,0.1356,0.1559,0.0407,0.0214,0.0212
2015,Portugal,0.0728,0.1467,0.0912,0.0086,0.0214
2015,Slovakia,0.159,0.099,0.0444,0.022,0.0223
2015,Slovenia,0.1227,0.1355,0.035,0.1147,0.0349
2015,South Korea,0.0045,0.0173,0.0139,,0.002
2015,Spain,0.119,0.0565,0.0538,0.0191,0.0229
2015,Sweden,0.0755,0.0303,0.0687,0.3509,0.0189
2015,Switzerland,0.1301,0.0465,0.057,0.1434,0.0318
2015,United Kingdom,0.1347,0.0772,0.1376,0.0219,0.0415
2015,United States,0.1972,0.0361,0.2683,0.0432,0.0302
2016,Australia,0.0548,0.072,0.0947,,0.0088
2016,Austria,0.0485,0.0989,0.0242,0.3199,0.0147
2016,Belgium,0.1285,0.0489,0.0711,0.1385,0.0257
2016,Canada,0.141,0.0688,0.1947,0.1032,0.0191
2016,Czechia,0.1724,0.0795,0.0452,0.0744,0.0305
2016,Denmark,0.129,0.0396,0.0581,0.1673,0.0445
2016,Estonia,0.164,0.0914,0.0377,0.0589,0.0198
2016,Finland,0.1191,0.0664,0.0501,0.1229,0.0212
2016,France,0.0466,0.1089,0.068,0.0379,0.0453
2016,Germany,0.0924,0.0822,0.0419,0.2411,0.0425
2016,Greece,0.1092,0.0368,0.0333,0.411,0.0173
2016,Hungary,0.0295,0.2328,0.047,0.0892,0.0135
2016,Iceland,0.122,0.0369,0.0442,0.2866,0.0028
2016,Ireland,0.2397,0.0764,0.1374,0.0016,0.0182
2016,Italy,0.0965,0.049,0.0489,0.3338,0.021
2016,Japan,0.0541,0.0462,0.0517,0.0,0.0207
2016,Latvia,0.1923,0.0736,0.0448,0.0212,0.0292
2016,Lithuania,0.2019,0.0845,0.0361,0.0271,0.0236
2016,Luxembourg,0.1602,0.1539,0.1402,0.0001,0.0103
2016,Netherlands,0.0908,0.0453,0.1082,0.0876,0.0144
2016,New Zealand,0.077,0.1706,0.0484,0.041,0.0086
2016,Norway,0.1108,0.093,0.1125,0.1822,0.0862
2016,Poland,0.1575,0.1007,0.0334,0.0091,0.0201
2016,Portugal,0.1045,0.1576,0.0602,0.0117,0.016
2016,Slovakia,0.1477,0.0981,0.0428,0.0165,0.0232
2016,Slovenia,0.1206,0.1333,0.0344,0.0947,0.0325
2016,South Korea,0.0073,0.0234,0.0218,,0.0027
2016,Spain,0.0597,0.0365,0.0319,0.0203,0.0116
2016,Sweden,0.1212,0.0407,0.0949,0.1673,0.028
2016,Switzerland,0.1109,0.0473,0.0519,0.1969,0.0338
2016,United Kingdom,0.1178,0.0888,0.1181,0.03,0.0348
2016,United States,0.1822,0.0479,0.2997,0.0551,0.0295
2017,Australia,0.0773,0.0708,0.0789,,0.0149
2017,Austria,0.0837,0.1444,0.0332,0.1091,0.0209
2017,Belgium,0.124,0.0707,0.0895,0.1365,0.037
2017,Canada,0.1675,0.0606,0.2014,0.1095,0.0221
2017,Czechia,0.163,0.0786,0.0546,0.0783,0.0323
2017,Denmark,0.1599,0.0443,0.0626,0.0423,0.0326
2017,Estonia,0.1541,0.0843,0.0401,0.0634,0.0379
2017,Finland,0.1098,0.0654,0.0475,0.0685,0.018
2017,France,0.0354,0.1054,0.0592,0.0441,0.0343
2017,Germany,0.1137,0.0827,0.0454,0.2117,0.0468
2017,Greece,0.1402,0.0549,0.047,0.2266,0.0233
2017,Hungary,0.1323,0.2312,0.0407,0.0238,0.0213
2017,Iceland,0.0905,0.0269,0.0262,0.3463,0.0036
2017,Ireland,0.2186,0.0734,0.1315,0.0501,0.0208
2017,Italy,0.0953,0.0442,0.0465,0.3032,0.0255
2017,Japan,0.0502,0.0406,0.0575,0.0,0.0179
2017,Latvia,0.1937,0.086,0.0477,0.0119,0.0307
2017,Lithuania,0.1236,0.0947,0.0415,0.0213,0.0265
2017,Luxembourg,0.1602,0.1134,0.1415,,0.0098
2017,Netherlands,0.1021,0.0312,0.1029,0.1686,0.0146
2017,New Zealand,0.1085,0.1827,0.0516,0.042,0.0125
2017,Norway,0.1556,0.0995,0.1318,0.0361,0.1012
2017,Poland,0.1631,0.1657,0.0343,0.0086,0.0205
2017,Portugal,0.1015,0.1568,0.0447,0.0137,0.0158
2017,Slovakia,0.1264,0.085,0.0541,0.0117,0.0236
2017,Slovenia,0.122,0.1833,0.0393,0.0128,0.0326
2017,South Korea,0.0135,0.0276,0.0349,,0.0028
2017,Spain,0.088,0.0575,0.0523,0.0732,0.0204
2017,Sweden,0.1296,0.0412,0.0959,0.152,0.0371
2017,Switzerland,0.1192,0.0551,0.0656,0.1042,0.0311
2017,United Kingdom,0.1306,0.0719,0.1538,0.0279,0.0327
2017,United States,0.202,0.0482,0.2979,0.041,0.0247
2018,Australia,0.0673,0.0741,0.1064,,0.0126
2018,Austria,0.0655,0.1546,0.032,0.0463,0.0144
2018,Belgium,0.1277,0.079,0.086,0.1043,0.0437
2018,Canada,0.1613,0.0615,0.1952,0.1115,0.0107
2018,Czechia,0.1558,0.08,0.0383,0.0844,0.026
2018,Denmark,0.1518,0.0559,0.0703,0.0221,0.038
2018,Estonia,0.1536,0.1128,0.0375,0.057,0.0318
2018,Finland,0.1005,0.0732,0.0515,0.053,0.0242
2018,France,0.0357,0.1035,0.0604,0.051,0.0398
2018,Germany,0.1139,0.0971,0.0496,0.1324,0.0406
2018,Greece,0.1341,0.0692,0.0459,0.1032,0.0254
2018,Hungary,0.0902,0.3486,0.066,0.0195,0.0086
2018,Iceland,0.1151,0.0171,0.0484,0.1558,0.0013
2018,Ireland,0.2226,0.0788,0.1182,0.0628,0.0213
2018,Italy,0.1064,0.0619,0.0679,0.2222,0.0214
2018,Japan,0.0454,0.0473,0.0542,0.0,0.0077
2018,Latvia,0.1551,0.0722,0.0432,0.0346,0.0282
2018,Lithuania,0.1536,0.1124,0.0384,0.0192,0.027
2018,Luxembourg,0.156,0.1236,0.1356,,0.008
2018,Netherlands,0.0814,0.0528,0.1165,0.1137,0.0186
2018,New Zealand,0.0924,0.1437,0.0513,0.0329,0.0121
2018,Norway,0.1328,0.0851,0.1184,0.0214,0.098
2018,Poland,0.1371,0.174,0.0329,0.0079,0.019
2018,Portugal,0.0884,0.1726,0.0477,0.0218,0.0159
2018,Slovakia,0.1444,0.0861,0.0497,0.0062,0.0212
2018,Slovenia,0.1096,0.1787,0.0308,0.0283,0.0282
2018,South Korea,0.0152,0.0242,0.0352,0.0002,0.0069
2018,Spain,0.0888,0.0649,0.0494,0.0908,0.0223
2018,Sweden,0.1351,0.0481,0.0914,0.089,0.0646
2018,Switzerland,0.1211,0.0593,0.0655,0.0934,0.0304
2018,United Kingdom,0.1167,0.0689,0.1467,0.0245,0.0315
2018,United States,0.2122,0.0511,0.2942,0.0473,0.0198
2019,Australia,0.0802,0.0598,0.11,,0.0123
2019,Austria,0.071,0.1372,0.0299,0.0203,0.0324
2019,Belgium,0.1236,0.0782,0.0802,0.0588,0.0319
2019,Canada,0.1438,0.0721,0.18,0.1023,0.0336
2019,Czechia,0.1576,0.0797,0.0423,0.0203,0.0236
2019,Denmark,0.1809,0.0444,0.061,0.0184,0.016
2019,Estonia,0.1655,0.1054,0.0356,0.0138,0.0204
2019,Finland,0.095,0.0665,0.0412,0.0733,0.0123
2019,France,0.0377,0.1033,0.0617,0.0799,0.0372
2019,Germany,0.1024,0.1113,0.0521,0.1088,0.0403
2019,Greece,0.0928,0.0473,0.027,0.377,0.0165
2019,Hungary,0.1041,0.368,0.0433,0.0016,0.013
2019,Iceland,0.1092,0.0922,0.0797,0.1344,0.001
2019,Ireland,0.2052,0.0764,0.1158,0.0893,0.0188
2019,Italy,0.11,0.0752,0.0789,0.1055,0.0297
2019,Japan,0.0406,0.0507,0.0546,0.0,0.0129
2019,Latvia,0.162,0.0921,0.039,0.0318,0.0238
2019,Lithuania,0.1538,0.1174,0.035,0.0189,0.0229
2019,Luxembourg,0.1537,0.1257,0.1498,0.0005,0.006
2019,Netherlands,0.0726,0.0386,0.1062,0.0976,0.0236
2019,New Zealand,0.0877,0.1404,0.0484,0.0313,0.0235
2019,Norway,0.1426,0.0818,0.1136,0.0132,0.0999
2019,Poland,0.1236,0.2244,0.046,0.0075,0.0177
2019,Portugal,0.0986,0.1846,0.0547,0.0176,0.0159
2019,Slovakia,0.1431,0.0901,0.0442,0.0078,0.0217
2019,Slovenia,0.109,0.2103,0.0284,0.0264,0.0253
2019,South Korea,0.0315,0.0526,0.0614,0.0003,0.0085
2019,Spain,0.0951,0.0593,0.045,0.1016,0.0271
2019,Sweden,0.141,0.0459,0.0966,0.0511,0.0393
2019,Switzerland,0.1234,0.0568,0.0655,0.0916,0.022
2019,United Kingdom,0.1366,0.0665,0.144,0.0303,0.0287
2019,United States,0.252,0.045,0.2402,0.0578,0.0179
2020,Australia,0.0968,0.0586,0.1656,,0.0133
2020,Austria,0.0846,0.1394,0.0298,0.0204,0.0263
2020,Belgium,0.1317,0.0762,0.0852,0.0561,0.0303
2020,Canada,0.1358,0.0688,0.1605,0.1268,0.0148
2020,Czechia,0.1773,0.0841,0.0545,0.0192,0.0266
2020,Denmark,0.1788,0.0612,0.066,0.0217,0.0185
2020,Estonia,0.1933,0.091,0.0456,0.0127,0.0215
2020,Finland,0.1262,0.0749,0.0713,0.0441,0.0136
2020,France,0.03,0.0956,0.0542,0.0644,0.0548
2020,Germany,0.0818,0.104,0.0942,0.0781,0.0387
2020,Greece,0.0987,0.052,0.0316,0.2576,0.0185
2020,Hungary,0.0825,0.3085,0.0786,0.0063,0.0106
2020,Iceland,0.1032,0.1055,0.1879,0.1039,0.0015
2020,Ireland,0.2162,0.0719,0.1288,0.0396,0.0197
2020,Italy,0.1145,0.0728,0.0788,0.0529,0.0281
2020,Japan,0.0334,0.0362,0.0937,0.0,0.0103
2020,Latvia,0.1518,0.0901,0.0434,0.0263,0.0201
2020,Lithuania,0.1551,0.1124,0.0362,0.017,0.0201
2020,Luxembourg,0.1842,0.1072,0.1195,0.0004,0.0078
2020,Netherlands,0.0958,0.0349,0.1015,0.1079,0.0183
2020,New Zealand,0.0806,0.1343,0.108,0.0162,0.0176
2020,Norway,0.1339,0.0806,0.144,0.0107,0.085
2020,Poland,0.1546,0.2085,0.0437,0.0082,0.0171
2020,Portugal,0.0825,0.1554,0.0445,0.0196,0.0163
2020,Slovakia,0.1222,0.0696,0.0466,0.0071,0.017
2020,Slovenia,0.1134,0.2337,0.0355,0.0301,0.0168
2020,South Korea,0.0406,0.0465,0.1494,0.0003,0.0176
2020,Spain,0.1124,0.0641,0.0668,0.0667,0.0156
2020,Sweden,0.1379,0.0402,0.0974,0.0242,0.0328
2020,Switzerland,0.1806,0.0533,0.0973,0.0901,0.0195
2020,United Kingdom,0.1229,0.0485,0.1582,0.0395,0.0221
2020,United States,0.2468,0.039,0.2879,0.0415,0.0129
2021,Australia,0.1087,0.0632,0.2385,,0.0152
2021,Austria,0.1217,0.1419,0.0576,0.0386,0.018
2021,Belgium,0.1283,0.0702,0.0944,0.092,0.0311
2021,Canada,0.1377,0.0505,0.3121,0.073,0.0141
2021,Czechia,0.1732,0.071,0.1051,0.0179,0.0213
2021,Denmark,0.1716,0.041,0.0909,0.021,0.0265
2021,Estonia,0.1605,0.0939,0.094,,0.0238
2021,Finland,0.1139,0.0871,0.0619,0.0446,0.0165
2021,France,0.0339,0.0894,0.1019,0.0584,0.0497
2021,Germany,0.1008,0.0977,0.1234,0.0713,0.0392
2021,Greece,0.1161,0.0542,0.1445,0.1205,0.0192
2021,Hungary,0.0698,0.3277,0.1721,0.0033,0.0103
2021,Iceland,0.1472,0.1046,0.2316,0.0645,0.0117
2021,Ireland,0.2273,0.0627,0.1323,0.0451,0.0241
2021,Italy,0.101,0.0611,0.1633,0.0871,0.0236
2021,Japan,0.0579,0.0321,0.0975,0.0,0.0112
2021,Latvia,0.1568,0.0679,0.1006,0.0399,0.0203
2021,Lithuania,0.1505,0.1174,0.0913,0.0226,0.0198
2021,Luxembourg,0.1728,0.116,0.1493,,0.0051
2021,Netherlands,0.0927,0.031,0.1213,0.0807,0.0279
2021,New Zealand,0.0769,0.0948,0.1402,0.0174,0.028
2021,Norway,0.143,0.0784,0.1743,0.0105,0.0838
2021,Poland,0.1452,0.1884,0.0987,0.0172,0.0173
2021,Portugal,0.0955,0.1641,0.1047,0.0209,0.0172
2021,Slovakia,0.1365,0.0674,0.1338,0.0072,0.0181
2021,Slovenia,0.12,0.198,0.1473,0.0206,0.0262
2021,South Korea,0.0426,0.0463,0.1372,0.0001,0.0087
2021,Spain,0.1192,0.0535,0.1743,0.0663,0.0197
2021,Sweden,0.1534,0.0397,0.121,0.0152,0.0394
2021,Switzerland,0.1144,0.0543,0.1445,0.0966,0.015
2021,United Kingdom,0.0841,0.0469,0.1507,0.0809,0.0238
2021,United States,0.2545,0.0273,0.2911,0.0954,0.0115
2022,Australia,0.1449,0.0739,0.1791,0.0,0.0153
2022,Austria,0.1171,0.1089,0.0468,0.18,0.0151
2022,Belgium,0.1255,0.0634,0.0833,0.1034,0.0222
2022,Canada,0.1179,0.0381,0.1796,0.0987,0.0105
2022,Czechia,0.0895,0.0264,0.0329,0.6183,0.009
2022,Denmark,0.1942,0.0417,0.0696,0.1249,0.0288
2022,Estonia,0.0584,0.0252,0.0166,0.6845,0.0058
2022,Finland,0.1109,0.0547,0.0578,0.2514,0.0145
2022,France,0.0476,0.0896,0.0895,0.0733,0.0356
2022,Germany,0.1096,0.0873,0.1012,0.1165,0.0284
2022,Greece,0.1277,0.051,0.1085,0.2062,0.0221
2022,Hungary,0.1641,0.3972,0.1389,0.0,0.0061
2022,Iceland,0.2181,0.0692,0.1136,0.0709,0.0078
2022,Ireland,0.1309,0.0306,0.0627,0.5068,0.016
2022,Italy,0.1224,0.084,0.105,0.2162,0.0154
2022,Japan,0.0357,0.0316,0.12,0.0025,0.0057
2022,Latvia,0.0802,0.0339,0.0943,0.4677,0.0095
2022,Lithuania,0.2777,0.0548,0.0397,0.3082,0.0111
2022,Luxembourg,0.207,0.0905,0.1469,0.0,0.0052
2022,Netherlands,0.1123,0.0305,0.1069,0.1489,0.0308
2022,New Zealand,0.0838,0.0764,0.1279,0.0285,0.0391
2022,Norway,0.1411,0.0493,0.0956,0.0926,0.0704
2022,Poland,0.1071,0.0543,0.0217,0.6273,0.0076
2022,Portugal,0.1535,0.1422,0.0852,0.0252,0.0157
2022,Slovakia,0.1621,0.0697,0.1511,0.0078,0.0215
2022,Slovenia,0.124,0.1295,0.0627,0.1562,0.0166
2022,South Korea,0.0472,0.0558,0.1045,0.0024,0.0142
2022,Spain,0.1105,0.0442,0.1069,0.2115,0.0175
2022,Sweden,0.1636,0.0378,0.0986,0.0716,0.0374
2022,Switzerland,0.127,0.0449,0.0615,0.2777,0.0142
2022,United Kingdom,0.098,0.031,0.121,0.2604,0.0295
2022,United States,0.2056,0.022,0.2688,0.124,0.0091
2023,Australia,0.1286,0.0637,0.1368,0.0,0.0191
2023,Austria,0.1171,0.1379,0.04,0.1336,0.0241
2023,Belgium,0.1488,0.0703,0.0884,0.1201,0.0238
2023,Canada,0.087,0.0463,0.1274,0.1784,0.0206
2023,Czechia,0.0951,0.0356,0.0417,0.5218,0.0139
2023,Denmark,0.1823,0.0412,0.05,0.091,0.0476
2023,Estonia,0.1304,0.0805,0.0436,0.3126,0.0226
2023,Finland,0.1351,0.0555,0.0591,0.1465,0.0186
2023,France,0.0667,0.1036,0.0878,0.0646,0.0476
2023,Germany,0.0831,0.0796,0.0473,0.1544,0.0289
2023,Greece,0.1508,0.0574,0.0561,0.1531,0.0258
2023,Hungary,0.0459,0.4004,0.2737,0.0073,0.0015
2023,Iceland,0.1979,0.0517,0.1143,0.0912,0.0135
2023,Ireland,0.1216,0.0328,0.056,0.5283,0.0152
2023,Italy,0.1111,0.0673,0.0614,0.254,0.0231
2023,Japan,0.0578,0.0318,0.0735,0.0015,0.0091
2023,Latvia,0.1342,0.0407,0.0808,0.3154,0.0109
2023,Lithuania,0.272,0.1084,0.089,0.1662,0.0134
2023,Luxembourg,0.2228,0.1126,0.131,0.0,0.018
2023,Netherlands,0.1259,0.027,0.0936,0.179,0.0233
2023,New Zealand,0.0884,0.0799,0.0563,0.0177,0.0537
2023,Norway,0.1809,0.0389,0.0755,0.0716,0.0641
2023,Poland,0.1047,0.0794,0.0286,0.5152,0.0101
2023,Portugal,0.1273,0.1536,0.0651,0.0155,0.0178
2023,Slovakia,0.1629,0.0714,0.1326,0.009,0.0239
