year,name,Humanitarian,Other Sectors,Refugees in Donor Countries,Education,Health,Other Economic Infrastructure,Government,Agriculture & Forestry and Fishing,Civil Society,Energy,Water Supply & Sanitation,Social Protection,Unallocated/ Unspecified,Conflict Peace & Security,Environment Protection,Action Relating to Debt,Developmental Food Aid/Food Security Assistance
2014,Lithuania,1.6,3.8,0.0,1.9,0.6,1.0,1.2,0.8,0.5,0.3,0.3,0.6,0.8,0.3,0.2,0.0,0.1
2014,Luxembourg,52.7,52.8,0.0,53.3,67.2,27.1,13.3,13.7,8.9,4.1,13.1,11.9,22.4,2.6,3.3,0.8,3.3
2014,Netherlands,375.6,453.7,935.6,213.5,547.3,509.7,239.4,249.3,754.3,133.6,212.5,83.3,17.8,181.8,63.1,95.6,47.1
2014,New Zealand,36.5,60.9,19.8,75.0,32.2,57.0,45.8,36.0,3.7,39.4,9.4,6.7,1.4,11.5,2.0,1.2,0.3
2014,Norway,481.9,497.5,278.7,313.1,629.3,298.9,246.3,160.4,338.9,209.2,44.4,88.5,64.8,218.3,646.6,32.7,1.6
2014,Poland,17.9,11.2,0.1,49.3,6.8,8.3,12.3,27.9,13.5,2.5,3.4,7.5,2.4,4.3,2.0,0.1,1.0
2014,Portugal,11.4,78.4,1.0,59.5,22.1,45.6,12.9,3.9,2.2,11.4,3.7,69.3,1.8,6.0,2.8,11.6,0.9
2014,Slovakia,2.8,3.8,1.0,5.1,1.7,1.8,2.1,1.4,1.5,0.6,0.5,0.7,3.4,1.8,0.3,0.0,0.2
2014,Slovenia,2.6,7.2,0.1,7.3,1.0,1.8,3.2,0.9,0.9,0.9,1.9,0.7,0.6,2.0,1.1,0.0,0.1
2014,South Korea,81.6,133.1,,232.4,189.9,351.6,95.5,123.8,10.2,112.8,161.1,42.7,62.3,8.0,16.4,2.3,0.0
2014,Spain,127.0,203.9,18.8,74.6,91.3,96.3,92.0,101.1,76.0,39.5,64.6,45.4,47.3,35.9,52.0,9.2,13.5
2014,Sweden,671.6,520.8,1095.5,216.3,474.7,288.2,275.0,128.1,669.3,62.8,120.4,101.3,135.1,173.0,134.8,1.2,7.3
2014,Switzerland,411.3,463.8,483.4,128.4,199.2,269.6,252.2,127.7,60.5,29.3,223.4,35.4,160.9,133.0,129.8,10.9,0.4
2014,United Kingdom,2042.4,1714.2,222.6,1591.6,2711.6,1499.4,1124.8,635.8,408.1,376.5,431.5,479.8,417.2,342.7,623.8,11.6,57.7
2014,United States,6079.2,2749.1,1278.7,1057.2,9528.0,1423.9,3475.0,1417.1,497.1,400.4,288.4,502.5,127.1,577.7,669.4,47.2,538.2
2015,Australia,276.4,839.2,,352.1,334.2,319.9,363.0,107.2,140.4,29.2,104.4,67.7,19.4,36.9,43.6,9.9,25.1
2015,Austria,39.2,65.0,439.1,141.3,14.8,28.0,40.3,25.1,10.9,20.9,22.4,16.9,36.4,8.0,8.3,0.8,2.0
2015,Belgium,166.2,233.1,228.3,92.8,182.0,106.8,116.7,127.6,35.3,20.3,39.5,30.5,72.6,12.2,40.5,2.4,2.2
2015,Canada,706.1,660.2,213.0,250.4,800.0,162.8,182.5,175.9,85.3,15.6,64.0,32.4,28.3,102.2,23.1,,15.7
2015,Czechia,12.3,11.2,14.1,11.0,5.1,3.7,8.2,7.0,3.6,5.7,4.4,3.4,3.0,3.5,2.9,0.1,0.3
2015,Denmark,224.3,206.2,397.1,79.5,136.6,135.1,189.0,94.5,257.4,31.4,71.8,39.8,180.0,54.2,100.4,0.5,5.0
2015,EU Institutions,1714.0,1435.6,,767.7,692.6,4523.7,1843.9,877.5,424.0,870.8,620.8,718.1,130.9,546.3,255.6,0.1,248.2
2015,Estonia,3.7,1.8,0.5,2.9,0.8,1.8,3.0,0.5,1.5,0.4,0.2,0.5,1.3,1.4,0.4,0.0,0.0
2015,Finland,112.0,122.4,39.1,85.4,89.4,102.0,106.7,90.0,55.2,54.3,59.8,39.7,60.9,49.4,48.4,2.3,5.0
2015,France,196.6,1559.0,364.2,1251.9,658.3,993.8,669.4,430.8,62.4,668.0,520.4,286.7,513.0,82.7,647.9,212.2,57.2
2015,Germany,972.8,1626.5,3019.5,1914.3,877.0,2662.1,611.5,681.9,645.1,1831.6,869.0,195.4,124.5,373.5,651.1,79.8,154.9
2015,Greece,8.9,8.8,59.5,12.7,5.0,6.1,9.3,4.2,2.1,1.7,2.2,3.2,0.8,3.3,1.8,0.0,1.0
2015,Hungary,6.5,6.6,9.7,19.0,3.2,0.7,6.1,0.4,1.1,0.1,4.9,2.3,7.9,1.1,1.3,0.1,0.4
2015,Iceland,3.9,3.3,4.7,2.0,1.8,1.0,0.9,3.9,2.0,3.6,3.0,5.0,0.5,0.8,0.3,0.1,0.0
2015,Ireland,114.4,57.5,0.7,50.2,99.7,19.8,39.6,33.9,47.9,6.2,11.0,23.4,32.0,11.8,8.0,0.6,19.1
2015,Italy,207.9,143.2,983.6,133.8,139.4,125.3,237.0,138.9,51.9,45.1,39.0,78.3,53.3,43.9,46.8,81.3,10.8
2015,Japan,1153.6,1929.7,0.2,486.7,679.1,3987.7,899.2,614.9,33.4,1609.3,1211.4,147.4,78.3,79.1,358.1,48.7,124.9
2015,Lithuania,2.1,4.3,0.8,2.0,1.2,1.9,1.5,0.7,0.6,0.7,0.4,0.6,0.5,0.3,0.3,0.0,0.1
2015,Luxembourg,44.9,35.5,,44.4,49.7,19.4,16.9,13.0,9.5,0.3,11.2,10.8,28.5,2.7,2.5,0.1,3.5
2015,Netherlands,551.0,538.4,1325.9,169.5,448.8,487.3,232.2,224.4,603.5,124.9,192.0,91.5,44.2,124.5,47.6,58.9,44.9
2015,New Zealand,26.6,54.8,16.7,75.2,21.4,42.9,42.4,39.9,3.2,25.2,9.0,7.2,2.5,9.8,9.3,0.1,0.2
2015,Norway,430.3,390.4,462.9,328.3,501.1,257.6,244.6,117.3,257.7,121.0,29.5,63.4,66.7,163.1,434.5,18.1,1.2
2015,Poland,16.1,9.8,9.4,52.4,6.8,6.8,12.3,33.3,16.2,3.6,2.9,7.0,1.8,4.1,3.2,0.0,0.9
2015,Portugal,9.1,46.2,2.9,44.3,26.6,14.0,10.8,4.1,2.0,16.6,2.3,35.8,2.1,6.0,4.9,14.3,0.7
2015,Slovakia,4.7,4.6,1.7,5.0,1.7,3.9,4.6,1.8,1.1,1.6,1.6,1.4,0.7,2.1,0.7,0.0,0.2
2015,Slovenia,3.3,4.8,7.1,6.7,1.1,2.3,2.9,1.0,0.7,0.7,1.7,0.6,0.9,2.2,1.5,0.0,0.1
2015,South Korea,61.6,137.4,,237.3,190.2,338.7,108.5,122.9,13.2,183.2,143.6,42.3,76.1,21.0,27.3,0.6,0.9
2015,Spain,101.0,178.1,32.6,55.1,61.6,39.1,79.4,71.5,58.3,19.3,35.8,51.5,100.7,29.2,23.3,121.9,9.8
2015,Sweden,475.7,478.7,2396.8,156.4,425.6,192.2,271.2,96.0,530.1,103.7,107.7,87.3,78.2,141.0,120.1,0.5,6.3
2015,Switzerland,444.8,465.7,497.6,131.9,173.4,239.9,293.1,150.5,64.4,23.7,210.1,44.0,178.5,94.8,108.1,1.1,0.3
2015,United Kingdom,2122.6,1890.5,385.6,1121.6,2091.4,1657.6,1090.8,745.7,367.8,277.2,371.3,522.6,173.6,493.6,530.4,4.2,50.4
2015,United States,6246.9,2968.8,1378.1,976.4,8402.0,1019.8,2563.5,1445.3,440.5,430.9,393.3,371.5,63.2,662.2,715.6,11.2,735.6
2016,Australia,187.5,668.4,,240.2,323.1,561.3,353.1,124.6,150.2,59.6,74.7,55.8,96.7,43.8,30.0,9.8,42.5
2016,Austria,48.1,70.9,596.2,151.4,20.0,70.4,37.5,21.2,10.1,28.3,21.0,23.7,35.5,8.2,9.3,8.0,1.6
2016,Belgium,267.6,245.5,376.1,98.8,172.1,92.6,83.9,115.5,38.5,31.9,57.1,29.9,68.8,17.1,56.4,5.3,3.0
2016,Canada,523.5,409.1,390.4,218.7,705.0,193.1,187.0,173.2,84.8,91.4,32.5,34.7,28.2,51.9,34.7,,42.6
2016,Czechia,18.0,12.6,18.0,10.0,5.6,4.5,7.7,6.4,4.2,4.2,4.8,3.9,3.0,3.8,3.6,0.1,0.6
2016,Denmark,285.9,191.7,411.6,58.2,122.0,125.4,105.8,99.6,173.4,23.5,69.2,30.5,132.9,54.5,103.6,4.3,3.4
2016,EU Institutions,2362.6,1918.1,,1002.8,999.9,4818.5,1793.3,1319.9,483.4,1556.7,600.9,618.5,95.8,610.5,500.2,0.0,214.8
2016,Estonia,3.6,5.6,2.5,2.6,0.9,1.8,1.7,0.5,1.4,0.6,0.3,0.4,1.0,1.4,0.3,0.0,0.0
2016,Finland,100.8,90.4,130.2,59.6,45.0,70.5,34.4,70.2,38.4,27.3,42.6,26.5,38.4,33.7,18.0,0.8,1.6
2016,France,324.4,1200.3,467.1,1241.7,753.2,1118.5,740.6,452.1,62.6,771.6,691.3,222.4,560.6,74.1,514.2,144.8,55.7
2016,Germany,2208.2,1665.1,6585.7,2049.7,991.3,2353.4,959.1,715.1,733.1,1914.9,868.0,283.9,167.3,519.8,1022.6,44.0,395.5
2016,Greece,19.6,11.7,146.7,5.1,5.1,6.6,9.9,4.5,2.4,2.1,2.4,3.3,0.7,3.3,2.6,0.0,1.0
2016,Hungary,8.3,6.9,9.8,24.4,2.4,0.8,8.8,3.6,1.7,0.2,2.7,1.7,12.5,2.3,1.8,0.0,0.6
2016,Iceland,6.7,4.0,15.7,2.0,2.4,1.1,0.8,4.1,1.7,4.4,2.9,6.3,0.9,0.8,0.1,0.1,0.0
2016,Ireland,151.9,59.6,1.1,46.3,97.1,17.2,21.0,39.8,50.2,6.9,10.2,34.0,32.4,10.9,9.1,0.5,4.9
2016,Italy,276.9,147.5,1665.6,136.7,160.7,84.7,124.7,96.5,34.0,28.2,38.0,77.1,31.6,49.8,37.6,145.1,27.2
2016,Japan,840.8,2157.4,0.2,628.6,744.8,4142.7,1271.4,841.9,60.0,2044.5,1337.4,183.4,203.5,85.1,323.7,23.4,56.8
2016,Lithuania,5.6,5.2,1.5,2.5,0.8,1.9,1.8,0.8,1.0,1.1,0.5,0.8,0.2,0.5,0.4,0.0,0.1
2016,Luxembourg,50.9,37.7,,51.0,48.2,23.0,16.8,13.9,11.5,0.3,5.2,9.1,23.9,2.2,1.7,0.1,3.8
2016,Netherlands,398.4,680.5,434.0,202.7,516.0,491.6,245.8,307.0,402.7,157.0,238.8,132.7,51.3,176.8,61.4,66.7,26.4
2016,New Zealand,31.1,58.7,16.8,68.2,18.8,36.9,57.9,42.1,2.8,21.5,8.2,6.6,3.6,11.0,2.5,0.0,0.3
2016,Norway,483.3,361.2,799.9,393.5,482.0,226.4,152.7,83.4,233.1,112.1,29.1,62.6,49.7,136.6,377.0,18.3,1.9
2016,Poland,46.0,12.5,5.8,43.2,7.5,10.3,13.5,78.0,13.8,2.8,3.1,8.0,2.5,5.0,3.7,1.0,1.1
2016,Portugal,17.1,47.9,4.4,50.9,16.6,12.7,11.0,4.7,2.1,5.3,7.2,27.7,2.9,6.4,2.3,17.5,0.7
2016,Slovakia,3.9,5.0,1.6,5.6,1.9,1.4,2.8,1.5,1.3,0.7,0.9,0.7,10.4,2.1,0.6,0.0,0.2
2016,Slovenia,3.6,6.1,7.2,8.0,1.2,3.1,3.1,1.4,0.7,1.0,2.6,2.0,0.6,1.9,1.6,0.0,0.1
2016,South Korea,77.4,174.3,,244.6,226.7,391.3,99.2,107.4,11.2,113.4,112.5,42.1,93.5,25.9,28.5,0.5,12.3
2016,Spain,119.2,261.9,88.8,102.5,100.6,122.9,107.6,106.2,75.9,58.9,65.7,65.9,64.5,29.4,26.9,2116.2,10.5
2016,Sweden,542.8,525.1,821.5,145.0,427.1,213.6,174.4,118.2,532.9,50.1,105.5,82.4,161.0,140.8,127.3,0.3,10.6
2016,Switzerland,381.8,448.3,691.5,134.8,158.2,255.4,253.4,137.2,82.0,44.5,148.5,51.2,183.0,82.9,116.2,1.1,0.5
2016,United Kingdom,1940.1,1963.3,553.9,1436.7,1814.2,1381.0,1477.0,591.2,362.9,351.8,295.7,667.2,134.7,618.9,490.1,29.7,62.3
2016,United States,6299.6,3005.3,1917.9,1507.1,10316.3,831.9,2801.0,1376.6,480.0,806.5,380.6,431.5,33.7,717.5,782.3,9.3,553.5
2017,Australia,231.5,747.6,,207.4,236.0,315.7,312.2,144.4,184.5,150.9,69.5,58.1,8.8,24.6,44.6,4.3,57.5
2017,Austria,80.5,73.7,153.3,170.1,19.2,46.3,35.9,34.6,13.5,50.4,18.6,35.5,30.8,13.1,11.0,10.7,2.0
2017,Belgium,217.5,239.2,316.1,125.0,178.9,99.3,70.3,118.4,36.9,31.5,48.8,29.8,48.8,15.1,71.5,15.7,4.1
2017,Canada,701.1,380.7,466.9,217.4,822.3,187.2,124.5,156.6,99.5,128.4,40.9,37.5,91.3,92.4,56.7,6.5,26.1
2017,Czechia,21.8,11.0,21.7,10.1,8.3,4.7,9.5,9.1,6.0,2.9,4.1,9.4,5.5,3.5,4.5,0.0,0.8
2017,Denmark,412.1,221.7,117.1,98.4,153.4,113.9,120.3,106.1,177.9,67.2,46.7,22.4,208.5,142.8,83.6,2.4,10.7
2017,EU Institutions,2073.3,2243.0,,1252.7,1177.2,4466.4,2190.4,1083.3,631.2,1603.2,546.4,440.9,62.2,631.2,456.2,,193.6
2017,Estonia,3.8,5.2,2.7,2.3,1.0,2.2,1.9,0.7,1.5,0.3,0.2,0.4,1.3,1.6,1.1,0.0,0.1
2017,Finland,96.4,90.1,77.4,60.2,44.2,65.4,47.9,62.5,39.4,102.7,35.8,33.1,42.3,30.5,14.8,1.0,1.8
2017,France,290.5,1235.0,622.7,1378.8,707.8,1425.5,1249.0,713.1,70.8,1247.5,806.1,413.8,583.3,50.8,439.0,155.1,61.3
2017,Germany,2922.4,1730.2,6058.2,2147.4,1124.4,2225.6,751.9,824.7,731.1,1855.0,949.6,654.3,174.9,775.5,1179.5,104.9,255.7
2017,Greece,25.8,13.5,68.1,8.0,6.8,10.3,12.2,7.7,3.0,4.0,3.6,4.6,0.7,3.6,3.5,0.2,1.2
2017,Hungary,6.8,4.0,3.3,26.8,2.6,3.2,3.2,4.1,0.8,4.2,3.1,1.4,3.3,1.4,0.8,0.1,1.4
2017,Iceland,5.8,4.7,22.2,1.7,1.6,1.0,0.7,5.0,2.7,4.6,2.1,8.4,1.3,1.0,0.2,0.1,0.1
2017,Ireland,151.0,59.7,40.7,46.8,99.3,17.2,20.9,44.7,56.4,10.7,10.7,34.8,32.5,10.9,11.8,0.4,2.3
2017,Italy,392.7,207.5,1804.0,149.3,184.8,119.9,203.4,144.2,77.8,231.7,43.1,83.7,37.9,59.6,74.8,206.1,13.3
2017,Japan,860.3,2324.4,0.3,619.6,930.1,5589.4,1063.3,824.0,52.6,2349.2,1196.2,240.3,124.6,73.2,308.1,26.8,87.8
2017,Lithuania,2.2,6.4,1.2,3.0,0.8,1.2,1.8,0.9,1.0,0.6,0.4,0.7,4.5,0.6,0.6,0.0,0.2
2017,Luxembourg,58.6,37.1,,41.2,51.9,29.4,16.4,25.1,15.1,1.0,15.6,15.9,25.0,3.0,2.8,0.2,4.5
2017,Netherlands,458.2,609.9,835.4,129.6,487.1,340.7,220.3,243.4,373.2,130.2,209.4,76.0,77.4,161.6,61.9,120.3,48.3
2017,New Zealand,44.5,65.4,17.4,74.5,20.2,32.3,40.8,44.8,4.1,22.2,8.5,6.4,3.9,11.7,4.1,0.0,0.2
2017,Norway,641.5,409.6,149.9,398.2,534.3,251.0,147.6,120.2,237.6,106.6,22.1,81.6,82.2,158.3,418.0,24.7,1.8
2017,Poland,61.9,72.0,5.9,89.6,8.5,10.2,18.5,22.9,14.9,3.1,3.1,18.7,2.9,8.5,4.4,0.0,1.4
2017,Portugal,23.4,40.8,5.7,55.4,11.1,18.1,15.4,9.1,3.2,8.2,14.4,25.6,2.2,8.4,2.6,21.0,0.9
2017,Slovakia,4.9,5.3,1.3,5.1,3.5,3.1,4.7,1.8,1.5,1.0,2.0,1.0,17.2,2.5,0.9,0.0,0.3
2017,Slovenia,4.0,5.9,0.9,11.0,1.3,2.6,3.3,1.3,0.8,1.1,2.9,2.2,0.7,2.2,1.4,0.0,0.2
2017,South Korea,114.1,170.5,,225.9,228.7,367.2,99.0,115.6,9.5,149.4,171.4,47.2,101.8,37.2,22.5,0.4,13.1
2017,Spain,134.5,289.5,216.9,106.8,110.1,133.1,114.2,114.5,93.2,66.0,55.8,71.0,101.3,36.6,32.2,127.1,11.2
2017,Sweden,655.9,527.5,828.2,168.6,474.4,259.0,227.7,145.5,587.6,109.6,116.6,121.0,131.8,175.0,190.5,0.2,8.7
2017,Switzerland,368.4,367.4,329.9,144.8,181.3,176.9,280.4,146.7,73.5,73.7,128.7,59.1,197.3,73.9,95.3,0.9,0.4
2017,United Kingdom,2082.8,1994.1,486.8,1104.8,2149.1,1549.3,1604.0,674.3,495.2,386.2,331.8,439.3,365.0,616.8,473.4,46.0,66.7
2017,United States,7125.0,3378.9,1456.3,1564.7,10453.0,745.4,2513.2,1226.4,555.4,811.8,531.7,398.3,169.1,748.3,761.4,17.8,670.6
2018,Australia,210.4,701.8,,230.9,332.8,351.1,298.7,157.9,157.3,132.1,92.8,73.9,29.1,61.6,39.3,0.1,57.3
2018,Austria,48.5,79.2,61.8,170.7,15.6,45.6,34.3,30.6,18.8,39.4,22.8,28.1,29.5,10.8,9.8,13.0,2.8
2018,Belgium,232.4,259.6,244.5,143.4,175.2,124.8,78.5,133.4,49.0,48.5,57.5,37.6,54.8,18.6,87.9,7.2,3.4
2018,Canada,716.9,497.2,505.9,241.0,851.1,189.3,138.9,197.2,131.2,199.3,42.0,67.4,46.2,97.2,31.5,0.0,15.0
2018,Czechia,25.1,14.4,25.0,11.9,4.9,6.7,15.1,9.5,6.7,3.1,5.2,3.3,12.5,3.6,3.3,,0.8
2018,Denmark,432.0,215.2,67.2,129.0,195.5,120.3,124.9,101.2,162.5,80.5,38.1,65.2,159.2,110.8,108.7,3.1,25.0
2018,EU Institutions,2014.2,2219.6,,1274.2,787.1,4823.0,2656.0,1192.3,741.2,1539.2,668.6,525.1,56.8,808.5,382.9,,327.9
2018,Estonia,4.4,3.5,2.7,3.8,1.0,2.7,2.2,0.6,1.8,0.4,0.3,0.4,2.6,1.4,0.9,0.0,0.1
2018,Finland,87.1,96.8,57.0,66.6,47.6,93.9,44.6,42.4,41.4,37.8,28.9,34.0,32.1,30.3,21.2,0.2,2.1
2018,France,345.7,1655.6,801.7,1491.5,847.3,1962.1,1286.7,549.8,118.3,1006.0,847.5,462.0,579.2,71.4,574.9,176.6,66.1
2018,Germany,2987.7,2556.9,3871.5,2600.7,1268.5,2273.1,1377.1,830.0,834.6,2018.0,1040.4,371.3,170.1,979.4,1024.3,26.3,309.0
2018,Greece,19.9,14.4,27.9,9.0,5.7,14.6,13.2,7.3,3.6,5.5,3.3,3.9,0.1,4.2,3.0,0.0,1.3
2018,Hungary,20.3,7.5,3.7,66.3,11.3,5.6,7.7,15.2,1.8,5.4,18.7,14.7,3.8,2.7,1.9,0.0,0.6
2018,Iceland,8.3,13.0,11.2,1.2,3.5,1.6,1.1,6.0,4.1,6.1,4.9,8.4,0.9,1.1,0.1,0.4,0.0
2018,Ireland,171.8,67.6,56.4,56.0,98.7,19.7,20.4,37.5,57.6,10.5,9.2,31.1,41.8,15.0,13.4,0.1,2.1
2018,Italy,365.3,276.0,1124.7,182.5,250.0,124.0,222.5,137.8,82.7,75.3,47.1,74.9,36.3,54.9,53.2,16.2,17.1
2018,Japan,713.5,2287.3,0.3,687.8,807.4,5259.1,718.3,711.9,89.3,2225.0,1195.6,300.1,149.0,109.5,117.1,24.6,84.5
2018,Lithuania,3.6,4.5,1.2,3.9,0.8,1.6,2.2,1.0,1.4,0.8,0.4,0.9,0.1,0.8,0.5,0.0,0.2
2018,Luxembourg,65.9,49.8,,54.4,62.3,39.0,18.4,27.4,14.4,5.4,25.3,18.5,33.1,4.4,2.4,0.1,1.0
2018,Netherlands,405.6,625.7,629.3,264.5,624.3,513.6,340.2,323.3,439.6,196.1,266.1,135.7,3.8,186.0,91.8,2.0,35.9
2018,New Zealand,47.0,82.6,16.9,72.7,25.2,69.4,65.2,50.8,4.2,30.4,12.4,6.7,4.0,2.8,5.2,0.0,0.2
2018,Norway,627.6,468.5,101.7,390.2,552.0,273.3,174.2,102.4,269.9,116.5,24.2,62.0,66.6,194.9,464.7,26.1,1.8
2018,Poland,54.6,21.9,6.3,101.5,11.1,14.1,78.9,44.8,17.7,4.4,3.7,9.8,0.7,7.7,3.8,,1.8
2018,Portugal,19.7,42.7,9.5,64.2,14.0,29.2,16.9,7.9,4.0,5.6,13.5,14.5,1.0,10.0,2.7,24.8,1.1
2018,Slovakia,9.2,5.6,0.8,6.0,3.7,3.3,7.4,2.5,1.4,1.5,1.9,1.4,16.3,3.0,0.8,0.0,0.5
2018,Slovenia,4.4,6.6,2.4,12.7,1.2,2.4,3.8,1.5,0.8,3.5,2.1,1.5,0.3,1.9,1.4,0.0,0.2
2018,South Korea,151.4,164.2,1.8,233.8,223.8,466.3,116.3,153.6,11.1,103.0,168.6,65.0,101.4,47.9,66.9,0.3,13.9
2018,Spain,148.3,276.7,275.5,127.9,108.0,131.9,119.7,117.1,116.5,75.4,95.1,68.2,124.9,46.3,38.3,5.4,11.6
2018,Sweden,734.3,553.5,524.8,229.0,494.7,298.9,244.6,175.1,621.5,127.4,158.2,158.3,116.7,196.9,208.1,0.2,9.9
2018,Switzerland,356.4,383.5,281.8,150.9,175.5,209.8,288.1,150.4,91.8,51.4,106.1,45.9,186.9,75.6,88.7,0.4,0.4
2018,United Kingdom,2150.2,2523.8,493.1,1256.7,2377.3,2382.4,1019.8,738.5,509.3,678.3,496.5,553.7,114.0,646.8,549.9,6.0,66.0
2018,United States,7216.9,3235.6,1621.2,1616.6,9969.5,660.0,2763.9,1079.7,732.2,501.7,407.0,298.5,73.2,815.9,569.9,4.3,962.7
2019,Australia,255.3,632.2,,191.5,294.0,263.7,300.5,127.8,92.2,84.4,55.1,80.5,0.8,62.5,38.7,0.0,39.1
2019,Austria,67.6,92.1,30.7,175.5,20.4,65.7,52.1,37.1,23.9,58.3,27.8,25.8,23.0,16.1,10.3,0.2,1.8
2019,Belgium,227.0,264.1,137.9,148.6,170.1,152.6,83.5,137.2,44.5,62.2,56.7,42.0,50.8,20.6,62.4,0.2,2.8
2019,Canada,640.7,477.5,475.9,288.2,796.4,137.3,165.4,157.3,163.7,100.6,29.8,62.8,39.2,98.0,110.9,,5.9
2019,Czechia,25.4,11.7,6.1,11.6,6.7,6.3,13.7,8.2,6.8,3.2,5.0,4.8,4.7,2.9,3.0,24.2,0.6
2019,Denmark,499.4,211.8,54.0,103.7,161.3,124.8,131.5,64.8,176.8,101.1,42.0,74.0,193.3,113.0,39.8,6.4,21.2
