Country,Cause,Type,Year,Deaths per 100K people,Deaths
Botswana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,38.92,897
Botswana,Diabetes mellitus,Noncommunicable diseases,2019,55.24,"1,273"
Botswana,Stroke,Noncommunicable diseases,2019,68.94,"1,588"
Botswana,Ischaemic heart disease,Noncommunicable diseases,2019,70.84,"1,632"
Botswana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,72.65,"1,674"
Botswana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,214.86,"4,950"
Central African Republic,Road injury,Injuries,2000,32.33,"1,177"
Central African Republic,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000,46.0,"1,675"
Central African Republic,Ischaemic heart disease,Noncommunicable diseases,2000,76.68,"2,791"
Central African Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,80.68,"2,937"
Central African Republic,Stroke,Noncommunicable diseases,2000,94.75,"3,449"
Central African Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,154.54,"5,626"
Central African Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,167.44,"6,096"
Central African Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,167.98,"6,115"
Central African Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,192.76,"7,017"
Central African Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,272.55,"9,922"
Central African Republic,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019,34.25,"1,625"
Central African Republic,Road injury,Injuries,2019,37.72,"1,790"
Central African Republic,Ischaemic heart disease,Noncommunicable diseases,2019,61.11,"2,900"
Central African Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,69.11,"3,279"
Central African Republic,Stroke,Noncommunicable diseases,2019,69.2,"3,284"
Central African Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,79.08,"3,753"
Central African Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,98.71,"4,684"
Central African Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,99.13,"4,704"
Central African Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,110.24,"5,231"
Central African Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,119.78,"5,684"
Cote d'Ivoire,Congenital anomalies,Noncommunicable diseases,2000,18.08,"2,983"
Cote d'Ivoire,Road injury,Injuries,2000,25.37,"4,187"
Cote d'Ivoire,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,51.06,"8,426"
Cote d'Ivoire,Stroke,Noncommunicable diseases,2000,54.53,"8,998"
Cote d'Ivoire,Ischaemic heart disease,Noncommunicable diseases,2000,57.94,"9,560"
Cote d'Ivoire,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,80.64,"13,306"
Cote d'Ivoire,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,120.14,"19,823"
Cote d'Ivoire,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,155.68,"25,687"
Cote d'Ivoire,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,156.88,"25,886"
Cote d'Ivoire,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,280.8,"46,332"
Cote d'Ivoire,Congenital anomalies,Noncommunicable diseases,2019,20.27,"5,208"
Cote d'Ivoire,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,21.48,"5,521"
Cote d'Ivoire,Road injury,Injuries,2019,24.13,"6,202"
Cote d'Ivoire,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,36.88,"9,478"
Cote d'Ivoire,Stroke,Noncommunicable diseases,2019,39.1,"10,048"
Cote d'Ivoire,Ischaemic heart disease,Noncommunicable diseases,2019,43.09,"11,073"
Cote d'Ivoire,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,43.8,"11,256"
Cote d'Ivoire,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,49.77,"12,791"
Cote d'Ivoire,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,82.98,"21,327"
Cote d'Ivoire,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,107.71,"27,682"
Cameroon,Diabetes mellitus,Noncommunicable diseases,2000,23.46,"3,637"
Cameroon,Road injury,Injuries,2000,27.47,"4,258"
Cameroon,Ischaemic heart disease,Noncommunicable diseases,2000,48.47,"7,513"
Cameroon,Stroke,Noncommunicable diseases,2000,58.8,"9,115"
Cameroon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,62.25,"9,648"
Cameroon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,107.94,"16,730"
Cameroon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,118.76,"18,408"
Cameroon,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,126.44,"19,598"
Cameroon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,131.19,"20,334"
Cameroon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,151.09,"23,419"
Cameroon,Diabetes mellitus,Noncommunicable diseases,2019,21.11,"5,468"
Cameroon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,28.63,"7,414"
Cameroon,Road injury,Injuries,2019,30.15,"7,810"
Cameroon,Ischaemic heart disease,Noncommunicable diseases,2019,41.29,"10,695"
Cameroon,Stroke,Noncommunicable diseases,2019,43.24,"11,199"
Cameroon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,43.37,"11,233"
Cameroon,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,45.75,"11,849"
Cameroon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,53.62,"13,888"
Cameroon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,76.04,"19,694"
Cameroon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,79.3,"20,538"
DR Congo,Congenital anomalies,Noncommunicable diseases,2000,20.73,"9,764"
DR Congo,Road injury,Injuries,2000,38.11,"17,950"
DR Congo,Ischaemic heart disease,Noncommunicable diseases,2000,46.62,"21,957"
DR Congo,Stroke,Noncommunicable diseases,2000,51.3,"24,162"
DR Congo,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000,55.0,"25,904"
DR Congo,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,61.14,"28,798"
DR Congo,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,112.31,"52,897"
DR Congo,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,152.7,"71,920"
DR Congo,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,154.74,"72,881"
DR Congo,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,190.05,"89,512"
DR Congo,Congenital anomalies,Noncommunicable diseases,2019,18.73,"16,256"
DR Congo,Road injury,Injuries,2019,34.86,"30,256"
DR Congo,Ischaemic heart disease,Noncommunicable diseases,2019,39.99,"34,713"
DR Congo,Stroke,Noncommunicable diseases,2019,42.16,"36,596"
DR Congo,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,47.58,"41,301"
DR Congo,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,48.17,"41,813"
DR Congo,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019,48.68,"42,254"
DR Congo,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,50.41,"43,759"
DR Congo,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,84.73,"73,546"
DR Congo,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,99.45,"86,324"
Congo Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,18.16,568
Congo Republic,Road injury,Injuries,2000,26.28,822
Congo Republic,Diabetes mellitus,Noncommunicable diseases,2000,28.14,880
Congo Republic,Ischaemic heart disease,Noncommunicable diseases,2000,65.78,"2,057"
Congo Republic,Stroke,Noncommunicable diseases,2000,71.08,"2,223"
Congo Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000,82.85,"2,591"
Congo Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,93.4,"2,921"
Congo Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,106.51,"3,331"
Congo Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,116.2,"3,634"
Congo Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,183.6,"5,742"
Congo Republic,Diabetes mellitus,Noncommunicable diseases,2019,19.51,"1,050"
Congo Republic,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,24.24,"1,304"
Congo Republic,Road injury,Injuries,2019,29.7,"1,598"
Congo Republic,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019,36.74,"1,977"
Congo Republic,Stroke,Noncommunicable diseases,2019,42.13,"2,267"
Congo Republic,Ischaemic heart disease,Noncommunicable diseases,2019,46.36,"2,494"
Congo Republic,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,47.88,"2,576"
Congo Republic,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,51.69,"2,781"
Congo Republic,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,54.02,"2,906"
Congo Republic,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,83.81,"4,509"
Comoros,Diabetes mellitus,Noncommunicable diseases,2000,16.97,92
Comoros,Congenital anomalies,Noncommunicable diseases,2000,18.83,102
Comoros,Cirrhosis of the liver,Noncommunicable diseases,2000,22.1,120
Comoros,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2000,26.61,144
Comoros,Road injury,Injuries,2000,26.92,146
Comoros,Ischaemic heart disease,Noncommunicable diseases,2000,40.78,221
Comoros,Stroke,Noncommunicable diseases,2000,52.62,285
Comoros,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,102.94,558
Comoros,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,118.7,644
Comoros,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,133.31,723
Comoros,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2019,13.57,115
Comoros,Congenital anomalies,Noncommunicable diseases,2019,15.36,131
Comoros,Diabetes mellitus,Noncommunicable diseases,2019,16.02,136
Comoros,Cirrhosis of the liver,Noncommunicable diseases,2019,18.77,160
Comoros,Road injury,Injuries,2019,26.57,226
Comoros,Ischaemic heart disease,Noncommunicable diseases,2019,40.97,349
Comoros,Stroke,Noncommunicable diseases,2019,41.8,356
Comoros,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,42.69,363
Comoros,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,69.86,594
Comoros,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,84.37,718
Cabo Verde,Alzheimer disease and other dementias,Noncommunicable diseases,2000,7.29,31
Cabo Verde,Interpersonal violence,Injuries,2000,9.25,40
Cabo Verde,Kidney diseases,Noncommunicable diseases,2000,10.6,45
Cabo Verde,Diabetes mellitus,Noncommunicable diseases,2000,11.78,50
Cabo Verde,Self-harm,Injuries,2000,12.01,51
Cabo Verde,Cirrhosis of the liver,Noncommunicable diseases,2000,17.53,75
Cabo Verde,Road injury,Injuries,2000,22.89,98
Cabo Verde,Stroke,Noncommunicable diseases,2000,38.11,163
Cabo Verde,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,48.0,206
Cabo Verde,Ischaemic heart disease,Noncommunicable diseases,2000,56.6,242
Cabo Verde,Alzheimer disease and other dementias,Noncommunicable diseases,2019,12.29,68
Cabo Verde,Self-harm,Injuries,2019,12.93,71
Cabo Verde,Interpersonal violence,Injuries,2019,13.36,73
Cabo Verde,Kidney diseases,Noncommunicable diseases,2019,15.49,85
Cabo Verde,Cirrhosis of the liver,Noncommunicable diseases,2019,18.28,101
Cabo Verde,Diabetes mellitus,Noncommunicable diseases,2019,20.34,112
Cabo Verde,Road injury,Injuries,2019,26.78,147
Cabo Verde,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,42.95,236
Cabo Verde,Stroke,Noncommunicable diseases,2019,49.4,272
Cabo Verde,Ischaemic heart disease,Noncommunicable diseases,2019,83.18,457
Djibouti,Diabetes mellitus,Noncommunicable diseases,2000,17.34,124
Djibouti,Cirrhosis of the liver,Noncommunicable diseases,2000,22.87,164
Djibouti,Road injury,Injuries,2000,27.45,197
Djibouti,Ischaemic heart disease,Noncommunicable diseases,2000,40.17,288
Djibouti,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000,44.65,320
Djibouti,Stroke,Noncommunicable diseases,2000,53.07,381
Djibouti,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000,81.8,587
Djibouti,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,84.1,603
Djibouti,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,94.47,678
Djibouti,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,113.41,814
Djibouti,Road injury,Injuries,2019,23.5,229
Djibouti,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019,24.93,243
Djibouti,Diabetes mellitus,Noncommunicable diseases,2019,29.2,284
Djibouti,Cirrhosis of the liver,Noncommunicable diseases,2019,30.27,295
Djibouti,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019,35.78,348
Djibouti,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,37.44,364
Djibouti,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,55.33,539
Djibouti,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,68.89,671
Djibouti,Stroke,Noncommunicable diseases,2019,69.81,680
Djibouti,Ischaemic heart disease,Noncommunicable diseases,2019,70.6,687
Algeria,Diabetes mellitus,Noncommunicable diseases,2000,5.64,"1,747"
Algeria,Alzheimer disease and other dementias,Noncommunicable diseases,2000,7.12,"2,206"
Algeria,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000,7.95,"2,464"
Algeria,Kidney diseases,Noncommunicable diseases,2000,11.68,"3,620"
Algeria,Hypertensive heart disease,Noncommunicable diseases,2000,15.6,"4,837"
Algeria,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,22.32,"6,918"
Algeria,Road injury,Injuries,2000,22.57,"6,996"
Algeria,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,35.01,"10,854"
Algeria,Stroke,Noncommunicable diseases,2000,49.05,"15,204"
Algeria,Ischaemic heart disease,Noncommunicable diseases,2000,109.12,"33,827"
Algeria,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019,10.83,"4,668"
Algeria,Diabetes mellitus,Noncommunicable diseases,2019,10.85,"4,678"
Algeria,Alzheimer disease and other dementias,Noncommunicable diseases,2019,13.07,"5,635"
Algeria,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,16.91,"7,289"
Algeria,Kidney diseases,Noncommunicable diseases,2019,17.47,"7,528"
Algeria,Hypertensive heart disease,Noncommunicable diseases,2019,19.42,"8,370"
Algeria,Road injury,Injuries,2019,20.87,"8,996"
Algeria,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,29.37,"12,656"
Algeria,Stroke,Noncommunicable diseases,2019,54.28,"23,393"
Algeria,Ischaemic heart disease,Noncommunicable diseases,2019,126.56,"54,547"
Egypt,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000,11.28,"7,759"
Egypt,Diabetes mellitus,Noncommunicable diseases,2000,12.71,"8,744"
Egypt,Kidney diseases,Noncommunicable diseases,2000,16.72,"11,504"
Egypt,Liver cancer,Noncommunicable diseases,2000,17.35,"11,934"
Egypt,Hypertensive heart disease,Noncommunicable diseases,2000,18.39,"12,649"
Egypt,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,35.96,"24,742"
Egypt,Stroke,Noncommunicable diseases,2000,41.69,"28,683"
Egypt,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,51.64,"35,529"
Egypt,Cirrhosis of the liver,Noncommunicable diseases,2000,57.38,"39,475"
Egypt,Ischaemic heart disease,Noncommunicable diseases,2000,154.14,"106,048"
Egypt,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019,13.39,"13,393"
Egypt,Diabetes mellitus,Noncommunicable diseases,2019,19.13,"19,131"
Egypt,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,20.69,"20,694"
Egypt,Hypertensive heart disease,Noncommunicable diseases,2019,21.09,"21,094"
Egypt,Kidney diseases,Noncommunicable diseases,2019,21.09,"21,087"
Egypt,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,22.62,"22,624"
Egypt,Liver cancer,Noncommunicable diseases,2019,24.51,"24,512"
Egypt,Stroke,Noncommunicable diseases,2019,43.84,"43,839"
Egypt,Cirrhosis of the liver,Noncommunicable diseases,2019,60.12,"60,122"
Egypt,Ischaemic heart disease,Noncommunicable diseases,2019,173.87,"173,871"
Eritrea,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000,23.38,536
Eritrea,Diabetes mellitus,Noncommunicable diseases,2000,29.85,684
Eritrea,Hypertensive heart disease,Noncommunicable diseases,2000,30.94,709
Eritrea,Road injury,Injuries,2000,31.32,718
Eritrea,Cirrhosis of the liver,Noncommunicable diseases,2000,46.65,"1,069"
Eritrea,Ischaemic heart disease,Noncommunicable diseases,2000,59.34,"1,360"
Eritrea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000,78.27,"1,794"
Eritrea,Stroke,Noncommunicable diseases,2000,88.98,"2,040"
Eritrea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000,149.54,"3,428"
Eritrea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000,151.37,"3,470"
Eritrea,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019,18.93,662
Eritrea,Hypertensive heart disease,Noncommunicable diseases,2019,26.47,926
Eritrea,Diabetes mellitus,Noncommunicable diseases,2019,27.01,944
Eritrea,Cirrhosis of the liver,Noncommunicable diseases,2019,34.74,"1,215"
Eritrea,Road injury,Injuries,2019,37.92,"1,326"
Eritrea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019,47.18,"1,650"
Eritrea,Ischaemic heart disease,Noncommunicable diseases,2019,61.59,"2,154"
Eritrea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019,65.54,"2,292"
Eritrea,Stroke,Noncommunicable diseases,2019,73.32,"2,564"
Eritrea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019,93.7,"3,277"
Ethiopia,Diabetes mellitus,Noncommunicable diseases,2000,20.41,"13,513"
