year,donor_code,recipient_code,value,recipient
2009,967,10048,1.18,High income
2009,967,10049,1.43,Not classified by income
2009,971,10024,195.6,Not classified by income
2009,971,10045,13.18,Low income
2009,971,10046,21.88,Lower-middle income
2009,971,10047,10.63,Upper-middle income
2009,971,10048,1.33,High income
2009,971,10049,0.41,Not classified by income
2009,974,10024,79.8,Not classified by income
2009,974,10045,88.54,Low income
2009,974,10046,137.97,Lower-middle income
2009,974,10047,37.45,Upper-middle income
2009,974,10048,1.45,High income
2009,974,10049,1.26,Not classified by income
2009,976,10024,0.12,Not classified by income
2009,976,10045,140.02,Low income
2009,976,10046,267.74,Lower-middle income
2009,976,10047,32.67,Upper-middle income
2009,976,10048,1.27,High income
2009,988,10045,63.63,Low income
2009,988,10046,142.71,Lower-middle income
2009,988,10047,23.5,Upper-middle income
2009,988,10048,-0.12,High income
2009,1311,10024,134.09,Not classified by income
2009,1311,10045,168.15,Low income
2009,1311,10046,166.3,Lower-middle income
2009,1311,10047,0.94,Upper-middle income
2009,1312,10024,29.79,Not classified by income
2009,1312,10045,623.84,Low income
2009,1312,10046,1297.99,Lower-middle income
2009,1312,10047,381.47,Upper-middle income
2010,1,10024,276.32,Not classified by income
2010,1,10045,370.25,Low income
2010,1,10046,315.85,Lower-middle income
2010,1,10047,229.07999999999998,Upper-middle income
2010,1,10048,10.76,High income
2010,1,10049,1.03,Not classified by income
2010,2,10024,834.8700000000001,Not classified by income
2010,2,10045,1240.97,Low income
2010,2,10046,657.5899999999999,Lower-middle income
2010,2,10047,212.16,Upper-middle income
2010,2,10048,10.72,High income
2010,2,10049,1.8199999999999998,Not classified by income
2010,3,10024,888.73,Not classified by income
2010,3,10045,645.8,Low income
2010,3,10046,1135.75,Lower-middle income
2010,3,10047,210.9,Upper-middle income
2010,3,10048,6.26,High income
2010,3,10049,1.31,Not classified by income
2010,4,10024,2634.69,Not classified by income
2010,4,10045,2558.68,Low income
2010,4,10046,5113.63,Lower-middle income
2010,4,10047,1881.1599999999999,Upper-middle income
2010,4,10048,65.17,High income
2010,4,10049,739.53,Not classified by income
2010,5,10024,3954.9800000000005,Not classified by income
2010,5,10045,2671.4300000000003,Low income
2010,5,10046,3865.4700000000003,Lower-middle income
2010,5,10047,2127.55,Upper-middle income
2010,5,10048,142.29,High income
2010,5,10049,15.350000000000001,Not classified by income
2010,6,10024,523.7,Not classified by income
2010,6,10045,801.61,Low income
2010,6,10046,1059.57,Lower-middle income
2010,6,10047,502.6,Upper-middle income
2010,6,10048,38.51,High income
2010,6,10049,4.12,Not classified by income
2010,7,10024,3253.91,Not classified by income
2010,7,10045,1447.67,Low income
2010,7,10046,1102.31,Lower-middle income
2010,7,10047,428.54,Upper-middle income
2010,7,10048,12.299999999999999,High income
2010,7,10049,2.67,Not classified by income
2010,8,10024,1877.95,Not classified by income
2010,8,10045,930.75,Low income
2010,8,10046,1153.19,Lower-middle income
2010,8,10047,346.01,Upper-middle income
2010,8,10048,19.220000000000002,High income
2010,8,10049,1.02,Not classified by income
2010,9,10024,86.03,Not classified by income
2010,9,10045,212.33999999999997,Low income
2010,9,10046,272.1,Lower-middle income
2010,9,10047,67.31,Upper-middle income
2010,9,10048,2.67,High income
2010,9,10049,0.6,Not classified by income
2010,10,10024,1846.15,Not classified by income
2010,10,10045,1008.83,Low income
2010,10,10046,1156.87,Lower-middle income
2010,10,10047,501.9,Upper-middle income
2010,10,10048,13.88,High income
2010,10,10049,3.0,Not classified by income
2010,11,10024,933.3699999999999,Not classified by income
2010,11,10045,422.43,Low income
2010,11,10046,636.06,Lower-middle income
2010,11,10047,260.87,Upper-middle income
2010,11,10048,3.6,High income
2010,11,10049,0.49,Not classified by income
2010,12,10024,3882.62,Not classified by income
2010,12,10045,3316.81,Low income
2010,12,10046,4631.86,Lower-middle income
2010,12,10047,952.8299999999999,Upper-middle income
2010,12,10048,36.84,High income
2010,12,10049,77.55,Not classified by income
2010,18,10024,464.3,Not classified by income
2010,18,10045,303.65999999999997,Low income
2010,18,10046,430.67999999999995,Lower-middle income
2010,18,10047,123.25999999999999,Upper-middle income
2010,18,10048,5.3100000000000005,High income
2010,18,10049,1.6099999999999999,Not classified by income
2010,20,10024,7.91,Not classified by income
2010,20,10045,12.07,Low income
2010,20,10046,5.21,Lower-middle income
2010,20,10047,3.41,Upper-middle income
2010,20,10048,0.03,High income
2010,20,10049,0.01,Not classified by income
2010,21,10024,187.47000000000003,Not classified by income
2010,21,10045,342.69,Low income
2010,21,10046,293.6,Lower-middle income
2010,21,10047,64.99,Upper-middle income
2010,21,10048,3.29,High income
2010,21,10049,0.52,Not classified by income
2010,22,10024,84.5,Not classified by income
2010,22,10045,98.72999999999999,Low income
2010,22,10046,156.20999999999998,Lower-middle income
2010,22,10047,53.27,Upper-middle income
2010,22,10048,1.4,High income
2010,22,10049,0.17,Not classified by income
2010,30,10024,29.71,Not classified by income
2010,30,10045,6.9799999999999995,Low income
2010,30,10046,9.92,Lower-middle income
2010,30,10047,3.9,Upper-middle income
2010,30,10048,0.19,High income
2010,30,10049,0.03,Not classified by income
2010,40,10024,159.37,Not classified by income
2010,40,10045,80.25,Low income
2010,40,10046,113.01,Lower-middle income
2010,40,10047,145.48000000000002,Upper-middle income
2010,40,10048,4.58,High income
2010,40,10049,0.8,Not classified by income
2010,45,10024,8.4,Not classified by income
2010,45,10045,0.0,Low income
2010,45,10046,0.0,Lower-middle income
2010,45,10047,0.0,Upper-middle income
2010,45,10048,0.0,High income
2010,45,10049,0.0,Not classified by income
2010,50,10024,1983.1999999999998,Not classified by income
2010,50,10045,1109.9,Low income
2010,50,10046,1751.91,Lower-middle income
2010,50,10047,936.6600000000001,Upper-middle income
2010,50,10048,34.94,High income
2010,50,10049,11.120000000000001,Not classified by income
2010,55,10024,178.59,Not classified by income
2010,55,10045,155.14999999999998,Low income
2010,55,10046,327.18,Lower-middle income
2010,55,10047,278.08,Upper-middle income
2010,55,10048,3.15,High income
2010,55,10049,0.05,Not classified by income
2010,61,10024,17.78,Not classified by income
2010,61,10045,9.92,Low income
2010,61,10046,12.43,Lower-middle income
2010,61,10047,14.05,Upper-middle income
2010,61,10048,3.87,High income
2010,61,10049,0.08,Not classified by income
2010,68,10024,37.38,Not classified by income
2010,68,10045,50.92,Low income
2010,68,10046,69.32000000000001,Lower-middle income
2010,68,10047,52.86,Upper-middle income
2010,68,10048,2.4299999999999997,High income
2010,68,10049,0.35,Not classified by income
2010,69,10024,24.729999999999997,Not classified by income
2010,69,10045,14.84,Low income
2010,69,10046,18.52,Lower-middle income
2010,69,10047,14.350000000000001,Upper-middle income
2010,69,10048,0.67,High income
2010,69,10049,0.11,Not classified by income
2010,70,10024,21.8,Not classified by income
2010,70,10045,0.0,Low income
2010,70,10046,0.0,Lower-middle income
2010,70,10047,0.0,Upper-middle income
2010,70,10048,0.0,High income
2010,70,10049,0.0,Not classified by income
2010,72,10024,0.23,Not classified by income
2010,75,10024,26.07,Not classified by income
2010,75,10045,31.08,Low income
2010,75,10046,32.35,Lower-middle income
2010,75,10047,22.11,Upper-middle income
2010,75,10048,1.3199999999999998,High income
2010,75,10049,0.17,Not classified by income
2010,76,10024,62.8,Not classified by income
2010,76,10045,78.07,Low income
2010,76,10046,105.0,Lower-middle income
2010,76,10047,124.97,Upper-middle income
2010,76,10048,3.65,High income
2010,76,10049,0.64,Not classified by income
2010,77,10024,21.13,Not classified by income
2010,77,10045,21.91,Low income
2010,77,10046,28.52,Lower-middle income
2010,77,10047,40.1,Upper-middle income
2010,77,10048,1.13,High income
2010,77,10049,0.21,Not classified by income
2010,82,10024,4.52,Not classified by income
2010,82,10045,4.3,Low income
2010,82,10046,5.779999999999999,Lower-middle income
2010,82,10047,3.7700000000000005,Upper-middle income
2010,82,10048,0.15,High income
2010,82,10049,0.03,Not classified by income
2010,83,10024,0.84,Not classified by income
2010,83,10045,0.12,Low income
2010,83,10046,0.14,Lower-middle income
2010,83,10047,0.5,Upper-middle income
2010,83,10048,0.0,High income
2010,83,10049,0.0,Not classified by income
2010,84,10024,6.09,Not classified by income
2010,84,10045,17.990000000000002,Low income
2010,84,10046,6.59,Lower-middle income
2010,84,10047,5.63,Upper-middle income
2010,84,10048,0.26,High income
2010,84,10049,0.04,Not classified by income
2010,87,10024,302.14,Not classified by income
2010,104,10024,6.49,Not classified by income
2010,104,10045,15.92,Low income
2010,104,10046,28.68,Lower-middle income
2010,104,10047,-1.37,Upper-middle income
2010,301,10024,1660.5500000000002,Not classified by income
2010,301,10045,1372.58,Low income
2010,301,10046,1799.31,Lower-middle income
2010,301,10047,243.29,Upper-middle income
2010,301,10048,8.6,High income
2010,301,10049,1.3599999999999999,Not classified by income
2010,302,10024,8410.78,Not classified by income
2010,302,10045,7607.91,Low income
2010,302,10046,8789.44,Lower-middle income
2010,302,10047,4631.120000000001,Upper-middle income
2010,302,10048,45.349999999999994,High income
2010,302,10049,10.4,Not classified by income
2010,546,10024,7.0,Not classified by income
2010,546,10045,40.97,Low income
2010,546,10046,33.72,Lower-middle income
2010,546,10047,61.25,Upper-middle income
2010,546,10048,1.2,High income
2010,546,10049,0.48,Not classified by income
2010,552,10024,0.33,Not classified by income
2010,552,10045,-8.46,Low income
2010,552,10046,132.87,Lower-middle income
2010,552,10047,80.51,Upper-middle income
2010,552,10048,5.34,High income
2010,552,10049,0.0,Not classified by income
2010,566,10024,2870.43,Not classified by income
2010,566,10045,0.0,Low income
2010,566,10046,0.0,Lower-middle income
2010,566,10047,0.0,Upper-middle income
2010,566,10048,0.0,High income
2010,566,10049,0.0,Not classified by income
2010,576,10024,45.47,Not classified by income
2010,576,10045,135.14000000000001,Low income
2010,576,10046,198.59,Lower-middle income
2010,576,10047,42.349999999999994,Upper-middle income
2010,576,10048,-17.66,High income
2010,576,10049,0.05,Not classified by income
2010,701,10024,2028.6299999999999,Not classified by income
2010,701,10045,2788.01,Low income
2010,701,10046,5958.93,Lower-middle income
2010,701,10047,173.13,Upper-middle income
2010,701,10048,63.12,High income
2010,701,10049,4.1899999999999995,Not classified by income
2010,732,10024,326.03,Not classified by income
2010,732,10045,0.0,Low income
2010,732,10046,0.0,Lower-middle income
2010,732,10047,0.0,Upper-middle income
2010,732,10048,0.0,High income
2010,732,10049,0.0,Not classified by income
2010,742,10024,145.9,Not classified by income
2010,742,10045,196.54000000000002,Low income
2010,742,10046,683.93,Lower-middle income
2010,742,10047,134.19,Upper-middle income
2010,742,10048,0.99,High income
2010,742,10049,0.27,Not classified by income
2010,764,10024,7.51,Not classified by income
2010,764,10045,2.7399999999999998,Low income
2010,764,10046,-4.26,Lower-middle income
2010,764,10047,2.08,Upper-middle income
2010,764,10048,0.12,High income
2010,764,10049,0.02,Not classified by income
2010,801,10024,990.67,Not classified by income
2010,801,10045,325.45,Low income
2010,801,10046,2270.31,Lower-middle income
2010,801,10047,217.48999999999998,Upper-middle income
2010,801,10048,32.02,High income
2010,801,10049,6.7,Not classified by income
2010,811,10024,243.98,Not classified by income
2010,811,10045,54.17,Low income
2010,811,10046,188.49,Lower-middle income
2010,811,10047,224.97,Upper-middle income
2010,811,10048,7.1,High income
2010,811,10049,4.59,Not classified by income
2010,812,10046,4.33,Lower-middle income
2010,812,10047,16.19,Upper-middle income
2010,812,10049,-0.02,Not classified by income
2010,820,10024,96.3,Not classified by income
2010,820,10045,16.61,Low income
2010,820,10046,142.24,Lower-middle income
2010,820,10047,27.99,Upper-middle income
2010,820,10048,2.81,High income
2010,820,10049,35.6,Not classified by income
2010,905,10024,45.39,Not classified by income
2010,905,10045,2740.64,Low income
2010,905,10046,4995.65,Lower-middle income
2010,905,10047,37.72,Upper-middle income
2010,905,10048,-0.73,High income
2010,906,10024,5.67,Not classified by income
2010,906,10046,8.6,Lower-middle income
2010,906,10047,37.37,Upper-middle income
2010,906,10048,3.43,High income
2010,906,10049,0.15,Not classified by income
2010,913,10045,116.47,Low income
2010,913,10046,11.0,Lower-middle income
2010,914,10024,268.46,Not classified by income
2010,914,10045,765.54,Low income
2010,914,10046,672.56,Lower-middle income
2010,914,10047,-3.55,Upper-middle income
2010,914,10048,-0.72,High income
2010,918,10024,2601.11,Not classified by income
2010,918,10045,3215.37,Low income
2010,918,10046,3969.4900000000002,Lower-middle income
2010,918,10047,2698.92,Upper-middle income
2010,918,10048,168.81,High income
2010,918,10049,29.330000000000002,Not classified by income
2010,921,10024,7.78,Not classified by income
2010,921,10045,0.4,Low income
2010,921,10046,352.35,Lower-middle income
2010,921,10047,116.88,Upper-middle income
2010,921,10048,0.32,High income
2010,923,10045,37.52,Low income
2010,923,10046,13.42,Lower-middle income
2010,928,10024,366.24,Not classified by income
2010,944,10024,37.36,Not classified by income
2010,944,10045,7.51,Low income
2010,944,10046,20.45,Lower-middle income
2010,944,10047,20.49,Upper-middle income
2010,944,10048,1.82,High income
2010,944,10049,0.23,Not classified by income
2010,948,10024,11.8,Not classified by income
2010,948,10047,0.09,Upper-middle income
2010,951,10024,13.47,Not classified by income
2010,951,10045,33.96,Low income
2010,951,10046,52.69,Lower-middle income
2010,951,10047,60.02,Upper-middle income
2010,951,10048,-0.16,High income
2010,953,10024,1.87,Not classified by income
2010,953,10045,41.46,Low income
2010,953,10046,31.95,Lower-middle income
2010,953,10047,-1.76,Upper-middle income
2010,953,10048,2.36,High income
2010,958,10045,902.0,Low income
2010,958,10046,221.71,Lower-middle income
2010,958,10047,106.22,Upper-middle income
2010,959,10024,95.46,Not classified by income
2010,959,10045,197.16,Low income
2010,959,10046,254.39,Lower-middle income
2010,959,10047,50.95,Upper-middle income
2010,959,10048,3.25,High income
2010,959,10049,0.84,Not classified by income
2010,963,10024,281.64,Not classified by income
2010,963,10045,374.16,Low income
2010,963,10046,339.35,Lower-middle income
2010,963,10047,47.28,Upper-middle income
2010,963,10048,2.16,High income
2010,963,10049,1.18,Not classified by income
2010,964,10045,45.04,Low income
2010,964,10046,296.02,Lower-middle income
2010,964,10047,203.91,Upper-middle income
2010,966,10024,9.22,Not classified by income
2010,966,10045,119.59,Low income
2010,966,10046,109.79,Lower-middle income
2010,966,10047,4.87,Upper-middle income
2010,967,10024,205.71,Not classified by income
2010,967,10045,75.56,Low income
2010,967,10046,43.48,Lower-middle income
2010,967,10047,66.35,Upper-middle income
2010,967,10048,0.24,High income
2010,967,10049,1.22,Not classified by income
2010,971,10024,194.77,Not classified by income
2010,971,10045,12.91,Low income
2010,971,10046,24.0,Lower-middle income
2010,971,10047,12.62,Upper-middle income
2010,971,10048,1.13,High income
2010,971,10049,0.33,Not classified by income
2010,974,10024,33.63,Not classified by income
2010,974,10045,85.71,Low income
2010,974,10046,152.84,Lower-middle income
2010,974,10047,39.03,Upper-middle income
2010,974,10048,1.24,High income
2010,974,10049,1.25,Not classified by income
